forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-09 06:00:00,1,283.7,9999e17,9999e17,9999e17,69.4,-0.19,-3.31,0.00594,92442.39,9999e17
2020-05-09 12:00:00,1,282.80002,271,0,0,66.6,-0.16,-3.36,0.0054099998,92278.86,3
2020-05-09 18:00:00,1,292,279,361,0,40.100002,0.66999996,-3.83,0.00591,92236.99,27
2020-05-10 00:00:00,1,294.5,307,826,0,38,0.84,-3,0.00658,92091.14,50
2020-05-10 06:00:00,1,284.5,297,134,0,61.5,-0.42999998,-2.55,0.00557,92056.98,47
2020-05-10 12:00:00,1,282.9,282,0,0,64.4,-0.68,-2.6499999,0.00526,91860.516,32
2020-05-10 18:00:00,1,292.9,292,349,0,38.9,0.53,-3.4199998,0.0061399997,91740.29,48
2020-05-11 00:00:00,1,295.2,314,824,0,35.5,1.04,-2.9399998,0.00647,91536.305,45
2020-05-11 06:00:00,1,284.9,302,141,0,62.100002,-0.31,-2.31,0.0058299997,91546.805,64
2020-05-11 12:00:00,1,282.2,290,0,0,68.6,-0.61,-1.99,0.00542,91406.516,72
2020-05-11 18:00:00,1,291.4,288,350,0,37.3,0.32,-2.71,0.00536,91275.836,45
2020-05-12 00:00:00,1,291.9,324,723,3e-6,42.4,0.47,-0.71999997,0.00628,90977.26,71
2020-05-12 06:00:00,1,281.4,334,68,1e-4,97.3,-0.42,2.07,0.00728,91097.05,98
2020-05-12 12:00:00,1,279.2,327,0,1.8e-4,97.700005,-0.98999995,-0.19999999,0.00629,90914.83,94
2020-05-12 18:00:00,1,285.6,282,324,2.5e-5,69.9,2.8799999,2.19,0.0069299997,91000.33,71
2020-05-13 00:00:00,1,285,324,563,9e-5,72.8,1.99,3.33,0.0069199996,91143.45,82
2020-05-13 06:00:00,1,279.6,333,82,4.4e-5,96.3,2.24,1.79,0.00635,91485.336,93
2020-05-13 12:00:00,1,277.9,331,0,2.9e-5,96.1,2.08,1.8199999,0.00561,91604.766,96
2020-05-13 18:00:00,1,280.7,321,156,2.2e-5,76.5,1.4499999,2.06,0.00538,91723.45,94
2020-05-14 00:00:00,1,286,286,776,1.2e-5,47.5,0.35999998,2.8999999,0.00482,91542.48,59
2020-05-14 06:00:00,1,277,281,139,5e-6,98.3,0.65999997,0.84999996,0.00536,91708.41,76
2020-05-14 12:00:00,1,278.4,294,0,7e-6,98.1,0.77,0.48,0.00591,91680.625,88
2020-05-14 18:00:00,1,286.2,310,281,3e-6,54.9,1.4399999,0.48999998,0.00562,91560.79,92
2020-05-15 00:00:00,1,286,318,667,4.2e-5,70.1,0.07,2.56,0.00709,91422.24,80
2020-05-15 06:00:00,1,280.2,326,62,8.4e-5,98.9,0.21,1.76,0.00678,91649.516,88
2020-05-15 12:00:00,1,279.80002,334,0,3.1e-5,98.6,0.45999998,1.8399999,0.0065099997,91799.875,89
2020-05-15 18:00:00,1,280.4,337,54,1.9e-4,96.4,1.65,2.58,0.0066299997,92049.96,98
2020-05-16 00:00:00,1,281.2,339,157,1.32e-4,94.3,1.05,2.61,0.00685,92148.07,97
2020-05-16 06:00:00,1,279.30002,332,32,4.5e-5,97.4,0.17999999,2.07,0.00624,92273.46,89
2020-05-16 12:00:00,1,278,332,0,2.3e-5,98.1,0.32,1,0.0057099997,92272.6,96
2020-05-16 18:00:00,1,285.80002,279,347,0,53.9,1.81,1,0.0053399997,92183.69,65
2020-05-17 00:00:00,1,285.7,322,571,2.7e-5,77.3,1,1.49,0.00758,92011.086,83
2020-05-17 06:00:00,1,281.7,339,52,7.9e-5,94.9,0.17999999,-1.4599999,0.0071699996,91792.1,96
2020-05-17 12:00:00,1,282.2,342,0,3.92e-4,97.3,1.53,-1.36,0.00763,91763.9,96
2020-05-17 18:00:00,1,283.30002,348,43,5.63e-4,97.5,3.1499999,1.39,0.00822,91697.43,99
2020-05-18 00:00:00,1,284.7,341,203,2.2e-4,92.9,2.1,2.24,0.00859,91834.52,89
2020-05-18 06:00:00,1,279.7,307,100,8.9e-5,98.8,1.8,1.38,0.0064999997,91965.77,43
2020-05-18 12:00:00,1,278.9,325,0,1.16e-4,98.5,2.49,1.15,0.0061399997,91946.9,87
2020-05-18 18:00:00,1,281.2,324,152,2.03e-4,91.8,2.04,2.53,0.00667,92178.945,86
2020-05-19 00:00:00,1,281.80002,321,485,1.36e-4,87.4,1.04,2.82,0.00658,92332.27,81
2020-05-19 06:00:00,1,277.30002,304,66,4.7e-5,98.5,0.63,1.22,0.00545,92522.805,74
2020-05-19 12:00:00,1,275,288,0,1e-6,98.9,0.08,0.12,0.00465,92378.32,74
2020-05-19 18:00:00,1,284,290,272,7e-6,56.2,1.39,0.89,0.00488,92287.5,65
2020-05-20 00:00:00,1,283.9,319,459,9e-5,72.8,0.85999995,1.38,0.00622,92183.43,82
2020-05-20 06:00:00,1,277.5,312,88,1.1e-5,94.9,0.69,-0.17,0.00536,92131.71,85
2020-05-20 12:00:00,1,277.9,305,0,2.8e-5,95.9,0.62,-1.05,0.0055899997,91895.94,81
2020-05-20 18:00:00,1,283.2,316,175,9.3e-5,90.5,1.53,-0.93,0.0075999997,91794.84,96
2020-05-21 00:00:00,1,283.9,336,406,1.75e-4,96.3,1.79,1.35,0.0084999995,91689.625,94
2020-05-21 06:00:00,1,281.6,343,40,1.42e-4,98.4,1.75,1.4599999,0.0074,91862.195,97
2020-05-21 12:00:00,1,279.30002,319,0,2.3e-5,98.9,1.4699999,1.12,0.00633,91996.875,76
2020-05-21 18:00:00,1,283,316,250,6e-5,83.3,1.55,2.36,0.00678,92208.305,77
2020-05-22 00:00:00,1,285.9,318,661,4.2e-5,61.4,0.37,2.4199998,0.0060799997,92200.38,62
2020-05-22 06:00:00,1,276.7,295,118,5e-6,96.200005,0.51,0.87,0.00513,92233.89,66
2020-05-22 12:00:00,1,278.2,293,0,4e-6,93.9,1.17,-0.22,0.0055899997,92060.414,65
2020-05-22 18:00:00,1,281.2,323,120,1.72e-4,94.5,2.28,-0.26999998,0.0069,91910.35,92
2020-05-23 00:00:00,1,283.1,340,139,2.8e-4,93.6,2.44,2.33,0.00776,91875.625,94
2020-05-23 06:00:00,1,278.2,303,89,5.3e-5,99,0.82,1.49,0.00587,92024.516,47
2020-05-23 12:00:00,1,278.2,321,0,2.9e-5,98.3,1.63,0.95,0.00582,92113.086,81
2020-05-23 18:00:00,1,282,322,167,1.11e-4,91.700005,1.9,2.27,0.0070399996,92270.805,83
2020-05-24 00:00:00,1,282.7,329,489,1.83e-4,90.8,1.24,2.59,0.00731,92299.54,80
2020-05-24 06:00:00,1,278.6,316,68,1.38e-4,98.6,1.16,1.54,0.00599,92481.64,80
2020-05-24 12:00:00,1,277.7,314,0,2.4e-5,99.1,1.27,1.12,0.0056499997,92597.836,78
2020-05-24 18:00:00,1,282.5,317,234,2.2e-5,78.700005,0.9,2.09,0.00617,92686.086,76
2020-05-25 00:00:00,1,283.80002,313,634,6.7e-5,76.3,-0.03,2.58,0.0065099997,92573.68,61
2020-05-25 06:00:00,1,278,298,108,7.7e-5,98.5,0.19999999,1.78,0.00572,92695.75,63
2020-05-09 06:00:00,2,283.7,9999e17,9999e17,9999e17,70.4,-0.24,-3.28,0.0060099997,92467.586,9999e17
