forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-04-27 06:00:00,1,285.5,9999e17,9999e17,9999e17,83.5,0.55,1.4599999,0.00838,89181.555,9999e17
2020-04-27 12:00:00,1,284.2,291,0,0,74.700005,-2.5,3.1999998,0.00689,89186.7,5
2020-04-27 18:00:00,1,295.1,298,535,0,33.5,-1.5,1.28,0.0061999997,89238.46,0
2020-04-28 00:00:00,1,298.9,326,750,0,19.1,1.29,2.1399999,0.00447,88837,0
2020-04-28 06:00:00,1,290.5,314,31,0,32.100002,1.16,3.7099998,0.0044899997,88775.07,42
2020-04-28 12:00:00,1,287.30002,335,0,1.9e-5,54.7,-5.7999997,4.85,0.0061999997,89007.46,82
2020-04-28 18:00:00,1,293.7,290,539,0,30.6,-5.96,3.6299999,0.0052,89194.08,11
2020-04-29 00:00:00,1,290.1,331,546,0,37.9,-9.599999,1.7199999,0.00511,89414.805,47
2020-04-29 06:00:00,1,283.5,268,32,0,30.7,-5.6099997,2.1599998,0.0026699998,89774.02,0
2020-04-29 12:00:00,1,280.30002,244,0,0,40.4,-3.7099998,4.25,0.00283,89908.02,0
2020-04-29 18:00:00,1,290.9,255,560,0,21.6,-6.99,1.52,0.00306,89962.836,0
2020-04-30 00:00:00,1,292.99,285,769,0,20,-3.12,-0.95,0.0032499998000000002,89644.7,9
2020-04-30 06:00:00,1,284.19998,276,34,0,33,3.46,-1.43,0.00302,89710.05,8
2020-04-30 12:00:00,1,281.97437,270,0,0,37.8,4.23,-0.099999994,0.0029799999,89453.96,16
2020-04-30 18:00:00,1,296.52,287,547,0,23.2,6.1099997,-0.28,0.0047,89126.95,20
2020-05-01 00:00:00,1,300.47998,336,731,0,22.7,5.21,-2.82,0.00586,88654.56,47
2020-05-01 06:00:00,1,290.5,320,27,0,37.4,4.47,1.1,0.0052199997,88651.29,47
2020-05-01 12:00:00,1,290,306,0,0,38,-2.8999999,5.3399997,0.00513,88775.766,7
2020-05-01 18:00:00,1,298.2,317,541,0,37.9,-7.21,-1.3199999,0.00849,89124.9,0
2020-05-02 00:00:00,1,298.5,343,748,0,31.7,-2.55,-5.83,0.00721,89034.58,5
2020-05-02 06:00:00,1,288.7,328,33,6.3e-5,63.3,-1.61,-4.22,0.00781,89336.02,51
2020-05-02 12:00:00,1,285.9,335,0,6e-6,69,-0.17,-3.6,0.00714,89250.555,96
2020-05-02 18:00:00,1,293.4,308,537,0,43.4,3.3799999,-7.02,0.0072299996,89301.25,15
2020-05-03 00:00:00,1,294.1,363,551,0,44.5,3.28,-7.6099997,0.0078,88968.766,59
2020-05-03 06:00:00,1,287.6,343,29,1e-4,77.5,1.81,-4.8599997,0.00892,89139.336,80
2020-05-03 12:00:00,1,284.4,335,0,2.9e-5,81.5,2.06,-3.24,0.00764,89042.41,78
2020-05-03 18:00:00,1,289.2,341,320,1.1e-5,66.6,0.53999996,-3.22,0.0084999995,89148.69,57
2020-05-04 00:00:00,1,293.6,334,677,0,43.5,-2.72,-4.37,0.0073499996,89008.02,27
2020-05-04 06:00:00,1,284.1,298,34,0,77.5,3.9399998,-3.48,0.0071099997,89201.39,8
2020-05-04 12:00:00,1,282.6,287,0,0,82.9,6.02,0.14,0.0068599996,89116.2,68
2020-05-04 18:00:00,1,294.30002,307,522,1e-5,36.100002,7.7999997,-1.55,0.0064,88885.33,40
2020-05-05 00:00:00,1,294.2,332,727,6.5e-5,44.7,5.79,-0.89,0.0078799995,88526.6,17
2020-05-05 06:00:00,1,285.2,329,6,4.22e-4,82.200005,4.23,-1.87,0.008169999,88938.555,92
2020-05-05 12:00:00,1,283,292,0,0,89,-6.22,2.1299999,0.0075499997,89142.85,40
2020-05-05 18:00:00,1,289.9,275,564,0,35.600002,-5.16,0.65,0.00475,89342.05,4
2020-05-06 00:00:00,1,292.9,288,781,0,21.9,-2.5,0.31,0.00354,89159.78,2
2020-05-06 06:00:00,1,284.30002,284,37,0,39.7,-1.75,1.74,0.0036799998,89565.21,22
2020-05-06 12:00:00,1,280.80002,259,1,0,53.3,-4.16,0.98999995,0.00388,89866.97,0
2020-05-06 18:00:00,1,289.80002,265,575,0,30.9,-1.5699999,-1.75,0.00408,89893.58,0
2020-05-07 00:00:00,1,293.6,297,780,0,30,5.48,-4.31,0.00506,89410.1,1
2020-05-07 06:00:00,1,285.80002,296,38,1.7e-5,58.8,5.5699997,-2.83,0.0060199997,89362.2,15
2020-05-07 12:00:00,1,282.1,284,1,2e-6,77.200005,0.57,1.25,0.0061399997,89453.02,13
2020-05-07 18:00:00,1,293.5,281,578,0,30.7,-7.99,1,0.00514,89672.94,0
2020-05-08 00:00:00,1,294.4,298,789,0,25.1,-4.95,-1.77,0.00446,89526.11,1
2020-05-08 06:00:00,1,285.5,287,39,0,43.5,-1.3299999,-2.87,0.00434,89761.086,43
2020-05-08 12:00:00,1,281.9,275,1,0,68.1,2.29,-1.15,0.0053399997,89757.03,29
2020-05-08 18:00:00,1,294.1,289,564,0,33.7,5.17,-1.67,0.0058399998,89635.62,16
2020-05-09 00:00:00,1,296.80002,322,768,0,31.9,7.29,-2.6699998,0.00654,89176.68,24
2020-05-09 06:00:00,1,288.1,308,38,0,59.3,5.81,-1.0799999,0.00708,89145.266,12
2020-05-09 12:00:00,1,286.6,308,1,0,86,4.99,-1.7199999,0.009339999,88963.96,12
2020-05-09 18:00:00,1,298.2,339,540,0,55.3,6.8199997,-2.1699998,0.01248,88753.74,21
2020-05-10 00:00:00,1,299.9,372,744,1e-6,45.100002,8.17,-3.51,0.01131,88435.87,6
2020-05-10 06:00:00,1,291.1,376,30,5.01e-4,85.6,3.86,1.1,0.01239,88677.016,84
2020-05-10 12:00:00,1,288.80002,356,1,1.19e-4,92.4,1.92,0.84,0.0116,88438.766,100
2020-05-10 18:00:00,1,298.1,337,543,0,46.2,0.14,0.14,0.010369999,88501.12,57
2020-05-11 00:00:00,1,301.30002,361,746,0,29.300001,-4.0299997,-1.1999999,0.00797,88372.48,57
2020-05-11 06:00:00,1,291,332,39,0,55.4,-1.1,0.22,0.00798,88678.805,9
2020-05-11 12:00:00,1,289,315,1,0,56.9,-1.29,1.74,0.00722,88832.73,1
2020-05-11 18:00:00,1,301.6,323,572,0,26,-0.01,1.4499999,0.00715,89006.56,2
2020-05-12 00:00:00,1,304,361,745,0,21.5,1.7199999,-0.04,0.0068099997,88918.69,20
2020-05-12 06:00:00,1,294,332,39,0,38.4,4.35,0.12,0.0067,89084.95,5
2020-05-12 12:00:00,1,292.1,323,1,0,55.100002,3.77,2.78,0.00852,89170.336,1
2020-05-12 18:00:00,1,304.4,342,565,0,25.7,8.23,1,0.00827,89182.71,18
2020-05-13 00:00:00,1,303.9,365,766,0,23.7,6.2799997,-3.24,0.00746,88919.19,10
2020-05-13 06:00:00,1,294.5,342,41,2e-5,52.600002,9.04,-2.6699998,0.00942,89065.48,8
2020-04-27 06:00:00,2,286.30002,9999e17,9999e17,9999e17,72.700005,0.39,2.3899999,0.00768,89128.31,9999e17
2020-04-27 12:00:00,2,284,289,0,7e-6,73,-2.19,3.3899999,0.00666,89184.9,3
2020-04-27 18:00:00,2,295.30002,296,537,0,31.9,-0.77,1.04,0.0060099997,89212.96,0
2020-04-28 00:00:00,2,299,327,751,0,19.2,1.78,1.77,0.0045499997,88794.46,0
2020-04-28 06:00:00,2,290.5,311,31,0,32.8,4.23,2.53,0.00459,88666.516,30
2020-04-28 12:00:00,2,287.7,334,0,2.2e-5,55.8,-4.5299997,5.5,0.00649,88922.61,79
2020-04-28 18:00:00,2,293.7,293,536,0,31.5,-6.33,3.79,0.00537,89157.555,19
2020-04-29 00:00:00,2,290.80002,336,549,0,37,-9.28,1.23,0.0052199997,89367.06,50
2020-04-29 06:00:00,2,283.6,271,32,0,31.800001,-4.8199997,2.49,0.0028,89744.99,0
2020-04-29 12:00:00,2,280.30002,245,0,0,40.5,-3.77,4.1,0.0028499998,89931.94,0
2020-04-29 18:00:00,2,290.7,252,563,0,21.300001,-6.2799997,1.23,0.00297,89993.41,0
2020-04-30 00:00:00,2,293.41998,284,772,0,18.7,-2.48,-0.01,0.00311,89627.06,0
2020-04-30 06:00:00,2,284.78,278,33,0,31,3.51,-1.56,0.00296,89681.54,1
2020-04-30 12:00:00,2,282.2,272,0,0,36.7,4.06,-0.7,0.00296,89430.74,9
2020-04-30 18:00:00,2,296.30002,290,535,0,23.6,5.67,-1.41,0.0047,89201.3,49
2020-05-01 00:00:00,2,299.59,332,742,0,24.2,5.72,-3.51,0.00593,88764.336,55
2020-05-01 06:00:00,2,290.2,323,29,0,42.2,5.74,-0.87,0.00578,88738.484,68
2020-05-01 12:00:00,2,288.4,305,0,0,44.3,-0.65999997,3.87,0.00543,88709.086,33
2020-05-01 18:00:00,2,300.4,320,544,0,28.1,-7.0899997,-1.17,0.0071799997,88955.914,8
2020-05-02 00:00:00,2,300.1,345,752,0,28.7,-1.28,-5.23,0.00725,88898.69,0
2020-05-02 06:00:00,2,289.6,324,33,1.1e-5,55.5,0.9,-4.2,0.00728,89018.055,3
2020-05-02 12:00:00,2,284.30002,307,0,4.2e-5,70.9,-2.4099998,-4.7999997,0.0065699997,89229.35,79
2020-05-02 18:00:00,2,293.6,308,503,0,40,1.5999999,-4.69,0.00673,89331.305,77
2020-05-03 00:00:00,2,295.19998,345,671,0,41.2,3.09,-7.16,0.00771,89003.62,85
2020-05-03 06:00:00,2,287.1,328,26,8.7e-5,71.200005,1.8,-4.5099998,0.00791,89270.19,96
2020-05-03 12:00:00,2,283.1,313,0,4e-6,83.700005,-0.87,-2.6599998,0.00719,89255.734,66
2020-05-03 18:00:00,2,291.2,340,369,6e-6,56,1.9799999,-5.0299997,0.00814,89217.08,79
2020-05-04 00:00:00,2,292.5,352,619,0,49.3,1.9,-4.96,0.0077899997,89061.25,45
2020-05-04 06:00:00,2,284.2,308,20,0,78.5,4.0699997,-3.25,0.00722,89263.9,13
2020-05-04 12:00:00,2,281.30002,282,0,0,93.4,3.7099998,-0.07,0.00708,89129.41,6
2020-05-04 18:00:00,2,293.5,300,544,0,46.3,7.45,-1.62,0.0077799996,88954.17,5
2020-05-05 00:00:00,2,296.1,340,745,4.1e-5,43.7,3.25,-1.1,0.00863,88700.125,20
2020-05-05 06:00:00,2,288.30002,360,21,1.4e-4,71.700005,6.08,-0.06,0.00869,88940.48,93
2020-05-05 12:00:00,2,284.4,313,0,3e-6,94,3.12,-1.35,0.008789999,88717.14,31
2020-05-05 18:00:00,2,288.5,358,136,7.4e-5,75.700005,6.0899997,-4.54,0.00937,88555.95,92
2020-05-06 00:00:00,2,292.4,365,434,4.13e-4,71.9,3.31,-3.09,0.011419999,88074.62,70
2020-05-06 06:00:00,2,284.2,321,17,4.92e-4,87.1,-7.3999996,2.72,0.0080699995,88701.016,47
2020-05-06 12:00:00,2,280.9,270,1,0,73.700005,-4.7799997,6.2599998,0.00544,88954.93,11
2020-05-06 18:00:00,2,285.1,301,332,4e-6,51.7,-9.62,2.3899999,0.0050399997,89416.555,52
2020-05-07 00:00:00,2,288.2,288,717,2e-6,34.4,-7.4199996,-1.4699999,0.00414,89467.74,22
2020-05-07 06:00:00,2,282.80002,296,31,0,52.3,-1.27,3.4499998,0.0043699997,89793.71,84
2020-05-07 12:00:00,2,279.80002,260,1,0,73.8,-0.96999997,4.33,0.0049799997,89980.29,20
2020-05-07 18:00:00,2,289.7,267,574,0,30.800001,-5.94,3.75,0.00404,90022.766,1
2020-05-08 00:00:00,2,289.6,321,578,0,32.7,-7.1,2.1299999,0.0042399997,90098.75,72
2020-05-08 06:00:00,2,280,267,39,0,73.1,-0.55,-0.11,0.00502,90317.32,0
2020-05-08 12:00:00,2,279.6,257,0,0,74.1,3.27,0.11,0.00496,90152.76,1
2020-05-08 18:00:00,2,292,274,572,0,34.3,7.5,0.39999998,0.0052,89978.66,7
2020-05-09 00:00:00,2,295.7,320,734,0,31.300001,3.4399998,-3.08,0.006,89307.44,60
2020-05-09 06:00:00,2,286.80002,305,30,0,56.3,4.49,-4.13,0.0061299996,89551.62,47
2020-05-09 12:00:00,2,282,281,1,0,63.8,0.75,0.83,0.00505,89264.555,1
