forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-04-30 12:00:00,1,292.9,9999e17,9999e17,9999e17,92.200005,1.3199999,2.6799998,0.0132,100767.27,9999e17
2020-04-30 18:00:00,1,299.88998,357,718,2.3e-5,36.7,0.71,6.14,0.00804,100730.19,26
2020-05-01 00:00:00,1,294.56,338,583,0,51.3,-1.4599999,2.77,0.008119999,100793.96,0
2020-05-01 06:00:00,1,287.69998,317,0,0,76.4,-1.3199999,0.48999998,0.00781,101139.45,0
2020-05-01 12:00:00,1,288,296,19,0,72.9,-0.32,2.03,0.0076099997,101313.52,0
2020-05-01 18:00:00,1,298.4,311,776,0,29.6,-1.78,4,0.00591,101302.914,0
2020-05-02 00:00:00,1,293.87,327,591,0,47.5,-1.91,1.5899999,0.0071799997,101261.43,0
2020-05-02 06:00:00,1,286.7,307,0,0,73,-0.26,0.13,0.00695,101542.35,0
2020-05-02 12:00:00,1,290.80002,301,20,0,69.700005,-0.24,0.65,0.008669999,101664.27,0
2020-05-02 18:00:00,1,303.43,327,772,0,22.2,-1.18,0.79999995,0.00593,101613.7,2
2020-05-03 00:00:00,1,295.74,349,583,0,48.5,-0.04,-1.18,0.00821,101434.37,0
2020-05-03 06:00:00,1,290.1,328,0,0,67.5,1.27,0.83,0.00802,101521.19,0
2020-05-03 12:00:00,1,291.37,320,19,0,67.5,1.0699999,1.1999999,0.00871,101572.65,0
2020-05-03 18:00:00,1,304.41,348,755,0,27.6,0.76,2.4099998,0.00781,101406.82,0
2020-05-04 00:00:00,1,298.83,374,568,0,46.7,0.97999996,3.06,0.00955,101134.27,33
2020-05-04 06:00:00,1,291.80002,343,0,0,64.4,0.34,2.35,0.008549999,101163.555,32
2020-05-04 12:00:00,1,291.4,324,19,0,75.8,0.049999997,1.9,0.009819999,101256.84,0
2020-05-04 18:00:00,1,304.2,353,754,0,32.5,1.1999999,4.45,0.009149999,101076.29,0
2020-05-05 00:00:00,1,299.1,377,573,0,55.3,2.1,3.4299998,0.0115,100950.93,0
2020-05-05 06:00:00,1,292.80002,351,0,0,95.1,0.71999997,2.77,0.01353,101001.65,0
2020-05-05 12:00:00,1,292.80002,337,20,0,92.5,0.89,2.62,0.01309,101090.23,3
2020-05-05 18:00:00,1,304.9,366,747,0,38.7,2.6399999,4.63,0.01132,100960.65,2
2020-05-06 00:00:00,1,299.2,383,574,0,58.4,2.1299999,3.62,0.012259999,100955.93,0
2020-05-06 06:00:00,1,293.7,351,0,0,88.700005,1.65,3.9599998,0.0133,100939.766,0
2020-05-06 12:00:00,1,293.7,336,20,0,90.700005,0,3.4399998,0.01358,101105.85,0
2020-05-06 18:00:00,1,305.80002,366,759,0,35.2,2.12,5.58,0.010849999,100869.875,0
2020-05-07 00:00:00,1,300.2,386,578,0,57.600002,2.87,4.43,0.01277,100784.93,0
2020-05-07 06:00:00,1,295.7,379,0,0,84.1,0.84999996,3.35,0.014239999,100988.266,9
2020-05-07 12:00:00,1,291.9,365,20,0,49.600002,-4.18,0.74,0.0066299997,101241.21,12
2020-05-07 18:00:00,1,301.5,329,772,0,22.7,-2.95,1.5,0.00545,101287.05,0
2020-05-08 00:00:00,1,296.1,336,594,0,36.4,-3.83,0.72999996,0.00628,101385.7,0
2020-05-08 06:00:00,1,288.9,304,0,0,54.8,-3.27,0.25,0.0060199997,101686.945,0
2020-05-08 12:00:00,1,289,293,22,0,63.100002,-4.4,-2.1699998,0.0069799996,101925.68,0
2020-05-08 18:00:00,1,296.6,313,783,0,35.600002,-2.96,-4.21,0.0063,102008.92,0
2020-05-09 00:00:00,1,292,316,598,0,48.3,-1.22,-3.6999998,0.00647,101974.305,5
2020-05-09 06:00:00,1,287.6,302,0,0,68.1,-0.89,-2.1599998,0.00688,102082.42,1
2020-05-09 12:00:00,1,289.80002,306,22,0,68.9,-0.90999997,-2.22,0.007999999,102068.96,15
2020-05-09 18:00:00,1,299.5,339,756,0,40.600002,1.0699999,-4.43,0.00861,101987.516,41
2020-05-10 00:00:00,1,295.5,359,559,0,59.3,1.79,-4.52,0.0098399995,101865.66,48
2020-05-10 06:00:00,1,291.30002,340,0,0,80.8,1.26,-2.51,0.01036,101949.61,6
2020-05-10 12:00:00,1,292.6,338,21,0,80.9,1.92,-2.4199998,0.01129,101821.19,26
2020-05-10 18:00:00,1,299.4,384,521,2e-6,53,4.19,-3.1299999,0.01117,101639.06,55
2020-05-11 00:00:00,1,297.5,409,325,9e-6,65.6,2.74,-3.03,0.01239,101352.4,84
2020-05-11 06:00:00,1,294,400,0,1.43e-4,93.1,4.08,-1.86,0.01418,101275.445,93
2020-05-11 12:00:00,1,295.1,406,4,2.4e-4,94.6,5.6299996,1.31,0.015459999,101064.14,99
2020-05-11 18:00:00,1,300.6,418,487,1.11e-4,71.1,3.49,5.2599998,0.01623,100966.64,80
2020-05-12 00:00:00,1,300.2,415,468,4.2e-5,65.4,3.28,4.96,0.01457,100803.32,79
2020-05-12 06:00:00,1,296.4,394,0,0,87.6,1.26,3.4399998,0.015509999,100922.79,85
2020-05-12 12:00:00,1,293,364,23,0,77.5,-3.79,0.65,0.01112,101250.29,28
2020-05-12 18:00:00,1,301,341,780,0,38.2,-2.96,-1.52,0.00881,101363.12,0
2020-05-13 00:00:00,1,296,351,596,0,58,-2.6399999,-4.17,0.00997,101502.76,0
2020-05-13 06:00:00,1,291.80002,325,0,0,77.8,-1.39,-3.1499999,0.01028,101706.875,0
2020-05-13 12:00:00,1,292.5,325,24,0,78.4,-0.76,-2.82,0.0108199995,101754.42,1
2020-05-13 18:00:00,1,300.7,350,762,0,45.600002,-0.71,-5.6299996,0.010369999,101770.14,5
2020-05-14 00:00:00,1,295.80002,355,596,0,64.1,-0.64,-4.8599997,0.01089,101759.086,0
2020-05-14 06:00:00,1,291.7,336,0,0,85.4,-0.01,-2.69,0.01124,101783.85,1
2020-05-14 12:00:00,1,293.1,348,15,1e-6,80,-0.47,-2.22,0.01144,101828.2,22
2020-05-14 18:00:00,1,301.4,376,639,1e-6,46.2,0.11,-5.48,0.01093,101786.75,35
2020-05-15 00:00:00,1,296.80002,363,593,0,65.700005,0.32999998,-4.74,0.011779999,101736.016,5
2020-05-15 06:00:00,1,292.5,346,0,0,89.200005,0.25,-2.4299998,0.01231,101787.625,22
2020-05-15 12:00:00,1,293.7,345,24,0,83.700005,0.26,-2.28,0.01246,101798.18,17
2020-05-15 18:00:00,1,302.9,364,760,0,41.600002,0.79999995,-4.68,0.010679999,101754.95,4
2020-05-16 00:00:00,1,297.6,363,593,0,57.4,0.65999997,-4.71,0.01086,101689.95,0
2020-05-16 06:00:00,1,291.9,335,0,0,86.9,0.84,-2.23,0.01162,101674.695,0
2020-05-16 12:00:00,1,293.5,329,25,0,81.3,0.76,-1.28,0.011969999,101692.27,15
2020-04-30 12:00:00,2,293,9999e17,9999e17,9999e17,90.700005,0.95,3.1699998,0.01306,100656.45,9999e17
2020-04-30 18:00:00,2,300.09,352,735,1.6e-5,35.3,0.76,6.24,0.00782,100678.12,14
2020-05-01 00:00:00,2,294.75998,339,583,0,50.600002,-1.81,2.97,0.008119999,100780.74,0
2020-05-01 06:00:00,2,287.97,315,0,0,74,-1.49,0.95,0.00769,101173.46,0
2020-05-01 12:00:00,2,287.80002,293,19,0,72,-0.42999998,1.54,0.00739,101360.29,0
2020-05-01 18:00:00,2,298.30002,312,774,0,31.5,-1.6999999,4.0699997,0.0062499996,101328.87,0
