forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-13 00:00:00,1,269.41998,9999e17,9999e17,9999e17,79.8,-1.81,-12.21,0.0022399998,102283.12,9999e17
2020-05-13 06:00:00,1,267.04,205,418,0,81.9,-2.48,-9.87,0.00189,102468.305,3
2020-05-13 12:00:00,1,264.2,191,32,0,85.5,-2.46,-8.139999,0.0015499999,102745.48,1
2020-05-13 18:00:00,1,265.72998,197,188,0,87.1,-2.72,-8.09,0.0018,102914.414,1
2020-05-14 00:00:00,1,269.1,204,614,0,88.5,-2.8899999,-8.71,0.00241,103020.68,2
2020-05-14 06:00:00,1,268.7,213,414,0,87.4,-2.9299998,-6.97,0.00229,103094.055,5
2020-05-14 12:00:00,1,265.7,211,32,0,91.200005,-2.6799998,-4.0099998,0.0018699999,103178.87,0
2020-05-14 18:00:00,1,269.30002,216,185,0,94,-4.2799997,-3.1499999,0.0025799999,103038.36,2
2020-05-15 00:00:00,1,273.2,276,479,9e-6,90.1,-3.1799998,-5.9,0.00332,102991.44,75
2020-05-15 06:00:00,1,271.30002,245,379,1e-6,92.6,-2.85,-2.77,0.00299,102937.74,34
2020-05-15 12:00:00,1,266.2,223,33,0,98.700005,-2.6,-0.5,0.00211,102918.49,3
2020-05-15 18:00:00,1,272,258,145,1e-6,94.4,-3.9599998,-0.95,0.00321,102733.125,55
2020-05-16 00:00:00,1,272.7,271,517,3e-6,93.5,-4.8199997,-3.12,0.0033399998,102737.586,70
2020-05-16 06:00:00,1,272.30002,287,289,8e-6,86.5,-3.1999998,-3.22,0.00302,102769.91,85
2020-05-16 12:00:00,1,270.4,280,27,5e-6,92.9,-2.99,-2.27,0.0028,102884.7,85
2020-05-16 18:00:00,1,271.5,279,133,6e-6,92.200005,-2.7,-2.03,0.00303,102800.305,88
2020-05-17 00:00:00,1,272.7,270,529,7e-6,87.4,-3.1799998,-2.06,0.00314,102701.516,83
2020-05-17 06:00:00,1,271.2,253,369,3e-6,90.1,-2.3899999,-1.66,0.00289,102514.914,64
2020-05-17 12:00:00,1,269.2,268,29,2e-6,93.9,-2.09,-2.6699998,0.00259,102453.43,85
2020-05-17 18:00:00,1,271.1,251,166,3e-6,93.700005,-1.93,-3.9499998,0.00299,102375.43,71
2020-05-18 00:00:00,1,273,274,525,9e-6,88.5,-1.15,-6.15,0.0032499998000000002,102364.43,89
2020-05-18 06:00:00,1,272.1,271,353,9e-6,86.8,-1.31,-6.5699997,0.0029799999,102292.62,74
2020-05-18 12:00:00,1,267.9,240,27,2e-6,94.3,-2.5,-6.08,0.00235,102217.37,36
2020-05-18 18:00:00,1,271.30002,267,138,5e-6,91.8,-1.01,-8.51,0.00299,102053.45,76
