forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-07 00:00:00,1,278.80002,9999e17,9999e17,9999e17,76.6,1.06,0.24,0.0044899997,97216.555,9999e17
2020-05-07 06:00:00,1,276.9,315,0,1.65e-4,93.700005,-0.58,0.91999996,0.00481,97003.6,99
2020-05-07 12:00:00,1,278.6,298,55,7.4999996e-5,84.6,-2.54,1.18,0.00489,96917.54,91
2020-05-07 18:00:00,1,286,261,780,0,31.4,-2.36,2.07,0.0030099999,96773.5,23
2020-05-08 00:00:00,1,279.6,300,335,3.5e-5,66.8,1.3399999,1.51,0.00414,96751.25,67
2020-05-08 06:00:00,1,277.9,282,0,6.7e-5,93.5,1.73,3.3899999,0.00518,96587.31,55
2020-05-08 12:00:00,1,276.6,256,73,1e-6,76.4,-0.28,4.98,0.0038599998,96794.19,25
2020-05-08 18:00:00,1,283.2,249,794,4e-6,34.2,1.65,7.06,0.00272,96710.43,21
2020-05-09 00:00:00,1,278,272,382,1e-6,44,0.74,3.04,0.00245,96807.77,90
2020-05-09 06:00:00,1,274.7,277,0,1.2e-5,55.8,-1.9499999,-0.049999997,0.0024599999,96506.46,93
2020-05-09 12:00:00,1,273.80002,290,22,1.2e-4,80.8,-3.36,1.7099999,0.00336,95967.98,98
2020-05-09 18:00:00,1,278.80002,281,599,2.9e-5,56.8,-3.87,5.83,0.00338,95746.45,84
2020-05-10 00:00:00,1,274.30002,266,387,1.7e-5,71.200005,-2.25,6.23,0.00306,96065.52,73
2020-05-10 06:00:00,1,273.6,261,0,1.1e-5,70.9,-3.1499999,7.74,0.00289,96324.086,83
2020-05-10 12:00:00,1,274.7,237,75,3e-6,60.8,-3.02,7.6699996,0.00268,96698.375,42
2020-05-10 18:00:00,1,280.2,267,697,9e-6,50.100002,-1.52,8.5199995,0.00324,96908.15,58
2020-05-11 00:00:00,1,276.7,281,348,7e-6,71.9,0.19,3.31,0.00364,97114.74,61
2020-05-11 06:00:00,1,274.80002,265,0,2.4e-5,92.4,1.17,1.48,0.00408,96942.89,51
2020-05-11 12:00:00,1,278.2,261,80,3e-6,80.1,-1.65,1.5699999,0.00452,96794.9,36
