forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-03 00:00:00,1,285.28,9999e17,9999e17,9999e17,54.9,1.3,5.0299997,0.00605,79542.43,9999e17
2020-05-03 06:00:00,1,276.04,246,111,0,73,-0.39999998,0.89,0.00432,79537.18,1
2020-05-03 12:00:00,1,274.80002,234,0,0,74.5,0.08,0.84,0.00404,79450.04,1
2020-05-03 18:00:00,1,284.9,235,398,0,35.4,1.99,4.81,0.0037999998,79526.24,1
2020-05-04 00:00:00,1,285.3,245,921,0,28.1,-0.34,5.47,0.0031299999,79492.984,0
2020-05-04 06:00:00,1,274.6,226,116,0,53.5,-0.97999996,-0.53,0.0028199998,79525.414,0
2020-05-04 12:00:00,1,273.9,213,0,0,28.9,-0.34,-1.62,0.00147,79427.64,0
2020-05-04 18:00:00,1,285.6,220,408,0,19.4,1.5699999,1.92,0.00222,79571.414,0
2020-05-05 00:00:00,1,287.4,251,921,0,28.1,0.45999998,3.84,0.00361,79535.945,0
2020-05-05 06:00:00,1,278.80002,244,116,0,52,-0.39,-3.09,0.0037200000000000002,79590.7,0
2020-05-05 12:00:00,1,277.7,234,0,0,33.7,0.22999999,-2.8,0.0022399998,79485.62,0
2020-05-05 18:00:00,1,288.7,236,407,0,20.300001,2.3,2.62,0.0028499998,79626.46,8
2020-05-06 00:00:00,1,289.80002,260,921,0,23.7,0.29999998,4.75,0.0035299999,79566.625,35
2020-05-06 06:00:00,1,278,240,117,0,37.8,-0.87,-0.48999998,0.0025199999,79672.86,38
2020-05-06 12:00:00,1,276.2,231,0,0,30.7,0.26,0.78999996,0.00183,79605.12,54
2020-05-06 18:00:00,1,289,242,401,0,25.6,1.05,4.14,0.00363,79686.5,38
2020-05-07 00:00:00,1,289.9,265,915,0,27.5,0.03,5.15,0.00413,79633.125,35
2020-05-07 06:00:00,1,281.5,244,115,0,38.7,-2.6399999,-3.6299999,0.00332,79629.06,39
2020-05-07 12:00:00,1,279.9,236,0,0,29.9,-1.68,-4.1,0.0023,79505.27,8
2020-05-07 18:00:00,1,290.5,238,415,0,19.800001,2.06,1.4499999,0.0030999999,79586.18,15
2020-05-08 00:00:00,1,292,270,925,0,26,0.39999998,3.77,0.00446,79494.9,5
2020-05-08 06:00:00,1,284.1,265,118,0,38,-1.86,-3.75,0.0039,79547.24,7
2020-05-08 12:00:00,1,282.6,255,0,0,28,-2.02,-4.38,0.00259,79391.93,21
2020-05-08 18:00:00,1,292.2,260,397,0,20.5,2.33,0.31,0.00357,79484.77,57
2020-05-09 00:00:00,1,293.1,287,910,0,27.2,0.69,3.4399998,0.0050299997,79433.29,27
2020-05-09 06:00:00,1,284.4,277,117,0,44.2,-1.24,-2.6399999,0.00465,79498.875,7
2020-05-09 12:00:00,1,283,269,0,0,38.5,-1.13,-3.05,0.00369,79419.02,56
2020-05-09 18:00:00,1,293.2,269,399,0,23.9,1.9699999,2.46,0.00444,79569.67,52
2020-05-10 00:00:00,1,294.1,289,913,0,22.7,0.11,4.42,0.00445,79501.06,40
2020-05-10 06:00:00,1,283.7,275,117,0,48.3,-1.53,-1.4399999,0.00481,79638.93,46
2020-05-10 12:00:00,1,282.80002,265,0,0,35.5,-2.01,-2.28,0.00332,79556.5,58
2020-05-10 18:00:00,1,293.5,270,399,0,23.1,1.31,2.52,0.0043599997,79672.42,62
2020-05-11 00:00:00,1,294.2,291,909,0,21.4,0.29,4.7599998,0.0042,79606.305,45
2020-05-11 06:00:00,1,284.5,281,116,0,42.8,-1.5799999,-0.45999998,0.00441,81012.2,39
2020-05-11 12:00:00,1,282.9,266,0,0,40.100002,-2,-0.83,0.0037099998,80888.69,35
2020-05-11 18:00:00,1,294.1,273,403,0,21.9,0.5,2.44,0.00421,80948.09,39
2020-05-12 00:00:00,1,295.1,296,905,0,20.7,1.13,4.25,0.00419,80821.49,30
2020-05-12 06:00:00,1,284.30002,288,112,0,39.600002,-1.43,-0.52,0.00403,80861.59,26
2020-05-12 12:00:00,1,281.80002,267,0,0,40.5,-1.3,-0.47,0.00351,80704.516,8
2020-05-12 18:00:00,1,293.2,272,408,0,24.4,1.5799999,2.2,0.00446,80748.38,1
2020-05-13 00:00:00,1,294.1,293,911,0,22.800001,1.91,4.21,0.00434,80607.38,3
2020-05-13 06:00:00,1,282,271,122,0,46.3,-0.089999996,0.17,0.00402,80622.664,2
2020-05-13 12:00:00,1,279.2,253,0,0,49,-0.34,0.59,0.00351,80462.74,0
2020-05-13 18:00:00,1,291.30002,254,418,0,21.2,2.56,2.1,0.0034299998,80556.234,0
2020-05-14 00:00:00,1,292.30002,271,932,0,18.6,2.4299998,3.99,0.00317,80435.75,1
2020-05-14 06:00:00,1,279.80002,252,126,0,34.7,0.37,0.85999995,0.0026099999,80525.34,1
2020-05-14 12:00:00,1,277.2,237,0,0,43.7,-0.29999998,0.69,0.00274,80420.42,1
2020-05-14 18:00:00,1,289.4,241,423,0,21,2.3799999,2.44,0.0030099999,80570.07,2
2020-05-15 00:00:00,1,290.30002,264,932,0,20.800001,2.34,4.17,0.0031599998,80511.99,2
2020-05-15 06:00:00,1,279.2,250,126,0,40,-0.51,1.06,0.00286,80697.18,23
2020-05-15 12:00:00,1,277.5,242,0,0,39,-1.13,-0.42,0.0024899999,80611.23,29
2020-05-15 18:00:00,1,288.7,247,417,0,22.6,1.9399999,2.6,0.00309,80757.85,7
2020-05-16 00:00:00,1,289.80002,280,884,0,24.7,2.36,4.0499997,0.0036,80690.25,50
2020-05-16 06:00:00,1,279,257,121,0,46.8,0.35,0.44,0.0033399998,80834.98,21
2020-05-16 12:00:00,1,276.80002,243,0,0,50.8,-0.24,0.06,0.00311,80763.84,25
2020-05-16 18:00:00,1,288.2,245,419,0,23.9,3.1999998,3.07,0.00315,80814.32,13
2020-05-17 00:00:00,1,289.1,263,926,0,22.4,3.56,3.9299998,0.00311,80700.22,35
2020-05-17 06:00:00,1,278.1,251,126,0,45.8,1.61,0.97999996,0.00308,80651.16,4
2020-05-17 12:00:00,1,275.1,235,0,0,57.8,1.77,0.91999996,0.00317,80506.08,5
2020-05-17 18:00:00,1,281.6,267,328,9e-6,51.4,5.0699997,4.14,0.0043699997,80590.2,38
2020-05-18 00:00:00,1,282,274,852,1.1e-5,43.3,2.52,4.81,0.00376,80587.3,47
2020-05-18 06:00:00,1,273.9,240,117,1e-6,76.3,-0.79999995,1.35,0.0037699998,80666.055,17
2020-05-18 12:00:00,1,271.2,212,0,0,63.2,-1.51,0.28,0.00256,80525.95,5
2020-05-18 18:00:00,1,281.9,206,437,0,20.6,-0.089999996,3.62,0.0018,80592.5,1
2020-05-19 00:00:00,1,285.2,233,952,0,25.800001,0.02,5.13,0.0028,80508.336,0
2020-05-03 00:00:00,2,284.97998,9999e17,9999e17,9999e17,54.2,1.16,5.08,0.00585,79536.09,9999e17
2020-05-03 06:00:00,2,275.80002,244,111,0,68.9,-0.19999999,0.89,0.00399,79531.1,8
2020-05-03 12:00:00,2,274.7,233,0,0,66.4,0.02,0.71999997,0.00357,79446.14,1
2020-05-03 18:00:00,2,284.7,233,399,0,34.600002,2.1,4.77,0.0036799998,79543.05,1
