forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-14 12:00:00,1,284.30002,9999e17,9999e17,9999e17,78.6,0.75,0.11,0.0065099997,99924.52,9999e17
2020-05-14 18:00:00,1,293.79,347,488,1.5e-5,62.2,2.81,1.43,0.009509999,99578.195,57
2020-05-15 00:00:00,1,291.86,365,405,1.3e-5,87.9,2.1,-0.03,0.01196,99267.02,32
2020-05-15 06:00:00,1,288.7,340,0,0,96.3,2.21,2.01,0.0106999995,99234.25,2
2020-05-15 12:00:00,1,290.1,330,43,0,86.3,2.55,2.19,0.01048,99221.805,24
2020-05-15 18:00:00,1,301.2,356,747,7e-6,42.3,3.1499999,3.21,0.01022,98920.914,18
2020-05-16 00:00:00,1,293.4,395,251,4e-5,84.3,1.42,2.61,0.012709999,98819.42,65
2020-05-16 06:00:00,1,289,351,0,3.15e-4,98.200005,1.29,1.8199999,0.01121,98859.4,48
2020-05-16 12:00:00,1,291,363,35,5e-5,95.9,-0.61,1.06,0.012399999,98998.516,90
2020-05-16 18:00:00,1,297.80002,378,556,1.6e-5,56.3,-1.38,-1.3199999,0.0110599995,99169.016,62
2020-05-17 00:00:00,1,292.6,360,508,3e-6,79.200005,0.14999999,-2.18,0.011279999,99203.99,46
2020-05-17 06:00:00,1,285.9,325,1,0,97.3,0.69,-1.3399999,0.00902,99333.29,41
2020-05-17 12:00:00,1,287.7,360,9,2.4e-5,97.200005,0.01,-2.53,0.01014,99410.98,69
2020-05-17 18:00:00,1,288.4,382,90,9.9e-5,98.3,0.53999996,-2.1699998,0.010749999,99312.65,97
2020-05-18 00:00:00,1,290.2,390,91,4.3e-5,98.8,0.66999996,-1.35,0.01218,98923.99,95
2020-05-18 06:00:00,1,289.80002,388,0,4.5e-5,98.5,2.46,-0.89,0.011849999,98635.805,89
2020-05-18 12:00:00,1,289.80002,384,20,1.08e-4,98.4,2.23,0.26,0.01186,98432.4,95
2020-05-18 18:00:00,1,295.4,391,307,1.25e-4,83.6,0.51,1.28,0.0143099995,98291.37,95
2020-05-19 00:00:00,1,292.1,392,242,1.36e-4,96.9,-1.5899999,-0.68,0.013499999,98302.586,86
2020-05-19 06:00:00,1,285.7,374,0,4.18e-4,97.4,-2.3,-3.35,0.00899,98449.96,98
2020-05-19 12:00:00,1,283.9,364,2,3.14e-4,97.700005,-2.84,-2.98,0.00797,98650.69,100
2020-05-19 18:00:00,1,283.2,356,58,3.18e-4,97.200005,-2.96,-4.27,0.00757,98913.71,99
2020-05-20 00:00:00,1,280.4,349,27,2e-4,96.700005,-3.11,-3.82,0.00617,99224.14,100
2020-05-20 06:00:00,1,279.4,341,0,1.42e-4,96.6,-2.76,-2.45,0.00575,99307.61,99
2020-05-20 12:00:00,1,278.9,339,2,1.94e-4,97.3,-3.82,-3.01,0.00563,99374.664,100
2020-05-20 18:00:00,1,282.2,346,56,3.37e-4,98,-3.4299998,-3.97,0.00708,99280.914,100
2020-05-21 00:00:00,1,284.1,359,17,4.01e-4,98.4,-2.3999999,-3.8,0.008119999,99177.08,100
2020-05-21 06:00:00,1,285.1,368,0,4.36e-4,98.6,-2.49,-3.1,0.00869,99086.7,100
2020-05-21 12:00:00,1,285.7,371,8,3.6e-4,99.1,-2.45,-2.12,0.00907,99006.375,99
2020-05-21 18:00:00,1,290.80002,383,146,5.8999998e-5,94,-1.75,-0.78,0.012019999,98757.75,96
2020-05-22 00:00:00,1,291.80002,388,236,5.97e-4,96.700005,1.4599999,-1.5699999,0.01325,98469.08,91
2020-05-22 06:00:00,1,289.9,363,1,1.13e-4,99.1,1.5899999,-0.42,0.012,98464.02,63
2020-05-22 12:00:00,1,289.6,351,46,2e-6,97.4,1.0699999,0.65999997,0.011589999,98583.77,35
2020-05-22 18:00:00,1,299.1,356,746,1.7e-5,51.600002,2.4299998,0.84999996,0.0110599995,98467.875,12
2020-05-23 00:00:00,1,293.7,363,541,8.2e-5,84.6,1.42,0.16,0.012999999,98486.69,6
2020-05-23 06:00:00,1,287.80002,340,1,1e-6,95.200005,-0.53,1.53,0.010059999,98606.8,3
2020-05-23 12:00:00,1,289.9,327,47,0,92.5,-0.45,1.1,0.011179999,98834.414,3
2020-05-23 18:00:00,1,298.1,367,650,2e-5,58.5,-1.16,2.23,0.01169,98840.14,26
2020-05-24 00:00:00,1,293.7,374,493,3.7e-5,85.4,-0.58,0.78999996,0.01308,98795.85,18
2020-05-24 06:00:00,1,288.4,344,1,2e-5,96.4,-0.82,1.43,0.0105099995,98936.37,0
2020-05-24 12:00:00,1,290,330,48,0,96.9,-0.45,1.67,0.01177,99050.16,2
2020-05-24 18:00:00,1,299.2,361,715,0,53,-2.74,2.61,0.01136,98983.07,16
2020-05-25 00:00:00,1,295.7,375,541,0,78.3,-1,1.02,0.01356,98850.555,4
2020-05-25 06:00:00,1,290.2,355,1,5e-6,94.200005,-0.74,1.5799999,0.01158,98942.34,0
2020-05-25 12:00:00,1,292.5,343,48,0,88.200005,-0.22999999,1.38,0.01249,99119.164,0
