forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-08 18:00:00,1,279.6,9999e17,9999e17,9999e17,56.600002,-0.39999998,3.47,0.0044299997,76757.73,9999e17
2020-05-09 00:00:00,1,277.5,257,691,1.36e-4,70.1,-4.61,0.04,0.00472,76858.17,47
2020-05-09 06:00:00,1,269.9,218,86,2e-6,98.700005,-2.2,0.42999998,0.0038299998,77075.2,6
2020-05-09 12:00:00,1,271.2,277,0,8e-6,91.5,-2.55,-0.17,0.0039,77054.4,76
2020-05-09 18:00:00,1,281,257,425,4e-6,45.2,-1.5899999,-0.12,0.0038599998,77002.54,52
2020-05-10 00:00:00,1,282,234,841,0,38.9,-3.27,0.78,0.0035899999,76829.9,3
2020-05-10 06:00:00,1,270.30002,224,88,0,93.3,-0.11,-1.74,0.00373,76865.71,1
2020-05-10 12:00:00,1,269.5,215,0,0,89.3,-0.52,-1.88,0.00338,76752.4,4
2020-05-10 18:00:00,1,285,235,461,0,32.9,-0.59,-1.25,0.0037,76621.37,51
2020-05-11 00:00:00,1,283.6,266,775,2e-6,44,-3.1999998,-0.42,0.00453,76425.586,67
2020-05-11 06:00:00,1,272.9,266,71,4e-6,89.200005,-0.89,-2.25,0.0043699997,76415.07,83
2020-05-11 12:00:00,1,269.5,238,0,2e-6,91.200005,-1.11,-1.8,0.0034699999,76201.87,43
2020-05-11 18:00:00,1,280,272,292,3.6e-5,54.5,-1.65,-1.18,0.0044299997,76092.91,70
2020-05-12 00:00:00,1,280.7,290,460,7.4e-5,64.1,-2.4199998,-1.9499999,0.0054699997,75888.31,80
2020-05-12 06:00:00,1,272.9,292,51,1.38e-4,94,-0.96999997,-2.1499999,0.00463,75836.18,97
2020-05-12 12:00:00,1,268.7,254,0,3.8e-5,97.3,0.17999999,-1.4699999,0.0034999999,75686.62,80
2020-05-12 18:00:00,1,282.9,252,435,4.7e-5,67,1.42,2.95,0.00665,75638.4,76
2020-05-13 00:00:00,1,281.34,301,528,3.18e-4,75.4,0.55,2.86,0.00676,75437.56,94
2020-05-13 06:00:00,1,273.80002,276,51,9.6e-5,96.5,-0.31,0.77,0.00508,75583.14,79
2020-05-13 12:00:00,1,272,242,0,8e-6,98.4,2.7,1.06,0.00456,75507.68,54
2020-05-13 18:00:00,1,277.4,256,354,1.25e-4,81.3,1.64,3.8,0.0055299997,75593.055,44
2020-05-14 00:00:00,1,278.28,296,432,2.04e-4,83.8,-1.4399999,1.42,0.0060799997,75741.766,84
2020-05-14 06:00:00,1,273.4,291,51,1.98e-4,97.8,-1.4,0.06,0.0049799997,75941.98,92
2020-05-14 12:00:00,1,271.6,287,0,1.17e-4,98.3,1.5799999,1.09,0.00439,76093.07,88
2020-05-14 18:00:00,1,276.1,307,207,2e-5,93.3,2.95,1.5699999,0.00575,76271.7,95
2020-05-15 00:00:00,1,279.4,287,593,5.7e-5,76.1,1.99,2.28,0.00592,76261.54,80
2020-05-15 06:00:00,1,272.7,246,91,2.9e-5,92.200005,2.86,-0.47,0.00445,76357.94,34
2020-05-15 12:00:00,1,271.1,246,0,9e-6,95.9,3.6899998,-0.16,0.00409,76401.04,53
2020-05-15 18:00:00,1,281.30002,245,468,2.3e-5,68,3.6399999,4.0499997,0.00604,76397.12,55
2020-05-16 00:00:00,1,281.1,300,577,1.69e-4,75.200005,1.12,3.05,0.0065699997,76352.484,84
2020-05-16 06:00:00,1,273.4,291,46,1.03e-4,96.1,0.06,0.29,0.00488,76505.586,80
2020-05-16 12:00:00,1,272.4,238,0,0,97.200005,1.7199999,-0.06,0.00457,76575.22,10
