forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-11 00:00:00,1,291.7,9999e17,9999e17,9999e17,77.4,-3.06,-3.37,0.01038,99457.99,9999e17
2020-05-11 06:00:00,1,284.80002,330,6,0,72.3,-2.76,-3.62,0.00621,99613.15,54
2020-05-11 12:00:00,1,283.2,300,2,0,71.700005,-0.71,-4.16,0.00551,99616.77,17
2020-05-11 18:00:00,1,293.6,307,604,0,52.2,3.99,-5.3199997,0.0079,99569.46,6
2020-05-12 00:00:00,1,294.19,348,674,0,59.2,3.36,-3.9499998,0.009339999,98954.7,39
2020-05-12 06:00:00,1,288.1,347,9,1e-6,68.6,3.81,-7.5,0.0073599997,98836.984,79
2020-05-12 12:00:00,1,287.1,362,1,2.07e-4,92.3,5.37,-5.1099997,0.0092899995,98773.75,96
2020-05-12 18:00:00,1,293.46,384,156,1.75e-4,88.4,6.85,-1.5899999,0.013379999,98682.89,99
2020-05-13 00:00:00,1,295.41,396,255,7.14e-4,83.1,6.87,-0.78,0.014219999,98394.78,94
2020-05-13 06:00:00,1,292.34,365,13,1.8e-5,90.9,6.72,-2.72,0.01285,98492.39,37
2020-05-13 12:00:00,1,292.7,380,0,1.4e-5,92.8,8.11,0.17,0.01339,98412.016,54
2020-05-13 18:00:00,1,295.91998,408,190,2.3e-5,83.700005,9.4,0.12,0.014769999,98515.75,84
2020-05-14 00:00:00,1,298.04,410,388,7e-6,74.3,8.92,-0.79999995,0.014959999,98208.52,60
2020-05-14 06:00:00,1,294.5,368,17,0,82.6,7.75,-0.19,0.013379999,98377.24,2
2020-05-14 12:00:00,1,294.30002,391,0,1e-5,86.4,9.25,0.78999996,0.01375,98388.01,52
2020-05-14 18:00:00,1,297.80002,416,164,1.7e-5,76.4,8.22,2.98,0.015059999,98459.05,91
2020-05-15 00:00:00,1,299.5,415,405,4e-6,71.8,6.98,-0.11,0.01574,98125.59,56
2020-05-15 06:00:00,1,296.1,381,18,0,83.5,7.04,-1.7199999,0.015,98196.88,1
2020-05-15 12:00:00,1,294.5,383,1,3e-6,90.9,8.429999,1.62,0.01474,98165.89,20
2020-05-15 18:00:00,1,297.2,417,156,2.6e-5,79.5,7.74,0.28,0.01523,98389.77,91
2020-05-16 00:00:00,1,299.1,420,338,5e-6,74.4,7.89,0.21,0.01603,98000.15,76
2020-05-16 06:00:00,1,295.1,381,17,0,91.6,4.24,-1.92,0.01545,98100.29,41
2020-05-16 12:00:00,1,294.9,407,1,8.2e-5,93,8.54,-0.72999996,0.01545,98121.375,98
2020-05-16 18:00:00,1,300,400,333,7e-6,71.1,9.66,2.8999999,0.01608,98151.27,96
2020-05-17 00:00:00,1,298,404,517,5.33e-4,83.3,5.02,-1.3299999,0.01676,98082.18,83
2020-05-17 06:00:00,1,294.4,388,8,1.54e-4,92.200005,2.75,1.81,0.01481,98209.805,82
2020-05-17 12:00:00,1,293.7,388,1,3.26e-4,97.5,2.2,-1.0799999,0.015059999,98292.69,99
2020-05-17 18:00:00,1,300.6,396,316,1.66e-4,56.9,2.2,-0.39999998,0.01332,98507.99,98
2020-05-18 00:00:00,1,300.4,400,590,0,66.700005,1.4,-2.87,0.01543,98389.52,93
2020-05-18 06:00:00,1,293.4,372,17,0,96.1,2.12,-2.75,0.01449,98604.71,59
2020-05-18 12:00:00,1,292,360,2,0,97.3,1.28,-1.76,0.01344,98613.03,52
2020-05-18 18:00:00,1,300.4,389,500,2e-6,65.6,3.34,-2.49,0.01516,98668.17,41
2020-05-19 00:00:00,1,301.2,396,715,0,64.700005,3.1699998,-2.6399999,0.01571,98348.06,0
2020-05-19 06:00:00,1,294.4,373,20,0,85.9,3.82,-3.61,0.01385,98255.1,0
2020-05-19 12:00:00,1,292.4,357,2,0,97,3.31,-2.6299999,0.01382,98223.1,2
2020-05-19 18:00:00,1,300.80002,404,430,6e-6,77.9,5.92,-2.26,0.01845,98242.35,48
2020-05-20 00:00:00,1,301.6,423,592,2e-6,74.4,5.47,-3.4199998,0.01853,98003.93,29
2020-05-20 06:00:00,1,295.80002,386,20,0,92.700005,6.85,-2.85,0.01627,98106.586,0
2020-05-20 12:00:00,1,295.80002,398,1,1e-5,91.4,5.71,-0.45,0.01604,98113.6,46
2020-05-20 18:00:00,1,298.5,425,218,1.5e-5,80.4,7.5299997,-0.88,0.016619999,98297.03,85
2020-05-21 00:00:00,1,300.1,423,490,3e-6,76.3,7.08,-2.87,0.01746,98077.83,53
2020-05-21 06:00:00,1,295.7,385,19,0,88.4,7.25,-2.5,0.015439999,98222.48,4
2020-05-21 12:00:00,1,295.30002,395,1,1.1e-5,90.1,6.27,-0.17999999,0.01536,98263.31,43
2020-05-21 18:00:00,1,297.80002,424,206,2.2e-5,80.1,6.92,-1.14,0.01585,98417.586,87
2020-05-22 00:00:00,1,299.9,413,424,6e-6,72.5,6.1,-2.28,0.0163,98163.4,53
2020-05-22 06:00:00,1,295,377,20,0,87.6,5.0699997,-2.1299999,0.0146699995,98308.22,0
2020-05-22 12:00:00,1,292.80002,363,3,0,96.3,4.21,-1.79,0.01404,98388.016,1
2020-05-22 18:00:00,1,300.80002,373,595,0,66.8,7.56,-0.29,0.01578,98409.29,6
2020-05-23 00:00:00,1,299.9,407,640,3.3e-5,73.6,6.21,-1.68,0.0166,98192.96,21
2020-05-23 06:00:00,1,295,378,21,0,88.700005,4.97,-1.29,0.014819999,98300.17,1
2020-05-23 12:00:00,1,294,369,2,6e-5,95.8,4.22,-0.39999998,0.01502,98436.016,15
2020-05-23 18:00:00,1,298.6,410,309,1.1e-5,76.8,7.7799997,-1.18,0.01594,98367.7,85
2020-05-24 00:00:00,1,299.5,418,379,9e-6,75,5.91,-0.66999996,0.016479999,98152.21,63
2020-05-24 06:00:00,1,296.2,388,21,0,82.9,6.27,-2.04,0.01497,98194.54,34
2020-05-24 12:00:00,1,294.80002,381,2,3e-6,91.4,7.7799997,0.45,0.01512,98131.77,19
2020-05-24 18:00:00,1,298.5,420,208,2.4e-5,77.6,8.74,0.63,0.016099999,98131.16,83
2020-05-25 00:00:00,1,298.30002,430,225,2.7e-5,81.9,6.8399997,-1.09,0.016719999,97963.47,86
2020-05-25 06:00:00,1,297,397,12,0,82.6,7.0099998,-0.59999996,0.01566,98004.04,29
2020-05-25 12:00:00,1,295.4,389,2,9e-6,89.6,8.07,0.55,0.01531,98114.9,19
2020-05-25 18:00:00,1,298.4,423,179,2.4e-5,79.6,7.33,1.4499999,0.01642,98294.086,89
2020-05-26 00:00:00,1,299.5,430,298,9e-6,77.4,6.67,-1.52,0.01695,98206.43,78
2020-05-26 06:00:00,1,295.80002,388,19,0,90.5,5.0099998,-1.9799999,0.01594,98348.96,8
2020-05-26 12:00:00,1,294,377,2,0,96.200005,2.1299999,-1.18,0.01509,98654.77,80
