forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-08 06:00:00,1,284.9,9999e17,9999e17,9999e17,63.7,2.6499999,0.81,0.00544,101122.21,9999e17
2020-05-08 12:00:00,1,285.4,320,1,5e-6,74.700005,2.83,-0.47,0.00658,100836.56,47
2020-05-08 18:00:00,1,290.1,367,101,4.06e-4,92.5,2.8799999,1,0.01109,100322.37,99
2020-05-09 00:00:00,1,289,390,89,8.56e-4,90.9,-4.79,0.75,0.01014,100611.13,98
2020-05-09 06:00:00,1,283.7,331,1,3e-6,84.9,-3.1799998,-0.62,0.00665,101247.98,54
2020-05-09 12:00:00,1,279.30002,258,12,0,74.700005,-2.3999999,-0.45999998,0.00432,101633.58,4
2020-05-09 18:00:00,1,290,260,735,0,33.600002,-2.61,-1.8199999,0.00397,101701.88,50
2020-05-10 00:00:00,1,288.4,283,677,0,57.5,-1.43,-1.04,0.00612,101439.93,32
2020-05-10 06:00:00,1,280.80002,271,4,0,68.6,-1.12,-1.6999999,0.0044199997,101552.87,62
2020-05-10 12:00:00,1,280.7,268,10,0,70.4,-0.35,-1.41,0.0044899997,101600.99,95
2020-05-10 18:00:00,1,295.30002,285,731,0,27.5,-1.8499999,1.52,0.00454,101505.85,17
2020-05-11 00:00:00,1,291.80002,313,663,0,62.7,-1.41,0.75,0.00832,101294.6,0
2020-05-11 06:00:00,1,284.7,304,4,0,80.8,-2.49,-0.16,0.0067499997,101536.75,0
2020-05-11 12:00:00,1,281.2,273,11,0,74.3,-2.1299999,-1.66,0.00489,101755.5,0
2020-05-11 18:00:00,1,293.9,284,724,0,30.6,-2.55,-0.84999996,0.00462,101697.7,0
2020-05-12 00:00:00,1,291.30002,312,660,0,57.100002,-1.4499999,-0.85999995,0.0072999997,101464.21,0
2020-05-12 06:00:00,1,284.4,301,4,0,68.200005,-0.02,-2.1299999,0.0055899997,101453.9,49
2020-05-12 12:00:00,1,283.30002,293,10,0,72.5,0.76,-2.04,0.0055199997,101449.49,80
2020-05-12 18:00:00,1,298.5,309,708,0,32.3,3.6,-1.24,0.0064999997,101264.46,38
2020-05-13 00:00:00,1,296.7,346,652,0,58.7,2,-0.71,0.01057,100914.83,5
2020-05-13 06:00:00,1,293,373,3,3e-6,81.200005,3.4199998,0.75,0.0116,100990.48,70
2020-05-13 12:00:00,1,289.80002,375,1,1.24e-4,97.9,1.78,0.17999999,0.0114899995,101114.3,78
2020-05-13 18:00:00,1,302.1,380,538,2.5e-5,44,1.8299999,1.1899999,0.01091,101033.15,50
2020-05-14 00:00:00,1,298.5,393,596,1e-6,67.4,-2,-0.16,0.01349,100909.37,48
2020-05-14 06:00:00,1,291.80002,363,4,0,83.6,1.81,-1.01,0.01112,100963.914,56
