forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-04 00:00:00,1,281.25998,9999e17,9999e17,9999e17,40.5,-3.9099998,-4.15,0.00278,97494.73,9999e17
2020-05-04 06:00:00,1,276.1,235,318,0,67.9,-2.46,-2.9199998,0.00327,97491.91,0
2020-05-04 12:00:00,1,271.4,227,0,0,85.3,-2.58,-2.77,0.00293,97565.68,29
2020-05-04 18:00:00,1,274.80002,246,107,1e-5,67.200005,-1.9399999,-2.32,0.0029499999,97700.516,61
2020-05-05 00:00:00,1,283.1,283,472,2.3e-5,54.3,-1.3299999,-0.64,0.0042,97706.68,71
2020-05-05 06:00:00,1,277.30002,266,294,1e-6,87.9,-1.9,-0.96,0.00457,97774.086,30
2020-05-05 12:00:00,1,271.2,245,1,0,93.700005,0.22999999,-0.26999998,0.00314,97911.99,3
2020-05-05 18:00:00,1,280.7,240,169,0,54,1.25,0.61,0.0035599999,97990.35,2
2020-05-06 00:00:00,1,285.6,256,636,0,34.9,0.04,1.88,0.0032,97949.48,1
2020-05-06 06:00:00,1,278.4,261,318,0,71.9,-1.29,0.77,0.00402,98013.94,2
2020-05-06 12:00:00,1,273.7,249,1,0,92.6,-1.01,0.01,0.00373,98148.49,2
2020-05-06 18:00:00,1,282,250,168,0,62.7,0.29999998,1.4499999,0.00452,98282.266,5
2020-05-07 00:00:00,1,285.80002,269,619,5e-6,41.600002,-0.59,2.08,0.00384,98324.29,22
2020-05-07 06:00:00,1,279.80002,270,307,1e-5,70.5,-1.92,-0.28,0.00435,98529.52,15
2020-05-07 12:00:00,1,275.30002,251,1,0,91,-1.18,-1.11,0.0041,98785.06,3
2020-05-07 18:00:00,1,284.1,254,172,0,51.9,-0.32,0.66999996,0.00427,98977.5,1
2020-05-08 00:00:00,1,288.30002,278,621,0,34,-0.29,1.41,0.0036799998,99014.99,9
2020-05-08 06:00:00,1,282.5,280,302,0,63.8,-2.71,-0.83,0.00471,99107.66,15
2020-05-08 12:00:00,1,277.1,256,1,0,86.6,-1.93,-1.37,0.00438,99267.305,0
2020-05-08 18:00:00,1,284.1,253,179,0,52.7,-1.36,-1.55,0.00433,99266.02,0
2020-05-09 00:00:00,1,290.1,270,652,0,27.800001,-1.43,-3.1299999,0.00335,99134.93,1
2020-05-09 06:00:00,1,285.30002,275,333,0,58,-3.01,-2.6699998,0.00515,99082.84,1
2020-05-09 12:00:00,1,279.5,259,1,0,80.3,-2.1399999,-2.4299998,0.0048499997,99138.85,0
2020-05-09 18:00:00,1,285.9,255,185,0,53.100002,-1.78,-2.76,0.0049199997,99168.35,7
2020-05-10 00:00:00,1,292.7,281,655,0,28.4,-0.72999996,-4.0299997,0.0040599997,99040.52,2
2020-05-10 06:00:00,1,287.9,293,333,0,51.2,-1.39,-3.55,0.00538,99105.35,12
2020-05-10 12:00:00,1,280.7,269,2,0,69.3,-1.73,-2.27,0.00453,99167.66,14
2020-05-10 18:00:00,1,287.5,259,184,0,43.2,-1.14,-1.6899999,0.00444,99141.914,35
2020-05-11 00:00:00,1,293.9,285,645,0,20.800001,-1.63,-1.24,0.0032199998,98890.7,52
2020-05-11 06:00:00,1,287.4,290,337,0,44.9,-2.18,-0.31,0.0046,98711.805,20
2020-05-11 12:00:00,1,280.9,276,2,0,66.3,-2.1499999,-1.12,0.0044199997,98560.555,57
2020-05-11 18:00:00,1,288.2,270,183,0,37.4,-1.4399999,-0.07,0.00407,98355.1,43
2020-05-12 00:00:00,1,292.9,290,644,0,24.6,-2.6299999,0.01,0.00363,97945.664,27
2020-05-12 06:00:00,1,287,295,335,0,45.9,-1.76,0.37,0.0046099997,98021.27,13
2020-05-12 12:00:00,1,281.1,280,2,1e-6,71.9,-2.51,-0.16,0.0049,97846.51,32
2020-05-12 18:00:00,1,282.9,297,145,3e-6,52.100002,-4.29,-1.2099999,0.00401,97868.96,51
2020-05-13 00:00:00,1,284.9,281,590,3e-6,37,-4.99,-4.5299997,0.0032499998000000002,97866.555,38
2020-05-13 06:00:00,1,281.1,262,330,0,44.4,-3.34,-4,0.0030099999,97937.8,17
2020-05-13 12:00:00,1,275.2,239,2,0,59.2,-3.58,-2.81,0.00266,97929.81,4
2020-05-13 18:00:00,1,277.1,229,195,0,44.7,-3.9299998,-4.1,0.0023,97816.14,4
2020-05-14 00:00:00,1,281.9,237,669,0,32.9,-3.07,-5.6299996,0.00237,97560.43,4
2020-05-14 06:00:00,1,279.9,249,346,0,44.3,-2.9099998,-5.12,0.00277,97458.44,20
2020-05-14 12:00:00,1,274.5,244,2,0,63.2,-3.78,-3.37,0.0026999998,97626.83,40
2020-05-14 18:00:00,1,277.80002,239,191,0,45.8,-3.47,-2.84,0.0024899999,97856.67,33
2020-05-15 00:00:00,1,286,257,660,0,31.800001,-2.74,-2.12,0.003,97937.266,14
2020-05-15 06:00:00,1,282.6,267,348,0,38.9,-2.77,-1.51,0.00294,98101.36,10
2020-05-15 12:00:00,1,275.6,251,3,0,54.4,-2.6799998,-1.49,0.00251,98420.555,3
2020-05-15 18:00:00,1,279.6,246,195,0,41,-2.58,-1.39,0.0025199999,98548.586,9
2020-05-16 00:00:00,1,286.2,258,666,0,27.800001,-2.32,-1.89,0.0026699998,98388.68,4
2020-05-16 06:00:00,1,282.9,260,357,0,32.600002,-2.21,-2.6799998,0.00253,98207.33,1
2020-05-16 12:00:00,1,275.5,241,3,0,40.8,-2.7,-2.1,0.00189,98064.086,0
2020-05-16 18:00:00,1,280.4,233,207,0,30.300001,-2.78,-2.1599998,0.0019699999,97754.44,0
2020-05-17 00:00:00,1,287.6,253,683,0,22.2,-2.06,-1.86,0.00236,97225.16,1
2020-05-17 06:00:00,1,283.9,264,365,0,31.7,-1.79,-0.45,0.00265,96805.33,1
2020-05-17 12:00:00,1,276.30002,250,4,0,45.5,-1.68,-1.04,0.00226,96645.64,2
2020-05-17 18:00:00,1,286.1,250,207,0,27.800001,0.01,0.87,0.00268,96579.35,2
2020-05-18 00:00:00,1,289.9,270,675,0,22.800001,1.9599999,2.47,0.00283,96534.46,3
2020-05-18 06:00:00,1,286.6,278,359,0,38.5,2.78,1.27,0.0038599998,96635.89,14
2020-05-18 12:00:00,1,277.7,269,4,0,84.8,1.29,-0.93,0.0046099997,96939.73,40
2020-05-18 18:00:00,1,284.2,266,192,0,44.100002,2.54,-0.34,0.0037200000000000002,97091.44,50
2020-05-19 00:00:00,1,288.4,277,654,0,28.1,3.11,1.02,0.0031299999,97157.414,36
2020-05-19 06:00:00,1,284.9,292,315,0,37.3,2.1699998,0.24,0.0033099998,97368.75,48
2020-05-19 12:00:00,1,275.9,257,4,0,74.6,1.0699999,-1.14,0.0035599999,97730.13,26
2020-05-19 18:00:00,1,283.9,253,207,0,41,2.12,-0.78999996,0.00336,97923.25,37
2020-05-20 00:00:00,1,289.2,270,673,0,23.300001,3.6799998,0.64,0.00271,97929.18,36
2020-05-04 00:00:00,2,281.08,9999e17,9999e17,9999e17,42.4,-3.8,-3.76,0.00287,97533.63,9999e17
