forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-14 06:00:00,1,279.7,9999e17,9999e17,9999e17,31.7,-3.37,-3.02,0.0019699999,97430.766,9999e17
2020-05-14 12:00:00,1,273.80002,233,3,0,46.600002,-3.53,-3.03,0.0018999999,97523.01,3
2020-05-14 18:00:00,1,277.66998,219,206,0,28.2,-3.12,-3.5,0.0015199999,97582.27,2
2020-05-15 00:00:00,1,284.71,230,691,0,17.2,-2.55,-4.36,0.0015,97606.74,1
2020-05-15 06:00:00,1,280.9,245,356,0,28.5,-2.98,-3.35,0.00191,97680.086,31
2020-05-15 12:00:00,1,274.9,244,3,0,50.8,-2.96,-2.4199998,0.00223,97877.96,54
2020-05-15 18:00:00,1,280.2,240,199,0,38.100002,-2.23,-1.16,0.00245,97950.48,17
2020-05-16 00:00:00,1,288,261,670,0,24.7,-1.8399999,1.5699999,0.0026699998,97768.56,2
2020-05-16 06:00:00,1,282.5,262,359,0,33.4,-1.75,0.87,0.0025,97702.555,2
2020-05-16 12:00:00,1,276.30002,241,3,0,57,-2.86,-1.4699999,0.0027899998,97869.695,3
2020-05-16 18:00:00,1,280.2,247,187,0,45.3,-2.71,-2.59,0.00289,98020.086,43
2020-05-17 00:00:00,1,284.2,253,669,0,26.2,-2.77,-2.04,0.0022,97921.76,14
2020-05-17 06:00:00,1,279.9,245,363,0,30.6,-2.26,-3.08,0.00192,97937.86,5
2020-05-17 12:00:00,1,273.2,225,4,0,51.5,-2.83,-2.44,0.00201,97975.586,5
2020-05-17 18:00:00,1,278.6,224,206,0,35.9,-2.3899999,-3.6599998,0.0020599999,97895.87,27
2020-05-18 00:00:00,1,284.30002,240,682,0,22,-1.65,-4.1,0.00185,97703.68,32
2020-05-18 06:00:00,1,281.4,247,365,0,27.9,-2.71,-3.56,0.00194,97544.055,28
2020-05-18 12:00:00,1,275.2,234,4,0,45.3,-2.8999999,-3.12,0.00205,97443,12
2020-05-18 18:00:00,1,281.1,235,211,0,33.5,-2.2,-3.33,0.0023,97206.14,2
2020-05-19 00:00:00,1,289.5,261,682,0,22.4,-0.95,-3.72,0.00271,96757.12,1
2020-05-19 06:00:00,1,286.9,277,367,0,29.7,-2.86,-3.31,0.00302,96444.75,2
2020-05-19 12:00:00,1,279.30002,264,5,0,43.600002,-2.24,-2.3,0.0026699998,96487.32,5
