forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-02 18:00:00,1,302.4,9999e17,9999e17,9999e17,55.9,8.78,-0.64,0.01464,97598.12,9999e17
2020-05-03 00:00:00,1,304.24,401,712,0,52,10.16,-1.11,0.01521,97233.29,0
2020-05-03 06:00:00,1,298.68,386,16,0,61.4,9.03,2.27,0.01294,97385.836,0
2020-05-03 12:00:00,1,293.9,361,1,0,85.6,5.42,1.06,0.01344,97536.99,1
2020-05-03 18:00:00,1,305.7,377,569,0,42.5,3.6299999,4.64,0.01349,97553.555,1
2020-05-04 00:00:00,1,305.72998,419,707,0,47.100002,5.16,-2.84,0.015009999,97206.805,1
2020-05-04 06:00:00,1,298,393,16,2e-6,55.4,8.24,0.08,0.011159999,97338.27,12
2020-05-04 12:00:00,1,293.9,368,1,7e-6,78.4,5.3399997,0.58,0.012379999,97283.875,25
2020-05-04 18:00:00,1,305.6,367,578,0,41,7.5499997,2.19,0.01296,97317.79,1
2020-05-05 00:00:00,1,304.6,397,721,0,40.7,8.72,-2.37,0.01224,96938.46,0
2020-05-05 06:00:00,1,298,370,17,0,60.600002,10.929999,0.96999997,0.01231,97066.07,14
2020-05-05 12:00:00,1,293.4,360,1,1e-6,89.700005,3.9499998,0.68,0.01375,97253.375,4
2020-05-05 18:00:00,1,301.7,386,534,1e-6,55.2,-4.8199997,0.87,0.0138799995,97523.58,11
2020-05-06 00:00:00,1,294.80002,385,586,1e-6,61.9,-7.35,-5.35,0.01024,97761.69,27
2020-05-06 06:00:00,1,289.80002,340,15,3e-6,79.6,-4.69,-0.96,0.009579999,98184.46,4
2020-05-06 12:00:00,1,285.6,306,1,0,79.4,-3.97,-2.3899999,0.0072999997,98397.664,1
2020-05-06 18:00:00,1,297.6,310,598,0,30.9,-0.96999997,-4.43,0.00605,98622.15,0
2020-05-07 00:00:00,1,297.30002,336,738,0,40.2,-0.98999995,-4.77,0.0077,98406.94,0
2020-05-07 06:00:00,1,289.5,322,18,0,59.600002,0.16,-3.37,0.00701,98635.44,0
2020-05-07 12:00:00,1,285.80002,305,1,0,73,0.63,-3.85,0.00677,98713.67,0
2020-05-07 18:00:00,1,297.2,315,591,0,43,5.5099998,-4.12,0.00818,98592.586,3
2020-05-08 00:00:00,1,297.80002,358,698,0,46.4,7.43,-2.6499999,0.009219999,97935.21,47
2020-05-08 06:00:00,1,291.30002,348,18,7e-5,72,9.54,-1.2099999,0.00962,97749.195,31
2020-05-08 12:00:00,1,290,360,0,2.2e-4,90,6.67,-1.3399999,0.01109,97631.77,94
2020-05-08 18:00:00,1,297.4,396,258,2.15e-4,73.700005,5.14,2.33,0.01428,97609.414,88
2020-05-09 00:00:00,1,296.6,398,489,2.19e-4,75.5,-7.5299997,-4.15,0.014029999,97674.555,33
2020-05-09 06:00:00,1,288.7,347,17,3.9e-5,82.700005,-4.79,-3.56,0.00933,98258.06,4
2020-05-09 12:00:00,1,284.2,323,0,0,79.9,-5.37,-3.31,0.0066799996,98415.586,32
2020-05-09 18:00:00,1,290.5,362,226,2e-5,67.8,-2.75,-3.78,0.00853,98502.5,88
2020-05-10 00:00:00,1,291,378,304,1.19e-4,79.9,0.76,-2.97,0.01043,98170.414,88
2020-05-10 06:00:00,1,288.9,376,3,2.77e-4,93.1,1.65,-4.5,0.010559999,98203.52,90
2020-05-10 12:00:00,1,287.7,362,0,1.84e-4,95.3,0.24,-5.08,0.010059999,98195.02,72
2020-05-10 18:00:00,1,287,380,39,2.51e-4,93.4,-1.2099999,-6.14,0.00936,98381.01,99
2020-05-11 00:00:00,1,288.1,380,182,6.9e-5,91.5,-2.07,-5.1099997,0.00992,98166.91,94
2020-05-11 06:00:00,1,286.4,379,1,2.59e-4,95.8,-2.08,-3.82,0.00925,98392.555,99
2020-05-11 12:00:00,1,286.1,377,0,9e-5,95.700005,-0.83,-3.98,0.00911,98279.266,99
2020-05-11 18:00:00,1,291.2,379,221,1.03e-4,82.9,-0.32999998,-4.97,0.0109,98233.52,94
2020-05-12 00:00:00,1,293.2,398,407,1.6e-5,81,1.06,-4.38,0.01213,97922.55,87
2020-05-12 06:00:00,1,289.6,378,8,5e-6,96.6,1.75,-4.2999997,0.01157,97924.68,81
2020-05-12 12:00:00,1,290.4,390,0,1.5e-5,93.9,3.11,-2.28,0.0117999995,97816.81,93
2020-05-12 18:00:00,1,297.5,390,348,1.1e-5,65.4,6.8599997,-0.57,0.012809999,97667.45,81
2020-05-13 00:00:00,1,299.80002,375,706,0,55.4,5.75,-1.92,0.01249,97266.38,45
2020-05-13 06:00:00,1,293.4,354,19,0,71.9,5.85,-1.43,0.0109399995,97378.94,5
2020-05-13 12:00:00,1,290.4,346,1,0,90,2.46,-0.42,0.01132,97579.7,55
2020-05-13 18:00:00,1,300.30002,366,488,0,54.5,6.58,-0.65,0.01265,97683.24,94
2020-05-14 00:00:00,1,301.1,388,680,0,53.600002,3.1799998,-3.8899999,0.013049999,97460.375,66
2020-05-14 06:00:00,1,293.91998,366,19,0,79.3,2.6399999,-3.01,0.01249,97619.836,9
2020-05-14 12:00:00,1,291.4,352,1,0,87.4,2.71,-0.22,0.011709999,97685.35,2
2020-05-14 18:00:00,1,302,370,585,0,53.7,5.3599997,-3.6299999,0.01382,97602.46,1
2020-05-15 00:00:00,1,301.2,401,682,1e-6,58.5,5.1099997,-3.84,0.014389999,97326.83,14
2020-05-15 06:00:00,1,295.22,378,19,0,81.5,4.39,-2.1499999,0.01392,97462.18,15
2020-05-15 12:00:00,1,293.77,371,1,0,93.1,5.41,-0.26,0.0145499995,97352.99,21
2020-05-15 18:00:00,1,302.1,396,426,3.84e-4,62.600002,0.44,4.75,0.01616,97550.95,35
2020-05-16 00:00:00,1,296.61,404,464,4.06e-4,76.3,-7.8399997,-2.29,0.014149999,97745.1,90
2020-05-16 06:00:00,1,290.4,360,17,0,80.6,-4.5099998,-1.89,0.0101499995,98136.71,12
2020-05-16 12:00:00,1,286.30002,313,2,0,88.200005,-3.6699998,-0.62,0.00847,98300.02,21
2020-05-16 18:00:00,1,296.7,306,623,0,43.7,-4.0899997,-3.37,0.00809,98271.65,15
2020-05-17 00:00:00,1,298.2,332,766,0,43.4,0.65999997,-2.6399999,0.00885,97929.37,6
2020-05-17 06:00:00,1,289.80002,316,22,0,64.1,2.76,-1.73,0.00776,97907.14,19
2020-05-17 12:00:00,1,289.7,324,2,0,77.5,4.0499997,-0.47,0.00933,97708.14,2
2020-05-17 18:00:00,1,302.7,374,585,0,59.4,6.5499997,3.4399998,0.01594,97438.79,2
2020-05-18 00:00:00,1,305.1,429,639,0,52.8,5.75,0.099999994,0.01625,96973.125,18
2020-05-18 06:00:00,1,299.7,401,20,0,56.600002,9.2699995,1.16,0.012709999,96928.12,1
2020-05-18 12:00:00,1,296.1,376,2,2e-6,70.200005,5.81,1.8299999,0.012709999,96887.65,1
2020-05-18 18:00:00,1,306.30002,394,547,0,47.2,6.2,3.07,0.015689999,96840.93,16
2020-05-02 18:00:00,2,302.1,9999e17,9999e17,9999e17,58.5,9.09,-0.07,0.015059999,97614.055,9999e17
2020-05-03 00:00:00,2,304.61,403,712,0,51.2,9.66,-0.87,0.01531,97230.336,0
2020-05-03 06:00:00,2,298.65,386,16,0,61.4,8.82,1.9399999,0.0128999995,97396.016,0
2020-05-03 12:00:00,2,293.80002,362,1,0,86.5,5.41,0.89,0.013499999,97562.95,1
2020-05-03 18:00:00,2,305.5,379,567,0,42.600002,2.73,4.39,0.0134,97570.33,0
2020-05-04 00:00:00,2,305.9,420,706,0,46.7,4.97,-2.6399999,0.01502,97231.58,1
2020-05-04 06:00:00,2,297,394,16,5.3e-5,61.4,8.78,0.29,0.01165,97337.65,19
2020-05-04 12:00:00,2,294.5,372,1,0,73,5.02,0.91999996,0.0119199995,97255.77,51
2020-05-04 18:00:00,2,305.7,368,577,0,39.3,7.77,2.31,0.012499999,97289.336,1
2020-05-05 00:00:00,2,304.6,395,721,0,40.4,9.309999,-2.23,0.01208,96911.33,0
2020-05-05 06:00:00,2,298.2,373,16,7e-6,58.7,10.7699995,1.37,0.0120399995,97052.516,6
2020-05-05 12:00:00,2,293.7,364,1,8e-6,89,3.86,-0.57,0.013859999,97366,4
2020-05-05 18:00:00,2,294.4,393,305,1.5e-5,77.3,-9.17,-3.59,0.012499999,97835.86,43
2020-05-06 00:00:00,2,295.4,386,442,2e-6,56.9,-5.47,-5.38,0.00983,97834.62,51
2020-05-06 06:00:00,2,289.1,341,14,0,68.3,-4.3199997,-1.02,0.0078799995,98209.11,9
2020-05-06 12:00:00,2,286,309,1,0,78.5,-2.1499999,-3.31,0.0074,98266.03,1
2020-05-06 18:00:00,2,298,331,585,0,48.600002,-0.21,-4.24,0.00975,98436.71,1
2020-05-07 00:00:00,2,298,351,731,0,41.9,-1.18,-4.68,0.00838,98208.99,0
2020-05-07 06:00:00,2,289.7,320,18,0,57.100002,0.35,-3.6799998,0.00682,98477.81,0
2020-05-07 12:00:00,2,286.80002,305,1,0,69,0.14999999,-3.61,0.00685,98558.94,0
2020-05-07 18:00:00,2,298.30002,325,583,0,41.9,5.21,-4.31,0.00851,98502.016,20
2020-05-08 00:00:00,2,299,370,698,1e-6,50.5,6.23,-2.4199998,0.01081,97908.86,52
