forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-04-26 12:00:00,1,270.5,9999e17,9999e17,9999e17,84.8,0.81,2.29,0.0037099998,71326.64,9999e17
2020-04-26 18:00:00,1,281,229,492,2e-6,61.5,0.32999998,4.7799997,0.00567,71394.33,69
2020-04-27 00:00:00,1,278.7,279,630,7e-5,74.6,-0.04,3.77,0.0058899997,71383.19,83
2020-04-27 06:00:00,1,271.9,233,37,0,90.8,0.96,1.86,0.00441,71426.266,26
2020-04-27 12:00:00,1,271.5,218,0,0,86.4,1.14,1.8,0.00409,71357.805,0
2020-04-27 18:00:00,1,283,224,521,0,39.100002,-0.07,4.9,0.00416,71406.74,0
2020-04-28 00:00:00,1,282.66998,246,801,4e-6,49.9,0.62,4.99,0.00517,71281.46,25
2020-04-28 06:00:00,1,274.4,258,44,3e-6,88.9,-0.41,3.1399999,0.0052,71378.18,76
2020-04-28 12:00:00,1,271.6,234,0,1e-6,95,-0.11,3.26,0.00451,71406.22,22
2020-04-28 18:00:00,1,281.1,219,521,0,38.2,-1.15,5.62,0.00355,71564.266,35
2020-04-29 00:00:00,1,280.9,232,815,0,43.8,-1.48,5.04,0.0039999997,71639.8,35
2020-04-29 06:00:00,1,272.2,224,48,0,72.9,1.5799999,1.64,0.00358,71861.93,16
2020-04-29 12:00:00,1,271.30002,220,0,0,66.3,0.29,1.92,0.0030699999,71806.31,10
2020-04-29 18:00:00,1,286.54,233,523,0,28.9,-0.5,2.44,0.00385,71799.914,14
2020-04-30 00:00:00,1,286.27,256,807,2e-6,37.9,-0.59999996,3.4399998,0.00496,71654.12,38
2020-04-30 06:00:00,1,275.57,246,47,0,73.700005,0.89,2.12,0.00465,71669.04,37
2020-04-30 12:00:00,1,275,239,0,0,67.4,1.87,1.78,0.00411,71517.2,39
2020-04-30 18:00:00,1,288.88,255,507,0,28.7,0.95,5.83,0.0044799997,71485.5,61
2020-05-01 00:00:00,1,287.79,271,774,0,29.800001,0.53999996,6.02,0.00434,71368.15,64
2020-05-01 06:00:00,1,277.6,255,38,0,55.9,1.76,2.2,0.00409,71374.02,55
2020-05-01 12:00:00,1,274.9,234,0,0,54.5,1.5899999,1.55,0.0033,71324.54,10
2020-05-01 18:00:00,1,288.7,244,521,0,21.2,1.26,3.86,0.00329,71375.336,26
2020-05-02 00:00:00,1,287.78,282,717,0,23.2,1.26,4.58,0.00338,71277.016,77
2020-05-02 06:00:00,1,277.9,265,38,0,55.7,1.9499999,-2.21,0.00415,71365.59,79
2020-05-02 12:00:00,1,275.2,247,0,0,79.4,2.51,-0.98999995,0.0049099997,71255.24,63
2020-05-02 18:00:00,1,288.80002,242,529,0,20.800001,2.79,2.54,0.00324,71221.22,20
2020-05-03 00:00:00,1,286,278,751,5.8999998e-5,31.9,0.83,3.4499998,0.00411,71076.47,58
2020-05-03 06:00:00,1,275.80002,247,43,1.6e-5,58.3,0.56,2.51,0.00376,71077.1,57
2020-05-03 12:00:00,1,272.80002,232,0,3e-6,84.1,0.78999996,2.61,0.0043699997,71098.52,18
2020-05-03 18:00:00,1,281.2,224,538,5e-6,32.600002,-1.26,6.35,0.0030999999,71262.52,5
2020-05-04 00:00:00,1,281.6,224,837,0,27.6,-1.81,4.8399997,0.00266,71358.89,2
2020-05-04 06:00:00,1,270.6,211,54,0,55.9,1.62,-0.63,0.00245,71481.414,7
2020-05-04 12:00:00,1,270.2,207,0,0,55.7,1.5,1.23,0.0023999999,71323.055,29
2020-05-04 18:00:00,1,286.6,256,418,2e-6,22,1.55,1.3399999,0.00299,71028.76,81
