forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-06 00:00:00,1,288.30002,9999e17,9999e17,9999e17,24.7,-5.83,3.27,0.00326,81190.086,9999e17
2020-05-06 06:00:00,1,277.80002,246,51,0,59.4,-2.34,-0.82,0.0038299998,81671.64,2
2020-05-06 12:00:00,1,275.6,235,0,0,66.200005,2.54,0.13,0.0036799998,81526.26,1
2020-05-06 18:00:00,1,287.6,248,542,0,34.3,5.64,-2,0.00433,81238.62,14
2020-05-07 00:00:00,1,287.9,316,563,4.4e-5,43.100002,4.66,-3.84,0.0056,80834.44,78
2020-05-07 06:00:00,1,280.9,298,20,1.23e-4,69.4,2.23,1,0.0056499997,80762.336,60
2020-05-07 12:00:00,1,279.1,247,0,0,56.100002,-1.99,6.7,0.0040599997,80598.086,1
2020-05-07 18:00:00,1,289,227,571,0,13.5,-3.25,9.82,0.00188,80504.37,0
2020-05-08 00:00:00,1,286.4,236,839,0,17.6,-7.5,7.47,0.00207,80630.68,2
2020-05-08 06:00:00,1,276.4,234,54,0,58.8,-6.3399997,0.44,0.0034599998,81312.69,6
2020-05-08 12:00:00,1,273.2,223,0,0,80.200005,-3.4099998,0.26999998,0.00376,81482.49,2
2020-05-08 18:00:00,1,281.4,234,546,0,46.2,4.21,-3.83,0.00387,81416.35,28
2020-05-09 00:00:00,1,282.9,265,770,3e-6,43.8,6.7999997,-5.21,0.00407,81049.12,36
2020-05-09 06:00:00,1,277.4,256,35,1e-6,59.5,3.6799998,0.12,0.00379,81008.49,21
2020-05-09 12:00:00,1,278.4,235,0,0,48.100002,-5.24,6.2799997,0.00326,80955.23,1
2020-05-09 18:00:00,1,285.30002,247,549,0,39.4,-6.37,1.42,0.00426,81232.09,5
2020-05-10 00:00:00,1,285.4,274,783,1e-6,40.4,-4.43,-4.29,0.0044199997,81134,18
2020-05-10 06:00:00,1,277,266,40,3e-6,68,1.22,-1.63,0.00421,81398.53,39
2020-05-10 12:00:00,1,273,235,0,0,73,0.32999998,-3.6899998,0.00339,81337.36,17
