forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-04-27 06:00:00,1,275.5,9999e17,9999e17,9999e17,77,2.8,-1.27,0.00361,95909.555,9999e17
2020-04-27 12:00:00,1,276.7,261,7,9e-6,74.200005,4.49,-0.96,0.00381,95564.305,56
2020-04-27 18:00:00,1,278.9,316,132,4.23e-4,94.700005,4.42,0.21,0.0057099997,95116.86,98
2020-04-28 00:00:00,1,283.30002,319,238,2.7e-5,87,-1.5799999,1.2099999,0.00708,94963.4,60
2020-04-28 06:00:00,1,275.5,262,7,0,96.4,-0.81,1.1,0.00459,95055.07,9
2020-04-28 12:00:00,1,277,260,10,0,94.9,-0.82,-1.3299999,0.00501,95034.664,50
2020-04-28 18:00:00,1,286.2,290,422,0,63.9,1.5899999,-2.34,0.0063099996,94934.875,83
2020-04-29 00:00:00,1,281.9,331,183,1.03e-4,93.4,0.35999998,-4.69,0.0069399998,94699.61,97
2020-04-29 06:00:00,1,278.80002,326,3,1.01e-4,94.4,-2.51,-5.08,0.00567,94550.02,95
2020-04-29 12:00:00,1,278.4,325,2,6.2e-5,95.4,-4.77,-2.9299998,0.00557,94631.22,95
2020-04-29 18:00:00,1,280.5,334,120,3.9e-5,86.1,-6.6499996,-2.32,0.00579,94764.43,100
2020-04-30 00:00:00,1,279.74,332,109,3.1e-5,86,-8.41,-0.51,0.00551,94750.305,100
2020-04-30 06:00:00,1,278.19998,326,1,2.2e-5,85.200005,-8.09,0.22999999,0.0049,94738.84,98
2020-04-30 12:00:00,1,277.37436,320,2,1.6e-5,84,-7.69,0.72999996,0.0045499997,94885.96,98
2020-04-30 18:00:00,1,278.91998,316,179,1.4e-5,73.200005,-7.29,0.7,0.0044199997,95085.35,91
2020-05-01 00:00:00,1,281.08,290,410,2e-6,61.8,-5.5899997,0.04,0.00432,95182.56,45
2020-05-01 06:00:00,1,274.6,244,8,0,93.1,-2.53,1.06,0.00413,95294.49,0
2020-05-01 12:00:00,1,274.4,236,14,0,87.4,-2.11,0.97999996,0.00382,95409.37,0
2020-05-01 18:00:00,1,288.9,252,646,0,30.800001,-1.6899999,0.68,0.0036199999,95267.305,8
2020-05-02 00:00:00,1,286.6,296,534,0,49.600002,0.17999999,1.5699999,0.00501,95047.375,76
2020-05-02 06:00:00,1,280.9,328,6,5.3e-5,91.3,1.7199999,1.39,0.00635,94982.43,87
2020-05-02 12:00:00,1,281,322,10,3.4e-5,96.4,0.39999998,3.4099998,0.00673,94735.35,61
2020-05-02 18:00:00,1,289,276,639,0,37.8,-3.02,7.08,0.0044799997,94674.055,1
2020-05-03 00:00:00,1,283.7,307,428,1e-6,52.2,-4.64,5.67,0.00438,94827.96,50
2020-05-03 06:00:00,1,278.7,254,8,0,64.3,-3.57,4.04,0.00381,95001.734,1
2020-05-03 12:00:00,1,276.30002,240,20,0,74.4,-3.8899999,3.12,0.00375,95151.21,0
2020-05-03 18:00:00,1,283.1,270,560,1e-6,45.8,-5.2999997,3.05,0.00366,95243.086,40
2020-05-04 00:00:00,1,281.4,272,564,0,51.7,-3.6999998,1.66,0.00369,95396.83,50
2020-05-04 06:00:00,1,274.7,251,9,0,77.700005,-2.09,0.45999998,0.0034699999,95492.586,71
2020-05-04 12:00:00,1,274.1,240,15,0,87.1,-2.53,0.39999998,0.0037099998,95631.4,68
2020-05-04 18:00:00,1,284.4,248,637,0,40.3,-3.54,0.78999996,0.0034999999,95669.33,53
2020-05-05 00:00:00,1,282.5,258,618,0,44,-3.1399999,-0.98999995,0.0033699998,95696.2,23
2020-05-05 06:00:00,1,274.5,250,10,0,64,1.0799999,-1.4399999,0.00281,95901.75,70
2020-05-05 12:00:00,1,274.80002,226,16,0,59.100002,2.09,-0.97999996,0.00262,96211.65,37
2020-05-05 18:00:00,1,285.80002,263,550,0,39.4,4.2599998,-0.55,0.00375,95974.05,55
2020-05-06 00:00:00,1,281.30002,317,281,5.8999998e-5,79.9,4.19,-1.24,0.0056499997,95785.38,91
2020-05-06 06:00:00,1,277,313,3,7.4e-5,90.6,4.17,-0.56,0.00475,95603.61,92
2020-05-06 12:00:00,1,276.5,305,7,4.7e-5,95.700005,2.53,-0.24,0.0048599998,95511.77,94
2020-05-06 18:00:00,1,283.80002,326,268,2.8e-5,76.6,-1.92,1.1,0.00642,95578.375,93
2020-05-07 00:00:00,1,282.1,328,267,2.7e-5,78.700005,-4.6,0.32999998,0.00587,95861.305,74
2020-05-07 06:00:00,1,274.80002,260,6,0,96.1,-2.1299999,-0.12,0.00428,96197.4,16
2020-05-07 12:00:00,1,273.4,228,17,0,79.700005,-1.8199999,-0.64,0.0032,96489.83,6
