forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-14 12:00:00,1,299.7,9999e17,9999e17,9999e17,72.4,0.55,-4.94,0.01563,101130.92,9999e17
2020-05-14 18:00:00,1,301.6,398,850,1e-6,68.200005,4.35,-3.24,0.01646,101005.4,10
2020-05-15 00:00:00,1,300.44,397,391,2e-6,70.1,2.26,-5.18,0.01581,101020.625,2
2020-05-15 06:00:00,1,299.4,387,0,1e-6,75.3,1.03,-6.5699997,0.01592,101026.25,4
2020-05-15 12:00:00,1,299.7,390,61,1e-6,72.5,1.4699999,-6.85,0.015689999,101109.805,11
2020-05-15 18:00:00,1,301.30002,396,846,9e-6,67.1,4.22,-4.65,0.01594,100999.31,6
2020-05-16 00:00:00,1,300.4,397,384,9e-6,70.9,3.33,-5.81,0.01596,100998.62,4
2020-05-16 06:00:00,1,299.5,390,0,2e-6,74.9,2.3899999,-5.7799997,0.01598,101041.8,4
2020-05-16 12:00:00,1,299.7,388,61,1e-6,74.200005,3.49,-6.2999997,0.01604,101094.516,11
2020-05-16 18:00:00,1,301.7,389,868,0,69.8,5.41,-3.4099998,0.016929999,101012.21,2
2020-05-17 00:00:00,1,300.5,396,397,4e-6,76,2.79,-4.69,0.01714,101056.79,1
2020-05-17 06:00:00,1,299.9,402,0,4e-6,79.6,3.01,-5.7599998,0.01746,100995.69,30
2020-05-17 12:00:00,1,300.30002,405,60,5e-6,78.1,2.87,-6,0.01752,101086.18,22
2020-05-17 18:00:00,1,301.6,404,850,7e-6,74.700005,5.04,-3.08,0.018059999,101011.85,3
2020-05-18 00:00:00,1,300.7,404,390,1.4e-5,75.9,2.44,-4.33,0.01743,100995.99,3
2020-05-18 06:00:00,1,299.9,400,0,2e-6,79.4,1.9499999,-5.5299997,0.01731,100989.41,3
2020-05-18 12:00:00,1,300.1,403,52,1e-6,77.5,2.77,-6.2999997,0.017199999,101054.8,20
2020-05-18 18:00:00,1,301.30002,414,771,5e-6,71.5,4.44,-3.4499998,0.016999999,100993.766,56
2020-05-19 00:00:00,1,300.5,405,379,1.4e-5,73.1,1.06,-3.51,0.0166,101030.586,36
2020-05-19 06:00:00,1,299.5,400,0,5e-6,79.9,1.54,-5.8599997,0.017129999,100958.766,4
2020-05-19 12:00:00,1,299.9,398,58,0,74.8,1.64,-5.79,0.01632,101050.69,14
2020-05-19 18:00:00,1,301.7,397,850,3e-6,69.3,4.48,-2.22,0.01684,100920.12,16
2020-05-20 00:00:00,1,300.1,402,387,2e-5,75.200005,1.9499999,-3.3,0.01659,100955.336,14
2020-05-20 06:00:00,1,299.5,398,0,5e-6,80.8,1.92,-4.91,0.01722,100899.61,15
2020-05-20 12:00:00,1,299.9,405,56,1e-6,78.1,2.7,-5.48,0.01709,101032.266,39
2020-05-20 18:00:00,1,301.6,410,812,5e-6,73.6,5.08,-2.83,0.01784,100941.71,49
2020-05-21 00:00:00,1,300.6,404,387,4e-6,77.6,2.76,-3.62,0.01767,101021.875,19
2020-05-21 06:00:00,1,299.80002,400,0,1e-6,82.200005,0.94,-5.31,0.01786,101011.5,25
2020-05-21 12:00:00,1,300.1,394,62,0,79.9,2.32,-5.85,0.017719999,101094.375,42
2020-05-21 18:00:00,1,301.9,404,843,2e-6,74.5,4.15,-2.8899999,0.01836,101020.15,39
2020-05-22 00:00:00,1,300.80002,412,367,7e-6,77.1,1.73,-3.81,0.01777,101105.875,45
2020-05-22 06:00:00,1,300,404,0,4e-6,80.700005,1.02,-5.48,0.0177,101056.02,24
2020-05-22 12:00:00,1,300.1,407,48,1e-6,76.4,1.91,-5.48,0.016959999,101182.18,48
2020-05-22 18:00:00,1,303.80002,417,738,2.1e-5,54.7,1.39,-2.09,0.015269999,99376.68,47
2020-05-23 00:00:00,1,297.7,406,374,5.3e-5,85,0.48,-1.8499999,0.016579999,99446.69,29
2020-05-23 06:00:00,1,296.80002,393,0,1.9e-5,90.6,0.26999998,-1.91,0.01671,99477.195,31
2020-05-23 12:00:00,1,298.80002,416,29,5e-6,79.1,0.74,-2.32,0.016379999,99538.414,65
2020-05-23 18:00:00,1,304.1,418,756,4.2e-5,53.8,1.26,-2.19,0.01523,99396.94,45
2020-05-24 00:00:00,1,297.1,403,386,1.55e-4,89.3,0.42999998,-1.86,0.01674,99434.25,24
2020-05-24 06:00:00,1,296.6,393,0,2e-6,92.3,0.81,-1.89,0.01676,99381.164,33
2020-05-24 12:00:00,1,298.4,405,49,3.1e-5,83.9,1.3299999,-2.3899999,0.01704,99448.555,64
2020-05-24 18:00:00,1,302.4,411,767,8.3e-5,62.100002,2.49,-1.64,0.01602,99272.67,38
2020-05-25 00:00:00,1,297.80002,411,309,2.4e-5,83.8,1.12,-1.26,0.01639,99287.35,40
2020-05-25 06:00:00,1,297.5,400,0,1e-6,85.5,1.73,-1.52,0.01647,99175.945,35
2020-05-25 12:00:00,1,299.4,415,47,8e-6,75.6,2.12,-1.87,0.016309999,99282.37,67
2020-05-25 18:00:00,1,303.6,404,805,3.4e-5,56.9,2.61,-0.88,0.01567,99184.83,32
2020-05-26 00:00:00,1,298.1,403,359,1.6e-5,82.6,1.2099999,-1.04,0.01643,99244.6,31
2020-05-26 06:00:00,1,296.80002,391,0,0,88.9,1.35,-1.22,0.01642,99196.64,28
2020-05-26 12:00:00,1,299.5,380,64,2e-6,76.9,1.66,-2.03,0.01673,99307.35,17
2020-05-26 18:00:00,1,304.4,405,822,2.9e-5,55.2,1.79,-1.5999999,0.01591,99179.99,38
2020-05-27 00:00:00,1,298.1,402,392,7e-5,83,0.45,-1.75,0.01661,99272.65,41
2020-05-27 06:00:00,1,297.2,390,0,1e-6,90.200005,1.03,-1.75,0.01704,99210.02,32
2020-05-27 12:00:00,1,299.7,395,55,4e-6,77.4,1.7099999,-2.61,0.01698,99334.336,34
2020-05-27 18:00:00,1,303.1,409,828,9.5e-5,61.100002,1.73,-2.01,0.01642,99262.06,27
2020-05-28 00:00:00,1,297.7,404,378,7.9e-5,86.700005,0.32,-1.8299999,0.01688,99383.914,18
2020-05-28 06:00:00,1,296.9,393,0,5e-6,90.8,0.58,-1.81,0.016859999,99308.734,11
2020-05-28 12:00:00,1,299.7,413,51,5e-6,75.5,1.5799999,-3.05,0.01651,99438.54,51
2020-05-28 18:00:00,1,302.80002,411,766,8.2e-5,62.600002,2.12,-2.3799999,0.01647,99345.99,42
2020-05-29 00:00:00,1,298.4,403,390,4.9e-5,81.9,0.59,-1.87,0.01661,99431.92,31
2020-05-29 06:00:00,1,297.4,394,0,0,86.4,1.04,-2.22,0.01659,99374.38,21
2020-05-29 12:00:00,1,299.6,392,58,3e-6,76,0.7,-3.01,0.016619999,99461.45,27
2020-05-29 18:00:00,1,302.80002,407,825,1.04e-4,62,1.3199999,-2.6299999,0.01633,99307.805,32
2020-05-30 00:00:00,1,298.30002,403,388,6.4e-5,81.9,0.34,-1.81,0.01657,99325.586,25
2020-05-30 06:00:00,1,297.30002,394,0,1e-6,87,0.26999998,-1.8,0.01656,99273.625,31
2020-05-30 12:00:00,1,299.4,410,51,4e-6,72.6,0.31,-2.74,0.01565,99358.46,62
2020-05-14 12:00:00,2,299.7,9999e17,9999e17,9999e17,73.4,0.57,-5.73,0.01582,101108.43,9999e17
2020-05-14 18:00:00,2,301.7,397,852,0,68.200005,4.74,-3.97,0.01654,100969.81,12
2020-05-15 00:00:00,2,300.41,395,387,0,70.200005,2.45,-5.02,0.01581,101015.89,6
2020-05-15 06:00:00,2,299.30002,386,0,1e-6,74.8,1.05,-6.46,0.01578,101049.81,7
2020-05-15 12:00:00,2,299.5,389,60,1e-6,74,1.3,-6.6299996,0.01577,101113.48,6
2020-05-15 18:00:00,2,301.2,398,838,8e-6,66.4,3.9299998,-4.3199997,0.0157,101019.125,10
2020-05-16 00:00:00,2,300.2,401,345,7e-6,71,2.85,-5.21,0.015789999,101016.52,15
2020-05-16 06:00:00,2,299.4,389,0,3e-6,74.4,2.1699998,-5.8399997,0.01581,101023.21,1
2020-05-16 12:00:00,2,299.7,386,60,0,74.1,3.1999998,-6.31,0.01599,101100.71,10
2020-05-16 18:00:00,2,301.5,397,851,2e-6,70.8,5.54,-3.47,0.01697,100977.96,15
2020-05-17 00:00:00,2,300.5,398,393,5e-6,75,2.01,-4.5,0.01705,101012.125,10
2020-05-17 06:00:00,2,299.9,400,0,7e-6,79.700005,2.47,-5.66,0.017409999,100972.75,19
2020-05-17 12:00:00,2,300.30002,404,61,3e-6,77.8,2.58,-5.95,0.0174,101050.805,25
2020-05-17 18:00:00,2,301.4,406,822,4e-6,74.700005,4.75,-2.61,0.01784,101019.625,17
2020-05-18 00:00:00,2,300.5,405,379,1e-5,76.9,2.47,-4.5099998,0.01749,101009.77,9
2020-05-18 06:00:00,2,299.9,401,0,6e-6,80.1,2.96,-5.22,0.0175,100997.42,5
2020-05-18 12:00:00,2,300.1,405,54,3e-6,76.9,3.1399999,-6.04,0.01704,101077.72,41
2020-05-18 18:00:00,2,301.4,410,782,0,70.700005,4.31,-2.8999999,0.016859999,100994.02,42
2020-05-19 00:00:00,2,300.4,400,389,1.2e-5,74,0.64,-4.94,0.01664,100998.6,19
2020-05-19 06:00:00,2,299.6,395,0,1e-6,78.6,2.24,-5.77,0.0169,100932.89,10
2020-05-19 12:00:00,2,299.9,398,56,1e-6,74.8,2.35,-5.75,0.01639,101041.945,13
