forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-01 18:00:00,1,292.4,9999e17,9999e17,9999e17,57.2,-3.6499999,5.1,0.00847,94429.555,9999e17
2020-05-02 00:00:00,1,290.88998,345,549,1e-6,50.5,-5.69,6.85,0.00678,94715.35,42
2020-05-02 06:00:00,1,284.9,290,28,0,53.8,-1.54,5.7599998,0.00487,95010.086,3
2020-05-02 12:00:00,1,282.1,267,3,0,61.7,-1.29,6.12,0.0046,95311.73,0
2020-05-02 18:00:00,1,289.68,271,567,0,35,-6.5299997,7.18,0.0043099998,95425.71,1
2020-05-03 00:00:00,1,290.61,285,706,0,31.5,-5.18,4.97,0.0041199997,95372.49,1
2020-05-03 06:00:00,1,281.91998,273,33,0,63.5,-3.3,-1.41,0.00468,95627.87,0
2020-05-03 12:00:00,1,277.06,255,3,0,77,-2.37,-2.8899999,0.00404,95869.18,0
2020-05-03 18:00:00,1,284.32,253,568,0,40.3,-0.55,-5.0099998,0.0034899998,95854.7,0
2020-05-04 00:00:00,1,286.59,275,705,0,37.9,2.99,-5.7599998,0.00382,95591.29,8
2020-05-04 06:00:00,1,281.7,300,33,2.8e-5,54,3.51,-7.12,0.00393,95501.96,69
2020-05-04 12:00:00,1,281.4,314,2,8e-5,71.6,7.3199997,-3.8799999,0.00512,95061.5,95
2020-05-04 18:00:00,1,287.30002,353,98,6.41e-4,80.3,-0.17,6.18,0.00856,94754.52,95
2020-05-05 00:00:00,1,287.5,313,593,1e-6,60.3,-5.08,2.8899999,0.00648,94992.445,44
2020-05-05 06:00:00,1,282.7,315,15,0,75.5,-1.1,1.6999999,0.0058899997,95191.46,98
2020-05-05 12:00:00,1,280.30002,298,3,0,66.1,-0.04,3.51,0.00438,95154.42,86
2020-05-05 18:00:00,1,288.7,265,572,0,40.2,-4.2599998,5.7,0.00469,95070.664,5
2020-05-06 00:00:00,1,283.9,309,547,2.71e-4,71.6,-6.6099997,-4.36,0.0060199997,95173.33,77
2020-05-06 06:00:00,1,279.4,305,19,4e-6,79.4,-6.2799997,1.5799999,0.00493,95859.125,82
2020-05-06 12:00:00,1,276,249,4,0,85.200005,-5.45,2.33,0.00413,96207.71,10
2020-05-06 18:00:00,1,281.9,256,529,2e-6,56.4,-4.7799997,1.4399999,0.0041199997,96399.5,16
2020-05-07 00:00:00,1,283,324,416,5e-6,58.600002,-3.24,-0.61,0.00463,96281.805,76
2020-05-07 06:00:00,1,277.2,284,19,0,68.8,-1.5799999,-2.6799998,0.0036199999,96437.76,49
2020-05-07 12:00:00,1,275.1,233,5,0,67.700005,2.1399999,-0.98999995,0.00308,96515.04,0
2020-05-07 18:00:00,1,283.80002,241,593,0,43.5,3.3899999,-2.52,0.0036199999,96292.89,1
2020-05-08 00:00:00,1,285.2,286,637,0,47.5,4.39,-3.7099998,0.00438,95789.336,66
2020-05-08 06:00:00,1,280.4,318,12,9.9e-5,70.9,4.06,-4.0099998,0.00472,95423.586,89
2020-05-08 12:00:00,1,278.5,282,4,4.2e-5,88.9,-1.31,2.98,0.00523,95006.24,28
2020-05-08 18:00:00,1,281,305,286,2e-5,69.3,-7.3799996,-6.17,0.00483,95570.086,59
2020-05-09 00:00:00,1,284.6,295,512,3e-6,43.9,-6.2999997,-0.7,0.0038599998,96021.234,49
2020-05-09 06:00:00,1,279.2,252,38,0,57.5,0.32,3.6499999,0.00351,96141.52,0
2020-05-09 12:00:00,1,278.30002,245,5,0,71,1.78,7.1,0.00409,95813.33,0
2020-05-09 18:00:00,1,289.30002,265,584,0,45.9,-2.12,9.46,0.0055199997,95318.1,0
2020-05-10 00:00:00,1,286.5,317,606,1.7e-5,56,-8.9,0.26999998,0.00562,95448.98,39
2020-05-10 06:00:00,1,277.7,263,35,0,75,-1.4599999,-0.049999997,0.00414,95704.02,6
2020-05-10 12:00:00,1,277.5,243,6,0,76.1,0.87,4.2999997,0.00414,95613.29,0
2020-05-10 18:00:00,1,286.5,270,539,1e-6,43,-4.42,3.31,0.00429,95513.89,14
2020-05-11 00:00:00,1,284.6,320,485,1e-6,48.7,-6.15,-3.1899998,0.00432,95481.49,65
2020-05-11 06:00:00,1,274.2,246,38,0,40.2,-4.69,-6.93,0.0017299999,96074.45,1
2020-05-11 12:00:00,1,270.30002,212,6,0,40.8,-1.8,-6.42,0.0013,96356.62,1
2020-05-11 18:00:00,1,277.80002,209,614,0,22.1,2.32,-5,0.00122,96407.93,0
2020-05-12 00:00:00,1,280.30002,230,750,0,28.2,3.9599998,-4.91,0.0018600000000000001,96079.25,1
2020-05-12 06:00:00,1,274.5,228,41,0,46,3.6399999,-3.47,0.00201,96142.25,3
2020-05-12 12:00:00,1,273.9,231,6,0,50.4,5.94,-3.3799999,0.0021199998,95963.02,16
2020-05-12 18:00:00,1,283.5,262,517,0,37.3,9.41,-4.7,0.0030699999,95700.695,50
2020-05-13 00:00:00,1,285.80002,294,599,1e-6,42.8,9.19,-4.2799997,0.0041199997,95307.56,74
2020-05-13 06:00:00,1,280.6,311,20,3.5e-5,59.4,7.94,-5.13,0.00401,95207.21,83
2020-05-13 12:00:00,1,278.5,273,5,1e-6,64.4,8.26,-3.49,0.00378,94986.89,65
2020-05-13 18:00:00,1,286.6,287,531,0,57.5,9,-2.47,0.0058299997,94872.65,43
2020-05-14 00:00:00,1,288.5,330,603,2e-6,61.600002,7.04,-3.24,0.0071099997,94722.69,61
2020-05-14 06:00:00,1,284.7,351,13,7e-6,82.6,5.1099997,-2.21,0.0074099996,94811.445,86
2020-05-14 12:00:00,1,282.5,310,6,1e-6,92.9,2.48,1.02,0.00719,94855.78,36
2020-05-14 18:00:00,1,294.7,303,585,0,36.600002,1.04,0.45,0.00621,94920.15,1
2020-05-15 00:00:00,1,296.6,326,717,0,30.7,2.29,-1.39,0.00587,94816.58,5
