forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-13 12:00:00,1,280.1,9999e17,9999e17,9999e17,95.9,-0.21,0.71,0.00627,94971.46,9999e17
2020-05-13 18:00:00,1,281.4,301,136,6e-6,71.700005,-2.47,-2.1299999,0.00513,95017.74,50
2020-05-14 00:00:00,1,285.13,307,475,1e-6,49.100002,-1.3399999,-3.36,0.0044899997,95059.67,55
2020-05-14 06:00:00,1,282.1,290,273,0,46.9,-1.79,-3.1899998,0.00351,95078.39,44
2020-05-14 12:00:00,1,275.7,245,1,0,57.2,-0.83,-2.3799999,0.00274,95161.34,11
2020-05-14 18:00:00,1,281,238,209,0,38.7,-0.82,-3.21,0.00269,95174.5,2
2020-05-15 00:00:00,1,285.82,261,674,1e-6,32.100002,0.71,-3.08,0.0030699999,95120.27,11
2020-05-15 06:00:00,1,282.7,294,261,1.2e-5,48.100002,0.08,-2.32,0.00375,95236.48,69
2020-05-15 12:00:00,1,278.7,290,1,2e-5,58.4,-0.72999996,-2.36,0.00345,95483.73,67
2020-05-15 18:00:00,1,283.4,282,180,1.4e-5,45.100002,-0.91999996,-1.4599999,0.00364,95598.22,43
2020-05-16 00:00:00,1,286.80002,282,650,1e-6,37.600002,-1.55,0.91999996,0.00381,95552.3,15
2020-05-16 06:00:00,1,283.4,276,329,0,46.2,-1.02,2.31,0.0037399998,95484.56,8
2020-05-16 12:00:00,1,277.7,252,2,0,54,0.45,2.4299998,0.00296,95563.555,2
2020-05-16 18:00:00,1,282.6,240,218,0,30.7,-2.3799999,1.52,0.00236,95556.86,1
2020-05-17 00:00:00,1,285.7,250,701,0,25.6,-3.46,1.9799999,0.00242,95467.8,1
2020-05-17 06:00:00,1,281.2,254,351,0,40.3,-2.6,-0.98999995,0.0028199998,95491.96,3
2020-05-17 12:00:00,1,274.9,237,2,0,57.9,-0.79999995,-1.74,0.0026,95575.87,1
2020-05-17 18:00:00,1,280.30002,233,220,0,40.3,-1.11,-2.58,0.00266,95541.46,0
2020-05-18 00:00:00,1,284.80002,249,702,0,26.9,-1.16,-2.45,0.00239,95438.12,2
2020-05-18 06:00:00,1,282,252,356,0,32.8,-0.76,-3.07,0.00242,95384.47,1
2020-05-18 12:00:00,1,276.30002,238,2,0,42,1.16,-2.72,0.0020899998,95430.07,0
2020-05-18 18:00:00,1,283.6,237,223,0,25.6,1.39,-4.83,0.00211,95244.17,0
2020-05-19 00:00:00,1,289.4,259,704,0,21.6,2.77,-4.89,0.00262,94901.78,6
2020-05-19 06:00:00,1,285.80002,279,342,0,35.8,1.8199999,-3.4299998,0.00344,94633.766,40
2020-05-19 12:00:00,1,280.9,273,2,0,56.9,3.4499998,-0.97999996,0.00395,94575.68,55
2020-05-19 18:00:00,1,286.7,271,204,0,36.100002,3.1499999,0.21,0.0037,94515.37,60
2020-05-20 00:00:00,1,289.1,296,613,2e-6,34.5,2.26,2.29,0.00411,94480.445,63
2020-05-20 06:00:00,1,284.7,314,243,3.4e-5,62.600002,0.13,2.1499999,0.00562,94644.64,80
2020-05-20 12:00:00,1,281.1,311,1,8.7e-5,85.200005,0.39,2.51,0.006,94957.586,88
2020-05-20 18:00:00,1,283.7,310,131,4.7e-5,67.200005,-0.01,3.47,0.0056499997,95165.98,83
2020-05-21 00:00:00,1,286.30002,311,523,2.6e-5,54.100002,-2.05,3.3799999,0.00536,95308.5,70
2020-05-21 06:00:00,1,283.6,298,304,4e-6,67.3,0.93,-0.42999998,0.00556,95275.31,39
2020-05-21 12:00:00,1,280.1,282,2,4e-6,75.700005,2.61,0.29,0.00494,95195.85,31
2020-05-21 18:00:00,1,285.6,279,206,0,49.2,1.9,0.64,0.00474,93469,47
2020-05-22 00:00:00,1,288.4,292,632,2.1e-5,36.4,1.6899999,2.04,0.00423,93317.96,57
2020-05-22 06:00:00,1,284.2,297,310,8e-6,52.3,0.32999998,1.13,0.0046099997,93263.03,43
2020-05-22 12:00:00,1,279.30002,262,3,0,62.2,2.87,0.84,0.00391,93284.76,16
2020-05-22 18:00:00,1,285.9,260,219,0,37.4,3.05,0.56,0.0037,93255.88,41
2020-05-23 00:00:00,1,290.4,279,685,0,25.6,2.74,1.16,0.0033699998,93222.93,39
2020-05-23 06:00:00,1,286.1,283,344,0,38.5,1.63,1.55,0.00384,93411.14,34
2020-05-23 12:00:00,1,280.7,281,3,2e-6,56.7,2.6299999,1.3299999,0.00392,93741.625,57
2020-05-23 18:00:00,1,285.30002,279,209,3e-6,41,2.31,1.09,0.0038599998,93856.12,35
2020-05-24 00:00:00,1,289.4,283,681,0,28.7,2.26,1.3399999,0.00354,93698.14,15
2020-05-24 06:00:00,1,285.30002,288,321,0,43.8,1.02,0.79999995,0.00415,93636.18,27
2020-05-24 12:00:00,1,279.7,259,4,0,58,3.29,1,0.00376,93579.61,1
2020-05-24 18:00:00,1,285.7,256,235,0,37.9,2.4099998,0.21,0.0037,93427.93,2
2020-05-25 00:00:00,1,290.6,273,714,0,24.1,2.1,0.26,0.0032499998000000002,93104.67,2
2020-05-25 06:00:00,1,286.30002,280,368,0,39,1.4,0.82,0.00398,92984.125,9
2020-05-25 12:00:00,1,280.2,263,4,0,55.8,2.96,1.5999999,0.00376,93044.055,5
2020-05-25 18:00:00,1,286.80002,258,233,0,35.3,0.22,1.2099999,0.0037099998,93008.52,4
2020-05-26 00:00:00,1,291.1,283,699,0,24.4,-1.03,0.84,0.00339,92837.234,11
2020-05-26 06:00:00,1,285.80002,303,312,0,48.2,0.08,0.72999996,0.00475,92867.93,49
2020-05-26 12:00:00,1,280.6,271,4,0,56.2,1.4499999,1.42,0.0038899998,93054.27,28
2020-05-26 18:00:00,1,287,272,225,0,38.600002,-0.7,1.3299999,0.00409,93199.56,24
2020-05-27 00:00:00,1,290.6,288,686,1e-6,31.9,-1.2099999,1.0799999,0.00429,93230.85,20
2020-05-27 06:00:00,1,286,298,346,1.7e-5,56.5,-0.22999999,0.32,0.00561,93365.89,29
2020-05-27 12:00:00,1,279.7,282,4,0,71.6,0.65,1.26,0.00463,93588.41,24
2020-05-27 18:00:00,1,288.9,273,235,0,37.8,-0.57,0.58,0.00453,93706.21,8
2020-05-28 00:00:00,1,292.4,299,668,2e-6,30.300001,-0.65999997,-0.61,0.00453,93649.195,19
2020-05-28 06:00:00,1,288.30002,304,355,0,43.4,-1.0699999,-0.9,0.00501,93615.78,19
2020-05-28 12:00:00,1,281.5,279,5,0,61.5,1.5,-0.39,0.0045,93638.89,3
2020-05-28 18:00:00,1,290.4,276,238,0,31.300001,1.17,-1.68,0.00413,93575.6,10
2020-05-29 00:00:00,1,294.2,299,688,0,23.300001,1.55,-2.18,0.00387,93432.56,39
2020-05-29 06:00:00,1,288.80002,316,332,0,49.9,0.62,-0.29,0.00592,93328.516,65
2020-05-29 12:00:00,1,284.5,299,4,0,46.9,2.02,1.4499999,0.00421,93421.266,73
2020-05-13 12:00:00,2,280.2,9999e17,9999e17,9999e17,95.200005,-0.31,0.25,0.0062599997,94929.03,9999e17
2020-05-13 18:00:00,2,281.5,301,134,1e-5,71.3,-2.56,-2.31,0.00512,94991.18,55
2020-05-14 00:00:00,2,285.15,291,571,0,47.8,-1.4599999,-3.98,0.00438,95017.31,43
2020-05-14 06:00:00,2,281.9,272,320,0,47.7,-1.78,-3.4199998,0.00351,95029.055,19
2020-05-14 12:00:00,2,275.6,246,1,0,58.2,-0.77,-2.59,0.00277,95120.4,13
2020-05-14 18:00:00,2,281,244,201,0,41.100002,-0.049999997,-3.51,0.00286,95165.14,11
2020-05-15 00:00:00,2,284.77,280,566,1.8e-5,41.600002,1.5699999,-3.12,0.00366,95212,48
2020-05-15 06:00:00,2,281.7,304,203,3.1e-5,65.1,0.66999996,-2.45,0.00472,95350.875,80
2020-05-15 12:00:00,2,278.7,292,1,2.8e-5,73.6,0.08,-2.02,0.00434,95560.555,59
2020-05-15 18:00:00,2,284.1,282,188,1.1e-5,51.4,-0.44,-1.2099999,0.0043699997,95705.445,33
2020-05-16 00:00:00,2,287,294,625,3e-6,43.8,-1.74,0.39999998,0.0045,95707.305,21
2020-05-16 06:00:00,2,283.80002,290,304,2e-6,55.100002,-0.61,2.12,0.00457,95655.43,22
2020-05-16 12:00:00,2,278.4,265,1,0,60.8,0.39999998,2.52,0.00351,95757.18,14
2020-05-16 18:00:00,2,283.1,246,215,0,30,-2.18,1.9799999,0.00238,95763.57,2
2020-05-17 00:00:00,2,286.2,252,701,0,23.800001,-3.1599998,2.04,0.00233,95645.805,2
2020-05-17 06:00:00,2,281.7,255,352,0,39.5,-2.09,-0.72999996,0.00287,95579.86,2
2020-05-17 12:00:00,2,275.5,240,2,0,57.100002,-0.66999996,-1.7099999,0.00269,95630.34,1
2020-05-17 18:00:00,2,280.9,236,218,0,39.100002,-1.31,-1.6899999,0.00269,95559.766,0
2020-05-18 00:00:00,2,284.7,252,699,0,29,-2.07,-0.66999996,0.00257,95405.305,3
2020-05-18 06:00:00,2,281.2,254,354,0,39.5,-1.5999999,-0.48,0.00278,95342.766,4
2020-05-18 12:00:00,2,275.5,238,2,0,45.9,0.099999994,-1.8499999,0.00216,95367.48,3
2020-05-18 18:00:00,2,283.2,236,224,0,27.4,0.87,-3.7099998,0.00222,95208.11,0
2020-05-19 00:00:00,2,288.80002,256,707,0,20.7,2.51,-3.1999998,0.00242,94765.05,13
2020-05-19 06:00:00,2,285.2,271,350,0,33.3,1.76,-2.4299998,0.00309,94428.14,47
2020-05-19 12:00:00,2,280.6,260,2,0,51.600002,4.66,-0.19,0.0035299999,94268.7,22
2020-05-19 18:00:00,2,287.2,266,216,0,39.3,4.33,0.65999997,0.00415,94148.87,19
2020-05-20 00:00:00,2,290.2,297,651,0,34.8,4.7,2.86,0.0044899997,94110.305,46
2020-05-20 06:00:00,2,285.1,318,246,9e-6,54.4,3.1699998,1.99,0.00505,94275.19,81
2020-05-20 12:00:00,2,281,311,2,5.2e-5,71.5,2.98,1.7199999,0.0050399997,94551.43,84
2020-05-20 18:00:00,2,283.5,315,118,5.3e-5,54.4,1.7099999,2.1399999,0.00452,94749.53,95
2020-05-21 00:00:00,2,287.5,303,568,1.6e-5,31.6,2.9199998,2.71,0.00341,94626.12,68
2020-05-21 06:00:00,2,284.2,286,306,0,42.5,2.12,2.03,0.0036799998,94665.766,37
