forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-09 06:00:00,1,282.4,9999e17,9999e17,9999e17,93.3,-2.5,-0.21,0.0067,101355.99,9999e17
2020-05-09 12:00:00,1,279.2,260,12,0,87.3,-1.88,-0.77,0.005,101736.46,14
2020-05-09 18:00:00,1,290.7,262,743,0,30.1,-1.76,-2.3999999,0.00373,101771.39,3
2020-05-10 00:00:00,1,289,287,674,0,55,-1.0799999,-1.25,0.0060799997,101495.94,33
2020-05-10 06:00:00,1,281.5,275,4,0,63.9,-1,-1.79,0.0042999997,101634.58,74
2020-05-10 12:00:00,1,280.9,264,12,0,67.6,0.44,-1.65,0.00439,101666.914,30
2020-05-10 18:00:00,1,296.80002,288,732,0,25.4,-0.95,1.4599999,0.00457,101540.29,0
2020-05-11 00:00:00,1,292.30002,313,665,0,57.4,-1.65,0.61,0.0079,101315.5,0
2020-05-11 06:00:00,1,286,310,4,0,83.3,-2.4299998,0.34,0.0075899996,101538.805,4
2020-05-11 12:00:00,1,281.80002,287,11,0,75.700005,-2.04,-1.04,0.0052,101780.914,1
2020-05-11 18:00:00,1,293.30002,285,724,0,31.6,-2.9199998,0.39,0.0046,101706.24,0
2020-05-12 00:00:00,1,290.5,305,663,0,55,-1.73,-0.32,0.00671,101444.46,0
2020-05-12 06:00:00,1,283,290,4,0,68,-1.35,-1.53,0.00507,101562.65,8
2020-05-12 12:00:00,1,282.5,290,10,0,69.5,0,-2.02,0.00501,101489.23,60
2020-05-12 18:00:00,1,297.2,314,682,0,30.5,1.01,-1.62,0.0056399996,101461.125,59
2020-05-13 00:00:00,1,294.5,344,618,0,52.600002,-0.42,-2.03,0.00825,101125.85,54
2020-05-13 06:00:00,1,288.9,359,2,1e-6,64.6,0.53,-1.86,0.00713,101192.54,98
2020-05-13 12:00:00,1,288,352,7,1.5e-5,94,0.87,-1.67,0.009819999,101286.37,76
2020-05-13 18:00:00,1,300.2,380,538,4.3e-5,53,3.05,-0.35,0.01176,101171.45,80
2020-05-14 00:00:00,1,296.5,404,445,4e-5,86.8,0.56,0.07,0.015439999,101059.27,64
2020-05-14 06:00:00,1,291.5,372,3,2e-6,97.200005,2.1299999,-0.64,0.01268,101078.01,32
2020-05-14 12:00:00,1,290.9,349,10,0,98,2.21,-1.11,0.01231,101191.02,45
2020-05-14 18:00:00,1,302.80002,362,684,0,44.4,3.85,-0.19,0.0115,101080.79,34
2020-05-15 00:00:00,1,300.5,396,630,2e-6,60.5,1.88,-0.32999998,0.01371,100756.64,7
2020-05-15 06:00:00,1,293.5,379,3,5e-6,87.1,2.35,0.72999996,0.012929999,100961.516,22
2020-05-15 12:00:00,1,291.7,353,11,0,96.1,1.4699999,-0.35,0.012739999,101035.08,3
2020-05-15 18:00:00,1,303.30002,360,702,0,40.3,2.9099998,-0.19999999,0.01077,100936.37,2
2020-05-16 00:00:00,1,301.2,387,644,0,69.9,0.77,-0.14,0.016549999,100663.27,30
2020-05-16 06:00:00,1,294.4,369,4,0,76.6,2.29,0.11,0.01198,100777.46,47
2020-05-16 12:00:00,1,293.2,364,9,0,95.3,1.4599999,-0.63,0.013839999,100946.2,57
2020-05-16 18:00:00,1,304.4,382,682,0,43.3,3.06,-0.24,0.01237,100857.29,36
2020-05-17 00:00:00,1,300.9,412,575,3e-6,61.9,1.03,-1.67,0.01437,100619.086,23
2020-05-17 06:00:00,1,294.5,386,4,0,86.8,2.1399999,0.26999998,0.0136899995,100809.7,59
2020-05-17 12:00:00,1,293.30002,363,12,0,97,1.48,-0.03,0.01421,100800.7,31
2020-05-17 18:00:00,1,304.2,381,690,0,45.9,1.9699999,0.38,0.01296,100791.836,7
2020-05-18 00:00:00,1,301.6,403,630,0,64.1,1.56,0.34,0.01563,100469.73,10
2020-05-18 06:00:00,1,295.4,380,5,0,82.5,2.8,1.02,0.013839999,100476.17,1
2020-05-18 12:00:00,1,294,370,11,0,95.200005,2.03,1.4,0.014629999,100594.9,7
2020-05-18 18:00:00,1,303.7,394,627,2e-6,49.100002,3.9399998,2.24,0.01351,100284.55,44
2020-05-19 00:00:00,1,299.80002,408,591,1.4e-5,68.8,2.27,2.9399998,0.0150999995,99994.68,70
2020-05-19 06:00:00,1,292.9,374,4,2.26e-4,95.8,1.73,1.9699999,0.013839999,100002.805,63
2020-05-19 12:00:00,1,290.9,348,12,5e-6,97.6,1.8,2.74,0.01243,99967.12,8
2020-05-19 18:00:00,1,296.7,380,458,1.8e-5,67.9,-0.04,4.95,0.012379999,99917.9,39
2020-05-20 00:00:00,1,295.30002,398,295,4.2e-5,82,-1.4,2.4099998,0.01378,99853.83,64
2020-05-20 06:00:00,1,291.1,358,5,2e-6,97.3,-0.53,2.3,0.01254,99965.305,5
2020-05-20 12:00:00,1,290.5,343,13,0,96.4,-0.57,2.03,0.011969999,100124.74,3
2020-05-20 18:00:00,1,302.80002,361,703,0,45.4,-2.06,3.1899998,0.01189,100153.24,4
2020-05-21 00:00:00,1,301.1,393,645,0,65.8,-1.48,1.1,0.01565,99968.02,1
2020-05-21 06:00:00,1,292.9,382,5,2.6e-5,87.5,-1.4,0.37,0.012569999,100174.195,23
2020-05-21 12:00:00,1,293.5,367,13,1e-6,87.6,-1.18,-0.71999997,0.01308,100300.875,31
2020-05-21 18:00:00,1,305.6,383,698,0,43.600002,-1.8,1.1999999,0.013379999,100278.7,12
2020-05-22 00:00:00,1,303.1,412,642,0,63,-1.65,0.53,0.01676,100053.18,3
2020-05-22 06:00:00,1,295.4,393,5,0,73.8,-1.9499999,-0.19999999,0.01241,100190.69,4
2020-05-22 12:00:00,1,293,368,13,0,85.8,-1.5799999,-1.39,0.01243,100383.62,1
