forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-05 12:00:00,1,295.6,9999e17,9999e17,9999e17,78.200005,0.32,0.34,0.01316,101419.24,9999e17
2020-05-05 18:00:00,1,306,386,763,0,34.100002,1.25,2.27,0.0106,101226.414,0
2020-05-06 00:00:00,1,301.2,408,560,0,52,-0.75,1.11,0.01227,101105.74,0
2020-05-06 06:00:00,1,294.80002,376,0,0,75.3,-1.01,3.25,0.01208,101238.93,36
2020-05-06 12:00:00,1,294.7,357,20,0,79.8,0.29,3.82,0.012639999,101291.12,61
2020-05-06 18:00:00,1,304.7,376,763,0,36.4,0.37,6.42,0.01052,101048.39,2
2020-05-07 00:00:00,1,299.9,392,563,0,57.100002,-2.59,6.97,0.01251,100973.16,1
2020-05-07 06:00:00,1,293.9,361,0,0,57.600002,-4.3199997,3.57,0.00871,101195.125,19
2020-05-07 12:00:00,1,288.7,300,23,0,52.100002,-6.3999996,2.3999999,0.0056499997,101546.81,5
2020-05-07 18:00:00,1,297.5,301,808,0,28.2,-5.87,0.29,0.00532,101583.664,1
2020-05-08 00:00:00,1,292.9,323,589,0,42.8,-4.15,-3.76,0.00606,101703.99,0
2020-05-08 06:00:00,1,288.1,299,0,0,57.600002,-1.3299999,-2.6799998,0.0060099997,101797.31,0
2020-05-08 12:00:00,1,291.80002,296,23,0,53.8,-1.0699999,-2.1499999,0.0071099997,101793.016,0
2020-05-08 18:00:00,1,301,336,786,0,27.7,3.3999999,-1.04,0.0064399997,101572.14,0
2020-05-09 00:00:00,1,297.7,360,577,0,43.2,1.86,-0.19,0.00822,101323.836,0
2020-05-09 06:00:00,1,292.2,337,0,0,66.200005,3.35,2.1299999,0.008979999,101412.42,0
2020-05-09 12:00:00,1,293.2,332,23,0,76.4,1.79,2.4199998,0.011039999,101503.5,1
2020-05-09 18:00:00,1,304.9,373,772,0,35.100002,-1.1899999,3.21,0.010249999,101356.96,2
2020-05-10 00:00:00,1,295.80002,404,502,4e-6,78.9,-6.04,-5.2799997,0.013409999,101589.43,62
2020-05-10 06:00:00,1,294.30002,392,0,3e-6,82.200005,-3.58,-5.22,0.012739999,101729.08,97
2020-05-10 12:00:00,1,295.1,393,9,1e-5,83.1,-2.1699998,-5.89,0.01354,101731.95,93
2020-05-10 18:00:00,1,297.2,405,263,5e-5,72,-0.19,-6.24,0.013289999,101684.89,94
2020-05-11 00:00:00,1,294.2,401,129,3.29e-4,90.200005,-0.01,-2.3899999,0.0139,101618.625,96
2020-05-11 06:00:00,1,293.7,395,0,5.5e-4,91.5,-1.79,-2.6499999,0.01368,101468.19,99
2020-05-11 12:00:00,1,294.2,380,22,1.11e-4,88.1,-4.7999997,-1.02,0.013549999,101473.836,66
2020-05-11 18:00:00,1,300.9,385,729,2.8e-5,55.9,-7.5,-4.41,0.0128999995,101462.55,15
2020-05-12 00:00:00,1,296.80002,395,506,1.5e-5,68.6,-5.0899997,-3.8799999,0.012379999,101581.664,24
2020-05-12 06:00:00,1,293,344,0,0,78.4,-3.6,-1.0699999,0.01117,101712.32,0
2020-05-12 12:00:00,1,294,331,24,0,65.5,-4.11,-1.25,0.00992,101871.43,0
2020-05-12 18:00:00,1,302.1,353,787,0,39,-5.6,-5.23,0.009649999,101861.33,0
2020-05-13 00:00:00,1,297.1,365,577,0,60.100002,-3.1899998,-3.8,0.01102,101947.6,0
2020-05-13 06:00:00,1,294.6,356,0,0,77,-1.55,-3.6499999,0.01213,101962.21,61
2020-05-13 12:00:00,1,295.7,357,24,0,73.3,-2.1599998,-4.41,0.01234,101996.44,58
2020-05-13 18:00:00,1,297.5,402,385,1e-5,66,-3.4499998,-7.94,0.01231,102017.56,82
2020-05-14 00:00:00,1,296.4,416,135,1.3e-5,71.9,-2.28,-7.6099997,0.0125899995,101921.43,98
2020-05-14 06:00:00,1,295.4,383,0,2e-6,74.1,-1.51,-6.66,0.01219,101865.03,89
2020-05-14 12:00:00,1,296.6,388,13,3e-6,74.9,-1.5999999,-7.04,0.01334,101767.91,82
2020-05-14 18:00:00,1,300.1,402,622,5.6e-5,64.5,-0.11,-9.49,0.014149999,101723.65,81
2020-05-15 00:00:00,1,297.4,408,399,4.7e-5,74.9,0.22,-8.389999,0.013979999,101564.04,84
2020-05-15 06:00:00,1,296.5,396,0,1e-5,82.200005,1.05,-6.39,0.014529999,101497.28,89
2020-05-15 12:00:00,1,297,391,17,2.1e-5,84.5,-0.45,-6.49,0.015459999,101404.164,77
2020-05-15 18:00:00,1,301.5,405,624,4.4e-5,58.8,-1.13,-10.03,0.014029999,101348.77,41
2020-05-16 00:00:00,1,298.5,395,525,1e-6,62.100002,-1.99,-7.17,0.01249,101228.016,12
2020-05-16 06:00:00,1,296.1,365,0,0,74.9,-3.58,-3.54,0.0130199995,101229.5,2
2020-05-16 12:00:00,1,296.80002,365,23,0,74.700005,-4.5299997,-3.4199998,0.01353,101262.87,14
2020-05-16 18:00:00,1,302.80002,385,747,0,50.4,-5.7999997,-4.99,0.01285,101311.516,41
2020-05-17 00:00:00,1,298.30002,381,572,0,68.6,-4.0899997,-4.42,0.013599999,101317.46,27
2020-05-17 06:00:00,1,294.80002,353,0,0,87,-1.78,-2.29,0.013929999,101348.234,1
2020-05-17 12:00:00,1,296,345,26,0,79.8,-2.1499999,-1.41,0.013739999,101444.805,0
2020-05-17 18:00:00,1,303.2,371,780,0,41.5,-2.77,-3.1799998,0.01078,101478.26,0
2020-05-18 00:00:00,1,299.2,380,575,0,58.100002,-1.56,-5.7,0.01205,101362.48,0
2020-05-18 06:00:00,1,295.1,360,0,0,76,0.94,-1.88,0.012379999,101372.4,0
2020-05-18 12:00:00,1,296.7,359,25,0,67.4,1.09,0.62,0.01211,101392.914,0
2020-05-18 18:00:00,1,304,392,764,0,42.3,-1.91,-0.78999996,0.01156,101286.4,0
2020-05-19 00:00:00,1,302,420,508,1e-6,50.600002,0.41,-4.04,0.012379999,101133.875,25
2020-05-19 06:00:00,1,297.4,394,0,2e-6,68.200005,3.1999998,0.48,0.0128,101191.65,16
2020-05-19 12:00:00,1,297.4,378,25,0,69.4,-0.62,3.02,0.01301,101141.99,5
2020-05-19 18:00:00,1,305.30002,399,761,0,40.8,-4.7,1.42,0.01196,101073.81,2
2020-05-20 00:00:00,1,298.80002,413,480,6e-6,72.1,-5.6299996,-5.44,0.01468,101154.336,26
2020-05-20 06:00:00,1,295.5,389,0,3e-5,83,-4.7799997,-3.3799999,0.0138799995,101320.445,38
2020-05-20 12:00:00,1,294.80002,391,11,2.9e-5,77.3,-7.44,-4.5099998,0.0123499995,101509.836,49
2020-05-20 18:00:00,1,296.5,398,346,1.1e-5,57.4,-8.51,-4.35,0.0101499995,101686.9,77
2020-05-21 00:00:00,1,294.7,367,492,1e-6,60.7,-7.7599998,-4.75,0.009649999,101714.836,29
2020-05-21 06:00:00,1,292.6,338,0,3e-6,75.1,-3.9099998,-3.11,0.01047,101733.6,10
2020-05-21 12:00:00,1,294.30002,350,23,6e-6,69.9,-3.1599998,-4.27,0.010799999,101887.65,25
2020-05-05 12:00:00,2,295.80002,9999e17,9999e17,9999e17,76.3,0.58,0.63,0.01294,101470.44,9999e17
2020-05-05 18:00:00,2,306,387,763,0,33.8,1.0699999,2.4099998,0.01052,101244.89,0
2020-05-06 00:00:00,2,301.2,407,560,0,50.7,-0.77,0.74,0.011969999,101090,6
2020-05-06 06:00:00,2,294.80002,373,0,0,74.200005,-0.82,3.31,0.01193,101252.805,32
2020-05-06 12:00:00,2,294.5,353,21,0,78.9,0.25,3.57,0.01236,101333.266,35
2020-05-06 18:00:00,2,304.9,373,767,0,34.4,0.21,6.41,0.01002,101094.48,2
2020-05-07 00:00:00,2,300.1,390,565,0,54.2,-2.53,6.79,0.011969999,101029.93,1
2020-05-07 06:00:00,2,294,363,0,0,61.8,-4.13,3.36,0.0094099995,101234.2,0
2020-05-07 12:00:00,2,288.80002,303,23,0,51.600002,-6.41,2.1599998,0.00566,101639.2,4
2020-05-07 18:00:00,2,297.7,299,810,0,26.800001,-6.3799996,0.19,0.00508,101631.56,0
2020-05-08 00:00:00,2,292.4,321,590,0,44.7,-4.5,-4,0.00616,101753.33,1
2020-05-08 06:00:00,2,287.5,298,0,0,58.600002,-1.52,-2.1699998,0.00588,101839.49,0
2020-05-08 12:00:00,2,291.80002,296,23,0,54.7,-1.17,-1.63,0.0072,101843.76,0
2020-05-08 18:00:00,2,300.5,336,786,0,28.300001,2.56,-0.71,0.00635,101648.734,0
2020-05-09 00:00:00,2,296.80002,357,577,0,43.7,2.04,-0.71,0.0079,101325.65,0
2020-05-09 06:00:00,2,290.4,330,0,0,62,0.61,2.4299998,0.00752,101522.15,0
2020-05-09 12:00:00,2,292.9,324,23,0,66.8,1.8299999,1.4699999,0.009509999,101569.836,0
2020-05-09 18:00:00,2,303.9,371,768,0,37.600002,-1.14,3.03,0.010369999,101514.31,9
2020-05-10 00:00:00,2,295.30002,402,483,1.9e-5,79,-7.0899997,-5.7599998,0.01296,101710.69,48
2020-05-10 06:00:00,2,294.80002,411,0,2.7e-5,84.9,-1.62,-5.1,0.013549999,101794.54,99
2020-05-10 12:00:00,2,295.1,400,7,9e-6,84.700005,-0.98999995,-4.41,0.013719999,101805.64,99
2020-05-10 18:00:00,2,296.4,401,202,2.32e-4,75.700005,1.24,-3.1699998,0.0133299995,101777.79,97
2020-05-11 00:00:00,2,294.30002,401,112,2.6e-4,88.8,-0.72999996,-1.8499999,0.01373,101642.586,98
2020-05-11 06:00:00,2,293.6,399,0,1.36e-4,91.4,-2.2,-1.25,0.013619999,101481.62,96
2020-05-11 12:00:00,2,293.4,385,12,1.8e-5,89.1,-4.56,0.56,0.01304,101523.1,97
2020-05-11 18:00:00,2,301.9,388,634,0,50.600002,-5.8199997,-2.9199998,0.0123499995,101402.2,95
2020-05-12 00:00:00,2,296.6,400,437,2e-6,62.9,-5.87,-3.82,0.01126,101504.1,76
2020-05-12 06:00:00,2,293.9,357,0,0,72.3,-4.39,-1.48,0.01091,101499.914,90
2020-05-12 12:00:00,2,294,337,24,0,67.3,-6.18,-0.72999996,0.010249999,101600.58,3
2020-05-12 18:00:00,2,302,358,782,0,40.8,-3.9099998,-5.5899997,0.01005,101604.6,1
2020-05-13 00:00:00,2,296.2,366,577,0,59.3,-2.8899999,-5.66,0.01033,101725.164,1
2020-05-13 06:00:00,2,293.6,342,0,0,70.1,-2.61,-3.5,0.01035,101930.37,0
2020-05-13 12:00:00,2,295.1,343,24,0,67.6,-1.38,-5.21,0.01091,101863.73,1
2020-05-13 18:00:00,2,298.80002,379,636,1e-6,54.5,-2.6499999,-8.559999,0.01101,102003.07,55
2020-05-14 00:00:00,2,295.80002,408,206,4e-6,63.8,-1.29,-7,0.01081,101980.64,88
2020-05-14 06:00:00,2,295.1,393,0,3e-6,65.6,0.62,-6.15,0.0106,102097.15,82
2020-05-14 12:00:00,2,294.80002,350,24,0,70.8,1.36,-5.8799996,0.0112499995,101969.85,50
2020-05-14 18:00:00,2,299,393,446,5e-6,56.9,0.89,-8.84,0.01157,102110.15,57
2020-05-15 00:00:00,2,296.80002,397,269,5e-6,67.3,2.29,-6.71,0.012139999,101849.805,58
2020-05-15 06:00:00,2,294.6,359,0,1e-6,83.200005,1.3199999,-4.41,0.0131,101842.21,5
2020-05-15 12:00:00,2,296.1,367,18,1e-6,79.5,3.06,-3.4299998,0.01375,101749.055,45
