forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-15 00:00:00,1,297.6,9999e17,9999e17,9999e17,54.2,2.11,-3.58,0.010319999,101063.49,9999e17
2020-05-15 06:00:00,1,291.80002,346,1,0,82.1,1.8499999,-4.19,0.0109399995,101206.75,1
2020-05-15 12:00:00,1,291.1,327,19,0,91.5,1.22,-3.8799999,0.01164,101167.15,1
2020-05-15 18:00:00,1,302.4,363,724,0,41.7,0.13,-3.6399999,0.01054,100967.73,11
2020-05-16 00:00:00,1,299.4,390,581,0,56.8,-1.56,-4.89,0.01206,100708.195,15
2020-05-16 06:00:00,1,292.7,369,1,0,80.4,1.3299999,-3.4099998,0.01138,100825.9,13
2020-05-16 12:00:00,1,291.6,342,18,0,89,-1.02,-2.96,0.011729999,100780.26,35
2020-05-16 18:00:00,1,301.6,369,663,0,42.3,-3.33,-3.77,0.01029,100739.43,72
2020-05-17 00:00:00,1,299.30002,387,520,0,52.8,-1.87,-2.1,0.011159999,100490.77,70
2020-05-17 06:00:00,1,292.9,357,1,0,83.5,0.90999997,-3.06,0.011969999,100675.6,35
2020-05-17 12:00:00,1,292.7,342,20,0,88,0.01,-2.69,0.01239,100719.71,0
2020-05-17 18:00:00,1,303.80002,369,747,0,37.9,-1.77,-1.86,0.01035,100670.6,0
2020-05-18 00:00:00,1,301,390,608,0,44.4,-2.61,-1.0799999,0.01042,100401.27,2
2020-05-18 06:00:00,1,293.5,367,1,0,72.200005,0.79999995,1.53,0.01074,100498.13,1
2020-05-18 12:00:00,1,294,356,20,0,79.6,0.12,2.4099998,0.0122299995,100444.27,0
2020-05-18 18:00:00,1,305.5,386,738,0,37,2.9199998,3.46,0.011299999,100311.195,0
2020-05-19 00:00:00,1,300.6,417,538,5e-5,62,3.78,3.84,0.0143,100125.93,19
2020-05-19 06:00:00,1,294.4,377,1,0,96.9,2.81,2.53,0.01529,100129.625,3
2020-05-19 12:00:00,1,294.6,391,6,3.8e-5,94.700005,2.6299999,1.8499999,0.015179999,100001.35,73
2020-05-19 18:00:00,1,296.6,404,141,2.09e-4,79.8,4.25,1.4499999,0.01447,99648.7,89
