forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-04 12:00:00,1,289.7,9999e17,9999e17,9999e17,90.6,-1.17,-0.45,0.010919999,97733.91,9999e17
2020-05-04 18:00:00,1,297.30002,338,679,0,40.3,-1.48,-1.41,0.0077899997,97676.766,13
2020-05-05 00:00:00,1,291.6,334,572,0,65.8,-0.91999996,-1.5699999,0.008979999,97546.18,50
2020-05-05 06:00:00,1,287.5,346,1,4.9e-5,84.9,0.099999994,-0.78,0.00889,97315.805,84
2020-05-05 12:00:00,1,289.30002,366,7,3.56e-4,98.3,2.4299998,0.31,0.011609999,97101.06,99
2020-05-05 18:00:00,1,295.5,387,306,4e-5,77.9,4.15,4.93,0.0135699995,96868.836,98
2020-05-06 00:00:00,1,293.9,397,214,2.6e-5,83.9,1.01,2.96,0.01327,96897.23,71
2020-05-06 06:00:00,1,284.80002,345,1,1e-6,77.9,-0.74,2.7,0.0068699997,97351.664,50
2020-05-06 12:00:00,1,280.9,302,6,3e-6,77.200005,-2.09,2.8899999,0.0052199997,97582.625,42
2020-05-06 18:00:00,1,283,329,289,1e-5,60.100002,-3.4099998,2.5,0.0046699997,97846.586,90
2020-05-07 00:00:00,1,282.30002,309,323,1.5e-5,68.700005,-1.74,1.63,0.0050999997,97856.77,69
2020-05-07 06:00:00,1,276.4,256,1,0,89.5,-0.56,1.4499999,0.00441,97935.766,0
2020-05-07 12:00:00,1,278.80002,248,20,0,79.700005,-0.03,1.29,0.00462,98126.24,0
2020-05-07 18:00:00,1,289.7,265,745,0,34,-1.78,2.48,0.00409,98093.56,0
2020-05-08 00:00:00,1,286,291,596,0,69.700005,0.16,1.4399999,0.0066,97886.305,27
2020-05-08 06:00:00,1,281.5,304,1,0,74.1,1.87,0.38,0.00518,97853.516,74
2020-05-08 12:00:00,1,282.80002,307,14,6e-6,82.4,1.87,0.29999998,0.0063199997,97697.375,48
2020-05-08 18:00:00,1,286.6,351,182,2.14e-4,95.200005,2.61,4.3199997,0.0094,97474.234,88
2020-05-09 00:00:00,1,285,362,67,2.52e-4,97.700005,-1.1,1.49,0.00869,97394.58,100
2020-05-09 06:00:00,1,281.2,339,0,1.7e-4,98,0.35,1.38,0.00673,97583.52,90
2020-05-09 12:00:00,1,276.6,276,20,2e-6,92.200005,-2.3,0.34,0.0046,98020.46,27
2020-05-09 18:00:00,1,283.5,237,764,0,31.7,-5.64,2.99,0.0025199999,98426.35,1
2020-05-10 00:00:00,1,279.4,243,629,0,62.8,-1.25,-0.29,0.0037699998,98522.68,0
2020-05-10 06:00:00,1,271.5,228,2,0,61.2,1.15,-0.22,0.00207,98732.664,0
2020-05-10 12:00:00,1,277.30002,235,17,0,43.2,1.36,-0.48,0.00225,98795.34,45
2020-05-10 18:00:00,1,290.7,252,766,0,25.6,3.86,3.9299998,0.00326,98487.27,1
2020-05-11 00:00:00,1,286.80002,280,619,0,56.7,2.2,2.4199998,0.00562,98314.19,1
2020-05-11 06:00:00,1,279.30002,291,2,0,90.6,0.049999997,1.4399999,0.00542,98497.555,22
2020-05-11 12:00:00,1,280,294,20,1e-6,87.9,-1.26,-1,0.0055199997,98769.48,34
2020-05-11 18:00:00,1,290.6,272,742,0,32.5,-1.62,0.98999995,0.0041,98658.516,0
2020-05-12 00:00:00,1,285.5,285,611,0,63.100002,-1.64,-0.42,0.00573,98565.77,1
2020-05-12 06:00:00,1,278.6,276,2,0,71.1,0.26999998,-1.4399999,0.00404,98568.45,7
2020-05-12 12:00:00,1,283.30002,332,9,1e-6,66.1,-0.14,-1.38,0.00518,98478.31,84
2020-05-12 18:00:00,1,294.6,328,605,7e-6,47.600002,2.47,2.85,0.00771,97538.06,84
2020-05-13 00:00:00,1,292.2,356,413,1.2e-5,75.8,1.9,0.62,0.010729999,97221.97,67
2020-05-13 06:00:00,1,288.7,361,1,3.1e-5,89.1,1.68,1.2099999,0.010079999,97203.375,87
2020-05-13 12:00:00,1,288.4,368,10,1.27e-4,97.9,-0.01,1.09,0.01088,97444.04,87
2020-05-13 18:00:00,1,289.80002,357,426,1.7e-5,69.200005,-2.76,-1.48,0.00846,97677.836,68
2020-05-14 00:00:00,1,289.4,329,578,0,73.5,-1.76,-1.35,0.00873,97520.164,32
2020-05-14 06:00:00,1,283.80002,333,2,2.6e-5,89.200005,-0.91999996,-1.51,0.00739,97579.54,67
2020-05-14 12:00:00,1,285.4,354,4,3.26e-4,98.700005,0.35999998,-1.5899999,0.009,97615.5,97
2020-05-14 18:00:00,1,292.2,365,328,5.2e-5,81.1,2.96,-1.02,0.01152,97442.45,84
2020-05-15 00:00:00,1,290.38998,377,267,2.6e-5,83.200005,2.07,-0.65999997,0.0105099995,97321.6,78
2020-05-15 06:00:00,1,286.6,362,2,2.64e-4,97.8,1.4399999,-0.56,0.0097199995,97417.52,92
2020-05-15 12:00:00,1,287.1,365,5,5.26e-4,97.9,0.56,-0.85999995,0.01005,97352.98,96
2020-05-15 18:00:00,1,291.6,379,213,3.74e-4,94.6,-0.02,-0.45999998,0.012949999,97339.52,80
2020-05-16 00:00:00,1,293,371,399,3.5e-5,89.1,-1.28,-0.63,0.013359999,97059.67,54
2020-05-16 06:00:00,1,288.5,355,2,6e-6,98.1,-1.06,-1.03,0.011039999,97091.31,53
2020-05-16 12:00:00,1,289.30002,360,13,5e-6,96.9,-0.66999996,-1.26,0.01146,97149.6,56
2020-05-16 18:00:00,1,297,373,573,1.8e-5,63.9,-1.8499999,-0.89,0.012259999,97143.7,44
2020-05-17 00:00:00,1,293.9,375,479,3.3e-5,87.5,-0.089999996,-0.64,0.01382,97094.586,28
2020-05-17 06:00:00,1,285.80002,333,2,0,95.6,0.81,-0.42999998,0.00907,97183.4,3
2020-05-17 12:00:00,1,289.1,341,13,1e-6,95.3,1.12,-0.099999994,0.011109999,97411.055,33
2020-05-17 18:00:00,1,300.1,364,616,1.7e-5,54.100002,0.11,0.34,0.0123499995,97345.38,49
2020-05-18 00:00:00,1,294.9,374,492,1.2e-5,84.1,0.66999996,0.29999998,0.014099999,97238.125,34
2020-05-18 06:00:00,1,289.5,364,2,0,87.8,1.6999999,0.35,0.010489999,97371.61,47
2020-05-18 12:00:00,1,288.2,335,22,0,87.6,1.3,-0.35999998,0.00962,97522.805,38
2020-05-18 18:00:00,1,299.5,345,706,1e-6,47.7,1.5899999,0.74,0.01054,97430.266,34
2020-05-19 00:00:00,1,294.80002,360,557,2e-6,70.3,1.28,1.35,0.011709999,97231.83,26
2020-05-19 06:00:00,1,286.4,323,3,0,88.6,1.75,-0.32,0.00866,97315.266,14
2020-05-19 12:00:00,1,286.4,301,25,0,85,1.41,-0.58,0.008289999,97393.086,16
2020-05-19 18:00:00,1,298.7,329,729,0,40.5,3.04,1.18,0.00854,97137.63,22
2020-05-20 00:00:00,1,295.1,358,595,0,72.4,2.1299999,0.38,0.012379999,96850.79,3
2020-05-20 06:00:00,1,289,344,3,0,88.1,1.92,-0.24,0.01026,96841.46,16
2020-05-20 12:00:00,1,290.2,367,12,3.3e-5,94.700005,2.09,-0.01,0.01187,96865.18,78
2020-05-04 12:00:00,2,289.5,9999e17,9999e17,9999e17,88.1,-1.17,-0.65,0.01048,97706.49,9999e17
2020-05-04 18:00:00,2,297.30002,333,697,0,40.3,-1.3199999,-1.4399999,0.00781,97665.12,6
2020-05-05 00:00:00,2,291.6,332,579,0,65.9,-0.91999996,-1.49,0.00899,97546.54,39
2020-05-05 06:00:00,2,286.9,329,1,6.1e-5,84.5,-1.4599999,-0.57,0.00856,97349.18,78
2020-05-05 12:00:00,2,289,367,7,4.82e-4,98.3,2.24,0.26999998,0.01141,97075.73,99
2020-05-05 18:00:00,2,295.1,390,327,2.2e-5,81,3.97,4.7599998,0.013839999,96853.4,93
2020-05-06 00:00:00,2,293.6,383,247,1.8e-5,73,0.47,3.1,0.01139,96850.99,51
2020-05-06 06:00:00,2,284.1,325,1,0,72.1,-1.51,3.3,0.00604,97444.71,30
2020-05-06 12:00:00,2,279.1,313,11,2e-6,72.3,-2.8,2.21,0.0043099998,97771.914,71
2020-05-06 18:00:00,2,284.80002,316,429,4e-6,45.100002,-4.27,1.56,0.00393,97937.15,81
2020-05-07 00:00:00,2,283.30002,303,462,1e-6,57.9,-1.56,2.11,0.00459,97889.42,56
2020-05-07 06:00:00,2,274.4,253,1,0,90.8,-0.68,0.83,0.00384,98078.086,3
2020-05-07 12:00:00,2,278.7,240,20,0,69.6,-0.25,0.95,0.00401,98312.305,0
2020-05-07 18:00:00,2,290,261,750,0,33.4,-1.62,1.9,0.00409,98218.21,0
2020-05-08 00:00:00,2,285.80002,285,608,0,68,0.78999996,1.29,0.0063199997,97960.28,1
2020-05-08 06:00:00,2,280.80002,275,2,0,70.3,2.03,0.13,0.0047,97860.734,22
2020-05-08 12:00:00,2,283.80002,319,10,1.3e-5,90.200005,3.1799998,1.15,0.0074099996,97510.016,95
2020-05-08 18:00:00,2,288.9,353,235,4.1e-5,77.4,3.9499998,6.6099997,0.0089,97161.02,100
2020-05-09 00:00:00,2,284.4,362,93,4.81e-4,95.9,-2.7,2.85,0.00823,97300.164,97
2020-05-09 06:00:00,2,278.30002,300,0,1.7e-5,93.700005,-2.83,0.66999996,0.00526,97960.664,52
2020-05-09 12:00:00,2,273.2,223,22,0,82.6,-0.82,-0.31,0.0032199998,98375.836,2
2020-05-09 18:00:00,2,284.5,229,771,0,26.800001,-2.77,1.02,0.00229,98526.43,1
2020-05-10 00:00:00,2,280.5,250,630,0,72.200005,-0.28,0.02,0.00469,98334.02,0
2020-05-10 06:00:00,2,274.6,245,2,0,57.4,1.42,-0.59999996,0.00245,98550.95,2
2020-05-10 12:00:00,2,278.30002,241,22,0,50.600002,1.7199999,0.47,0.0028199998,98424.625,1
2020-05-10 18:00:00,2,292.2,266,759,0,33,3.28,4.81,0.00464,98203.914,0
2020-05-11 00:00:00,2,288.6,313,561,0,62.9,2.59,2.53,0.00707,97950.6,30
2020-05-11 06:00:00,2,283.9,304,2,0,84.8,-0.45,2.3999999,0.00695,98160.516,19
2020-05-11 12:00:00,2,280.30002,267,22,0,83.200005,-0.29999998,0.82,0.00532,98411.68,5
2020-05-11 18:00:00,2,291.80002,271,752,0,37.5,-1.56,0.12,0.00513,98280.664,1
2020-05-12 00:00:00,2,286.2,294,612,0,67.700005,1.05,-0.68,0.00648,98063.6,1
2020-05-12 06:00:00,2,281.80002,291,2,0,75,0.44,0.26,0.00533,98143.54,16
2020-05-12 12:00:00,2,285.2,291,21,0,77.8,0.04,0.85999995,0.00697,98262.69,39
2020-05-12 18:00:00,2,293.5,310,704,3e-6,46.100002,-1.54,1.92,0.0069999998,97511.99,30
2020-05-13 00:00:00,2,287.4,337,395,3.3e-5,85,-1.9,0.12,0.008789999,97656.28,67
2020-05-13 06:00:00,2,282.1,313,1,1e-6,98.200005,-1.4399999,-0.48999998,0.0071799997,97790.1,57
2020-05-13 12:00:00,2,281.6,301,22,0,96.4,-1.36,-1.0799999,0.0068099997,97890.71,26
2020-05-13 18:00:00,2,293.5,301,725,0,47.100002,-1.7199999,-1.23,0.00722,97831.52,7
2020-05-14 00:00:00,2,289.5,315,605,0,70.6,-1.42,-0.59,0.00842,97723.54,2
2020-05-14 06:00:00,2,281.1,294,2,0,88.700005,-0.06,-1.35,0.0060799997,97817.21,2
2020-05-14 12:00:00,2,285.5,295,22,0,89.700005,0.79999995,-1.06,0.00821,98019.414,8
2020-05-14 18:00:00,2,298.6,325,728,0,43.100002,1.64,0.42999998,0.00901,97915.234,2
2020-05-15 00:00:00,2,293.7,348,594,0,71.5,1.8199999,-0.06,0.01109,97777.305,2
2020-05-15 06:00:00,2,286.1,326,2,0,95.9,1.63,-0.53999996,0.00913,97848.25,4
2020-05-15 12:00:00,2,286.80002,310,22,0,94.6,1.51,-0.17999999,0.00943,97982.44,5
2020-05-15 18:00:00,2,298.6,330,728,0,46.2,2.49,1.14,0.009649999,97851.02,5
2020-05-16 00:00:00,2,294.4,353,593,0,74.200005,1.73,0.57,0.01201,97444.73,6
2020-05-16 06:00:00,2,288.2,333,2,0,97.200005,1.89,0.22999999,0.010629999,97496.09,24
2020-05-16 12:00:00,2,289.5,333,20,1e-6,96.200005,1.74,0.089999996,0.0114899995,97391.94,36
2020-05-16 18:00:00,2,298.80002,362,671,3e-5,58.5,2.55,3.55,0.01244,97181.5,28
2020-05-17 00:00:00,2,294.80002,372,556,3.6e-5,85.200005,1.62,1.5899999,0.0143,97061.5,36
2020-05-17 06:00:00,2,290.30002,355,2,1.35e-4,98.5,1.75,0.69,0.0124699995,96974.836,63
2020-05-17 12:00:00,2,290.80002,371,9,2.53e-4,98.3,1.3,0.51,0.01284,97145.016,96
2020-05-17 18:00:00,2,296,375,497,1.17e-4,79.1,-0.96999997,1.77,0.014149999,96912.375,78
2020-05-18 00:00:00,2,293.5,358,544,5.8e-5,79.700005,-1.35,-0.22999999,0.01227,97091.18,58
2020-05-18 06:00:00,2,285.9,318,2,0,94.4,-1.5699999,-0.72999996,0.00892,97161.15,2
2020-05-18 12:00:00,2,286.1,297,25,0,90.700005,-1.15,-1.42,0.00869,97220.2,0
2020-05-18 18:00:00,2,301,312,753,0,35.5,0.57,-0.45999998,0.00864,97170.46,1
2020-05-19 00:00:00,2,294.2,340,616,0,73.9,-0.7,0.59,0.011969999,96885.44,2
2020-05-19 06:00:00,2,288.1,324,3,0,74.200005,1.8299999,-0.38,0.00815,97038.016,15
2020-05-19 12:00:00,2,289.30002,320,24,0,85.1,1.37,-0.29999998,0.01003,97101.836,2
2020-05-19 18:00:00,2,300,350,707,5e-6,43.7,0.59999996,1.6999999,0.01002,97038.414,9
2020-05-20 00:00:00,2,295.91,375,499,0,81,0.21,0.42,0.014509999,96930.38,27
2020-05-20 06:00:00,2,289,352,3,0,84,1.11,-0.55,0.009699999,96941.4,19
2020-05-20 12:00:00,2,291.9,344,24,0,86.4,1.18,-0.52,0.012069999,97090.57,32
2020-05-04 12:00:00,3,289.80002,9999e17,9999e17,9999e17,89.8,-1.25,-0.90999997,0.01086,97728.68,9999e17
2020-05-04 18:00:00,3,296.9,332,694,0,37.4,-1.54,-1.6999999,0.00709,97680.4,8
