forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-01 18:00:00,1,302.1,9999e17,9999e17,9999e17,67.700005,3.54,-3.61,0.01678,101069.555,9999e17
2020-05-02 00:00:00,1,300.08,396,390,6e-6,75.700005,2.6299999,-3.6799998,0.016689999,101145.75,3
2020-05-02 06:00:00,1,299.2,393,0,3e-6,79.9,2.11,-6.22,0.0167,101114.086,8
2020-05-02 12:00:00,1,299.4,403,47,1e-6,76.5,2.49,-5.68,0.01615,101231.73,43
2020-05-02 18:00:00,1,300.61,404,820,8e-6,72.1,4.0499997,-3.6899998,0.01642,101084.914,37
2020-05-03 00:00:00,1,299.66998,401,356,2.4e-5,76.1,1.54,-3.46,0.01637,101095.69,9
2020-05-03 06:00:00,1,298.99,396,0,2e-5,82,1.26,-4.7999997,0.01697,100957.47,1
2020-05-03 12:00:00,1,299.32,397,54,0,80.700005,0.79999995,-5.5099998,0.01701,101115.58,9
2020-05-03 18:00:00,1,301.08,402,840,1.2e-5,73.200005,1.5999999,-2.1499999,0.01719,100921.9,17
2020-05-04 00:00:00,1,299.86,403,384,1.3e-5,77.4,0.34,-4.73,0.01687,100920.89,16
2020-05-04 06:00:00,1,299.1,398,0,0,82,0.22,-5.29,0.01716,100791.56,8
2020-05-04 12:00:00,1,299.6,402,51,0,78.4,0.52,-5.41,0.01685,100919.1,36
2020-05-04 18:00:00,1,300.80002,406,831,2e-5,74.3,2.11,-2.8999999,0.01726,100856.93,44
2020-05-05 00:00:00,1,300.2,405,376,1.6e-5,77.700005,0.32,-4.36,0.01729,100854.84,24
2020-05-05 06:00:00,1,299.4,402,0,0,83.200005,0.89,-5.0299997,0.01767,100778.664,70
2020-05-05 12:00:00,1,299.9,416,43,1e-5,80.200005,0.55,-4.68,0.01746,100983.22,63
2020-05-05 18:00:00,1,301.80002,409,830,6e-6,72.9,1.31,-2.83,0.017819999,100936.266,28
2020-05-06 00:00:00,1,300.5,408,379,5e-6,78.6,0.55,-4.7999997,0.01784,100986.125,30
2020-05-06 06:00:00,1,299.80002,407,0,1e-6,81.6,0.02,-5.46,0.01781,100953.52,39
2020-05-06 12:00:00,1,300,416,48,4e-6,79.8,0.12,-5.7599998,0.01752,101118.12,60
2020-05-06 18:00:00,1,301.4,413,798,2.9e-5,76.3,1.91,-3.6399999,0.018199999,101042.7,55
2020-05-07 00:00:00,1,300.5,409,373,4e-6,78.8,0.98999995,-5.62,0.0179,101033.805,51
2020-05-07 06:00:00,1,300,411,0,4e-6,81.4,1.92,-6,0.017889999,101032.96,52
2020-05-07 12:00:00,1,300.4,411,58,1.1e-5,77.8,2.7,-6.8199997,0.01747,101196.64,22
2020-05-07 18:00:00,1,301.4,407,828,4e-6,76.3,5.18,-4.95,0.01819,101116.89,7
2020-05-08 00:00:00,1,300.5,404,385,2e-6,78.700005,4.36,-5.66,0.01783,101139.74,1
2020-05-08 06:00:00,1,299.80002,400,0,0,79.8,3.6999998,-5.49,0.017339999,101045.984,27
2020-05-08 12:00:00,1,300.1,403,45,1e-6,78.700005,3.3999999,-5.25,0.01738,101198.24,87
2020-05-08 18:00:00,1,301.1,412,744,5e-6,75.700005,4.5699997,-3.62,0.017719999,101082.086,94
2020-05-09 00:00:00,1,300.5,406,359,4e-6,77.4,2.1699998,-3.81,0.0175,101141.234,88
2020-05-09 06:00:00,1,299.7,401,0,2e-6,80.3,1.13,-3.77,0.01726,101130.33,78
2020-05-09 12:00:00,1,300,399,47,1e-6,77.3,-0.14,-3.87,0.016929999,101259.73,89
