forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-06 00:00:00,1,299.9,9999e17,9999e17,9999e17,78.3,1.1,-2.9299998,0.01711,100900.484,9999e17
2020-05-06 06:00:00,1,299.5,400,0,3e-6,81.9,1.54,-4.99,0.01756,100902.04,3
2020-05-06 12:00:00,1,300.1,412,51,2e-6,78.8,1.99,-6.24,0.017439999,101052.66,35
2020-05-06 18:00:00,1,301.4,408,836,9e-6,75.700005,5.14,-5.29,0.018099999,100960.21,24
2020-05-07 00:00:00,1,300.6,407,373,3e-6,77.9,3.85,-5.8399997,0.01771,100983.24,48
2020-05-07 06:00:00,1,300,404,0,2e-6,79,4.65,-6.8799996,0.01738,100973.53,69
2020-05-07 12:00:00,1,300.2,415,37,6e-6,77.700005,4.64,-6.7799997,0.01735,101092.484,98
2020-05-07 18:00:00,1,301.5,412,754,3e-6,73.700005,5.91,-4.7599998,0.017679999,101019.56,69
2020-05-08 00:00:00,1,300.6,404,380,1e-6,76.4,4.08,-5.39,0.017409999,101094.68,3
2020-05-08 06:00:00,1,299.9,399,0,2e-6,79.6,4.02,-5.0099998,0.0174,101107.89,13
2020-05-08 12:00:00,1,300.2,405,48,1e-6,77.6,3.23,-5.71,0.01722,101175.29,60
2020-05-08 18:00:00,1,302.1,412,793,0,72.3,3.87,-2.8799999,0.017919999,101112.35,77
2020-05-09 00:00:00,1,300.9,405,382,0,76.8,2.77,-3.6599998,0.01773,101162.71,25
2020-05-09 06:00:00,1,300,404,0,3e-6,79,1.78,-5.94,0.01739,101110.89,41
2020-05-09 12:00:00,1,300.30002,409,56,6e-6,77,2.22,-6.1299996,0.01718,101270.43,60
2020-05-09 18:00:00,1,301.7,413,764,3e-6,72.1,2.82,-3.1599998,0.0175,101180.9,52
2020-05-10 00:00:00,1,300.7,408,354,5e-6,73.4,1.3,-4.56,0.01682,101218.805,63
2020-05-10 06:00:00,1,299.7,397,0,0,76.9,0.099999994,-5.41,0.01656,101132.93,78
2020-05-10 12:00:00,1,300,409,51,2e-6,74.1,-0.48,-5.62,0.01626,101340.555,64
2020-05-10 18:00:00,1,301.5,404,842,2.1e-5,71.9,1.78,-3.4099998,0.017239999,101162.836,9
