forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-17 00:00:00,1,281.6,9999e17,9999e17,9999e17,92.4,-0.28,-0.90999997,0.00649,98644.016,9999e17
2020-05-17 06:00:00,1,280,280,0,0,96.700005,1.77,0.089999996,0.00606,98919.56,23
2020-05-17 12:00:00,1,283.5,326,39,1e-6,82.700005,1.01,1.29,0.0065599997,99039.836,88
2020-05-17 18:00:00,1,292.4,334,640,8e-6,53.600002,0.79999995,1.76,0.00757,98799.87,74
2020-05-18 00:00:00,1,286.5,368,195,2e-5,88.1,0.81,0.48,0.00854,98738.54,95
2020-05-18 06:00:00,1,283.6,348,0,2.5e-5,94.5,-0.79999995,0.85999995,0.0075499997,98758.086,94
2020-05-18 12:00:00,1,283.9,317,66,1.1e-5,79.8,-1.06,-2.24,0.00648,98898.54,54
2020-05-18 18:00:00,1,290.6,299,782,0,40.8,0.71,-3.36,0.00515,98794.02,59
2020-05-19 00:00:00,1,283.1,296,479,0,60.2,1.39,-2.33,0.00465,98845.15,63
2020-05-19 06:00:00,1,277.6,277,0,0,69.4,-1.3,-1.49,0.00367,98957.6,98
2020-05-19 12:00:00,1,280.9,265,62,0,61.2,-1.67,-5.15,0.0040599997,99136.92,97
2020-05-19 18:00:00,1,286.5,274,769,0,43.600002,-0.17,-5.7999997,0.00421,99145.1,82
2020-05-20 00:00:00,1,281.1,265,509,0,65.8,-0.03,-2.76,0.0044,99225.625,26
2020-05-20 06:00:00,1,276.4,257,0,0,83.9,-1.42,-1.17,0.00405,99317.81,55
2020-05-20 12:00:00,1,280.9,279,56,0,63.3,-1.14,-3.33,0.00417,99461.9,89
2020-05-20 18:00:00,1,288.4,278,790,0,38.7,0.31,-4.92,0.0042,99374.734,47
2020-05-21 00:00:00,1,280.4,265,517,0,66.9,0.17,-1.89,0.00428,99312.516,0
2020-05-21 06:00:00,1,270.80002,235,0,0,94.5,-0.71999997,-0.53,0.00305,99209.6,0
2020-05-21 12:00:00,1,281.4,232,90,0,47.100002,-0.53999996,-0.81,0.00323,99169.625,0
2020-05-21 18:00:00,1,293.7,264,853,0,25.300001,1.4499999,-1.14,0.00387,98875,0
2020-05-22 00:00:00,1,284.7,287,518,0,74.4,2.09,-0.41,0.00641,98618.79,0
2020-05-22 06:00:00,1,279.80002,269,0,0,96.3,0.71,1.6999999,0.00597,98531.055,0
2020-05-22 12:00:00,1,285.80002,264,88,0,77.200005,-0.19,1.0799999,0.00715,98389.12,0
2020-05-22 18:00:00,1,298.80002,297,840,0,28,0.26999998,1.3,0.0058999998,98065.03,0
2020-05-23 00:00:00,1,287.5,318,508,0,84.3,1.15,0.5,0.00881,97883.086,30
2020-05-23 06:00:00,1,284.9,311,0,0,77.6,-1.22,1.29,0.00683,97853.055,96
2020-05-23 12:00:00,1,287.5,324,39,0,75.8,-1.78,-3.27,0.0079,98069.57,98
2020-05-23 18:00:00,1,290.2,340,452,0,58.9,-1.31,-4.13,0.00731,98218.83,98
2020-05-24 00:00:00,1,285,333,280,0,67.5,-0.66999996,-2.19,0.0059599997,98421.39,94
2020-05-24 06:00:00,1,279.7,296,0,0,83.6,-1.5899999,-0.93,0.00515,98582.016,75
2020-05-24 12:00:00,1,282.80002,270,84,0,58.4,-1.13,-2.21,0.0044299997,98806.75,57
2020-05-24 18:00:00,1,290.9,283,815,0,35.7,0.65999997,-3.57,0.00457,98772.75,55
2020-05-25 00:00:00,1,282.7,288,505,0,64.3,0.66999996,-1.5999999,0.00484,98828.414,27
2020-05-25 06:00:00,1,276.2,272,0,0,82,-0.16,-0.59999996,0.0039,99222.43,36
2020-05-25 12:00:00,1,284.9,271,86,0,46.100002,0.03,-0.44,0.0039999997,99285.664,26
2020-05-25 18:00:00,1,296.2,300,823,0,33.7,1.1,-0.79999995,0.0060199997,99210.41,0
2020-05-26 00:00:00,1,288.30002,317,507,0,69.5,1.8299999,-0.39999998,0.00756,99111.73,1
2020-05-26 06:00:00,1,281.7,293,0,0,84.5,1.04,1.35,0.00594,99168.98,0
2020-05-26 12:00:00,1,287.6,287,87,0,68.6,0.089999996,1.35,0.0071,99186.14,0
2020-05-26 18:00:00,1,299.1,319,825,0,32.9,2.32,2.29,0.0069999998,98928.27,2
2020-05-27 00:00:00,1,291.9,332,510,0,66.700005,2.21,1.02,0.00916,98725.88,14
2020-05-27 06:00:00,1,284.4,300,0,0,77.700005,1.61,1.43,0.0065699997,98777.93,21
2020-05-27 12:00:00,1,287.2,282,89,0,61.9,1.7199999,1.99,0.00627,98744.4,10
2020-05-27 18:00:00,1,299.1,313,825,0,31.7,3.31,3.3799999,0.00676,98475.25,10
2020-05-28 00:00:00,1,293.6,349,497,0,61.2,2.6299999,1.3199999,0.00936,98358.53,10
2020-05-28 06:00:00,1,287.9,332,0,0,73.700005,2.21,1.5,0.00782,98347.44,12
2020-05-28 12:00:00,1,289.1,327,72,0,74.8,1.79,1.36,0.008599999,98359.7,31
2020-05-28 18:00:00,1,299.5,359,742,3e-6,50,3.79,2.4299998,0.0109399995,98096.305,65
2020-05-29 00:00:00,1,294.5,382,436,5.5e-5,80.1,2.75,1.28,0.01299,98088.04,69
2020-05-29 06:00:00,1,290,370,0,5.4e-5,94.9,2.4299998,0.91999996,0.01162,98133.02,78
2020-05-29 12:00:00,1,289.4,364,55,1.83e-4,95.5,2.58,1.15,0.0112,98175.836,78
2020-05-29 18:00:00,1,297.6,382,621,5e-5,72.3,2.18,2.08,0.014169999,98083.62,59
2020-05-30 00:00:00,1,293.9,388,395,1.43e-4,93.1,2.05,0.82,0.014509999,98166.6,49
2020-05-30 06:00:00,1,289.7,361,0,2e-5,98.5,1.9399999,0.53,0.011829999,98217.03,41
2020-05-30 12:00:00,1,290.5,381,38,5.5e-5,96,2.24,0.45999998,0.0121,98354.08,77
2020-05-30 18:00:00,1,298.1,378,595,2.5e-5,60.2,3.31,0.77,0.01208,98281.62,69
2020-05-31 00:00:00,1,293.1,364,475,5.8999998e-5,82.8,2.22,-0.24,0.01229,98320.414,49
2020-05-31 06:00:00,1,288.1,335,0,1e-6,98.4,1.79,-0.14999999,0.01065,98509.02,52
2020-05-31 12:00:00,1,290.30002,372,41,1e-5,92.4,1.66,-0.13,0.011469999,98682.44,82
2020-05-31 18:00:00,1,295.9,381,495,1.2e-5,63.8,2.22,-0.28,0.0112,98678.65,74
2020-06-01 00:00:00,1,292.5,367,400,1.4e-5,84.9,1.37,-1.06,0.0121,98668.75,40
2020-06-01 06:00:00,1,288.1,369,0,7e-6,98.700005,1.38,0.37,0.01064,98728.52,65
2020-06-01 12:00:00,1,290.1,355,53,4e-6,90.4,0.71,0.88,0.01107,98709.516,52
2020-06-01 18:00:00,1,300,368,691,5e-6,49.2,1.8499999,0.16,0.011109999,98452.086,38
2020-06-02 00:00:00,1,294.6,392,361,1e-6,76.3,2.03,-0.17999999,0.012449999,98304.06,51
2020-05-17 00:00:00,2,281.1,9999e17,9999e17,9999e17,92.4,0.13,-0.65999997,0.0062499996,98588.11,9999e17
2020-05-17 06:00:00,2,279.9,279,0,0,96.4,1.8,0.31,0.00597,98964.12,24
2020-05-17 12:00:00,2,283.5,288,59,0,81.1,0.84,1.3399999,0.00646,99065.805,72
2020-05-17 18:00:00,2,292.2,337,615,6e-6,53.8,0.65999997,1.8399999,0.00751,98805.9,74
2020-05-18 00:00:00,2,286.80002,365,229,1.6e-5,86.3,1.16,0.83,0.00853,98735.2,96
2020-05-18 06:00:00,2,283.6,341,0,2.9e-5,95.8,-0.48,1.22,0.00769,98769.58,94
2020-05-18 12:00:00,2,284.1,306,78,8e-6,84.200005,-1.16,-2.6,0.0069399998,98921.266,36
2020-05-18 18:00:00,2,290,316,725,0,45.7,1.0699999,-3.36,0.00557,98845.66,72
2020-05-19 00:00:00,2,282.7,302,446,0,63.9,1.43,-2.22,0.00482,98931.37,75
2020-05-19 06:00:00,2,277.1,273,0,0,71,-0.87,-1.49,0.0036199999,99050.336,82
2020-05-19 12:00:00,2,281.1,258,72,0,58.9,-1.3199999,-4.38,0.00395,99271.016,89
2020-05-19 18:00:00,2,287.4,267,815,0,40.8,0.53999996,-5.2599998,0.00419,99155.13,72
2020-05-20 00:00:00,2,280.80002,265,507,0,60.100002,0.63,-2.6399999,0.00395,99247.33,39
2020-05-20 06:00:00,2,278.2,297,0,0,66.4,-1.15,-1.35,0.0036499999,99114.875,95
2020-05-20 12:00:00,2,281.1,247,86,0,59,-1.29,-3.33,0.00396,99173.59,12
2020-05-20 18:00:00,2,289,268,838,0,38.7,0.79999995,-4.58,0.0044,99146.125,0
2020-05-21 00:00:00,2,280.9,270,515,0,66.1,0.5,-1.77,0.0043699997,99171.37,1
2020-05-21 06:00:00,2,271.7,241,0,0,90.8,-0.39999998,-0.25,0.00314,99053.15,0
2020-05-21 12:00:00,2,283.30002,241,88,0,44.7,0.11,-0.14999999,0.00348,99072.19,0
2020-05-21 18:00:00,2,295.30002,276,843,0,24.5,1.52,-0.25,0.00417,98779.18,5
2020-05-22 00:00:00,2,286.2,298,511,0,72.4,2.21,0.42,0.0069199996,98497.85,0
2020-05-22 06:00:00,2,280.5,278,0,0,87.6,0.76,2.03,0.0056999996,98401.9,0
2020-05-22 12:00:00,2,285.9,272,86,0,64.4,-0.25,1.81,0.00604,98244.484,0
2020-05-22 18:00:00,2,298.4,307,829,0,30.6,0.48999998,2.25,0.00633,97919.85,1
2020-05-23 00:00:00,2,289.9,323,506,0,68.3,1.0699999,1.89,0.00834,97830.35,1
2020-05-23 06:00:00,2,284.7,300,0,0,73.1,-0.32999998,1.9399999,0.00634,97831.164,1
2020-05-23 12:00:00,2,289.4,297,85,0,69.5,-2.28,-0.41,0.00822,97976.3,1
2020-05-23 18:00:00,2,295.80002,324,810,0,43.9,0.07,-3.3,0.0077299997,98090.69,2
2020-05-24 00:00:00,2,286.30002,328,475,0,56.5,1.23,-1.8399999,0.0054599997,98338.75,16
2020-05-24 06:00:00,2,279.30002,287,0,0,54,-1.1999999,-0.45999998,0.0032199998,98496.805,1
2020-05-24 12:00:00,2,285,276,85,0,49.4,-0.39999998,-1.88,0.00435,98652.5,3
2020-05-24 18:00:00,2,292.6,299,817,0,37.7,1.8399999,-3,0.00543,98551.99,6
2020-05-25 00:00:00,2,284.80002,303,503,0,63,1.09,-1.67,0.0054599997,98530.33,12
2020-05-25 06:00:00,2,278.4,280,0,0,78.4,1.18,-0.59,0.00439,99018.39,22
2020-05-25 12:00:00,2,283.9,279,70,0,55.100002,1.13,-0.96,0.0045,99041.27,63
2020-05-25 18:00:00,2,292.2,318,660,0,36.8,2.77,-1.65,0.00514,98919.36,88
2020-05-26 00:00:00,2,286.00998,341,284,7e-6,68.200005,1.0799999,-1.6899999,0.0063799997,98737.39,81
2020-05-26 06:00:00,2,279,297,0,0,87.6,1.3399999,-1.0699999,0.0050899996,98711.56,32
2020-05-26 12:00:00,2,281.2,292,48,2.5e-5,86.4,1.65,-0.95,0.00588,98738.914,65
2020-05-26 18:00:00,2,285.9,351,191,3.52e-4,96.200005,2.47,-0.25,0.00899,98616.31,92
2020-05-27 00:00:00,2,287.46,373,158,3.1e-5,98.1,1.5,-0.24,0.010129999,98700.29,85
2020-05-27 06:00:00,2,285.9,357,0,3e-6,98.700005,0.68,1.05,0.0091699995,98819.336,63
2020-05-27 12:00:00,2,289.7,346,58,5e-6,94.6,0.65,0.38,0.01124,98921.25,64
2020-05-27 18:00:00,2,298.5,379,562,6e-6,59.9,1.65,0.58,0.01234,98920.68,75
2020-05-28 00:00:00,2,294.1,384,380,2e-6,88.3,1.9399999,-0.13,0.0138799995,98865.11,48
2020-05-28 06:00:00,2,291.7,370,0,7e-6,96.4,2.11,1.4699999,0.01301,98789.555,38
2020-05-28 12:00:00,2,293.2,382,58,1.1e-5,94.1,1.9699999,1.6899999,0.013929999,98814.766,73
2020-05-28 18:00:00,2,298.4,408,420,1.5e-5,73,2.6299999,2.97,0.0149,98646.734,77
2020-05-29 00:00:00,2,295.63,403,293,4.6e-5,88.700005,0.39999998,2.27,0.01535,98583.24,62
2020-05-29 06:00:00,2,288.80002,349,0,0,97.4,-1.77,1.28,0.010989999,98733.54,54
2020-05-29 12:00:00,2,288.9,307,78,0,79,-2.1699998,1.09,0.00892,99138.25,47
