forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-13 18:00:00,1,281.4,9999e17,9999e17,9999e17,68.700005,-1.86,-1.0699999,0.00499,93314.85,9999e17
2020-05-14 00:00:00,1,284.59,299,495,2e-6,53.7,-2.19,-3.1999998,0.00482,93327.71,50
2020-05-14 06:00:00,1,281.2,278,318,0,56.5,-2.06,-2.9199998,0.00404,93344.85,30
2020-05-14 12:00:00,1,274.6,248,2,0,70.9,-0.79999995,-1.9499999,0.0032,93422.21,15
2020-05-14 18:00:00,1,278.1,258,152,3e-6,55.100002,-1.81,-2.05,0.0031899998,93436.53,27
2020-05-15 00:00:00,1,282.22998,286,455,6.3e-5,51.3,-1.29,-2.3799999,0.00381,93518.81,56
2020-05-15 06:00:00,1,279.30002,315,147,9.8e-5,73.4,-0.11,-1.4399999,0.00457,93635.27,87
2020-05-15 12:00:00,1,276,295,1,2.6e-5,84,1.0699999,-1.0799999,0.00416,93863.805,80
2020-05-15 18:00:00,1,282.5,258,186,2e-6,56.4,-0.14999999,-0.06,0.00438,94056.74,16
2020-05-16 00:00:00,1,286,279,617,1e-6,43.5,-1.99,0.48,0.00422,94084.58,19
2020-05-16 06:00:00,1,281.6,280,327,1e-6,55.2,-1.5799999,0.45,0.00404,94030,17
2020-05-16 12:00:00,1,274,251,3,0,77.700005,-0.07,0.91999996,0.0033399998,94074.586,2
2020-05-16 18:00:00,1,282.4,243,197,0,37.3,-1.77,0.69,0.00288,94082.74,1
2020-05-17 00:00:00,1,285.2,251,691,0,29.7,-2.86,1.14,0.00277,94009.1,2
2020-05-17 06:00:00,1,280.6,251,373,0,42.4,-2.51,-0.16,0.00289,94023.98,2
2020-05-17 12:00:00,1,272,234,3,0,74.1,-0.17999999,-1.04,0.00275,94026.58,3
2020-05-17 18:00:00,1,279.6,229,201,0,41.600002,-1.9799999,-1.14,0.0026699998,93939.9,2
2020-05-18 00:00:00,1,285,244,697,0,29.300001,-2.37,-1.3399999,0.0026999998,93785.055,8
2020-05-18 06:00:00,1,281.4,255,369,0,43.4,-1.27,-1.66,0.0031299999,93634.75,15
2020-05-18 12:00:00,1,275.7,245,3,0,69.200005,1.39,-1.55,0.00339,93448.234,1
2020-05-18 18:00:00,1,284.5,253,197,0,43.2,1.24,-2.11,0.00387,93203.04,14
2020-05-19 00:00:00,1,288.9,293,589,1e-6,34.3,3.74,-1.3399999,0.00408,92995.805,66
2020-05-19 06:00:00,1,284.6,315,231,4e-6,48.5,3.34,-0.55,0.00438,92938.695,83
2020-05-19 12:00:00,1,280.1,283,3,0,69.3,4.0499997,0.07,0.00463,93041.01,75
2020-05-19 18:00:00,1,282.80002,284,134,2e-5,62.7,1.86,1.04,0.00501,93105.81,68
2020-05-20 00:00:00,1,285.7,321,313,1.17e-4,59.5,-0.16,0.71999997,0.00578,93123.33,85
2020-05-20 06:00:00,1,281.9,284,342,5.8999998e-5,74.9,-0.35,0.17999999,0.00566,93128.625,21
2020-05-20 12:00:00,1,277.30002,265,4,1.2e-5,82.200005,3.1,0.52,0.00454,93360.73,34
2020-05-20 18:00:00,1,280.4,291,104,2.1e-5,60.600002,1.77,2.1499999,0.00414,93573.305,87
2020-05-21 00:00:00,1,285.7,301,445,1e-5,32.9,1.18,1.01,0.0032,93558.23,93
2020-05-21 06:00:00,1,282.30002,291,249,1e-6,40.5,2.08,-1.0699999,0.0031599998,93482.555,80
2020-05-21 12:00:00,1,277.30002,241,5,0,54.7,4.5,-0.78,0.00297,93490.31,15
2020-05-21 18:00:00,1,282.1,259,164,0,42.2,4.87,-0.81,0.0032,93388.63,66
2020-05-22 00:00:00,1,287,280,609,2e-6,33,3.78,-0.77,0.0034699999,92566.81,60
2020-05-22 06:00:00,1,283.9,272,373,0,45,2.28,-1.17,0.0038899998,92437.664,35
2020-05-22 12:00:00,1,278.6,283,3,2e-6,67.1,3.5,-0.66999996,0.00405,92462.74,86
2020-05-22 18:00:00,1,282.1,285,130,1e-5,51.5,3.03,-0.02,0.0039399997,92473.83,94
2020-05-23 00:00:00,1,287.5,293,541,6e-6,31.7,3.04,-0.17,0.0034699999,92420.11,86
2020-05-23 06:00:00,1,284.1,290,342,0,41.7,2.3,0.22,0.00367,92507.14,39
2020-05-23 12:00:00,1,277.9,254,5,0,63.8,3.3999999,-0.08,0.0036499999,92716.08,17
2020-05-23 18:00:00,1,283.9,252,202,0,38.3,1.8299999,0.66999996,0.00333,92747.4,43
2020-05-24 00:00:00,1,290.1,282,645,1e-6,24.2,1.25,-0.42999998,0.00312,92578.164,63
2020-05-24 06:00:00,1,284.80002,307,290,4e-6,42.8,0.85999995,-0.32,0.00398,92516.87,67
2020-05-24 12:00:00,1,279.80002,279,4,4e-6,55.4,2.95,-0.13,0.00363,92478.45,55
2020-05-24 18:00:00,1,284.5,285,164,4e-6,40,2.52,0.34,0.00361,92389.305,77
2020-05-25 00:00:00,1,289.7,287,652,2e-6,26.2,2.28,-0.51,0.00333,92184.4,39
2020-05-25 06:00:00,1,285.7,293,323,4e-6,38.9,2.4099998,-0.35999998,0.0038299998,92144.96,40
2020-05-25 12:00:00,1,279.30002,264,6,0,60.9,3.49,-0.14,0.00387,92192.04,39
2020-05-25 18:00:00,1,284,261,200,0,38.7,2.23,0.53999996,0.00339,92135.18,56
2020-05-26 00:00:00,1,290.80002,285,653,2e-6,23.6,1.12,0.17,0.0032,91948.15,62
2020-05-26 06:00:00,1,284.7,316,242,1.1e-5,43.4,1.15,0.63,0.0039999997,91938.01,82
2020-05-26 12:00:00,1,279.7,295,5,1.3e-5,63.600002,2.6599998,1.15,0.00414,92051.11,63
2020-05-26 18:00:00,1,283.30002,289,159,1.6e-5,46.5,1.3299999,2.18,0.0038599998,92080.52,65
2020-05-27 00:00:00,1,285.5,304,475,5.8999998e-5,50.4,-0.47,2.31,0.00476,92061.59,74
2020-05-27 06:00:00,1,281.9,331,114,2.27e-4,79.5,1.28,1.4599999,0.0060099997,92195.51,95
2020-05-27 12:00:00,1,278.4,308,2,1.93e-4,94.4,1.9799999,1.2099999,0.00567,92485.75,80
2020-05-27 18:00:00,1,283.30002,274,198,4.7e-5,71.1,1.51,1.5799999,0.0058899997,92746.05,61
2020-05-28 00:00:00,1,289.1,293,644,8.3e-5,49.7,0.65,1.48,0.0058899997,92903.87,45
2020-05-28 06:00:00,1,284.5,297,353,1.45e-4,66.9,2.46,1.24,0.0058399998,93110.49,69
2020-05-28 12:00:00,1,279,266,7,1e-6,75.200005,3.9199998,0.02,0.00462,93392.04,18
2020-05-28 18:00:00,1,284.30002,258,220,0,46.3,3.73,-0.53999996,0.00405,93403.28,5
2020-05-29 00:00:00,1,289.5,273,699,0,29.9,3.84,-1.0699999,0.0037,93266.5,42
2020-05-29 06:00:00,1,286.1,279,385,0,40.7,2.6,-1.13,0.00404,93024.19,60
2020-05-29 12:00:00,1,280.4,280,6,0,54.9,3.99,-0.71,0.00375,92988.555,83
2020-05-29 18:00:00,1,282.4,291,125,1.1e-5,46.5,3.6,-0.25,0.00358,92920.74,89
2020-05-13 18:00:00,2,281.4,9999e17,9999e17,9999e17,68.8,-1.87,-1.22,0.005,93329.64,9999e17
2020-05-14 00:00:00,2,285.06,294,544,1e-6,52.5,-2.26,-3.1499999,0.00487,93311.85,40
2020-05-14 06:00:00,2,281.5,278,326,0,57.8,-2.03,-2.9199998,0.00421,93345.375,34
2020-05-14 12:00:00,2,274.7,250,2,0,72.4,-0.9,-1.86,0.00329,93444.25,26
2020-05-14 18:00:00,2,278.4,257,163,2e-6,56.100002,-1.8399999,-1.9499999,0.0033099998,93465.09,27
2020-05-15 00:00:00,2,282.6,287,455,5.2e-5,50.2,-1.4699999,-2.37,0.00382,93558.24,55
2020-05-15 06:00:00,2,280.5,316,164,5.1e-5,63.7,-0.64,-1.79,0.0042399997,93668.97,83
2020-05-15 12:00:00,2,275.30002,273,1,1e-5,83.200005,0.66999996,-1.22,0.00395,93915.77,49
2020-05-15 18:00:00,2,281.6,256,186,1e-6,55,-1.25,-0.45999998,0.00405,94060.7,11
2020-05-16 00:00:00,2,286,266,669,0,38.8,-2.6599998,0.11,0.0037699998,94021.14,8
2020-05-16 06:00:00,2,281,263,362,0,46.8,-1.65,0.5,0.00329,93949.02,3
2020-05-16 12:00:00,2,273.1,239,3,0,55.9,-0.59,1.11,0.00227,93923.69,1
2020-05-16 18:00:00,2,280.5,229,201,0,37.7,-2.45,-0.16,0.00257,93952.375,1
2020-05-17 00:00:00,2,284,243,697,0,32,-3.4299998,-0.32,0.0027599998,93872.125,1
2020-05-17 06:00:00,2,279.6,249,367,0,45.2,-2.48,-0.78999996,0.00288,93892.875,7
2020-05-17 12:00:00,2,271.6,230,3,0,70,-0.19999999,-1.28,0.00254,93873.71,1
2020-05-17 18:00:00,2,278.80002,225,202,0,41.600002,-1.9699999,-1.1899999,0.00253,93789.1,1
2020-05-18 00:00:00,2,284.6,246,689,0,32,-1.9599999,-1.39,0.00288,93660.08,7
2020-05-18 06:00:00,2,281.2,262,353,0,46.5,-0.94,-1.4599999,0.0033099998,93479.875,13
2020-05-18 12:00:00,2,276.4,249,3,0,65.200005,1.9599999,-1.38,0.00336,93274.984,27
2020-05-18 18:00:00,2,284.7,255,193,0,39.100002,2.6599998,-1.48,0.00357,93010.65,25
2020-05-19 00:00:00,2,286.9,304,469,9e-6,37.7,5.21,-0.48999998,0.00398,92873.98,82
2020-05-19 06:00:00,2,283.9,281,341,0,48.4,4.42,0.07,0.00415,92941.555,51
2020-05-19 12:00:00,2,279.80002,273,3,0,66.1,4.88,0.17999999,0.0043099998,93111.59,73
2020-05-19 18:00:00,2,281.9,284,123,2.4e-5,57.8,2.6,0.95,0.00439,93278.37,68
