forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-12 18:00:00,1,284.30002,9999e17,9999e17,9999e17,38.3,-1.9499999,6.7599998,0.00321,98944.05,9999e17
2020-05-13 00:00:00,1,279.33,254,495,0,49,-1.68,4.8599997,0.0029199999,99388.85,9
2020-05-13 06:00:00,1,274.30002,236,0,0,59.2,-1.89,4.5299997,0.00245,99679.19,24
2020-05-13 12:00:00,1,276.1,221,79,0,56.3,-1.87,4.1,0.00265,100033.12,0
2020-05-13 18:00:00,1,285.03,242,841,0,34.100002,-2.5,6.41,0.00296,99970.22,0
2020-05-14 00:00:00,1,280.88998,260,497,0,55.5,-1.54,3.1899998,0.00364,100076.71,2
2020-05-14 06:00:00,1,275,243,0,0,69.4,-1.4399999,2.1499999,0.0030099999,100343.234,0
2020-05-14 12:00:00,1,279.6,235,77,0,55.8,-0.35999998,2.4199998,0.00332,100436.79,25
2020-05-14 18:00:00,1,289.6,262,835,0,35.9,2.36,4.88,0.00421,100034,30
2020-05-15 00:00:00,1,284.38,299,464,0,71,4.14,3.26,0.00592,99814.26,39
2020-05-15 06:00:00,1,282.2,317,0,3.6e-5,96.200005,3.1799998,0.21,0.00696,99408.4,88
2020-05-15 12:00:00,1,287,359,15,7.94e-4,98.200005,4.0099998,3.47,0.00981,98753.51,99
2020-05-15 18:00:00,1,292.6,389,275,6.5e-5,86.200005,6.08,7.83,0.012379999,98393.375,94
2020-05-16 00:00:00,1,291.7,383,244,3.55e-4,89.8,-1.26,3.4299998,0.012159999,98412.375,84
2020-05-16 06:00:00,1,285.80002,346,0,1.25e-4,97.6,-1.5,-0.39,0.0090499995,98725.4,48
2020-05-16 12:00:00,1,284.6,349,33,1.2e-5,92.1,-3.07,-2.6499999,0.00784,99312.6,74
2020-05-16 18:00:00,1,287.30002,360,255,1.8e-5,73.8,-2.6399999,-3.25,0.0074699996,99751.83,92
2020-05-17 00:00:00,1,284.80002,346,268,3e-6,78.8,-0.28,-2.51,0.0067499997,99979.77,68
2020-05-17 06:00:00,1,279,278,0,0,94.200005,0.16,-1.89,0.00543,100036.53,3
2020-05-17 12:00:00,1,282.5,267,77,0,78.3,1.52,-3.02,0.00574,100062.37,15
2020-05-17 18:00:00,1,289.2,306,733,0,64.1,5.44,-3.73,0.00732,99702.21,51
2020-05-18 00:00:00,1,283.9,361,132,6.3e-5,95.5,2.6399999,-2.99,0.0077299997,99410.6,95
2020-05-18 06:00:00,1,283.80002,362,0,4.22e-4,98.5,1.1999999,-2.4299998,0.00797,98966.46,99
2020-05-18 12:00:00,1,284.9,366,3,0.0010929999,98.5,0.9,-2.02,0.00863,98644.93,100
2020-05-18 18:00:00,1,287.30002,376,66,2.67e-4,96.8,-2.6799998,-2.86,0.0099,98513.52,100
2020-05-19 00:00:00,1,282.6,365,59,1.09e-4,94.3,-6.5899997,-3.8999999,0.0070599997,98681.44,100
2020-05-19 06:00:00,1,280,345,0,7.3e-5,93.6,-7.6499996,-4.1,0.00587,98697.39,100
2020-05-19 12:00:00,1,281,339,17,3e-5,89.200005,-8.29,-3.59,0.00598,98803.86,99
2020-05-19 18:00:00,1,284.2,341,306,1.5e-5,79.5,-8.2,-4.92,0.00661,98899.35,92
2020-05-20 00:00:00,1,284.1,349,79,1.9e-5,81.8,-5.31,-4.27,0.0067499997,99031.65,99
2020-05-20 06:00:00,1,282.1,314,0,0,77.200005,-4.66,-3.79,0.00556,99156.51,95
2020-05-20 12:00:00,1,282.30002,305,62,0,69.1,-6.12,-4.89,0.0050299997,99358.39,96
2020-05-20 18:00:00,1,290,286,807,0,48.8,-4.19,-5.95,0.00588,99387.414,69
2020-05-21 00:00:00,1,284.80002,288,507,0,72.200005,-0.83,-2.31,0.0061899996,99907.6,7
2020-05-21 06:00:00,1,278.2,265,0,0,87.5,-1.18,-0.28,0.00477,99915.89,0
2020-05-21 12:00:00,1,286.6,271,82,0,60.3,0.16,0.65,0.00581,99942.27,0
2020-05-21 18:00:00,1,297.6,312,819,0,40.100002,0.55,-0.14,0.00777,99760.1,0
2020-05-22 00:00:00,1,289.6,334,492,0,71.5,3.53,-0.049999997,0.008429999,99643.84,0
2020-05-22 06:00:00,1,284.4,316,0,0,78.3,1.99,1.9799999,0.0065599997,99549.57,1
2020-05-22 12:00:00,1,289.4,324,80,0,82.6,0.84,2.36,0.009579999,99387.984,2
2020-05-22 18:00:00,1,302.4,365,795,0,50.2,-0.06,3.6999998,0.01294,99136.78,5
