forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-16 06:00:00,1,292.4,9999e17,9999e17,9999e17,82.200005,1.51,-3.05,0.01138,100767.81,9999e17
2020-05-16 12:00:00,1,291.9,339,19,0,90.1,-0.26999998,-3.3999999,0.01212,100796.31,0
2020-05-16 18:00:00,1,303.4,370,743,0,42.3,-1.9499999,-4.7,0.01143,100717.18,8
2020-05-17 00:00:00,1,300.6,404,560,0,53.9,0,-3.53,0.012329999,100430.96,30
2020-05-17 06:00:00,1,293.4,369,1,0,84.700005,1.04,-2.6599998,0.01248,100681.305,28
2020-05-17 12:00:00,1,293.1,351,19,0,91.1,-0.81,-3.1399999,0.01318,100595.54,33
2020-05-17 18:00:00,1,304.1,376,739,0,38.9,-1.6999999,-1.36,0.010869999,100557.75,22
2020-05-18 00:00:00,1,301.2,401,592,5e-6,51.4,0.65999997,3.1599998,0.01218,100359.91,10
2020-05-18 06:00:00,1,293.80002,385,1,3e-5,95.200005,0.31,2.8999999,0.014479999,100345.625,51
2020-05-18 12:00:00,1,294.4,371,18,0,92.5,1.4399999,3.27,0.014649999,100299.18,74
2020-05-18 18:00:00,1,303.80002,391,680,1e-6,42.100002,2.36,5.48,0.01169,100131.79,59
2020-05-19 00:00:00,1,301,425,303,1e-6,49.2,4,3.9499998,0.01164,99931.71,80
2020-05-19 06:00:00,1,294.5,368,1,0,77,1.2099999,4.14,0.01225,100046.98,10
2020-05-19 12:00:00,1,291.2,328,21,0,73.700005,-0.19999999,3,0.00949,100170.74,0
2020-05-19 18:00:00,1,301.2,359,676,1e-6,44.2,1.9599999,7.83,0.010489999,99984.59,14
2020-05-20 00:00:00,1,296.80002,397,267,1.43e-4,71.200005,1.09,5.02,0.01308,99771.93,43
2020-05-20 06:00:00,1,291.80002,386,1,1.1e-5,69.5,-3.26,-0.5,0.00935,99989.08,65
2020-05-20 12:00:00,1,289.5,350,21,0,71.5,-2.04,1.4699999,0.0083,100126.02,44
2020-05-20 18:00:00,1,300,341,750,0,37.9,-0.44,5.3599997,0.0084,100073.086,1
2020-05-21 00:00:00,1,298,375,593,0,48.8,-2.1,1.63,0.00961,99907.6,17
2020-05-21 06:00:00,1,291.4,391,0,0,73.9,-0.049999997,0.35,0.00967,100054.98,72
2020-05-21 12:00:00,1,293.1,341,21,0,69,0.59,0.22,0.01003,100087.9,3
2020-05-21 18:00:00,1,301.9,378,724,3.8e-5,48.5,2.48,3.8799999,0.011969999,100053.414,10
2020-05-22 00:00:00,1,299.5,419,427,1e-6,49.5,-0.25,2.2,0.01069,99907.08,60
2020-05-22 06:00:00,1,293.4,372,1,0,72.8,0.5,3.4499998,0.010799999,100166.336,27
2020-05-22 12:00:00,1,292.6,336,22,0,78.3,0.12,1.86,0.011,100383.59,0
2020-05-22 18:00:00,1,304.2,366,755,0,34.9,0.17,5.72,0.00985,100317.13,0
2020-05-23 00:00:00,1,300.30002,379,619,0,41.600002,-2.22,2.61,0.0094099995,100216.74,0
2020-05-23 06:00:00,1,292.6,346,2,0,60.4,-2.59,0.57,0.0084999995,100457.52,0
2020-05-23 12:00:00,1,293.7,337,21,0,68.200005,-1.6999999,-0.04,0.01028,100611.06,0
2020-05-23 18:00:00,1,304.2,367,751,0,35.4,-3.85,4.16,0.01002,100558.92,0
2020-05-24 00:00:00,1,301.2,385,620,0,44.3,-2.6799998,0.96,0.01054,100382.87,0
2020-05-24 06:00:00,1,294.1,354,2,0,57.5,-2.61,-1.3299999,0.00889,100529.99,0
2020-05-24 12:00:00,1,294.5,343,22,0,67.5,-2.08,-0.28,0.01067,100650.48,0
2020-05-24 18:00:00,1,305.5,376,749,0,34.2,-4.68,1.38,0.01043,100547.38,0
2020-05-25 00:00:00,1,303.1,399,610,0,41.600002,-2.87,0.48,0.01105,100416.81,3
2020-05-25 06:00:00,1,295.7,379,2,0,57.600002,-2.46,-0.16,0.00981,100399.35,3
2020-05-25 12:00:00,1,295.4,368,22,2e-6,69.1,-2.87,0.48999998,0.01155,100517.81,8
2020-05-25 18:00:00,1,306,386,742,0,32.600002,-3.8899999,0.47,0.01019,100435.96,6
2020-05-26 00:00:00,1,303.30002,397,616,0,36.9,-2.22,-1.87,0.00991,100241.23,7
2020-05-26 06:00:00,1,296.4,372,2,0,63.4,1.62,-3.8899999,0.011299999,100456.2,4
2020-05-26 12:00:00,1,294.7,359,22,0,79.700005,1.3,-3.3,0.012739999,100600.71,0
2020-05-26 18:00:00,1,304.80002,392,708,0,38.8,-1.55,-3.3799999,0.01136,100656.74,5
2020-05-27 00:00:00,1,301.9,422,413,0,47.9,-1.29,-3.1899998,0.01189,100542.02,43
2020-05-27 06:00:00,1,294.6,376,2,6e-6,74.4,1.05,-3.1899998,0.011849999,100788.25,1
2020-05-27 12:00:00,1,293.9,359,22,0,80.4,0.52,-2.11,0.012259999,100924,0
2020-05-27 18:00:00,1,304.30002,382,744,0,39.5,-2.8,-4.0699997,0.01115,100883.85,1
2020-05-28 00:00:00,1,302.6,399,616,0,42.600002,-2.07,-3.6399999,0.0109399995,100697.586,3
2020-05-28 06:00:00,1,294.80002,371,2,0,68.8,1.9,-2.78,0.01105,100920.68,1
2020-05-28 12:00:00,1,293.5,348,23,0,80.200005,0.84,-2.1699998,0.01187,101045.98,0
2020-05-28 18:00:00,1,304.9,369,758,0,30.4,-1.0799999,-4.14,0.0089,100947.21,0
2020-05-29 00:00:00,1,302.7,386,626,0,37.9,-1.18,-2.99,0.009769999,100780.63,3
2020-05-29 06:00:00,1,295.1,372,2,0,75.3,2.37,-2.57,0.0123499995,100934.18,5
2020-05-29 12:00:00,1,293.80002,357,22,0,87.3,1.5,-2.09,0.01322,101067.266,5
2020-05-29 18:00:00,1,305,377,752,0,31,-0.89,-3.48,0.00911,100935.055,2
2020-05-30 00:00:00,1,302.9,388,624,0,37.3,-1.04,-2.83,0.00975,100724.87,2
2020-05-30 06:00:00,1,295.4,374,2,0,68.5,2.3,-2.77,0.01139,100928.21,11
2020-05-30 12:00:00,1,294.2,360,22,0,81.8,1.5999999,-2.3999999,0.01263,101064.18,0
2020-05-30 18:00:00,1,305.30002,383,746,0,32.8,-0.48,-2.86,0.00978,100965.125,1
2020-05-31 00:00:00,1,303.5,396,620,0,35.8,-1.27,-3.12,0.009649999,100828,3
2020-05-31 06:00:00,1,295,379,2,4e-6,86.9,1.88,-2.54,0.01407,101132.15,10
2020-05-31 12:00:00,1,294.4,365,20,0,92.6,0.16,-3.1999998,0.0144299995,101268.99,14
2020-05-31 18:00:00,1,305.1,393,717,1e-6,38.2,-0.61,-4.13,0.011299999,101131.54,26
2020-06-01 00:00:00,1,301.9,417,519,0,50.7,1.87,-3.09,0.01244,100996.125,75
2020-06-01 06:00:00,1,294.2,379,2,1e-5,84.4,0.32,-3.1799998,0.01297,101122.99,59
2020-05-16 06:00:00,2,292.30002,9999e17,9999e17,9999e17,84,1.23,-3.1699998,0.0116,100738.22,9999e17
2020-05-16 12:00:00,2,291.9,337,20,0,90.9,-0.08,-3.35,0.01219,100737.04,1
2020-05-16 18:00:00,2,303.4,367,746,0,42.5,-1.74,-4.92,0.01141,100665.19,1
2020-05-17 00:00:00,2,300.6,399,584,0,53.8,-1,-3.35,0.0123499995,100416.46,20
2020-05-17 06:00:00,2,293.7,377,1,0,83.1,1.24,-2.6399999,0.012499999,100627.18,32
2020-05-17 12:00:00,2,293.30002,355,18,0,89.6,-0.48999998,-3,0.01318,100582.71,48
2020-05-17 18:00:00,2,304.2,379,732,0,39.2,-1.8499999,-2.08,0.01107,100491.086,45
2020-05-18 00:00:00,2,300.30002,407,553,0,59.100002,-0.04,3.47,0.013309999,100315.336,26
2020-05-18 06:00:00,2,294,379,1,1.48e-4,95.5,0.71,2.35,0.01469,100312.836,34
2020-05-18 12:00:00,2,294,368,15,0,92.5,2.69,2.72,0.01419,100298.086,62
2020-05-18 18:00:00,2,303.30002,400,628,1.4e-5,50.100002,5.48,5.8199997,0.01352,100080.38,67
2020-05-19 00:00:00,2,300.4,418,426,1.9e-5,53.3,3.4099998,4.31,0.01212,99897.77,80
2020-05-19 06:00:00,2,294.80002,373,1,0,77.1,3.4399998,4.24,0.01251,99918.29,60
2020-05-19 12:00:00,2,292.30002,352,20,0,81.700005,-1.16,3.74,0.01138,99960.875,24
2020-05-19 18:00:00,2,300.2,353,755,0,40.9,0.42999998,7.47,0.00923,99801.14,1
2020-05-20 00:00:00,2,297.2,358,621,0,48.4,-1.64,3.4399998,0.00912,99689.695,2
2020-05-20 06:00:00,2,289,360,1,0,67.700005,-2.6,1.22,0.00762,100006.77,43
2020-05-20 12:00:00,2,287.1,311,21,0,77.3,-1.9399999,2.69,0.00769,100044.14,4
2020-05-20 18:00:00,2,297.1,327,754,0,42.5,-1.06,4.1,0.0078799995,100042.37,1
2020-05-21 00:00:00,2,296.28696,370,555,0,50.2,-1.12,2.36,0.008909999,99883.55,32
2020-05-21 06:00:00,2,291.80002,386,1,0,61.100002,-1.91,0.48999998,0.00825,100000.94,83
2020-05-21 12:00:00,2,290.4,333,20,0,70.4,-0.83,-1.31,0.00865,100139.695,19
