forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-12 12:00:00,1,287.00998,9999e17,9999e17,9999e17,53.8,-0.22,-0.21,0.0062599997,84943.62,9999e17
2020-05-12 18:00:00,1,299.63998,307,523,0,15.8,4.0299997,1.41,0.00404,84949.14,0
2020-05-13 00:00:00,1,301.63,326,846,0,9.2,5.8799996,7.27,0.00266,84622.414,1
2020-05-13 06:00:00,1,291.5,305,51,0,22.6,-1.2099999,2.01,0.00351,84780.46,0
2020-05-13 12:00:00,1,287.1,289,0,0,30.800001,-0.37,1.25,0.0036199999,84817.39,0
2020-05-13 18:00:00,1,298.81,295,532,0,12.400001,4.44,3.1699998,0.00303,84874.586,0
2020-05-14 00:00:00,1,300.91998,312,859,0,7.7000003,5.0099998,7.6499996,0.00214,84593.26,0
2020-05-14 06:00:00,1,290.80002,293,52,0,18,-0.38,2.81,0.00269,84876.805,0
2020-05-14 12:00:00,1,286.30002,278,0,0,28.5,-1.27,0.61,0.00318,84903.3,0
2020-05-14 18:00:00,1,298.30002,291,526,0,12.6,3.49,0.68,0.00297,84956.625,34
2020-05-15 00:00:00,1,301.53998,324,831,0,8.400001,5.14,6.0099998,0.00241,84547.164,55
2020-05-15 06:00:00,1,292.5,321,43,0,18.6,-0.45,2.25,0.00309,84736.3,94
2020-05-15 12:00:00,1,288.4,304,0,0,23.2,-1.66,0.78999996,0.0029499999,84743.445,94
2020-05-15 18:00:00,1,297.80002,318,400,0,11.6,0.19999999,-1.22,0.00266,84787.12,92
2020-05-16 00:00:00,1,301.7,341,704,0,7.7000003,5.35,3.61,0.00225,84414.016,90
2020-05-16 06:00:00,1,293.4,305,46,0,17.2,-1.63,5.54,0.00302,84508.85,31
2020-05-16 12:00:00,1,289,290,0,0,25.300001,-3.08,1.91,0.00335,84658.87,1
2020-05-16 18:00:00,1,300.80002,301,534,0,11.1,-2.51,-1.4499999,0.00305,84768.266,0
2020-05-17 00:00:00,1,303.6,331,856,0,7.7000003,2.3799999,1.62,0.0024899999,84501.125,1
2020-05-17 06:00:00,1,294.4,313,54,0,15.400001,-0.45999998,4.21,0.00289,84772.375,1
2020-05-17 12:00:00,1,290,298,0,0,25.1,-1.87,1.02,0.00354,84891.445,0
2020-05-17 18:00:00,1,302.1,309,535,0,11,1.9,-0.58,0.00326,85088.53,6
2020-05-18 00:00:00,1,305.30002,336,856,0,7.2000003,4.47,1.9499999,0.00259,84820.96,1
2020-05-18 06:00:00,1,294.6,319,54,0,17.5,2.11,-1.16,0.0033,85051.016,2
2020-05-18 12:00:00,1,290.4,313,0,0,52.8,1.68,-1.5799999,0.0076599997,85165.18,18
2020-05-18 18:00:00,1,301.9,329,522,0,24.6,5.23,-1.24,0.00719,85164.65,7
2020-05-19 00:00:00,1,305.35,359,838,0,11.900001,5.92,-0.95,0.0042999997,84774.14,4
2020-05-19 06:00:00,1,295.6,338,53,0,37.100002,5.6,-2.1,0.0074199997,84990.15,4
