forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-04 18:00:00,1,285.5,9999e17,9999e17,9999e17,87.3,-0.06,-8.099999,0.00813,96491.99,9999e17
2020-05-05 00:00:00,1,289.1,346,532,4e-6,74.5,-3.78,2.22,0.00871,96571.36,47
2020-05-05 06:00:00,1,284.1,315,10,1e-6,87,-3.9099998,4.5299997,0.00731,96969.23,27
2020-05-05 12:00:00,1,282.9,272,3,0,60.600002,-5.38,3.73,0.0047,97135.96,1
2020-05-05 18:00:00,1,292.5,275,623,0,33.4,-8.429999,4.72,0.00484,97348.375,0
2020-05-06 00:00:00,1,292.4,295,734,0,43.7,-3.78,1.9599999,0.00629,97259.766,0
2020-05-06 06:00:00,1,282.6,285,21,0,60.5,-1.61,-1.12,0.00457,97481.1,2
2020-05-06 12:00:00,1,282.30002,291,3,0,58.7,-2.78,3.46,0.00434,97734.27,29
2020-05-06 18:00:00,1,291.30002,280,615,0,42.3,-5.7999997,1.23,0.0056399996,97838.52,0
2020-05-07 00:00:00,1,290.30002,307,686,0,49.2,-4.02,-1.8499999,0.00618,97622.92,14
2020-05-07 06:00:00,1,281.30002,281,21,0,79.9,1.05,-3.52,0.00551,97766.07,27
2020-05-07 12:00:00,1,279.80002,270,3,0,84.3,2.71,-2.21,0.00527,97530.945,21
2020-05-07 18:00:00,1,287.9,323,297,3.1e-5,68.700005,5.2599998,-3.25,0.0074099996,97101.43,78
2020-05-08 00:00:00,1,286.5,363,54,2.37e-4,92.3,1.16,-3.09,0.00916,96646.89,97
2020-05-08 06:00:00,1,283.5,338,3,2.3e-5,98.3,-0.90999997,-0.74,0.00801,96589.625,66
2020-05-08 12:00:00,1,281.7,317,2,3.1e-5,88.1,-11.19,-2.06,0.00629,96996.766,39
2020-05-08 18:00:00,1,287,305,508,3e-6,43.600002,-10.32,-1.54,0.00441,97760.45,45
2020-05-09 00:00:00,1,285.6,265,747,0,41,-6.45,-0.39999998,0.0037699998,97896.555,0
2020-05-09 06:00:00,1,276.9,248,23,0,59.3,-2.08,-0.79999995,0.0030099999,98094.79,0
2020-05-09 12:00:00,1,276.6,239,3,0,60.7,2.1299999,1.62,0.00302,97993.7,0
2020-05-09 18:00:00,1,288.7,266,602,0,36.600002,5.6,2.49,0.0041199997,97813.664,46
2020-05-10 00:00:00,1,289.4,299,681,0,47.9,4.73,1.61,0.00568,97339.95,35
2020-05-10 06:00:00,1,282.2,278,23,0,65.3,5.48,0.94,0.00484,97372.836,0
2020-05-10 12:00:00,1,279.5,281,3,0,76.8,-4.52,-1.48,0.0047,97657.23,18
2020-05-10 18:00:00,1,288.2,270,618,0,36.5,-6.68,-0.19999999,0.00398,97951.51,3
2020-05-11 00:00:00,1,288.30002,279,741,0,38.9,-3.3,-1.31,0.00428,97777.18,0
2020-05-11 06:00:00,1,280.5,266,24,0,54.4,2.8899999,-2.82,0.00355,97876.31,0
2020-05-11 12:00:00,1,279.9,282,3,0,61.5,4.33,-2.9399998,0.00388,97596.08,59
2020-05-11 18:00:00,1,281.1,330,86,1.91e-4,83.700005,5.39,-4.87,0.00575,97542.18,89
2020-05-12 00:00:00,1,286.1,343,323,9e-6,80.1,4.87,-4.22,0.0077,97062.77,77
2020-05-12 06:00:00,1,283.80002,327,15,3.9e-5,94.4,2.26,-4.35,0.0078,96832.52,51
2020-05-12 12:00:00,1,287.4,359,1,1.32e-4,97.1,2.4299998,-2.6,0.01019,96438.1,97
2020-05-12 18:00:00,1,293,390,142,7.47e-4,88.8,0.72999996,-3.04,0.01335,96281.836,98
2020-05-13 00:00:00,1,287.6,386,304,7.25e-4,92.4,-7.29,-6.44,0.00991,96344.195,93
2020-05-13 06:00:00,1,282.5,360,7,4.3e-5,93.5,-3.1499999,-6.3799996,0.00709,96548.1,100
2020-05-13 12:00:00,1,284.4,354,2,1.5e-5,95.4,-2.34,-4.44,0.00823,96421.766,97
2020-05-13 18:00:00,1,291,372,283,1.6e-5,86.3,-1.31,-4.99,0.01152,96408.016,83
2020-05-14 00:00:00,1,292.9,398,269,2e-5,90,-0.35999998,-5.2599998,0.01349,96211.914,82
