forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-15 00:00:00,1,296.69,9999e17,9999e17,9999e17,80.6,1.02,0.31,0.01528,96052.29,9999e17
2020-05-15 06:00:00,1,289.6,357,16,5.81e-4,95,-5.0099998,-2.6699998,0.01153,96477.15,44
2020-05-15 12:00:00,1,287.2,327,4,0,95.1,-2.9099998,-3.8799999,0.009889999,96683.95,14
2020-05-15 18:00:00,1,294.9,350,453,0,68.1,-2.1299999,-8.61,0.011469999,96791.73,70
2020-05-16 00:00:00,1,294.7,381,589,6.7e-5,80.700005,0.87,-7.04,0.013409999,96626.59,72
2020-05-16 06:00:00,1,291.2,367,9,1.05e-4,96.200005,2.31,-5.75,0.01294,96632.305,77
2020-05-16 12:00:00,1,290.9,358,3,5.8999998e-5,95.8,5.12,-1.3399999,0.01267,96506.66,99
2020-05-16 18:00:00,1,297.9,370,421,2.35e-4,66,4.7,4.11,0.0134,96475.43,97
2020-05-17 00:00:00,1,297.4,388,444,1.61e-4,71.4,-0.71,2.57,0.01409,96453.98,89
2020-05-17 06:00:00,1,285.1,331,18,1e-6,84.9,-4.68,0.26,0.00763,97021.2,69
2020-05-17 12:00:00,1,282.7,286,4,0,91.700005,-4.04,0.77,0.00703,97198.11,12
2020-05-17 18:00:00,1,293.4,298,628,0,52.100002,-6.02,0.21,0.00796,97317,1
2020-05-18 00:00:00,1,293.9,325,738,0,57.5,-4.75,0.32,0.00909,97188.47,1
2020-05-18 06:00:00,1,285.2,303,26,0,76.3,-3.59,-0.58,0.0068599996,97472.53,0
2020-05-18 12:00:00,1,281.4,276,5,0,87.5,-3.72,-0.7,0.00611,97477.87,0
2020-05-18 18:00:00,1,292.6,287,638,0,54.2,-4.16,-2.32,0.00785,97554.4,1
2020-05-19 00:00:00,1,293.4,323,743,0,61.100002,-1.61,-4.5699997,0.00937,97362.734,3
2020-05-19 06:00:00,1,283.9,301,27,0,94.200005,1.29,-3.52,0.0077799996,97568.02,0
2020-05-19 12:00:00,1,282,279,5,0,92.8,1.23,-2.9099998,0.0067399996,97590.15,0
2020-05-19 18:00:00,1,293.6,292,640,0,49.7,2.73,-3.84,0.00768,97536.7,0
2020-05-20 00:00:00,1,294.2,319,754,0,58,2.6599998,-4.38,0.00932,97182.74,5
2020-05-20 06:00:00,1,284.5,293,29,0,85.700005,2.59,-3.4399998,0.0074,97277.52,2
2020-05-20 12:00:00,1,282.2,272,5,0,88.1,2.62,-1.4499999,0.0065099997,97242.77,0
