forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-03 18:00:00,1,295.30002,9999e17,9999e17,9999e17,48.2,-0.28,-4.58,0.00834,97042.98,9999e17
2020-05-04 00:00:00,1,294.88,340,700,0,55.9,1.49,-5.0099998,0.0094,96901.71,1
2020-05-04 06:00:00,1,287,316,19,0,68.3,1.48,-5.27,0.00696,96911.9,10
2020-05-04 12:00:00,1,285.2,313,2,6.2e-5,70.4,3.04,-5.74,0.0063799997,96658.29,76
2020-05-04 18:00:00,1,286.5,363,101,6.31e-4,87.5,2.32,-7.7,0.00866,96462.14,92
2020-05-05 00:00:00,1,289.6,369,210,3e-5,84.200005,-1.88,1.68,0.01021,96491.54,76
2020-05-05 06:00:00,1,284.1,314,12,0,92.6,-5.15,1.74,0.00777,96911.836,16
2020-05-05 12:00:00,1,282,292,2,0,92.3,-3.58,1.12,0.0067399996,97244.12,42
2020-05-05 18:00:00,1,292.5,288,590,0,36.9,-4.73,1.27,0.0053,97433.56,47
2020-05-06 00:00:00,1,293.80002,305,722,0,43.600002,0.21,2.34,0.0068599996,97203.87,23
2020-05-06 06:00:00,1,284.4,296,21,0,59.600002,-2.7,1.14,0.00513,97429.445,5
2020-05-06 12:00:00,1,283.5,284,3,0,69.8,-3.6799998,2.6399999,0.00561,97632.95,1
2020-05-06 18:00:00,1,290.6,281,614,0,43.600002,-6.7999997,0.90999997,0.00554,97906.31,0
2020-05-07 00:00:00,1,290.30002,294,730,0,48,-3.9199998,-1.77,0.0060199997,97666.875,0
2020-05-07 06:00:00,1,282.7,280,21,0,64.8,0.37,-3.56,0.00493,97781.83,12
2020-05-07 12:00:00,1,281.1,275,2,0,75.8,3.29,-0.48,0.00517,97718.7,22
2020-05-07 18:00:00,1,286.1,331,200,6.6e-5,74.9,1.6899999,-2.25,0.00715,97608.766,70
2020-05-08 00:00:00,1,284.6,355,72,1.49e-4,88,1.4499999,-3.8799999,0.00763,97245.766,98
2020-05-08 06:00:00,1,282.6,340,2,1.4e-5,94.700005,-0.19999999,-5.5,0.00719,97247.63,81
2020-05-08 12:00:00,1,281.9,346,0,4.1e-5,93.4,-1.15,-4.75,0.00676,97357.26,96
2020-05-08 18:00:00,1,287.4,332,374,3e-6,59.3,-5.5,-4.44,0.00615,97749.24,64
2020-05-09 00:00:00,1,288.5,308,648,0,49.2,-4.73,-3.1499999,0.00548,97865.375,21
2020-05-09 06:00:00,1,278.7,265,22,0,66.9,-0.71,-2.4299998,0.0038599998,98246.23,0
2020-05-09 12:00:00,1,277.2,244,3,0,66.200005,2.11,-2.24,0.00342,98321.55,0
2020-05-09 18:00:00,1,288.9,261,621,0,37.2,4.3199997,2.05,0.00423,98211.29,28
2020-05-10 00:00:00,1,290.5,294,728,0,49.100002,4.2599998,1.8299999,0.0062499996,97639.086,9
2020-05-10 06:00:00,1,284.6,292,22,0,58.3,5.8399997,2.95,0.00507,97516.586,2
2020-05-10 12:00:00,1,282.1,309,3,0,77.700005,-4.27,1.4399999,0.0056499997,97729.15,34
2020-05-10 18:00:00,1,284.2,310,381,1.1e-5,56.9,-6.15,-2.03,0.00476,98091.02,47
2020-05-11 00:00:00,1,283.7,331,235,4.5e-5,66.700005,-0.45,1.3199999,0.00536,98019.82,85
2020-05-11 06:00:00,1,278.6,273,16,0,82.200005,0.16,2.6499999,0.00471,98112.87,9
2020-05-11 12:00:00,1,277.7,262,3,0,81.8,-0.95,-0.53,0.0044,98054.02,5
2020-05-11 18:00:00,1,284.2,319,214,1.4e-5,65,-0.17,-3.1299999,0.00545,98109.33,77
2020-05-12 00:00:00,1,283.7,336,250,2.9e-5,72.5,-0.34,-3.51,0.0058899997,98038.336,87
2020-05-12 06:00:00,1,278.2,300,7,1e-6,82.9,-0.099999994,-1.56,0.0046,98281.086,54
2020-05-12 12:00:00,1,277,270,4,0,78.5,1,-1.6999999,0.00399,98258.99,19
2020-05-12 18:00:00,1,288,277,605,0,45.600002,4.3199997,-2.6399999,0.0049,98134.04,12
2020-05-13 00:00:00,1,286.94998,333,453,1.3e-5,59.5,3.9599998,-3.1499999,0.00599,97727.914,66
2020-05-13 06:00:00,1,284.1,331,13,1e-6,62.7,4.33,-2.34,0.00526,97644.74,61
2020-05-13 12:00:00,1,283.80002,339,2,3e-6,79.8,6.93,-1.05,0.00654,97335.95,74
2020-05-13 18:00:00,1,289.80002,359,285,1e-5,73.6,11.7699995,1.3399999,0.00895,97065.88,82
2020-05-14 00:00:00,1,292.22,383,261,1.2e-5,79.8,8.54,0.71999997,0.01143,96589.27,91
2020-05-14 06:00:00,1,292.2,369,13,1e-6,79,11.7699995,2.75,0.01129,96460.74,48
2020-05-14 12:00:00,1,291.4,381,1,4.4e-5,88,10.179999,1.8199999,0.012019999,96248.445,63
2020-05-14 18:00:00,1,295.80002,396,166,2.3599999e-4,80.8,9.889999,4.06,0.01456,96068.16,96
2020-05-15 00:00:00,1,296.1,390,383,2.44e-4,81.9,5.8599997,4.0299997,0.01499,95994.766,98
2020-05-15 06:00:00,1,292.7,371,13,8.5e-5,94.6,6.2599998,1.22,0.01407,96115.43,85
2020-05-15 12:00:00,1,292.6,390,1,8.18e-4,94,6.17,-0.59999996,0.013859999,95862.77,97
2020-05-15 18:00:00,1,297.1,388,454,1.9e-5,72.3,-8.95,0.68,0.014029999,96189.65,80
2020-05-16 00:00:00,1,295.30002,352,711,0,65.1,-4.74,-3.78,0.01126,96499.414,8
2020-05-16 06:00:00,1,287.1,322,25,0,86.5,-0.77,-3.49,0.00892,96882.58,15
2020-05-16 12:00:00,1,285.7,332,1,2.9e-5,84,-3.9099998,-4.25,0.00786,97050.766,95
2020-05-16 18:00:00,1,288.2,352,178,1.66e-4,81,0.38,-7.19,0.00894,97062.15,98
2020-05-17 00:00:00,1,291.4,344,621,0,74,1.26,-6.91,0.010059999,96768.21,28
2020-05-17 06:00:00,1,285.6,329,22,0,93.4,-0.08,-3.6,0.008669999,96827.12,13
2020-05-17 12:00:00,1,284.7,334,4,2e-6,96.4,-1.88,-2.57,0.008479999,96877.04,27
2020-05-17 18:00:00,1,296.2,371,439,4e-6,72.1,-0.28,-3.59,0.01315,96964.64,60
2020-05-18 00:00:00,1,297.2,403,555,3e-6,79.200005,2.34,-4.0299997,0.01535,96790.85,63
2020-05-18 06:00:00,1,293.5,393,12,6e-5,96.4,3.74,-4.64,0.014880000000000001,96909.31,45
2020-05-18 12:00:00,1,294.7,396,2,1.9e-5,94.5,5.93,-0.53999996,0.015759999,96862.58,92
2020-05-18 18:00:00,1,301.4,402,494,4e-6,65.4,7.56,2.18,0.016339999,96926,51
2020-05-19 00:00:00,1,301.2,391,717,0,65.700005,6.45,0.58,0.01627,96730.805,1
2020-05-19 06:00:00,1,294.80002,364,26,0,88.9,6.31,0.19999999,0.0149,96934.37,1
2020-05-19 12:00:00,1,292.1,347,4,0,95.4,4.79,1.39,0.01349,96976.305,22
2020-05-19 18:00:00,1,301.5,358,615,0,60.9,7.69,-0.14,0.015269999,96940.336,10
2020-05-03 18:00:00,2,295.4,9999e17,9999e17,9999e17,46.2,-0.42,-4.1,0.007999999,97013.2,9999e17
2020-05-04 00:00:00,2,295.34,341,700,0,54.8,1.4499999,-4.31,0.0095,96865.055,1
2020-05-04 06:00:00,2,287.4,319,19,0,70.4,2.1299999,-5.19,0.00739,96896.23,11
2020-05-04 12:00:00,2,285.30002,315,2,8.1e-5,68.9,3.1799998,-5.5499997,0.0063,96649.54,77
2020-05-04 18:00:00,2,286.1,361,134,7e-4,86.5,2.08,-8.13,0.00838,96449.65,95
2020-05-05 00:00:00,2,289.4,371,193,2.9e-5,83.6,-4.06,3.57,0.01002,96552.79,77
2020-05-05 06:00:00,2,283.80002,303,14,0,92.9,-3.97,1.0699999,0.0076499996,96941.45,8
2020-05-05 12:00:00,2,281.80002,284,2,0,90.3,-3.57,1.93,0.00648,97243.18,27
2020-05-05 18:00:00,2,292.30002,288,586,0,38.2,-4.93,1.5999999,0.0054599997,97439.74,53
2020-05-06 00:00:00,2,294.1,311,705,0,42.3,0.41,1.1999999,0.00673,97201.89,44
2020-05-06 06:00:00,2,284.9,295,21,0,53.5,0.64,2.55,0.00472,97266.734,3
2020-05-06 12:00:00,2,283,282,3,0,72.4,-3.02,3.02,0.00561,97541.35,1
