forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-04-30 00:00:00,1,299.44998,9999e17,9999e17,9999e17,77.4,1.01,-3.9499998,0.01642,100986.06,9999e17
2020-04-30 06:00:00,1,299.08,391,0,1e-6,79.200005,0.29999998,-5.8599997,0.01647,100961.055,1
2020-04-30 12:00:00,1,299.5,388,55,0,76.1,1.56,-5.87,0.01622,101122.68,5
2020-04-30 18:00:00,1,300.66,398,833,4e-6,70.200005,3.52,-1.99,0.01605,100990.766,8
2020-05-01 00:00:00,1,300.13998,399,369,4e-6,73.3,2.01,-2.72,0.01625,101023.414,4
2020-05-01 06:00:00,1,299.38,397,0,2e-5,78,1.24,-6.15,0.01651,101022.14,2
2020-05-01 12:00:00,1,299.9,402,54,3.7e-5,75.700005,3.55,-7.02,0.01652,101165.32,19
2020-05-01 18:00:00,1,301.1,405,834,6e-6,70.4,4.93,-3.8999999,0.01652,101086.25,11
2020-05-02 00:00:00,1,300.13998,399,387,9e-6,74.1,1.9,-4.5699997,0.0164,101141.71,5
2020-05-02 06:00:00,1,299.30002,395,0,5e-6,78.4,2.09,-5.91,0.01647,101107.12,17
2020-05-02 12:00:00,1,299.7,396,53,3e-6,75.4,2.6,-5.46,0.01625,101201.45,28
2020-05-02 18:00:00,1,301.34,401,812,6e-6,69.4,2.8899999,-2.69,0.0165,101061.664,46
2020-05-03 00:00:00,1,300.19998,402,368,1.1e-5,74.4,1.3299999,-3.46,0.01653,101056.414,50
2020-05-03 06:00:00,1,299.30002,395,0,5e-6,80.3,1.5799999,-4.83,0.01694,100951.04,33
2020-05-03 12:00:00,1,299.72998,391,58,0,77.6,0.35999998,-5.35,0.016789999,101062.64,27
2020-05-03 18:00:00,1,300.94998,403,806,1.69e-4,69.5,2.1,-3.22,0.016169999,100931.266,27
2020-05-04 00:00:00,1,300.36,408,361,2.08e-4,73.5,2.05,-4.0699997,0.01652,100900.375,26
2020-05-04 06:00:00,1,299.6,402,0,0,77,0.78,-4.5099998,0.016579999,100792.69,37
2020-05-04 12:00:00,1,300,401,55,0,77.8,-0.089999996,-5.21,0.01708,100891.65,70
2020-05-04 18:00:00,1,301.1,408,830,1.72e-4,72.9,3.48,-3.47,0.01718,100830.79,82
2020-05-05 00:00:00,1,300.5,408,374,7.9e-5,76.8,2.19,-4.4,0.01746,100863.164,63
2020-05-05 06:00:00,1,299.9,406,0,0,81.3,1.64,-4.66,0.01777,100772.12,38
2020-05-05 12:00:00,1,300.30002,410,55,2e-6,80,1.61,-5.3199997,0.017919999,100947.83,27
2020-05-05 18:00:00,1,301.30002,409,836,2.84e-4,75.3,4.2799997,-3.62,0.01783,100930.7,49
2020-05-06 00:00:00,1,300.30002,410,379,1.6e-5,79.6,2.1599998,-5.02,0.01788,101005.836,34
2020-05-06 06:00:00,1,300.1,411,0,3e-6,80.3,2.96,-6.0299997,0.01774,100919.25,44
2020-05-06 12:00:00,1,300.30002,408,50,3e-6,78.9,2.96,-5.7999997,0.01762,101127.21,57
2020-05-06 18:00:00,1,301.7,409,819,5e-6,75.9,3.99,-4.0099998,0.0184,101027.89,78
2020-05-07 00:00:00,1,300.7,407,373,2e-6,78.1,3.61,-5.73,0.01788,101104.336,72
2020-05-07 06:00:00,1,299.9,401,0,0,80.9,2.6,-5.92,0.017679999,101072.79,23
2020-05-07 12:00:00,1,300.4,409,53,1e-6,77.9,2.12,-6.56,0.0175,101201.016,30
2020-05-07 18:00:00,1,301.7,408,824,2e-6,75.3,3.8799999,-3.6599998,0.01833,101126.75,35
2020-05-08 00:00:00,1,300.7,406,377,1e-5,77.8,2.72,-5.29,0.017819999,101156.195,62
2020-05-08 06:00:00,1,297.7,399,0,0,86,0.90999997,-2.11,0.01668,99447.22,79
2020-05-08 12:00:00,1,299.7,395,57,2e-6,75.6,0.83,-2.69,0.01656,99524.305,53
2020-05-08 18:00:00,1,303,407,821,1.35e-4,61.7,0.34,-1.8399999,0.01643,99490.06,47
2020-05-09 00:00:00,1,297.77,403,375,7.6e-5,84,-0.25,-1.7099999,0.01639,99535.87,46
2020-05-09 06:00:00,1,296.7,389,0,0,90.200005,-0.64,-1.68,0.01651,99500.266,45
2020-05-09 12:00:00,1,299.1,387,57,0,76.5,-1.41,-2.25,0.016139999,99546.73,25
2020-05-09 18:00:00,1,303.7,407,808,3e-5,55.3,-1.14,-2.1399999,0.015319999,99367.68,29
2020-05-10 00:00:00,1,297.7,405,373,1.1e-4,84.5,-0.75,-2.1499999,0.016449999,99393.91,27
2020-05-10 06:00:00,1,297.2,400,0,1e-6,86.1,-0.48999998,-2.12,0.01623,99290.11,32
2020-05-10 12:00:00,1,299.2,403,52,1e-6,74.1,0.01,-2.98,0.01584,99384.414,43
2020-05-10 18:00:00,1,302.2,416,675,6.8e-5,62,0.53,-2.7,0.01584,99260.25,51
2020-05-11 00:00:00,1,297.9,409,355,5.3e-5,80.6,0.06,-2.11,0.01591,99244.75,48
2020-05-11 06:00:00,1,297,392,0,0,84.3,-0.02,-2.27,0.015759999,99186.82,25
2020-05-11 12:00:00,1,299.4,389,60,1e-6,72.9,0.42999998,-3.08,0.01578,99310.836,17
2020-05-11 18:00:00,1,303.2,408,816,5.7e-5,55.8,1.4399999,-3.49,0.01504,99228.95,25
2020-05-12 00:00:00,1,298.5,404,375,2.8e-5,76.1,0.39,-2.3799999,0.015609999,99277.87,41
2020-05-12 06:00:00,1,297.1,392,0,0,84.5,0.049999997,-2.05,0.015859999,99231.77,44
2020-05-12 12:00:00,1,299.4,388,59,2e-6,73.3,0.22,-2.8999999,0.01582,99373.35,29
2020-05-12 18:00:00,1,302.7,410,737,4.2e-5,58.2,0.68,-2.6299999,0.01521,99260.79,33
2020-05-13 00:00:00,1,297.6,413,321,5.7e-5,82.8,0.02,-2,0.01604,99378.375,64
2020-05-13 06:00:00,1,297,394,0,1e-6,86,-0.19,-2.26,0.01603,99280.02,59
2020-05-13 12:00:00,1,299.1,395,54,3e-6,73.8,-0.24,-2.96,0.015689999,99379.875,47
2020-05-13 18:00:00,1,303.5,406,808,4.1e-5,53.4,-0.35999998,-2.36,0.014649999,99252.9,28
2020-05-14 00:00:00,1,297.6,397,387,6.3e-5,81.200005,-0.9,-2.04,0.015689999,99354.27,29
2020-05-14 06:00:00,1,296.6,384,0,0,85.4,-0.65,-2.06,0.01555,99277.01,14
2020-05-14 12:00:00,1,299.1,381,61,0,72.5,-0.61,-2.74,0.0154099995,99405.625,5
2020-05-14 18:00:00,1,302.5,404,820,8.5e-5,57.4,-0.28,-2.44,0.014909999,99303.45,17
2020-05-15 00:00:00,1,297.7,398,379,4.1e-5,79.700005,-0.79999995,-2.22,0.015559999,99326.54,13
2020-05-15 06:00:00,1,296.6,387,0,0,84.4,-0.5,-2.09,0.015339999,99240.81,20
2020-05-15 12:00:00,1,299,386,59,2e-6,73.200005,-0.52,-2.86,0.015439999,99336.65,19
2020-05-15 18:00:00,1,303,412,707,3.6e-5,55.4,0.14999999,-2.69,0.0148,99214.45,41
2020-05-16 00:00:00,1,297.5,401,377,7e-5,80.5,-0.26,-2.1,0.01552,99304.625,21
2020-04-30 00:00:00,2,299.44,9999e17,9999e17,9999e17,76.4,0.66999996,-3.85,0.0162,101026.125,9999e17
2020-04-30 06:00:00,2,299,387,0,0,77.5,-0.45,-5.5299997,0.01604,100977.375,3
2020-04-30 12:00:00,2,299.4,388,56,0,76.9,0.38,-6.0699997,0.01633,101073.266,6
2020-04-30 18:00:00,2,301.41,398,851,2e-6,69.8,4.41,-1.7099999,0.01667,100957.57,3
2020-05-01 00:00:00,2,300.1,396,387,4e-6,74.200005,2.49,-3.28,0.016379999,101012.766,2
2020-05-01 06:00:00,2,299.5,394,0,1e-6,76.3,1.1999999,-5.48,0.0163,101010.336,2
2020-05-01 12:00:00,2,299.6,400,54,1e-5,78.200005,2.8999999,-6.41,0.01677,101157.15,17
2020-05-01 18:00:00,2,301.6,403,830,2e-6,71.1,4.54,-2.81,0.017099999,101054.055,35
2020-05-02 00:00:00,2,300.36,399,387,9e-6,74.1,2.24,-4.38,0.01663,101104.164,11
2020-05-02 06:00:00,2,299.6,396,0,9e-6,77.5,2.05,-5.79,0.01657,101068.48,23
2020-05-02 12:00:00,2,299.7,396,60,1e-6,75.4,1.78,-5.43,0.01623,101193.164,44
2020-05-02 18:00:00,2,301.1,402,841,1.2e-5,70.5,3.34,-2.71,0.01654,101056.766,46
2020-05-03 00:00:00,2,300.19,400,385,1.5e-5,74.4,0.95,-3.59,0.01651,101012.65,37
