forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-01 12:00:00,1,281.6,9999e17,9999e17,9999e17,85.6,0.93,1.81,0.0060199997,97706.06,9999e17
2020-05-01 18:00:00,1,291.6,281,723,0,41.9,-2.48,3,0.00567,97869.63,3
2020-05-02 00:00:00,1,286.96,298,594,0,73.3,-1.01,1.15,0.00738,97917.336,0
2020-05-02 06:00:00,1,279.9,283,1,0,88.700005,1.15,-0.68,0.0055799996,98116.55,5
2020-05-02 12:00:00,1,284.5,287,14,0,78.8,1.36,-0.07,0.00672,98168.8,17
2020-05-02 18:00:00,1,297.33,323,701,0,46.4,2.36,2.78,0.00895,98076.08,8
2020-05-03 00:00:00,1,293.16998,347,571,0,76.8,2.34,1.14,0.01151,97850.74,0
2020-05-03 06:00:00,1,287.62,330,1,0,93.1,2.1499999,1.16,0.00979,97884.664,0
2020-05-03 12:00:00,1,287.5,317,17,0,87.6,2.51,1.36,0.00916,97908.23,1
2020-05-03 18:00:00,1,299.16998,338,699,0,50.5,3.61,3.8899999,0.01095,97580.055,4
2020-05-04 00:00:00,1,294.00998,376,481,8e-6,83.5,1.1899999,1.66,0.013239999,97402.9,74
2020-05-04 06:00:00,1,289.4,379,1,6.6e-5,97.3,-1,0.61,0.0114899995,97596.305,75
2020-05-04 12:00:00,1,286.7,376,6,1.61e-4,95.8,-2.23,-0.77,0.0095,97757.99,95
2020-05-04 18:00:00,1,295.9,320,706,0,43,-1.93,-1.31,0.0076499996,97844.016,18
2020-05-05 00:00:00,1,290.4,322,587,0,69.3,-1.25,-1.3399999,0.00875,97728.43,19
2020-05-05 06:00:00,1,283.5,303,1,0,79.200005,-0.17999999,-1.3199999,0.00634,97700.81,58
2020-05-05 12:00:00,1,287.80002,325,10,0,79.9,0.56,-1.01,0.00854,97658.15,76
2020-05-05 18:00:00,1,295.80002,369,447,3.35e-4,89,0.52,2.5,0.01568,97555.72,96
2020-05-06 00:00:00,1,294.9,388,303,8.6e-5,86.5,3.12,-0.25,0.01454,97124.266,96
2020-05-06 06:00:00,1,292.6,356,1,0,80.700005,3.52,1.79,0.0117999995,96957.805,52
