forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-05 00:00:00,1,284.6,9999e17,9999e17,9999e17,71.6,-2.54,0.79999995,0.00612,98860.35,9999e17
2020-05-05 06:00:00,1,280.30002,284,0,0,81.5,-1.63,0.75,0.00518,99016.99,83
2020-05-05 12:00:00,1,280.7,275,38,0,74.9,-0.95,0.099999994,0.00488,99071.8,66
2020-05-05 18:00:00,1,280.80002,322,148,1.11e-4,91.9,0.97999996,-0.5,0.0060799997,98864.94,98
2020-05-06 00:00:00,1,280.5,337,96,8.1e-5,98.4,0.61,-1.27,0.0063899998,98559.28,94
2020-05-06 06:00:00,1,279.6,338,0,8.8e-5,98.200005,0.96,-1.73,0.00599,98411.9,96
2020-05-06 12:00:00,1,279.5,334,5,4.5e-5,98.3,0.41,-1.3399999,0.006,98200.055,96
2020-05-06 18:00:00,1,283.5,344,107,2.24e-4,97.1,-1.14,-1.3299999,0.00776,98002.89,96
2020-05-07 00:00:00,1,281.9,335,249,1.67e-4,96.3,-2.98,0.71999997,0.0069299997,98056.664,76
2020-05-07 06:00:00,1,278.80002,327,0,1.1e-4,97.9,-2.72,1.5699999,0.00567,98344.5,85
2020-05-07 12:00:00,1,277.4,276,42,4e-6,88.4,-2.59,2.8,0.00463,98624.445,35
2020-05-07 18:00:00,1,288.30002,256,795,0,34,-3.87,3.86,0.0037200000000000002,98605.83,2
2020-05-08 00:00:00,1,283.6,289,509,0,69.4,-0.48999998,2.21,0.00557,98649.836,21
2020-05-08 06:00:00,1,279,272,0,0,86.1,1.9,2.02,0.0050399997,98701.56,28
2020-05-08 12:00:00,1,282,271,36,0,79.200005,1.78,2.09,0.00569,98672.65,32
2020-05-08 18:00:00,1,287,332,414,1.4999999e-4,88.200005,1.8399999,0.9,0.00888,98093.77,91
2020-05-09 00:00:00,1,283,347,131,3.77e-4,95.5,-2.1299999,2.34,0.0074400000000000004,97858.71,96
2020-05-09 06:00:00,1,275.4,298,0,3.1e-5,95.5,-2.24,2.62,0.00435,98342.8,60
2020-05-09 12:00:00,1,275.6,232,42,0,85.4,-2.53,3.72,0.00393,98572.6,5
2020-05-09 18:00:00,1,282.1,260,735,7e-6,33.3,-5.1,5.68,0.00241,98833.555,49
2020-05-10 00:00:00,1,278.5,262,508,0,53,-1.05,2.97,0.0029799999,99200.555,46
2020-05-10 06:00:00,1,273.9,231,0,0,65.700005,0.7,2.7,0.0026699998,99497.21,0
2020-05-10 12:00:00,1,277.30002,229,45,0,54.3,1.36,3.05,0.00278,99717.45,0
2020-05-10 18:00:00,1,288.80002,255,798,0,31.4,3.3899999,1.7199999,0.0035199998,99357.23,2
2020-05-11 00:00:00,1,285.7,282,549,0,59,3.29,0.099999994,0.00542,98861.586,4
2020-05-11 06:00:00,1,282.7,309,0,7e-6,73.6,2.3,2.8899999,0.0055199997,98863.46,66
2020-05-11 12:00:00,1,281.80002,277,43,1e-6,70,-0.45,4.69,0.0049699997,98975.21,19
2020-05-11 18:00:00,1,286.7,261,798,0,33.9,-2.06,6.1299996,0.00332,99084.46,3
2020-05-12 00:00:00,1,281.9,264,555,0,55.3,-1.48,2.46,0.00392,99336.69,6
2020-05-12 06:00:00,1,275.4,248,0,0,82.5,0.71,2.11,0.0037,99504.67,1
2020-05-12 12:00:00,1,279.1,246,44,0,72.1,-0.5,2.8899999,0.00421,99640.44,4
2020-05-12 18:00:00,1,287.4,264,780,1e-6,29.300001,-2.3,4.71,0.0029799999,99474.836,13
2020-05-13 00:00:00,1,283,266,561,0,56.7,-0.76,2.47,0.00433,99594.305,1
2020-05-13 06:00:00,1,277.2,256,0,0,69.5,0.62,2.04,0.0035299999,99841.56,5
2020-05-13 12:00:00,1,280,253,45,0,66,0.57,1.77,0.00407,100037.35,3
2020-05-13 18:00:00,1,292.4,280,790,0,31.7,1.3399999,3.06,0.00445,99831.23,1
2020-05-14 00:00:00,1,286.9,300,549,0,67.3,1.8299999,-0.12,0.00667,99506.805,1
