forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-04-25 12:00:00,1,277.1,9999e17,9999e17,9999e17,87.6,-0.22999999,-0.68,0.00463,95793.9,9999e17
2020-04-25 18:00:00,1,288,264,598,2e-6,42.2,-3.02,-0.5,0.00465,95826.27,7
2020-04-26 00:00:00,1,283.7,272,591,8e-6,55.9,-3.57,-2.4299998,0.00463,95934.914,1
2020-04-26 06:00:00,1,275.5,250,7,0,87.4,-0.63,-3.09,0.0041,96200.44,2
2020-04-26 12:00:00,1,273.4,235,8,0,88.8,-0.21,-2.5,0.0035599999,96298.79,5
2020-04-26 18:00:00,1,287.6,249,605,0,30.4,0.42,-1.4,0.0032499998000000002,96212.19,32
2020-04-27 00:00:00,1,285.80002,277,576,0,43,1.7099999,-0.85999995,0.00409,95980.586,56
2020-04-27 06:00:00,1,278.1,259,8,0,64.5,4.5099998,-1.22,0.0036499999,96021.875,7
2020-04-27 12:00:00,1,277.1,281,6,2.1e-5,76.3,5.21,-1.2099999,0.00403,95689.805,75
2020-04-27 18:00:00,1,279.05,312,152,3.23e-4,92.6,4.88,-0.44,0.00562,95436.555,98
2020-04-28 00:00:00,1,282.38998,329,164,5.6e-5,90.200005,1.43,0.48999998,0.00689,95347.73,79
2020-04-28 06:00:00,1,277.7,270,8,0,97.9,2.07,0.48,0.00539,95445.85,52
2020-04-28 12:00:00,1,277.80002,268,9,0,99,2.25,-0.32999998,0.0055199997,95387.766,49
2020-04-28 18:00:00,1,287.1,302,403,3.6e-5,72.1,3.57,0.94,0.00751,95357.12,84
2020-04-29 00:00:00,1,282.7,335,136,2.26e-4,95.4,-0.96999997,-1.8299999,0.00746,95189.71,99
2020-04-29 06:00:00,1,280.1,321,2,8.5e-5,98,-2.23,-2.46,0.00642,95159.82,96
2020-04-29 12:00:00,1,279.9,331,2,1.19e-4,96.1,-4.08,-1.62,0.0061899996,95285.2,91
2020-04-29 18:00:00,1,283.19998,338,204,2.1e-5,78.700005,-4.12,-1.11,0.00633,95414,92
2020-04-30 00:00:00,1,283.63998,314,377,1e-5,69.5,-3.79,-0.48999998,0.00576,95549.125,50
2020-04-30 06:00:00,1,276.22998,259,8,0,94.700005,-1.73,-0.089999996,0.00471,95582.41,1
2020-04-30 12:00:00,1,277.1,253,11,0,90,-1.48,-0.04,0.00474,95652.055,0
2020-04-30 18:00:00,1,290.25998,274,615,0,38.7,-2.09,0.85999995,0.00494,95591.49,0
2020-05-01 00:00:00,1,287.03,308,528,0,58.3,-0.72999996,-1.79,0.00605,95490.83,76
2020-05-01 06:00:00,1,280.9,297,5,0,69.8,2.09,-1.9599999,0.00481,95598.71,68
2020-05-01 12:00:00,1,281.6,319,2,0,75.9,3.85,-1.38,0.0054599997,95458.9,72
2020-05-01 18:00:00,1,291,342,261,2.2e-5,58.100002,7.22,-0.51,0.00783,95078.37,88
2020-05-02 00:00:00,1,290.88,362,453,1.7e-5,76,4.62,2.06,0.01019,94734.016,71
2020-05-02 06:00:00,1,288.80002,354,3,1.65e-4,96.5,1.5999999,5.2,0.01134,94519.08,72
2020-05-02 12:00:00,1,282.5,295,12,0,89.8,-1.74,6.67,0.0069299997,94616.4,8
2020-05-02 18:00:00,1,285.1,338,192,1.8e-5,60.4,-7.7599998,2.26,0.0055199997,95287.49,82
2020-05-03 00:00:00,1,285.6,292,510,0,55.5,-4.22,-0.22999999,0.00525,95650.77,22
2020-05-03 06:00:00,1,277.2,257,10,0,88.6,-0.16,-2.01,0.00469,96051.75,7
2020-05-03 12:00:00,1,276.30002,263,10,0,82.200005,-0.74,-1.7199999,0.00408,96235.9,34
2020-05-03 18:00:00,1,284,286,468,0,47.2,-2.6799998,-2.76,0.00399,96148.87,55
2020-05-04 00:00:00,1,282.80002,297,453,0,46.2,-2.6599998,-3.06,0.0036199999,95960.59,63
2020-05-04 06:00:00,1,276.1,287,5,0,44.4,-1.31,-2.55,0.0021799998,96056.914,98
2020-05-04 12:00:00,1,275,275,6,0,44.9,-0.77,-2.6399999,0.0020299999,96091.18,97
2020-05-04 18:00:00,1,285.5,265,536,0,24.6,-0.02,-2.19,0.0023,96050.2,80
2020-05-05 00:00:00,1,284.84,256,634,0,40.5,-0.42,-1.09,0.00363,95875.62,5
2020-05-05 06:00:00,1,276.4,245,11,0,65.8,3.32,-0.85999995,0.00329,95999.914,0
2020-05-05 12:00:00,1,275.5,239,14,0,63.2,4.25,-0.29999998,0.00297,95955.375,9
2020-05-05 18:00:00,1,285.9,264,569,0,31.1,7.64,1.8299999,0.00299,95673.86,66
