forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-07 06:00:00,1,281.1,9999e17,9999e17,9999e17,71.700005,-2.11,-0.21,0.00476,100391.73,9999e17
2020-05-07 12:00:00,1,280.6,261,12,0,78.8,-1.53,0.48,0.00505,100609.836,0
2020-05-07 18:00:00,1,293.1,279,736,0,30.4,-1.99,0.55,0.0044199997,100475.52,0
2020-05-08 00:00:00,1,289.6,301,652,0,68.5,-0.47,0.71,0.00799,100175.62,13
2020-05-08 06:00:00,1,284.6,296,2,0,53.2,1.79,-1.06,0.0044799997,100038.35,45
2020-05-08 12:00:00,1,285.5,309,3,0,60.9,3,0.37,0.00548,99824.93,47
2020-05-08 18:00:00,1,289.5,357,187,1.46e-4,92.1,3.21,0.81,0.010799999,99410.03,99
2020-05-09 00:00:00,1,288.80002,389,105,7.29e-4,93.700005,-4.98,1.48,0.01047,99529.95,98
2020-05-09 06:00:00,1,281.7,290,2,0,87.700005,-3.37,-0.01,0.0061,100220.65,39
2020-05-09 12:00:00,1,279.1,253,14,0,72.200005,-2.99,-0.65,0.0041799997,100531.81,56
2020-05-09 18:00:00,1,289,256,755,0,35.2,-3.09,-1.25,0.00392,100690.805,10
2020-05-10 00:00:00,1,287,281,659,0,57.2,-1.64,-0.75,0.00562,100531.836,41
2020-05-10 06:00:00,1,279.80002,266,3,0,65,-1.1999999,-1.73,0.0039399997,100680.49,55
2020-05-10 12:00:00,1,279.5,266,11,0,63.9,-0.57,-1.88,0.00379,100708.94,88
2020-05-10 18:00:00,1,295,290,653,0,27.1,1.0699999,-0.51,0.0044299997,100589.12,94
2020-05-11 00:00:00,1,289.4,319,566,0,62.5,-0.71,0.85999995,0.00716,100318.055,96
2020-05-11 06:00:00,1,281.80002,290,3,0,65.5,-1.52,0.28,0.00453,100368.94,48
2020-05-11 12:00:00,1,283.7,286,13,0,71.9,-2.4099998,0.21,0.00567,100491.43,0
2020-05-11 18:00:00,1,294.7,303,723,0,35.3,-3.4299998,0.21,0.00567,100454.85,0
2020-05-12 00:00:00,1,290.6,312,650,0,57.2,-1.9699999,-0.07,0.00709,100373.1,0
2020-05-12 06:00:00,1,282.7,289,3,0,69.5,-1.5899999,-1.48,0.00514,100443.44,0
2020-05-12 12:00:00,1,281.80002,274,14,0,67.9,-2.01,-2.34,0.00474,100548.1,6
2020-05-12 18:00:00,1,296.6,292,732,0,29.300001,0.55,-1.76,0.0052799997,100389.09,34
2020-05-13 00:00:00,1,293.1,327,642,0,56.8,0.34,-1.29,0.00827,100111.11,44
2020-05-13 06:00:00,1,286.7,307,3,0,55.8,1.53,-1.87,0.0053999997,100088.89,37
2020-05-13 12:00:00,1,285.2,298,14,0,75.1,1.15,-1.54,0.0066,100229.46,2
2020-05-13 18:00:00,1,300.80002,329,716,0,39,2.04,-0.42,0.00909,100101.86,4
2020-05-14 00:00:00,1,297.4,367,633,0,73.1,0.77,-0.14,0.01389,99884.61,1
2020-05-14 06:00:00,1,291.1,351,3,0,67.700005,1.4399999,-1.64,0.00869,99961.73,25
2020-05-14 12:00:00,1,290,339,13,0,89,1.63,0.44,0.01064,100157.805,7
2020-05-14 18:00:00,1,300.7,371,686,5.6e-5,61.600002,0.11,1.92,0.01421,100149.59,52
2020-05-15 00:00:00,1,296.7,391,606,1.25e-4,89.3,-1.7199999,-0.52,0.01627,100052.5,66
2020-05-15 06:00:00,1,292.2,370,3,0,95.3,0.03,-1.9799999,0.01316,100085.195,69
2020-05-15 12:00:00,1,291.9,359,13,0,95.1,0.95,-1.5899999,0.01285,100199.164,27
2020-05-15 18:00:00,1,303.4,378,699,2e-5,46.3,2.6799998,0.089999996,0.01251,100082.18,1
2020-05-16 00:00:00,1,297.30002,395,604,2.25e-4,84.8,0.19999999,-2.31,0.015999999,100016.83,36
2020-05-16 06:00:00,1,292.7,375,3,3e-6,95,2.05,-1.35,0.01351,100139.64,46
2020-05-16 12:00:00,1,291.4,354,12,0,97,0.94,-1.18,0.012709999,100216.336,38
2020-05-16 18:00:00,1,302.6,371,699,3e-6,48.8,3.37,0,0.012639999,100188.9,19
2020-05-17 00:00:00,1,298.6,390,622,8.9e-5,74.4,1.7099999,-2.01,0.01512,100051.7,15
2020-05-17 06:00:00,1,293.1,371,4,0,91,1.9,-0.90999997,0.0133,100193.56,36
2020-05-17 12:00:00,1,291.9,354,14,0,96.1,1.17,-1.11,0.01297,100287.21,31
2020-05-17 18:00:00,1,302.7,365,709,0,44,2.74,1.15,0.01146,100289.125,10
2020-05-18 00:00:00,1,300.4,388,631,0,68,0.96999997,0.39,0.015459999,100002.68,4
2020-05-18 06:00:00,1,292.4,377,3,4.4e-5,94.1,2.1,0.049999997,0.01318,100149.62,32
2020-05-18 12:00:00,1,292.5,370,11,1.15e-4,98.4,0.88,1.0699999,0.01382,100301.836,63
2020-05-18 18:00:00,1,303.9,387,619,5.1e-5,49.100002,1.24,0.19,0.013739999,100189.45,70
2020-05-19 00:00:00,1,299.4,407,506,1.9e-5,73.5,-1.3399999,0.31,0.0158,99936.5,57
2020-05-19 06:00:00,1,292.7,380,4,3.2e-4,95.200005,-0.9,-1.62,0.013619999,99990.31,48
2020-05-19 12:00:00,1,292.5,379,8,1.73e-4,97.6,1.1899999,-0.77,0.0136899995,100012.516,64
2020-05-19 18:00:00,1,300,381,653,1.23e-4,69.700005,1.49,1.09,0.01545,99998.125,41
2020-05-20 00:00:00,1,298.30002,396,596,1.03e-4,86.8,-0.65,1.04,0.01752,99751.12,30
2020-05-20 06:00:00,1,290.4,371,4,5e-5,95.200005,0.48,0.02,0.01176,99778.77,0
2020-05-20 12:00:00,1,293.4,361,14,0,96.8,1.1999999,0.56,0.01444,99813.6,0
2020-05-20 18:00:00,1,302.9,385,690,3.7e-5,55,1.56,1.02,0.01452,99727.42,5
2020-05-21 00:00:00,1,298.6,399,612,1.94e-4,88.5,0.90999997,1.22,0.01821,99600.35,24
2020-05-21 06:00:00,1,293.6,379,4,1e-6,96.5,1.5899999,0.58,0.01457,99605.25,62
2020-05-21 12:00:00,1,293.2,366,14,0,98.4,1.4499999,0.53999996,0.01457,99701.305,18
2020-05-21 18:00:00,1,301.2,385,700,9e-5,69.9,0.88,2.11,0.01667,99649.984,5
2020-05-22 00:00:00,1,300.7,398,620,1.55e-4,76.1,0.88,0.65999997,0.01773,99445.44,37
2020-05-22 06:00:00,1,293.9,383,4,9.4e-5,89.3,2.01,-0.08,0.01378,99558.62,38
2020-05-22 12:00:00,1,292.80002,371,13,2.7e-4,99.200005,1.3,1.17,0.014269999,99663.766,55
2020-05-22 18:00:00,1,302.2,400,468,2.86e-4,54.3,2.26,2.6,0.013809999,99584.81,83
2020-05-23 00:00:00,1,297.1,401,544,1.63e-4,93,0.7,1.8299999,0.01752,99500.414,64
2020-05-23 06:00:00,1,292.7,373,3,6.9e-5,98.200005,0.07,2.04,0.014079999,99519.47,45
2020-05-07 06:00:00,2,280.9,9999e17,9999e17,9999e17,71.5,-2.29,-0.26999998,0.00469,100391.04,9999e17
2020-05-07 12:00:00,2,280.2,258,12,0,78.9,-1.53,0.58,0.0049099997,100579.016,0
2020-05-07 18:00:00,2,292.7,276,737,0,30.9,-2.2,0.48999998,0.0043699997,100457.45,0
2020-05-08 00:00:00,2,289.5,300,651,0,71.5,-0.39999998,0.57,0.008289999,100135.9,15
2020-05-08 06:00:00,2,283.80002,291,2,0,55.2,1.78,-0.75,0.00441,100042.43,29
2020-05-08 12:00:00,2,285.7,318,2,0,57.100002,2.99,0.19999999,0.00518,99829.81,52
2020-05-08 18:00:00,2,288.1,359,149,2.37e-4,94.8,4.47,1.5,0.010129999,99454.06,99
2020-05-09 00:00:00,2,289.80002,379,131,4.87e-4,94.200005,-2.79,0.53,0.01119,99605.87,95
2020-05-09 06:00:00,2,282.4,291,3,0,92.200005,-3.1,-0.28,0.0066899997,100167.516,38
2020-05-09 12:00:00,2,278.1,253,14,0,83.5,-2.24,-0.11,0.0045,100594.25,5
2020-05-09 18:00:00,2,289.30002,257,754,0,35,-3.24,-0.75,0.00399,100641.38,14
2020-05-10 00:00:00,2,287.2,282,661,0,58.100002,-1.6899999,-0.55,0.0058,100526.21,48
2020-05-10 06:00:00,2,279.80002,267,3,0,66.4,-1.73,-1.42,0.00404,100729.695,40
2020-05-10 12:00:00,2,279,256,13,0,66.200005,-1.02,-1.8,0.00378,100848.516,48
2020-05-10 18:00:00,2,295.2,274,733,0,26,0.29999998,-1.22,0.00427,100705.07,56
2020-05-11 00:00:00,2,290.2,301,665,0,57,-1.25,0.14999999,0.00689,100443.67,20
2020-05-11 06:00:00,2,283.4,286,3,0,54.7,-1.73,-0.71999997,0.0042499998,100412.164,26
2020-05-11 12:00:00,2,284.5,285,11,0,62,-1.1899999,-1.25,0.00517,100452.055,78
2020-05-11 18:00:00,2,297.80002,309,698,0,26.800001,-2.01,-0.5,0.0052,100347.32,75
2020-05-12 00:00:00,2,293.80002,334,646,0,62.4,-1.5,-0.42,0.009529999,100099.48,3
2020-05-12 06:00:00,2,287.30002,321,3,0,80.8,-1.54,-1.5799999,0.008119999,100210.375,39
2020-05-12 12:00:00,2,286.4,308,13,0,82.4,-0.22,-2.33,0.00783,100086.83,61
2020-05-12 18:00:00,2,300.4,328,709,0,32.3,0.42,-2.23,0.00737,99954.16,56
2020-05-13 00:00:00,2,294.09,368,409,0,65.4,-0.5,-1.9499999,0.010179999,99768.72,99
2020-05-13 06:00:00,2,289.9,354,1,0,77.700005,-0.13,-2.21,0.00928,99826.664,98
2020-05-13 12:00:00,2,289.4,348,8,0,86.700005,-1.4,-1.65,0.010009999,99909.19,98
2020-05-13 18:00:00,2,300.4,363,608,0,45.4,-1.64,-2.72,0.01031,99927.89,87
2020-05-14 00:00:00,2,296.93,377,612,2e-6,67.3,-1.0699999,-1.29,0.01244,99900.555,18
2020-05-14 06:00:00,2,291.1,381,2,0,82.6,0.37,-1.88,0.010629999,100086.39,56
2020-05-14 12:00:00,2,289.4,335,14,0,91.5,0.14,-2.03,0.01057,100182.45,1
2020-05-14 18:00:00,2,300.5,345,713,0,40.600002,0.22,-2.76,0.009269999,100170.49,0
2020-05-15 00:00:00,2,297.4,366,638,0,60.4,-0.71,-1.75,0.0115,99922.99,4
2020-05-15 06:00:00,2,291,347,4,0,84.5,0.7,-2.21,0.01077,100163.04,22
2020-05-15 12:00:00,2,290.1,341,12,0,97.1,0.22,-2.24,0.01165,100294.63,42
2020-05-15 18:00:00,2,301,362,685,0,50.9,1.03,-2.22,0.01196,100231.555,40
2020-05-16 00:00:00,2,298.4,391,581,3e-6,71.700005,1.1899999,-1.0799999,0.0145,99990.586,35
2020-05-16 06:00:00,2,292.2,366,4,0,87.1,1.54,-1.1999999,0.012019999,100128.93,9
2020-05-16 12:00:00,2,291.6,355,13,0,93.200005,1.3299999,-1.0799999,0.01237,100145.94,3
2020-05-16 18:00:00,2,305.7,379,696,0,47.600002,-0.19,1,0.01468,100150.65,6
2020-05-17 00:00:00,2,299,412,539,9.8e-5,80.9,-1.5799999,0.03,0.01687,99947.12,77
2020-05-17 06:00:00,2,293.2,377,3,2e-6,95.9,-1.61,-0.85999995,0.01407,100071.75,48
2020-05-17 12:00:00,2,292,357,14,0,96.9,-1.52,-1.06,0.01316,100142.37,2
2020-05-17 18:00:00,2,302.7,369,706,0,41.2,-2.84,0.37,0.01074,100183.24,16
2020-05-18 00:00:00,2,297.5,368,641,0,59.9,-2.03,-0.45999998,0.0114899995,100032.83,9
2020-05-18 06:00:00,2,289.4,329,4,0,72.4,-1.79,-1.09,0.00838,100205.984,1
2020-05-18 12:00:00,2,288,313,15,0,76.200005,-1.55,-1.4699999,0.008049999,100210.67,0
2020-05-18 18:00:00,2,302.5,332,729,0,33.100002,-1.0799999,-1.39,0.00852,100197.4,0
2020-05-19 00:00:00,2,298.5,363,649,0,58.600002,-1.2099999,-1.26,0.0119199995,100061.69,10
2020-05-19 06:00:00,2,291.4,341,4,0,75.4,0.44,-2.44,0.00987,100009.73,8
2020-05-19 12:00:00,2,291.5,340,13,0,94.5,1.5699999,-2.4199998,0.01249,100160.4,28
2020-05-19 18:00:00,2,304.7,370,687,0,44.3,1.3299999,-0.26999998,0.01301,99969.99,53
2020-05-20 00:00:00,2,301.9,395,629,0,73,0.08,-0.77,0.01826,99701.164,40
2020-05-20 06:00:00,2,293.6,372,4,1.2e-5,75.4,1.6899999,-1.02,0.01138,99868.164,17
2020-05-20 12:00:00,2,292.1,358,14,0,90.200005,1.52,1.11,0.01237,99841.375,18
2020-05-20 18:00:00,2,304.1,377,703,0,41.9,0.52,2.9199998,0.01188,99876.94,8
2020-05-21 00:00:00,2,299.80002,401,608,3e-6,65.700005,-1.29,-2.07,0.01447,99556.33,35
2020-05-21 06:00:00,2,293.5,372,4,3e-5,90.9,1.66,-2.55,0.01356,99867.19,5
2020-05-21 12:00:00,2,292.4,367,11,0,96.4,1.3199999,-1.16,0.01349,99921.54,45
2020-05-21 18:00:00,2,302.6,386,670,1.9e-5,51.9,2.24,-0.39999998,0.0134499995,99857.586,46
2020-05-22 00:00:00,2,300.6,395,622,1.3e-5,64.700005,0.66999996,-1.5799999,0.014939999,99765.82,37
2020-05-22 06:00:00,2,292.9,380,4,9.2e-5,92.8,2,0,0.013409999,99855.57,72
2020-05-22 12:00:00,2,293.1,367,10,6e-6,98.6,2.54,-0.26,0.014409999,100092.21,61
2020-05-22 18:00:00,2,299.5,396,608,1.51e-4,81.1,3.51,2.3899999,0.01752,99868.3,58
2020-05-23 00:00:00,2,296.7,391,597,2.11e-4,92.9,2.33,2.12,0.016959999,99805.78,66
2020-05-23 06:00:00,2,293.30002,368,4,2e-5,98.8,1.28,1.81,0.01468,99669.9,43
2020-05-07 06:00:00,3,281,9999e17,9999e17,9999e17,75.8,-1.92,-0.35,0.005,100400.96,9999e17
2020-05-07 12:00:00,3,280.80002,262,12,0,80,-1.5799999,0.35999998,0.00521,100555.93,0
2020-05-07 18:00:00,3,293,281,735,0,31.1,-2.21,0.58,0.0045,100424.1,0
2020-05-08 00:00:00,3,289.6,300,654,0,69.700005,-0.51,0.64,0.00815,100110.63,5
2020-05-08 06:00:00,3,286.2,306,2,0,50.2,1.8399999,-0.91999996,0.00472,99984.48,57
2020-05-08 12:00:00,3,285.7,316,3,0,62.3,3.06,0.39,0.00567,99762.9,58
2020-05-08 18:00:00,3,288.80002,354,163,2.95e-4,94.5,2.7,-0.19,0.01059,99301.19,99
2020-05-09 00:00:00,3,287.7,388,58,5.99e-4,90.8,-6.06,1.62,0.00947,99519.61,98
2020-05-09 06:00:00,3,281.4,290,1,0,82.700005,-3.1599998,0.22999999,0.00562,100227.04,37
2020-05-09 12:00:00,3,278.80002,253,14,0,73.3,-3.73,-0.76,0.00415,100571.75,45
2020-05-09 18:00:00,3,287.9,250,757,0,32.7,-2.75,-1.05,0.0033999998,100735.75,15
2020-05-10 00:00:00,3,286.4,274,667,0,58,-1.53,-0.48999998,0.0054599997,100561.92,25
2020-05-10 06:00:00,3,279.6,266,3,0,64.5,-1.01,-1.68,0.0038599998,100724.805,44
2020-05-10 12:00:00,3,279.30002,267,10,0,63.8,-1.1999999,-1.66,0.00373,100788.43,90
2020-05-10 18:00:00,3,294.30002,279,705,0,27.2,-0.53999996,-1.23,0.0042499998,100749.19,84
2020-05-11 00:00:00,3,289.6,302,653,0,60.9,-1.17,-0.14999999,0.00707,100432.875,40
2020-05-11 06:00:00,3,281,286,3,0,65.200005,-1.24,-0.61,0.00426,100533.06,2
2020-05-11 12:00:00,3,284.4,279,14,0,73.4,-0.42,-1.0799999,0.0060699997,100596.555,0
2020-05-11 18:00:00,3,300.9,309,731,0,27.2,0.74,-0.42999998,0.00636,100384.305,0
