forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-04-30 00:00:00,1,289.77,9999e17,9999e17,9999e17,66.5,-5.3599997,3.99,0.0080699995,97456.46,9999e17
2020-04-30 06:00:00,1,284.36,294,15,0,75.9,-3.4199998,2.48,0.00646,97636.25,2
2020-04-30 12:00:00,1,282.1,282,2,0,85.8,-2.4099998,2.31,0.0063,97644.27,0
2020-04-30 18:00:00,1,292.57,296,598,0,47.100002,-2.1599998,1.75,0.0067999996,97630.766,2
2020-05-01 00:00:00,1,294.38998,320,695,0,52.600002,1.41,-0.65999997,0.00856,97228.21,17
2020-05-01 06:00:00,1,286.50998,308,15,0,65.6,3.75,-2.27,0.00647,97143.74,48
2020-05-01 12:00:00,1,285.7,303,2,0,76.3,5.42,-2.5,0.00715,96934.92,36
2020-05-01 18:00:00,1,296.1,327,560,0,57.3,8.13,1.3399999,0.01045,96755.055,61
2020-05-02 00:00:00,1,298.49,360,675,0,63.4,2.87,0.5,0.0133299995,96610.51,25
2020-05-02 06:00:00,1,291,350,15,0,87.5,2.77,0.63,0.01151,96847.92,0
2020-05-02 12:00:00,1,287.9,332,2,0,91.1,-0.47,-0.61,0.0098399995,96979.055,1
2020-05-02 18:00:00,1,298.38998,352,549,0,60.3,-3.4199998,-5.5899997,0.01254,97090.46,35
2020-05-03 00:00:00,1,293.15,400,393,1.8e-5,66.200005,-7.0499997,-3.55,0.01,97122.016,87
2020-05-03 06:00:00,1,287.6,373,2,4e-6,71.200005,-3.57,-3.3,0.0075299996,97335.04,79
2020-05-03 12:00:00,1,285.22,350,1,1.79e-4,86.3,-5.37,-3.53,0.0077899997,97427.44,75
2020-05-03 18:00:00,1,292.29,344,420,0,58.4,-1.15,-4.7,0.0083099995,97524.87,51
2020-05-04 00:00:00,1,293.41998,332,691,0,60.600002,0.58,-3.4399998,0.009269999,97273.18,1
2020-05-04 06:00:00,1,285.7,309,17,0,87.8,2.47,-1.5999999,0.0081899995,97311.086,1
2020-05-04 12:00:00,1,284.5,303,2,0,91.4,2.53,-1.9499999,0.00791,97102.85,24
2020-05-04 18:00:00,1,296,329,580,0,68.700005,5.52,-2.52,0.01241,96809.99,39
2020-05-05 00:00:00,1,295.2,401,302,2.1e-5,83.700005,2.83,-0.82,0.0144,96506.37,82
2020-05-05 06:00:00,1,289.6,356,15,0,98.6,0.089999996,-1.3399999,0.0119199995,96562.52,23
2020-05-05 12:00:00,1,290.4,359,3,4e-6,88.5,-10.36,2.04,0.01126,96763.83,45
2020-05-05 18:00:00,1,288.7,338,358,1e-5,49.100002,-11.04,3.6599998,0.00557,97489.1,50
2020-05-06 00:00:00,1,291.4,309,626,0,50.7,-4.35,2.56,0.00682,97532.24,20
2020-05-06 06:00:00,1,284.2,280,19,0,49.3,-2.48,3.97,0.00414,97855.25,0
2020-05-06 12:00:00,1,281.4,267,3,0,64.200005,-2.76,3.36,0.00444,98197.62,0
2020-05-06 18:00:00,1,289.9,277,622,0,44.9,-6.66,3.04,0.0054599997,98461.49,0
2020-05-07 00:00:00,1,291.30002,300,712,0,51.7,-2.6299999,0.17,0.00685,98273.94,4
2020-05-07 06:00:00,1,283.7,286,19,0,61.7,2.8799999,0.56,0.0049799997,98330.39,0
2020-05-07 12:00:00,1,282.30002,277,4,0,72.3,1.41,4.5299997,0.00533,98532.21,0
2020-05-07 18:00:00,1,294.5,295,617,0,36.100002,-2.27,1.79,0.0058399998,98448.35,1
2020-05-08 00:00:00,1,293.1,342,614,0,53.7,2.48,1.6999999,0.00801,98114.59,34
2020-05-08 06:00:00,1,288.5,349,9,0,63.2,5.98,1.29,0.0070499997,97997.62,70
2020-05-08 12:00:00,1,287,306,3,0,64.5,6.5,2.77,0.0065099997,97677.9,35
