forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-05 06:00:00,1,277.4,9999e17,9999e17,9999e17,87.6,0.37,-0.57,0.0052,87051.63,9999e17
2020-05-05 12:00:00,1,276.2,305,0,1.4e-5,90.200005,0.48999998,-1.23,0.00494,86869.95,90
2020-05-05 18:00:00,1,288.30002,262,355,0,39.600002,1.62,0.89,0.00493,86751.2,11
2020-05-06 00:00:00,1,288,278,855,1e-6,47.9,0.21,4.46,0.00582,86728.96,11
2020-05-06 06:00:00,1,278.80002,308,127,1.4e-5,93.5,0.02,2.81,0.00612,86914.12,73
2020-05-06 12:00:00,1,274.9,277,0,8.6e-5,94.5,0.47,3.58,0.00469,87080.59,55
2020-05-06 18:00:00,1,277.80002,294,237,2.6e-5,65.4,0.11,3.1399999,0.00397,87419.48,80
2020-05-07 00:00:00,1,281.80002,236,880,0,46,-1.65,2.8999999,0.0036799998,87502.73,2
2020-05-07 06:00:00,1,271.4,231,144,0,91.3,-0.69,-0.85999995,0.0034999999,87534.39,0
2020-05-07 12:00:00,1,273,219,0,0,80.9,0.55,-2.03,0.0034999999,87272.16,14
2020-05-07 18:00:00,1,286.5,231,373,0,28.7,0.31,-2.71,0.00315,87143.93,17
2020-05-08 00:00:00,1,291,270,858,0,21.1,-0.76,-2.72,0.0031299999,86932.29,54
2020-05-08 06:00:00,1,279.30002,256,143,0,49.2,-0.29,-3.3,0.00333,87066.44,6
2020-05-08 12:00:00,1,277.7,243,0,0,61.600002,0.24,-3.49,0.00373,86947.68,0
2020-05-08 18:00:00,1,289.4,251,372,0,29.6,0.16,-4.0499997,0.00393,86885.72,0
2020-05-09 00:00:00,1,293.4,279,876,0,24.5,-1.1,-3.9199998,0.00421,86717.81,0
2020-05-09 06:00:00,1,282.6,273,144,0,55.9,-0.48,-3.53,0.00474,86799.164,15
2020-05-09 12:00:00,1,280.30002,260,0,0,68.700005,0.29,-3.47,0.005,86662.74,57
2020-05-09 18:00:00,1,291.80002,272,344,0,32.600002,0.13,-2.9299998,0.00506,86652.055,72
2020-05-10 00:00:00,1,297,306,851,0,24,-1.9499999,-0.22999999,0.00517,86430.45,59
2020-05-10 06:00:00,1,283.80002,297,141,0,72.3,-0.88,-1.9399999,0.0067,86564.664,50
2020-05-10 12:00:00,1,282,283,0,0,66.700005,-0.04,-2.59,0.0054699997,86388,64
2020-05-10 18:00:00,1,291.9,305,278,0,35.9,-0.22999999,-2.79,0.0056399996,86356.79,85
2020-05-11 00:00:00,1,295.1,338,634,0,31.300001,-1.63,-1.8499999,0.0060199997,86107.24,97
2020-05-11 06:00:00,1,283.7,329,76,2.8e-5,80.1,-0.53999996,-2.3,0.0074,86147.055,97
2020-05-11 12:00:00,1,280.80002,308,0,9.6e-5,94.4,-0.28,-2.4099998,0.0072,85996.414,95
2020-05-11 18:00:00,1,288.4,294,317,1.3e-5,55.2,-1.01,-1.9799999,0.0069899997,85955.34,83
2020-05-12 00:00:00,1,286.4,339,453,1.17e-4,76.5,-2.37,-0.32999998,0.00845,85806.055,91
2020-05-12 06:00:00,1,280.4,327,53,1.38e-4,92,-1.55,-0.75,0.00684,85799.4,96
2020-05-12 12:00:00,1,278.5,306,0,1.9e-5,91,0.53,-1.61,0.00593,85624.37,94
2020-05-12 18:00:00,1,285.5,308,227,2e-5,56.2,0.91999996,1.25,0.0058999998,85629.914,93
2020-05-13 00:00:00,1,283.4,314,650,3.24e-4,88.200005,0.17,1.9,0.0080699995,85598.4,78
2020-05-13 06:00:00,1,279.30002,337,28,8.65e-4,97.700005,0.83,2.6699998,0.00672,85775.64,97
2020-05-13 12:00:00,1,278.30002,327,0,4.24e-4,96.700005,0.07,1.63,0.0061399997,86604.805,98
2020-05-13 18:00:00,1,282.6,301,249,5.5e-5,78.9,0.53,2.3899999,0.0067,86758.52,86
2020-05-14 00:00:00,1,281.7,321,454,2.66e-4,91,-0.25,2.73,0.00731,86891.016,74
2020-05-14 06:00:00,1,278.9,325,52,2.49e-4,96.9,0.14999999,1.65,0.0063799997,87101.805,90
2020-05-14 12:00:00,1,277.4,314,0,9.7e-5,97.4,-0.13,1.18,0.0057699997,87114.58,84
2020-05-14 18:00:00,1,283.1,314,227,3.1e-5,73.4,-0.19,1.35,0.00641,87149.445,83
2020-05-15 00:00:00,1,285.6,304,718,3.9e-5,55.3,-1.02,2.97,0.00574,87011.375,55
2020-05-15 06:00:00,1,275.5,271,128,5e-6,92.6,-0.74,0.98999995,0.0047899997,87144.086,17
2020-05-15 12:00:00,1,274.7,256,0,0,95,0.42,-0.35999998,0.00463,87049.96,35
2020-05-15 18:00:00,1,287.80002,277,330,4e-6,48.5,-0.12,1.09,0.00581,87034.8,64
2020-05-16 00:00:00,1,285.80002,315,698,1.6e-4,76.5,-1.3199999,2.01,0.00801,86928.16,72
2020-05-16 06:00:00,1,278.4,293,116,1.02e-4,96.9,-0.06,1.42,0.00618,87070.42,40
2020-05-16 12:00:00,1,277.2,287,0,1.1e-5,98.4,-0.04,0.96,0.00578,87041.12,64
2020-05-16 18:00:00,1,284.9,312,224,3.2e-5,77.6,-0.5,0.91999996,0.0076499996,87090.56,76
2020-05-17 00:00:00,1,287.2,320,687,8.9e-5,68.3,-1.22,2.25,0.0078799995,86987.74,53
2020-05-17 06:00:00,1,278.5,312,110,1.1e-5,96.700005,-0.87,0.65,0.00621,87071.46,57
2020-05-17 12:00:00,1,279.4,278,0,0,96.200005,0.45,-1.7099999,0.0065699997,86891.086,58
2020-05-17 18:00:00,1,291.5,283,370,4e-6,52.100002,0.89,-0.65,0.00794,86803.88,49
2020-05-18 00:00:00,1,287.9,314,801,3.16e-4,85.8,-0.75,2.34,0.010369999,86729.33,58
2020-05-18 06:00:00,1,283,345,53,2.6e-4,97.3,-0.82,1.18,0.00852,86806.54,96
2020-05-18 12:00:00,1,281.6,341,0,2.16e-4,97.8,-1.22,0.5,0.00781,86709.69,95
2020-05-18 18:00:00,1,283.5,344,75,3.71e-4,94.3,-1.51,0.61,0.00854,86773.84,96
2020-05-19 00:00:00,1,285.1,349,332,2.81e-4,92.4,-2.3799999,1.54,0.009269999,86641.44,88
2020-05-19 06:00:00,1,282.2,349,39,8.4e-4,97.4,-0.82,2.37,0.0080699995,86687.42,98
2020-05-19 12:00:00,1,279.80002,342,0,7.73e-4,97.1,-0.45999998,2.9399998,0.00683,86610.06,99
2020-05-19 18:00:00,1,279.80002,333,58,6.59e-4,96.1,-0.13,2.99,0.00677,86726.03,99
2020-05-20 00:00:00,1,281,333,176,4.41e-4,94.8,-0.65,2.98,0.0072299996,86815.85,98
2020-05-20 06:00:00,1,279.6,335,33,9.3e-5,96.6,-0.01,2.26,0.0066799996,86913.74,98
2020-05-20 12:00:00,1,278.30002,323,0,2.4e-5,95.8,-0.26999998,2.1499999,0.0060799997,86777.52,87
2020-05-20 18:00:00,1,280.2,326,124,2.3e-5,87.4,-0.42999998,2.73,0.00634,86814.24,91
2020-05-21 00:00:00,1,282.5,323,466,2e-5,74.8,-1.35,3.11,0.00633,86757.58,77
2020-05-21 06:00:00,1,278,302,79,1e-5,95.700005,-0.48,2.23,0.00592,86836.96,60
2020-05-05 06:00:00,2,276.80002,9999e17,9999e17,9999e17,91.4,0.75,-0.77,0.00518,87006.36,9999e17
2020-05-05 12:00:00,2,273.1,292,0,7e-6,92.700005,-0.14999999,-0.45,0.00405,86838.4,79
2020-05-05 18:00:00,2,288.80002,257,357,0,37.5,1.3,0.72999996,0.00483,86703.83,4
2020-05-06 00:00:00,2,287.9,276,857,0,45.8,0.21,4.6,0.00555,86695.94,9
2020-05-06 06:00:00,2,278.2,305,128,1.5e-5,93.8,-0.089999996,3.05,0.00588,86894.57,73
2020-05-06 12:00:00,2,274.5,271,0,8.4e-5,94.4,0.17,3.46,0.00457,87024.46,54
2020-05-06 18:00:00,2,277.7,289,244,2.9e-5,64,0.07,3,0.0038299998,87386.37,77
2020-05-07 00:00:00,2,281.6,235,879,1e-6,48.100002,-1.63,3.07,0.00379,87484.375,2
2020-05-07 06:00:00,2,271.6,232,143,0,91.6,-0.66999996,-1.0799999,0.0035599999,87541.164,0
2020-05-07 12:00:00,2,273.1,223,0,0,84.6,0.39,-2.2,0.00367,87300.67,24
2020-05-07 18:00:00,2,286.1,238,367,0,34.600002,0.47,-3.1,0.0037099998,87172.27,19
2020-05-08 00:00:00,2,291.1,272,859,0,21.6,-0.11,-2.87,0.00321,86956.32,37
2020-05-08 06:00:00,2,279.6,259,144,0,48.600002,-0.24,-3.1,0.0033699998,87066.68,0
2020-05-08 12:00:00,2,278.1,247,0,0,52.600002,0.58,-3.1299999,0.00329,86927.74,0
2020-05-08 18:00:00,2,291.6,255,372,0,24.5,0.59,-2.86,0.0037699998,86842.164,7
2020-05-09 00:00:00,2,296.2,288,874,0,19,-0.48999998,-1.54,0.00391,86607.21,8
2020-05-09 06:00:00,2,283.4,282,144,0,52.100002,-0.53,-2.78,0.0046699997,86712.75,15
2020-05-09 12:00:00,2,280.6,267,0,0,61.100002,0.12,-2.9399998,0.00454,86634.125,57
2020-05-09 18:00:00,2,292,276,343,0,30.800001,-0.32,-2.32,0.00484,86624.46,62
2020-05-10 00:00:00,2,295.6,304,847,0,28,-2.73,-0.98999995,0.0055299997,86412.29,56
2020-05-10 06:00:00,2,283,296,139,1.2e-5,76.1,-0.24,-2.49,0.0066799996,86478.27,54
2020-05-10 12:00:00,2,281.7,289,0,2e-6,76.200005,0.29,-2.8,0.00612,86192.12,74
2020-05-10 18:00:00,2,292,303,261,0,45.8,0.26999998,-0.17999999,0.00728,86066.27,91
2020-05-11 00:00:00,2,288.1,325,730,2.01e-4,80.9,-1.37,2.57,0.00999,85910.15,88
2020-05-11 06:00:00,2,280.7,338,60,2.47e-4,97.200005,-0.56,0.81,0.00731,86000.78,94
2020-05-11 12:00:00,2,280.4,302,0,5e-6,97.1,0.66999996,-1.64,0.00721,85779.38,68
2020-05-11 18:00:00,2,287.80002,314,259,1.8e-5,49.9,3.51,0.25,0.00603,85768.97,68
2020-05-12 00:00:00,2,286.6,330,483,4.5e-5,62.7,2.47,2.9299998,0.0070599997,85666.72,80
2020-05-12 06:00:00,2,279,332,72,4.71e-4,96.8,-0.75,2.98,0.00655,85596.484,95
2020-05-12 12:00:00,2,276,315,0,2.97e-4,94.8,2.4299998,4.23,0.00518,85857.24,92
2020-05-12 18:00:00,2,279,296,236,6.2e-5,69.1,2.37,2.84,0.00462,86208.24,83
2020-05-13 00:00:00,2,280.5,295,667,6.9e-5,72.200005,0.63,3.9399998,0.0053499998,86333.31,79
2020-05-13 06:00:00,2,274,267,112,1.1e-5,95.1,1.04,0.95,0.00446,86548.164,46
2020-05-13 12:00:00,2,275.80002,270,0,2.2e-5,89.9,1.5699999,0.65,0.00475,87264,51
2020-05-13 18:00:00,2,282.5,292,272,6e-6,59.100002,0.72999996,2.4299998,0.00495,87441.68,72
2020-05-14 00:00:00,2,283.7,318,492,1.7e-5,58.8,-1.0699999,2.71,0.00538,87365.48,82
2020-05-14 06:00:00,2,273.80002,270,108,2e-6,96,-0.82,0.32999998,0.00439,87405.94,35
2020-05-14 12:00:00,2,275.5,253,0,0,95.700005,0.38,-1.14,0.00495,87196.65,56
2020-05-14 18:00:00,2,287.30002,281,300,0,47.7,1.01,1,0.0055199997,87087.55,82
2020-05-15 00:00:00,2,286.9,315,687,2.9e-5,56.5,-0.78,3.1799998,0.00635,86965.1,67
2020-05-15 06:00:00,2,278.4,311,103,1e-5,92.6,-0.32,1.13,0.0058899997,87122.195,82
2020-05-15 12:00:00,2,278.2,305,0,9.5e-5,96.1,0.52,1.15,0.00604,86907.69,89
2020-05-15 18:00:00,2,281.9,318,162,2.49e-4,83.4,0.01,2.5,0.00677,87064.89,91
2020-05-16 00:00:00,2,285.1,290,790,3.3e-5,54.100002,-0.78,4.18,0.00544,87007.26,42
2020-05-16 06:00:00,2,277.1,277,142,4e-6,94.200005,-0.14,1.78,0.0054599997,87316.02,27
2020-05-16 12:00:00,2,274.5,257,0,0,97.6,0.59,1.36,0.0047,87490.125,22
2020-05-16 18:00:00,2,286.1,257,376,0,39.3,-0.66999996,1.92,0.00421,87531.69,26
2020-05-17 00:00:00,2,289.6,280,863,0,40.600002,-0.9,3.1899998,0.00544,87554.445,49
2020-05-17 06:00:00,2,279.6,285,147,0,88.4,0.88,1.5,0.00606,87700.41,38
2020-05-17 12:00:00,2,280.30002,315,0,5e-6,81.5,1.5999999,0.89,0.00588,87603.9,77
2020-05-17 18:00:00,2,286.5,324,188,1.1e-5,72.6,1.16,2.54,0.0078799995,87601.29,88
2020-05-18 00:00:00,2,289.30002,338,560,1.8e-5,66.3,-0.32999998,3.6799998,0.00873,87632.62,87
2020-05-18 06:00:00,2,283.7,331,104,1.1e-5,94.700005,-0.14,2.1499999,0.008599999,87615.086,87
2020-05-18 12:00:00,2,280.30002,322,0,7e-6,98.4,-0.04,1.24,0.0071199997,87396.914,68
2020-05-18 18:00:00,2,289.9,322,310,3e-6,56.2,0.59999996,1.73,0.00771,87247.836,53
2020-05-19 00:00:00,2,290.9,311,845,3.2e-5,54.5,0.35,4.56,0.00798,86950.2,15
2020-05-19 06:00:00,2,282.4,334,127,3.03e-4,94.6,0.84,3.1999998,0.00796,86776.23,66
2020-05-19 12:00:00,2,277.5,333,0,2.03e-4,91.9,0.24,4.2799997,0.00551,86872.19,92
2020-05-19 18:00:00,2,280.30002,285,297,2.1e-5,56.4,0.74,3.9299998,0.0041,86875.43,65
2020-05-20 00:00:00,2,279.2,297,594,1.01e-4,81.5,-0.049999997,4.0499997,0.00549,86937.33,74
2020-05-20 06:00:00,2,275.5,302,77,7.9e-5,93.200005,0.37,2.3799999,0.0048599998,86802.48,81
2020-05-20 12:00:00,2,273.5,294,0,1.7e-5,94.9,0.38,1.3399999,0.00429,86586.12,79
2020-05-20 18:00:00,2,278.6,283,258,5.7e-5,75.700005,-1.38,1.62,0.00488,86542.07,88
2020-05-21 00:00:00,2,280.4,291,665,1.17e-4,73.4,-2.99,1.6999999,0.0053399997,86398.39,78
2020-05-21 06:00:00,2,275.80002,276,143,4.3e-5,95.1,-1.17,1.54,0.0050399997,86616.95,61
2020-05-05 06:00:00,3,275.5,9999e17,9999e17,9999e17,95.3,0.26999998,-0.04,0.00493,87021.305,9999e17
