forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-04-30 00:00:00,1,286.6,9999e17,9999e17,9999e17,96.200005,4.73,-0.47,0.01007,92010.06,9999e17
2020-04-30 06:00:00,1,281.47998,361,0,0.001464,95.3,-0.22999999,1.17,0.0071099997,91895.45,100
2020-04-30 12:00:00,1,280.1,328,6,2.87e-4,95.700005,1.0699999,1.31,0.00652,91804.27,100
2020-04-30 18:00:00,1,286.07,319,460,9e-6,63.100002,0.55,4.7999997,0.0064,91766.766,78
2020-05-01 00:00:00,1,280.94,310,347,7e-6,78.5,-0.81,4.29,0.00563,91890.62,62
2020-05-01 06:00:00,1,278.61,290,0,4e-6,90.1,-0.97999996,3.4399998,0.00551,91825.336,48
2020-05-01 12:00:00,1,278.6,310,12,3.2e-5,95.1,-0.48,3.22,0.00581,91904.52,87
2020-05-01 18:00:00,1,282,324,335,2.7e-5,76.1,-3.1699998,5.73,0.0058299997,92179.055,90
2020-05-02 00:00:00,1,281.04,324,189,2.2e-5,85.1,-3.1499999,4.44,0.00611,92463.305,79
2020-05-02 06:00:00,1,280.7,330,0,1.4e-5,92.9,-2.48,3.59,0.00649,92713.52,94
2020-05-02 12:00:00,1,280.9,329,20,9e-6,89.6,-1.76,2.51,0.00633,92927.85,92
2020-05-02 18:00:00,1,291.72998,293,694,0,41.4,-1.5899999,3.1299999,0.00597,92898.46,49
2020-05-03 00:00:00,1,286.86,319,507,0,81.700005,-0.22,1.7199999,0.00863,92810.016,20
2020-05-03 06:00:00,1,286.5,320,0,0,81.4,1.4399999,2.9299998,0.00839,92688.64,47
2020-05-03 12:00:00,1,288.91998,327,22,0,88.8,0.08,4.69,0.01074,92648.24,34
2020-05-03 18:00:00,1,296.47,351,560,1.8e-5,53.8,0.02,6.14,0.01047,92484.87,89
2020-05-04 00:00:00,1,291.74,370,433,4e-6,78.8,1.17,4.39,0.01146,92081.18,84
2020-05-04 06:00:00,1,284.80002,361,0,1.32e-4,96.4,-2.1299999,1.8199999,0.008959999,92194.29,95
2020-05-04 12:00:00,1,282.6,301,20,1e-6,96,-1.76,1.9799999,0.0076599997,92406.85,69
2020-05-04 18:00:00,1,291.6,292,692,1e-6,37,-3.07,2.71,0.00532,92499.586,29
2020-05-05 00:00:00,1,286.7,288,568,0,66.8,-1.73,1.88,0.00697,92584.766,5
2020-05-05 06:00:00,1,281.4,294,0,0,84.1,-0.58,1.88,0.00618,92615.32,29
2020-05-05 12:00:00,1,285.2,279,27,0,76,-0.31,0.29,0.00722,92712.625,0
2020-05-05 18:00:00,1,294.9,314,687,0,39.8,3.34,1.3199999,0.00702,92559.5,54
2020-05-06 00:00:00,1,290.2,336,484,0,79.700005,4.46,0.19,0.0105099995,92253.836,52
2020-05-06 06:00:00,1,288.80002,367,0,8.7e-5,97.5,3.7099998,2.1599998,0.011829999,91711.25,100
2020-05-06 12:00:00,1,287.9,363,4,1.9e-5,89.700005,-1.22,6.15,0.01026,91693.62,86
