forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-09 06:00:00,1,279.7,9999e17,9999e17,9999e17,26.1,-0.21,-0.53,0.00201,79759.19,9999e17
2020-05-09 12:00:00,1,279.30002,240,0,0,28.6,-3.48,-1.68,0.0021199998,79770.055,0
2020-05-09 18:00:00,1,290.80002,251,515,0,15.2,-4.4,-0.01,0.0023999999,79899.39,0
2020-05-10 00:00:00,1,292.6,269,866,0,10.900001,-5.42,2.4199998,0.0019299999,79735.94,1
2020-05-10 06:00:00,1,282.2,255,68,0,19,-0.48,-3.48,0.0016999999,79810.58,2
2020-05-10 12:00:00,1,280.30002,247,0,0,23.4,2.69,-1.5,0.00185,79753.31,31
2020-05-10 18:00:00,1,294.6,268,495,0,11.6,3.85,3.05,0.00233,79783.49,49
2020-05-11 00:00:00,1,296.4,299,837,0,11.400001,3.32,4.5499997,0.00257,79449.9,45
2020-05-11 06:00:00,1,286,309,54,4.1e-5,48.8,1.1999999,-1.8299999,0.0056999996,79500.4,85
2020-05-11 12:00:00,1,282.2,292,0,2.46e-4,77.3,4.49,-1.67,0.0069999998,79422.516,83
2020-05-11 18:00:00,1,292.30002,287,489,5.7e-5,33.5,4.5499997,7.02,0.0058899997,79395.836,62
2020-05-12 00:00:00,1,295.30002,312,799,5.1e-5,13.3,4.45,8.38,0.00283,79025.26,56
2020-05-12 06:00:00,1,285.5,278,65,0,32.4,3.3799999,3.34,0.00367,79154.65,11
2020-05-12 12:00:00,1,281.2,253,0,0,33.600002,5.0499997,0.11,0.00286,79132.43,1
2020-05-12 18:00:00,1,291.80002,248,527,0,12.5,8.05,4.67,0.00213,79165.125,0
2020-05-13 00:00:00,1,293.6,271,869,0,12.2,7,6.85,0.00232,78940.25,0
2020-05-13 06:00:00,1,283.80002,263,69,0,28.5,3.8999999,3.47,0.00289,79107.74,1
2020-05-13 12:00:00,1,279.80002,246,0,0,38,4.7,-0.24,0.00293,79083.164,5
2020-05-13 18:00:00,1,290.1,253,520,0,20.300001,5.95,4.74,0.00312,79169.85,0
2020-05-14 00:00:00,1,292.2,274,862,0,15.7,5.56,5.8399997,0.00274,78974.48,9
2020-05-14 06:00:00,1,283.7,266,67,0,29.2,4.15,1.9399999,0.0029199999,79158.01,16
2020-05-14 12:00:00,1,280.30002,256,0,0,43.7,3.49,0.07,0.0034699999,79263.02,0
2020-05-14 18:00:00,1,290.9,263,514,0,21.7,4.92,3.74,0.00348,79328.79,24
2020-05-15 00:00:00,1,292.6,282,850,0,16.300001,6.1099997,4.97,0.00293,79084.64,37
2020-05-15 06:00:00,1,284.30002,274,66,0,31.5,3.6799998,3.04,0.00327,79199.914,36
2020-05-15 12:00:00,1,279,260,0,1.7e-5,58.4,1.29,0.25,0.00427,79283.08,16
