forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-11 00:00:00,1,282.7,9999e17,9999e17,9999e17,30.4,-1.9799999,1.25,0.0031299999,71413.19,9999e17
2020-05-11 06:00:00,1,272,235,56,0,80.3,2.05,-1.49,0.00391,71357.15,73
2020-05-11 12:00:00,1,273.7,248,0,3e-6,70.200005,1.49,1.5799999,0.00392,71136.77,87
2020-05-11 18:00:00,1,277.6,302,139,1.92e-4,82.5,0.099999994,2.83,0.00606,71075.055,98
2020-05-12 00:00:00,1,281.36,287,557,1.01e-4,72.200005,0.31,4.5299997,0.0069,70903.5,89
2020-05-12 06:00:00,1,274.5,251,51,6.8e-5,91,1.88,1.5999999,0.00538,70897.78,60
2020-05-12 12:00:00,1,272.5,235,0,1e-6,87.9,2.1,1.86,0.00451,70832.95,16
2020-05-12 18:00:00,1,284.36,228,564,0,32.4,1.64,4.79,0.00378,70878.086,17
2020-05-13 00:00:00,1,284.27,245,826,0,31.4,1.8499999,6.19,0.0036499999,70802.78,55
2020-05-13 06:00:00,1,273.84,228,56,0,58,2.1699998,2.24,0.0032799998,70839.586,32
2020-05-13 12:00:00,1,271.6,215,0,0,62,1.5999999,2.47,0.00297,70711.21,6
2020-05-13 18:00:00,1,283.66,221,564,0,26.9,0.84999996,5.39,0.00302,70792.555,29
2020-05-14 00:00:00,1,283.46,243,833,0,31.4,1.48,5.8199997,0.0034699999,70766.93,38
2020-05-14 06:00:00,1,272.4,247,49,1e-6,80.8,0.22,1.8399999,0.0041,70970.836,56
2020-05-14 12:00:00,1,271.6,224,0,0,90.3,0.62,2.1,0.0042999997,71005.61,7
2020-05-14 18:00:00,1,283,254,482,2.9e-5,42.3,0.88,2.27,0.00451,71047.84,42
2020-05-15 00:00:00,1,279.30002,301,499,1.57e-4,74.700005,0.14,2.44,0.00621,70995.99,92
2020-05-15 06:00:00,1,272.7,245,36,5e-6,91,1.27,1.62,0.0047,71092.88,30
2020-05-15 12:00:00,1,272,232,0,0,87.6,1.13,1.62,0.00432,71023.49,38
2020-05-15 18:00:00,1,283.9,244,528,9e-6,37.7,0.72999996,5.96,0.00426,70940.18,42
2020-05-16 00:00:00,1,282.80002,288,684,1.2e-5,43.9,-0.29999998,5.97,0.00463,70889.75,87
2020-05-16 06:00:00,1,273,253,48,5e-6,90.4,0.32,1.8299999,0.0047899997,71041.086,74
2020-05-16 12:00:00,1,272.9,254,0,1e-5,84.700005,1.62,1.15,0.0044799997,71018.98,47
2020-05-16 18:00:00,1,283.7,267,480,3.2e-5,42.600002,-0.48999998,5.6299996,0.00474,71061.68,48
2020-05-17 00:00:00,1,283.2,268,783,6.4e-5,47.4,-1.81,4.95,0.00512,71086.98,37
2020-05-17 06:00:00,1,273.1,243,59,1.1e-5,85.8,1.04,1.1,0.00458,71245,11
2020-05-17 12:00:00,1,273,232,0,0,75.3,1.99,1.53,0.00399,71227.086,3
2020-05-17 18:00:00,1,288.9,245,562,0,23.9,1.67,3.23,0.0037399998,71287.19,21
2020-05-18 00:00:00,1,287.4,277,779,2.2e-5,34.7,0.59,3.8,0.0049199997,71245.52,77
2020-05-18 06:00:00,1,275.9,258,40,1e-6,62.2,1.4,1.7199999,0.00402,71279.914,53
2020-05-18 12:00:00,1,274.80002,233,0,0,66.9,2.27,1.0699999,0.00402,71230.63,33
2020-05-18 18:00:00,1,290.30002,247,560,0,18.800001,2.7,3.99,0.00323,71228.17,60
2020-05-19 00:00:00,1,290.30002,268,832,0,19.800001,1.28,5.94,0.00341,71132.06,71
2020-05-19 06:00:00,1,278.7,261,51,0,50.7,1.48,2.11,0.00404,70946.305,68
2020-05-19 12:00:00,1,276.4,239,0,0,54.9,1.4499999,1.91,0.00373,70872.7,55
2020-05-19 18:00:00,1,290.5,254,542,0,19,2.2,2.57,0.00333,70925.555,68
2020-05-20 00:00:00,1,289.7,299,674,0,26,-0.19999999,2.4199998,0.0043099998,70871.13,79
2020-05-20 06:00:00,1,278.4,283,36,2e-5,67.9,0.94,-1.76,0.0053,70968.99,76
2020-05-20 12:00:00,1,275.7,241,0,0,64.9,1.92,0.84999996,0.0042,70856,19
2020-05-20 18:00:00,1,290.9,246,571,0,20.300001,2.09,0.78999996,0.0036499999,70890.63,11
2020-05-21 00:00:00,1,290.30002,305,683,6e-6,22.4,0.63,0.61,0.00387,70799.43,77
2020-05-21 06:00:00,1,279,283,35,8.5e-5,78.200005,0.19999999,-2.1499999,0.00641,70859.27,92
2020-05-21 12:00:00,1,278.1,292,0,3.5e-5,88.700005,2.1299999,-1.11,0.00685,70768.914,72
2020-05-21 18:00:00,1,289.5,251,569,0,17.6,4.0499997,0.72999996,0.00289,70751.984,10
2020-05-22 00:00:00,1,290.2,265,823,0,16.4,2.7,5.12,0.0028499998,70635.4,53
2020-05-22 06:00:00,1,276.6,250,51,0,41.9,0.51,2.1699998,0.0029,70810.62,71
2020-05-22 12:00:00,1,272.80002,220,0,0,43.8,0.97999996,1.54,0.00231,70852.016,24
2020-05-22 18:00:00,1,288.30002,229,586,0,17.2,2.6399999,0.31,0.00262,70887.69,1
2020-05-23 00:00:00,1,289,282,733,0,18,-0.55,1.39,0.00288,70784.96,61
2020-05-23 06:00:00,1,275.4,268,44,2.2e-5,73.4,-0.78999996,0.95,0.00463,70927.37,60
2020-05-23 12:00:00,1,272.4,235,0,0,79.9,-0.06,-0.53999996,0.0040599997,70799.21,41
2020-05-23 18:00:00,1,289.2,275,456,1.7e-5,26.7,0.28,-0.13,0.00429,70753.305,76
2020-05-24 00:00:00,1,282.5,303,595,2.07e-4,64.8,-1.55,0.87,0.0067399996,70685.016,97
2020-05-24 06:00:00,1,277.4,308,18,7.6e-5,82.200005,0.06,1.5999999,0.006,70706.54,99
2020-05-24 12:00:00,1,274.9,275,0,1.1e-5,76.8,0.65,1.81,0.00472,70685.375,83
2020-05-24 18:00:00,1,280.80002,297,214,6.8e-5,51.2,-0.65,2.32,0.00472,70795.16,99
2020-05-25 00:00:00,1,283.9,291,490,5.7e-5,43,-0.32999998,1.4699999,0.00487,70755.47,88
2020-05-25 06:00:00,1,274.1,243,67,5.8999998e-5,79.9,1.5899999,1.11,0.00459,70901.64,30
2020-05-25 12:00:00,1,272.1,228,1,0,82.5,1.39,1.1899999,0.0041199997,70934.1,17
2020-05-25 18:00:00,1,287.6,252,535,7e-6,27.1,1.88,-1.62,0.00392,71030.086,65
2020-05-26 00:00:00,1,284.4,297,678,1.11e-4,55.7,1.14,-2.44,0.0065099997,71043.23,90
2020-05-26 06:00:00,1,276.5,298,21,6.4e-5,86.6,1.86,-0.26,0.00592,71168.164,85
2020-05-26 12:00:00,1,273,239,1,4.9e-5,85.6,1.29,-0.44,0.00453,71193.97,22
2020-05-26 18:00:00,1,289.7,250,574,6e-6,31.2,1.8399999,-2.23,0.00511,71223.805,24
2020-05-27 00:00:00,1,287.1,292,747,1.09e-4,47.600002,1.11,-2.76,0.0066299997,71184.39,74
2020-05-11 00:00:00,2,282.7,9999e17,9999e17,9999e17,28.7,-1.76,1.7199999,0.00297,71430.336,9999e17
2020-05-11 06:00:00,2,271.80002,234,57,0,79.9,2.1299999,-1.5799999,0.0038299998,71331.734,67
2020-05-11 12:00:00,2,275.1,262,0,1.5e-5,68,1.28,1.79,0.0041799997,71131.89,87
2020-05-11 18:00:00,2,278.2,301,176,1.6e-4,79.1,0.17999999,3.21,0.0060699997,71048.44,97
2020-05-12 00:00:00,2,281.22998,291,536,1.65e-4,74.200005,0.45999998,4.64,0.00703,70864.39,91
2020-05-12 06:00:00,2,274.2,249,49,5.8999998e-5,90.5,1.77,2.1299999,0.00523,70854.85,57
2020-05-12 12:00:00,2,272.2,228,0,0,86.8,2.01,2.05,0.00434,70804.77,13
2020-05-12 18:00:00,2,284.35,222,567,0,29.300001,1.54,4.36,0.00342,70847.62,12
2020-05-13 00:00:00,2,284.19998,246,816,0,30.6,1.8499999,6.0899997,0.00355,70792.79,63
2020-05-13 06:00:00,2,274,230,50,0,54.600002,2.25,2.4099998,0.00312,70823.47,46
2020-05-13 12:00:00,2,271.6,214,0,0,61.4,1.5799999,2.49,0.00294,70685.79,3
2020-05-13 18:00:00,2,283.6,220,565,0,26.800001,0.82,5.44,0.00302,70767.305,25
2020-05-14 00:00:00,2,283.50998,247,823,0,30.7,1.73,6.08,0.00341,70712.4,52
2020-05-14 06:00:00,2,272.1,248,42,1e-6,74.6,0.5,1.8499999,0.00369,70913.04,54
2020-05-14 12:00:00,2,271.30002,224,0,0,80.9,0.52,1.8,0.00378,70951.71,32
2020-05-14 18:00:00,2,285.30002,246,522,4e-6,29.300001,1.16,2.11,0.00366,70970.16,39
2020-05-15 00:00:00,2,282.4,293,589,3.3e-5,40.4,0.66999996,3.6499999,0.00413,70922.43,88
2020-05-15 06:00:00,2,272.9,236,46,0,67.5,0.14,2.36,0.00355,70988.12,41
2020-05-15 12:00:00,2,270,219,0,0,92.1,-1.3399999,1.04,0.0039,70952.586,8
2020-05-15 18:00:00,2,283.80002,236,553,2.9e-5,35.9,1.36,4.17,0.00407,70746.31,13
2020-05-16 00:00:00,2,282.7,268,763,6e-5,40.9,1.12,5.6,0.00428,70607.35,84
2020-05-16 06:00:00,2,272.7,247,43,8e-6,85.6,-0.03,2.4299998,0.00447,70738.48,66
2020-05-16 12:00:00,2,270.7,240,0,5e-6,94.6,0.75,2.3899999,0.00423,70752.555,39
2020-05-16 18:00:00,2,280.9,217,566,0,30.5,-0.089999996,4.87,0.0028499998,70865.93,29
2020-05-17 00:00:00,2,280.30002,255,756,1.2e-5,39.5,-0.32,2.6499999,0.0034999999,70921.484,58
2020-05-17 06:00:00,2,272.5,268,40,3.4e-5,86.4,0.90999997,-0.51,0.00439,71106,80
2020-05-17 12:00:00,2,270.2,237,0,7e-6,90.6,2.04,-0.04,0.00388,71126.33,45
2020-05-17 18:00:00,2,283.80002,232,555,2e-6,34.600002,0.45,3.85,0.00388,71150.984,20
2020-05-18 00:00:00,2,284.4,287,692,2.6e-5,41.5,0.76,3.8899999,0.00481,71054.79,80
2020-05-18 06:00:00,2,274.9,247,57,2e-6,67.5,2.4299998,1.03,0.00409,71013.35,64
2020-05-18 12:00:00,2,273.80002,233,0,0,71.3,1.7099999,2.74,0.00401,70996.336,35
2020-05-18 18:00:00,2,287.2,235,574,0,23.6,1.1,7.31,0.00332,71123.55,6
2020-05-19 00:00:00,2,287.92865,252,851,0,24.300001,1.56,6.35,0.00357,71180.93,36
2020-05-19 06:00:00,2,277.9,268,52,0,55.5,1.8299999,1.1,0.0042,71063.836,69
2020-05-19 12:00:00,2,275.4,237,0,0,60,1.87,1.91,0.0037699998,70956.35,16
2020-05-19 18:00:00,2,290.1,244,574,0,19.9,1.35,6.6499996,0.00338,70993.7,9
2020-05-20 00:00:00,2,290,262,855,0,23.1,0.22,6.2799997,0.0039,71147.73,16
2020-05-20 06:00:00,2,277.9,252,64,0,48.2,1.42,1.37,0.00363,71232.32,57
2020-05-20 12:00:00,2,277.1,248,0,0,38.3,1.75,1.01,0.00272,71159.87,90
2020-05-20 18:00:00,2,292.5,252,555,0,12.7,2.1699998,3.07,0.00253,71107.445,66
2020-05-21 00:00:00,2,292.4,265,838,0,13.8,0.51,5.65,0.0026999998,71039.45,75
2020-05-21 06:00:00,2,279.4,258,57,0,31.2,1.31,1.14,0.0026,71030.12,81
2020-05-21 12:00:00,2,276.5,238,0,0,35.600002,1.76,1.3,0.0024299999,70917.67,57
2020-05-21 18:00:00,2,291.7,241,570,0,11.900001,2.78,5.38,0.00226,70944.414,48
2020-05-22 00:00:00,2,291.1,255,864,0,13.6,1.05,6.69,0.0024899999,70748.98,17
2020-05-22 06:00:00,2,277,238,69,0,40,0.66999996,1.99,0.00283,71036.96,1
2020-05-22 12:00:00,2,274.6,223,0,0,39.100002,1.2099999,0.91999996,0.00235,70794.445,1
2020-05-22 18:00:00,2,290.9,238,576,0,13.6,3.53,-0.64,0.0024299999,70897.81,43
2020-05-23 00:00:00,2,289.7,290,718,0,16.800001,0.7,5.58,0.0028,70780.15,76
2020-05-23 06:00:00,2,276.4,240,57,0,36.8,0.58,2.44,0.0025,70810.24,13
2020-05-23 12:00:00,2,272.5,211,1,0,41.100002,1.02,1.48,0.00211,70823.03,11
2020-05-23 18:00:00,2,288.7,233,555,0,12.900001,2.53,0.38,0.0020299999,70569.86,48
2020-05-24 00:00:00,2,285.30002,299,562,1.3e-5,33.7,-0.17999999,-0.91999996,0.00421,70559.98,91
2020-05-24 06:00:00,2,277.4,302,18,5.4e-5,80.8,-0.17,-1.8299999,0.00593,70300.51,98
2020-05-24 12:00:00,2,273.4,239,1,1e-6,93.5,0.35999998,-1.81,0.00517,70310.43,18
2020-05-24 18:00:00,2,283.1,285,349,7.2e-5,54.7,0.88,-2.8899999,0.00586,70007.28,64
2020-05-25 00:00:00,2,281.4,310,473,2.02e-4,71.1,0.26,-3.6,0.0068699997,69976.36,87
2020-05-25 06:00:00,2,277.6,311,30,5.3e-4,93.9,0.089999996,-3.23,0.0070399996,69912.24,98
2020-05-25 12:00:00,2,277.2,319,0,7.21e-4,94.8,-0.91999996,-3.27,0.0069199996,69704.6,100
2020-05-25 18:00:00,2,279.7,323,108,9.08e-4,92.8,-0.53,-8.65,0.00808,69637.734,99
2020-05-26 00:00:00,2,280.6,301,431,2.89e-4,86.200005,-2.44,-4.85,0.00794,69912.766,67
2020-05-26 06:00:00,2,276.80002,313,37,1.88e-4,95.4,-1.55,-1.67,0.0067499997,70132.65,96
2020-05-26 12:00:00,2,275.7,308,0,2.46e-4,96.5,-0.7,-0.48999998,0.0063099996,70050.66,97
2020-05-26 18:00:00,2,279.30002,293,269,1.25e-4,84.5,-2.23,-1.04,0.00709,70225.586,99
2020-05-27 00:00:00,2,276.80002,303,350,3.37e-4,92.3,-2.84,-1.35,0.00654,70175.45,99
2020-05-11 00:00:00,3,282.80002,9999e17,9999e17,9999e17,29.4,-1.81,1.1999999,0.00306,71431.586,9999e17
2020-05-11 06:00:00,3,272.2,237,58,0,81.6,2.48,-1.66,0.00405,71391.27,63
2020-05-11 12:00:00,3,274.1,260,0,7e-6,73.700005,1.61,1.0699999,0.00423,71160.02,90
2020-05-11 18:00:00,3,278.2,296,181,1.26e-4,74.700005,0.96,2.6599998,0.00568,71121.375,98
2020-05-12 00:00:00,3,281.47,286,597,6.9e-5,69.200005,0.75,4.74,0.00667,70948.49,81
2020-05-12 06:00:00,3,274.5,250,48,2.5e-5,91.5,1.9599999,1.52,0.00542,70915.53,58
2020-05-12 12:00:00,3,273.1,239,0,1e-6,88.8,2.09,2.03,0.00477,70836.734,17
2020-05-12 18:00:00,3,284.7,232,559,0,31.5,1.78,4.95,0.00378,70873.21,31
2020-05-13 00:00:00,3,284.53,249,823,0,30,1.93,6.39,0.00355,70777.02,62
2020-05-13 06:00:00,3,274.1,228,55,0,58.9,2.1599998,2.32,0.0033999998,70793.2,31
2020-05-13 12:00:00,3,271.7,215,0,0,61.5,1.5999999,2.56,0.0029799999,70671.82,6
2020-05-13 18:00:00,3,283.5,220,565,0,26.2,0.72999996,5.5699997,0.00291,70774.76,31
