forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-01 18:00:00,1,291.5,9999e17,9999e17,9999e17,54.5,-5.7799997,6.35,0.00769,93837.555,9999e17
2020-05-02 00:00:00,1,291.31,345,403,3.2e-5,41.9,-4.98,7.0299997,0.00581,94019.35,59
2020-05-02 06:00:00,1,284.6,284,35,0,43.9,-1.8499999,5.24,0.0039399997,94355.69,4
2020-05-02 12:00:00,1,281.4,262,2,0,54.600002,-1.25,4.74,0.0039399997,94642.93,1
2020-05-02 18:00:00,1,290.52,269,549,0,28,-6.46,6.49,0.00367,94712.12,1
2020-05-03 00:00:00,1,291.66,286,722,0,27,-4.12,3.57,0.00381,94588.49,0
2020-05-03 06:00:00,1,283.47,276,39,0,48.9,-2.52,-3.1599998,0.00404,94755.87,0
2020-05-03 12:00:00,1,278.57,259,2,0,77.200005,-0.26,-4.89,0.00456,94894.77,0
2020-05-03 18:00:00,1,287.36,267,543,0,46.8,3.12,-6.74,0.005,94790.7,10
2020-05-04 00:00:00,1,290.06,298,698,0,45.600002,5.5499997,-6.75,0.00582,94428.086,39
2020-05-04 06:00:00,1,282.30002,302,21,3.3e-5,59.2,5.31,-7.87,0.0045499997,94273.164,63
2020-05-04 12:00:00,1,282.80002,321,0,1.42e-4,88.8,3.61,0.06,0.00707,94032.7,99
2020-05-04 18:00:00,1,289.30002,314,474,3e-5,44.4,-8.32,5.95,0.00543,94114.52,45
2020-05-05 00:00:00,1,288.80002,300,630,0,32.5,-3.31,4.2599998,0.0038299998,94261.24,53
2020-05-05 06:00:00,1,284.5,313,15,0,36.4,-0.07,5.74,0.0032499998000000002,94399.46,95
2020-05-05 12:00:00,1,280.6,266,3,1e-6,56.3,-0.7,5.98,0.0038599998,94381.62,40
2020-05-05 18:00:00,1,287.7,268,544,6e-6,40.5,-1.11,7.2599998,0.00446,94310.664,22
2020-05-06 00:00:00,1,284.4,305,595,2.8e-4,64.700005,-9.33,-2.49,0.0057099997,94472.52,87
2020-05-06 06:00:00,1,278.6,301,25,3.2e-5,78.9,-4.5899997,1.43,0.00464,95231.93,67
2020-05-06 12:00:00,1,276.4,243,3,0,86.5,-2.04,2.58,0.00435,95479.71,0
2020-05-06 18:00:00,1,284.6,274,467,4e-6,51.5,-2.51,3.51,0.0045499997,95517.9,24
2020-05-07 00:00:00,1,286.80002,316,512,6.3e-5,51.2,-3.76,-0.26,0.00523,95288.2,66
2020-05-07 06:00:00,1,278.7,268,40,0,80.200005,-0.41,-4.23,0.00475,95516.16,2
2020-05-07 12:00:00,1,276.1,248,3,0,79.5,2,-3.1399999,0.00393,95532.64,0
2020-05-07 18:00:00,1,286.80002,260,555,0,50.7,5.27,-3.6899998,0.00519,95201.69,18
2020-05-08 00:00:00,1,288.4,318,516,2e-6,51.3,6.7599998,-3.8999999,0.00586,94656.54,78
2020-05-08 06:00:00,1,282.1,306,41,1e-4,87,3.5,2.05,0.00659,94479.586,44
2020-05-08 12:00:00,1,279.6,260,3,0,67.9,-2.06,7.1299996,0.00433,94319.84,3
2020-05-08 18:00:00,1,280.9,316,209,1.9e-5,70.1,-7.35,-4.18,0.00487,94891.69,75
2020-05-09 00:00:00,1,285.4,312,424,3e-6,40.4,-3.8999999,-0.91999996,0.00376,95306.03,64
2020-05-09 06:00:00,1,279.5,255,44,0,57.600002,1.39,3.4099998,0.00361,95349.52,0
2020-05-09 12:00:00,1,277.7,245,4,0,75.3,2.6,4.99,0.00419,95032.52,0
2020-05-09 18:00:00,1,289.9,269,566,0,41.7,-3.9399998,7.62,0.00527,94607.7,0
2020-05-10 00:00:00,1,288.2,330,522,0,47.3,-7.8199997,1.26,0.0053399997,94511.375,55
2020-05-10 06:00:00,1,278.9,269,41,0,74.5,-0.59999996,-1.9499999,0.00453,94732.83,3
2020-05-10 12:00:00,1,277.9,249,3,0,80.1,1.99,2.47,0.00453,94643.69,1
2020-05-10 18:00:00,1,288.1,264,571,0,35.600002,-2.86,2.4099998,0.00399,94499.49,1
2020-05-11 00:00:00,1,288.6,287,726,0,34.2,-5.46,-3.33,0.00399,94326.3,7
2020-05-11 06:00:00,1,277.4,261,45,0,47.100002,-2.1599998,-8.92,0.00257,94869.65,2
2020-05-11 12:00:00,1,271.1,231,4,0,40.9,0.79999995,-7.35,0.0014099999,95195.016,1
2020-05-11 18:00:00,1,279.6,228,579,0,22,5.1,-5.62,0.00139,95179.125,2
2020-05-12 00:00:00,1,282.7,249,748,0,27.7,6.6499996,-5.75,0.0021799998,94772.055,1
2020-05-12 06:00:00,1,277.30002,252,46,0,39.4,6.21,-5.79,0.00213,94775.85,18
2020-05-12 12:00:00,1,276.7,263,2,0,43.7,8.82,-5.65,0.00227,94511.83,49
2020-05-12 18:00:00,1,284.9,305,355,0,36.9,10.71,-6.5,0.0033699998,94230.3,86
2020-05-13 00:00:00,1,285.4,309,584,1.6e-5,46,9.679999,-5.81,0.00435,93902.766,76
2020-05-13 06:00:00,1,281.4,289,30,2e-6,51,8.59,-6.6,0.00369,93677.62,55
2020-05-13 12:00:00,1,279.4,280,4,2.6e-5,58.7,8.349999,-4.11,0.00373,93534.086,62
2020-05-13 18:00:00,1,289.1,289,536,0,53.5,8.15,-1.06,0.00648,93530.24,43
2020-05-14 00:00:00,1,290.7,353,455,4e-6,60.9,1.89,1.0799999,0.00816,93503.49,66
2020-05-14 06:00:00,1,284.7,317,26,0,77.6,2.18,1.6899999,0.00701,93699.445,27
2020-05-14 12:00:00,1,282.5,280,4,0,58,-0.31,2.1599998,0.00456,93831.78,1
2020-05-14 18:00:00,1,294.9,290,577,0,23.300001,0.35,0.19,0.00405,93889.75,1
2020-05-15 00:00:00,1,295.2,338,626,0,36.8,0.66999996,-0.97999996,0.00654,93752.58,42
2020-05-15 06:00:00,1,286.7,346,15,7.4e-5,66.700005,-3.03,-2.3999999,0.00688,93900.35,80
2020-05-15 12:00:00,1,284.6,296,5,0,86.3,-1.8,-3.1499999,0.00777,93783.2,3
2020-05-15 18:00:00,1,296.30002,319,548,0,55.100002,2.81,-5.19,0.01045,93660.2,24
2020-05-16 00:00:00,1,298.4,352,723,7e-6,46.7,5.56,-6.96,0.01014,93364.914,17
2020-05-16 06:00:00,1,291,350,46,1.14e-4,85.1,6.41,-4.2999997,0.0116799995,93345.83,52
2020-05-16 12:00:00,1,290.80002,366,3,6.5e-5,92.1,6.5299997,-6.0299997,0.012519999,93025.21,95
2020-05-16 18:00:00,1,295.30002,396,213,5.7e-5,74.9,4.89,3.1899998,0.01347,93169.33,82
2020-05-17 00:00:00,1,298.9,382,560,2e-6,47.100002,-1.74,0.96999997,0.01052,93201.87,38
2020-05-17 06:00:00,1,289.6,350,40,7.8e-5,74.700005,-6.15,1.01,0.009389999,93416.89,21
2020-05-17 12:00:00,1,286,334,5,5e-6,72.700005,-5.13,1.11,0.00719,93569.96,57
2020-05-17 18:00:00,1,292.9,320,549,3.9e-5,49.8,-7.12,-0.03,0.0076499996,93609.06,30
2020-05-01 18:00:00,2,292.6,9999e17,9999e17,9999e17,53.9,-5.65,6.83,0.00814,93711.1,9999e17
2020-05-02 00:00:00,2,289.96,351,294,1.4e-5,48.600002,-4.91,7.24,0.0061999997,94023.61,71
2020-05-02 06:00:00,2,284.4,281,36,0,45.2,-1.88,5.35,0.00398,94329.04,1
2020-05-02 12:00:00,2,281.1,262,2,0,57.7,-0.98999995,4.77,0.00407,94613.93,1
2020-05-02 18:00:00,2,290.77,270,548,0,28.300001,-6.25,6.98,0.0037699998,94672.46,1
2020-05-03 00:00:00,2,291.75998,288,721,0,27.1,-4.23,3.82,0.00385,94554.87,0
2020-05-03 06:00:00,2,283.43,276,39,0,48.9,-1,-3.1399999,0.00403,94709.81,0
2020-05-03 12:00:00,2,278.80002,261,2,0,74.9,-1,-5.47,0.0045,94825.125,1
2020-05-03 18:00:00,2,286.75998,269,538,0,48.3,2.05,-7.5299997,0.00496,94778.14,26
2020-05-04 00:00:00,2,289.13,293,706,0,46,5.08,-7.12,0.0055299997,94481.086,20
2020-05-04 06:00:00,2,282.5,294,36,1e-6,51,6.25,-7.99,0.00395,94341.516,83
2020-05-04 12:00:00,2,282.4,331,0,2.73e-4,88.6,6.8799996,-2.3899999,0.0068699997,93984.65,98
2020-05-04 18:00:00,2,288.2,329,367,9.8e-5,46.4,-8.08,9.61,0.00527,94210.74,80
2020-05-05 00:00:00,2,288.9,274,719,0,25.9,-2.78,7.93,0.00308,94332.125,12
2020-05-05 06:00:00,2,282,257,42,0,41.8,1.06,4.18,0.0031299999,94471.45,1
2020-05-05 12:00:00,2,281,263,3,0,50.7,2.53,5.64,0.0035599999,94414.125,35
2020-05-05 18:00:00,2,289.7,263,562,0,28.2,-4.2799997,8.91,0.0035199998,94499.27,1
2020-05-06 00:00:00,2,288.6,313,607,0,34.9,-4.83,6.16,0.00404,94550.39,58
2020-05-06 06:00:00,2,280.2,299,21,2.3e-5,81.5,-4.3399997,0.53,0.00536,94900.22,57
2020-05-06 12:00:00,2,276,249,3,0,91.9,-3.27,1.4,0.0044799997,95348.12,4
2020-05-06 18:00:00,2,283.5,260,528,0,39.2,-5.41,1.7199999,0.00323,95460.945,22
2020-05-07 00:00:00,2,284.6,256,736,0,31.9,-4.61,0.53,0.0028199998,95358.19,1
2020-05-07 06:00:00,2,277.9,247,42,0,55.4,-0.83,-2.37,0.00311,95399.46,6
2020-05-07 12:00:00,2,276.7,241,3,0,58.8,3.1,1.0699999,0.00303,95225.445,1
2020-05-07 18:00:00,2,288.2,261,550,0,37,5.2599998,1.9799999,0.00417,94691.4,26
2020-05-08 00:00:00,2,285.30002,333,422,2.64e-4,79.1,2.1,0.64,0.0074099996,94094.29,93
2020-05-08 06:00:00,2,274.9,323,7,3.1e-4,79.200005,-11.88,-5.37,0.00363,94595.45,99
2020-05-08 12:00:00,2,271.2,213,4,0,57.9,-5.7799997,1.63,0.0019999999,95532.2,17
2020-05-08 18:00:00,2,279.4,230,547,1e-6,32.9,-6.83,4.95,0.00204,95618.89,29
2020-05-09 00:00:00,2,281.2,286,607,5e-6,44.600002,-3.74,4.69,0.0031599998,95094.65,83
2020-05-09 06:00:00,2,275.5,268,21,8e-6,59.5,-5.8799996,0.96999997,0.0028,95198,68
2020-05-09 12:00:00,2,271.4,211,4,0,57.7,-3.02,3.3899999,0.0020299999,95371.99,2
2020-05-09 18:00:00,2,280.4,207,598,0,21,-4.47,4.99,0.0014099999,95289.125,0
2020-05-10 00:00:00,2,284,233,765,0,25.2,-3.47,4.14,0.00216,94809.23,3
2020-05-10 06:00:00,2,277.9,257,41,0,39.5,-0.9,-2.81,0.00223,94735.9,66
2020-05-10 12:00:00,2,275.2,252,4,0,47.9,-0.32,-3.8799999,0.0022399998,94635.77,63
2020-05-10 18:00:00,2,284.9,238,584,0,27.7,-1.42,-4.08,0.0025199999,94574.09,6
2020-05-11 00:00:00,2,286.1,259,750,0,27.9,-1.4599999,-3.47,0.00275,94465.805,16
2020-05-11 06:00:00,2,277.7,251,46,0,57,1.9499999,-4.77,0.00317,94760.305,16
2020-05-11 12:00:00,2,274.6,242,3,0,48.100002,2.34,-3.86,0.00214,94873.33,36
2020-05-11 18:00:00,2,284.7,266,531,0,34.3,1.79,-4.74,0.00308,94966.96,73
2020-05-12 00:00:00,2,285.4,275,714,0,33.9,2.33,-4.6,0.00318,94958.32,58
2020-05-12 06:00:00,2,277.9,256,40,0,52,1.93,-1.26,0.00291,95274.68,34
2020-05-12 12:00:00,2,275.7,240,4,0,57.5,1.17,-0.7,0.00277,95090.1,2
2020-05-12 18:00:00,2,286.30002,250,585,0,29.1,2.33,-0.34,0.00289,95254.83,2
2020-05-13 00:00:00,2,288.7,275,749,0,32.7,3.1799998,-0.17,0.00381,94928.09,6
2020-05-13 06:00:00,2,281.4,269,48,0,72.1,4.31,0.25,0.00518,95065.9,1
2020-05-13 12:00:00,2,279.5,262,4,0,90.1,3.54,1.24,0.00567,95030.79,1
2020-05-13 18:00:00,2,290.80002,275,579,0,40.9,4.5,2.86,0.00544,95053.516,0
2020-05-14 00:00:00,2,292.9,299,744,0,30.2,2.8999999,0.5,0.0046,94904.9,2
2020-05-14 06:00:00,2,284.2,284,48,0,69.9,5.48,0.22,0.00605,95033.555,1
2020-05-14 12:00:00,2,281.4,269,5,0,88.700005,4.31,0.14999999,0.00634,95026.49,0
2020-05-14 18:00:00,2,293.9,283,582,0,36.100002,6.2599998,-0.22,0.00588,94722.414,0
2020-05-15 00:00:00,2,295.9,315,744,0,38.9,6.25,-2.24,0.00715,94321.2,1
2020-05-15 06:00:00,2,288.6,318,48,0,74,5.89,-3.74,0.0086199995,94276.29,8
2020-05-15 12:00:00,2,285.5,307,4,2e-6,86.700005,5.43,-3.54,0.00827,93826.164,25
2020-05-15 18:00:00,2,293,320,535,3.9e-5,63.600002,6.67,-3.54,0.00986,93784.85,56
2020-05-16 00:00:00,2,292.1,380,308,3.39e-4,74.5,3.61,2.37,0.01096,93417.1,91
2020-05-16 06:00:00,2,284.9,325,27,1.04e-4,80.5,0.35,4.11,0.0074099996,93555.164,67
2020-05-16 12:00:00,2,283.1,285,4,0,77.1,0.79999995,5.72,0.0063199997,93500.56,47
2020-05-16 18:00:00,2,291.80002,298,561,1.6e-5,52.4,-0.74,9.17,0.00752,93388.625,23
2020-05-17 00:00:00,2,288.9,335,602,1.3e-4,60.3,-2.09,9.03,0.0072299996,93472.836,59
