forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-12 12:00:00,1,280.69998,9999e17,9999e17,9999e17,92.1,-4.02,-4.41,0.00623,96106.81,9999e17
2020-05-12 18:00:00,1,291.1,350,420,7e-6,65.5,-2.8,-2.6299999,0.00877,96112.336,69
2020-05-13 00:00:00,1,291.06,382,427,2e-6,68.700005,-2.62,-3.98,0.0092,95924.81,80
2020-05-13 06:00:00,1,285.1,339,7,6e-6,95.6,0.099999994,-5.38,0.008719999,95842.87,37
2020-05-13 12:00:00,1,290.30002,375,0,1.7e-5,95.6,4.31,-1.8,0.0122,95631.79,75
2020-05-13 18:00:00,1,298.63,408,242,3.9e-5,67.3,8.3,-1.36,0.0144,95623.39,89
2020-05-14 00:00:00,1,303.38,403,695,0,44.9,9.929999,-1.5799999,0.0127799995,95190.055,35
2020-05-14 06:00:00,1,294.5,395,16,3.39e-4,87.6,10.42,-4.19,0.01462,95457.61,69
2020-05-14 12:00:00,1,293.7,376,1,2.1e-5,91.3,8.45,0.29,0.01447,95516.09,32
2020-05-14 18:00:00,1,300.4,383,473,3e-6,61.5,10.12,2.72,0.01466,95526.23,45
2020-05-15 00:00:00,1,302.78,407,673,0,52.7,9.849999,-2.29,0.014479999,95145.56,15
2020-05-15 06:00:00,1,296.2,379,24,3e-6,75.6,9.44,-0.85999995,0.013979999,95312.3,6
2020-05-15 12:00:00,1,294.2,367,1,2.4e-5,89.6,7.71,0.65,0.014699999,95380.24,26
2020-05-15 18:00:00,1,301.1,403,327,5e-6,60,8.69,1.5999999,0.01495,95420.71,76
2020-05-16 00:00:00,1,303.4,411,702,0,49.2,9.42,-1.9799999,0.014049999,95068.414,47
2020-05-16 06:00:00,1,294.7,385,23,2.68e-4,89,7.49,-1.22,0.0149799995,95438.45,66
2020-05-16 12:00:00,1,294,381,1,1.4e-5,94.700005,7.46,0.39,0.01535,95342.07,93
2020-05-16 18:00:00,1,298.80002,405,248,3.25e-4,70.700005,5.5899997,2.49,0.015269999,95603.46,92
2020-05-17 00:00:00,1,298.1,397,397,4e-6,66.700005,6.17,-2.77,0.0138799995,95403.52,89
2020-05-17 06:00:00,1,292.1,358,24,0,95.200005,2.45,-2.08,0.013619999,95865.18,76
2020-05-17 12:00:00,1,290.4,354,1,0,97.3,0.83,-1.3399999,0.01248,95961.84,85
2020-05-17 18:00:00,1,299.9,378,522,1.4e-5,57.4,2.44,-2.5,0.0132,96158.93,61
2020-05-18 00:00:00,1,301.30002,405,638,7e-6,49.600002,2.09,-3.1899998,0.012379999,95992.164,53
2020-05-18 06:00:00,1,294,371,24,0,83.200005,3.77,-1.22,0.0133,96244.62,68
2020-05-18 12:00:00,1,292,356,2,0,95.4,2.2,-1.36,0.01354,96225.98,49
2020-05-18 18:00:00,1,300.5,386,475,2e-6,53.600002,4.69,-0.89,0.01272,96307.05,30
2020-05-19 00:00:00,1,301.3,406,619,0,50.5,6.25,-2.4199998,0.012619999,96039.74,29
2020-05-19 06:00:00,1,294.6,370,26,0,79.9,4.69,-1.49,0.01334,96158.15,3
2020-05-19 12:00:00,1,292.2,355,2,0,89.700005,3.1499999,-0.35,0.01291,96095.72,2
2020-05-19 18:00:00,1,302.4,377,569,0,46.2,7,-0.53999996,0.012329999,96028.766,7
2020-05-20 00:00:00,1,301.80002,396,723,0,46.600002,8.15,-2.02,0.01203,95740.586,6
2020-05-20 06:00:00,1,293.9,367,26,0,65.5,4.35,0.78999996,0.01048,95840.49,43
2020-05-20 12:00:00,1,292.80002,360,1,0,74,2.6599998,0.52,0.01102,95838.98,76
2020-05-20 18:00:00,1,300.2,390,444,1e-5,51.9,8.12,-0.39,0.012209999,95815.36,77
2020-05-21 00:00:00,1,300.6,398,638,1e-6,46.3,8.05,-1.99,0.01115,95613.37,41
2020-05-21 06:00:00,1,294.4,370,25,0,74.9,4.81,-1.9,0.01242,95726.86,6
2020-05-21 12:00:00,1,291.4,351,2,0,89.8,3.3899999,-0.55,0.01236,95755.125,2
