forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-10 12:00:00,1,267.30002,9999e17,9999e17,9999e17,88.4,0.52,-0.099999994,0.0022,96871.27,9999e17
2020-05-10 18:00:00,1,274.9,251,196,0,100,-0.84,0.14999999,0.00445,96871.13,0
2020-05-11 00:00:00,1,275.1,249,622,0,100,-0.79999995,-1.12,0.00454,96810.45,0
2020-05-11 06:00:00,1,270.6,245,352,0,88.9,-1.03,-1.41,0.0029,96702.42,7
2020-05-11 12:00:00,1,266.7,236,8,0,89,-1.03,-1.22,0.00214,96581.555,59
2020-05-11 18:00:00,1,272.6,230,193,0,88.700005,-1.74,-1.35,0.00336,96414.625,68
2020-05-12 00:00:00,1,273.4,237,614,1e-6,98.8,-3.04,-1.8199999,0.00399,96244.39,42
2020-05-12 06:00:00,1,270.5,249,317,3e-6,95,-2.6699998,-1.67,0.0030699999,96004.914,33
2020-05-12 12:00:00,1,267.7,234,9,0,92.6,-0.53999996,-1.67,0.00242,95826.56,14
2020-05-12 18:00:00,1,274.13,229,209,0,84.9,0.65999997,-1.8399999,0.0036199999,95739.77,2
2020-05-13 00:00:00,1,275.91,238,637,0,95,-1.01,-1.65,0.0046,95841.57,2
2020-05-13 06:00:00,1,272.7,244,361,0,80.8,-0.26,-1.62,0.0030999999,96003.016,4
2020-05-13 12:00:00,1,268.80002,234,10,0,83.1,1.36,-0.59999996,0.00238,96248.83,1
2020-05-13 18:00:00,1,274,227,214,0,78.1,-0.66999996,-1.15,0.00326,96447.4,1
2020-05-14 00:00:00,1,275.91998,227,648,0,76.4,-3.36,-2.44,0.0036499999,96560.7,1
2020-05-14 06:00:00,1,271.4,223,372,0,74.4,-3.1699998,-2.59,0.00256,96519.2,0
2020-05-14 12:00:00,1,267.30002,215,11,0,82.4,-2.7,-0.74,0.0020599999,96525.21,3
2020-05-14 18:00:00,1,268.5,212,212,1e-6,83.5,-4.29,-0.68,0.00229,96454.45,10
2020-05-15 00:00:00,1,273.80002,227,624,2e-6,75.1,-4.5699997,-2.27,0.0030699999,96492.836,21
2020-05-15 06:00:00,1,272,226,369,0,77.700005,-2.09,-1.8399999,0.00278,96531.87,2
2020-05-15 12:00:00,1,268.30002,218,12,0,76.1,0.53,-1.14,0.0020599999,96729.11,1
