forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-06 12:00:00,1,282.6,9999e17,9999e17,9999e17,31.7,3.03,-2.1499999,0.00281,83324.586,9999e17
2020-05-06 18:00:00,1,295.80002,275,447,0,14.6,3.51,4.73,0.00303,83233.97,52
2020-05-07 00:00:00,1,293.7,289,850,0,15,-5.0899997,2.73,0.00272,83272.81,19
2020-05-07 06:00:00,1,281.7,263,81,0,52.5,-4.36,-0.45999998,0.00438,83479.02,0
2020-05-07 12:00:00,1,277.1,241,0,0,48.3,-2.8999999,-0.53,0.00291,83544.21,0
2020-05-07 18:00:00,1,286.30002,227,487,0,16,-3.51,2.03,0.0018099999,83574.336,0
2020-05-08 00:00:00,1,288,241,885,0,16,-4.67,0.72999996,0.0020299999,83446.27,0
2020-05-08 06:00:00,1,277.6,230,85,0,37.2,-0.78,-2.1599998,0.00233,83558.4,0
2020-05-08 12:00:00,1,275.2,220,0,0,45.9,0.01,-2.01,0.00242,83457.61,0
2020-05-08 18:00:00,1,290.5,236,486,0,16.1,-0.75,0.32,0.0023999999,83458.63,0
2020-05-09 00:00:00,1,291.9,262,876,0,14.400001,-2.77,1.0699999,0.00234,83257.4,0
2020-05-09 06:00:00,1,280.4,249,84,0,34.7,-0.53999996,-2.51,0.0026399998,83366.99,0
2020-05-09 12:00:00,1,277.9,236,0,0,24.9,-0.099999994,-2.28,0.0016,83335.914,0
2020-05-09 18:00:00,1,294.1,245,487,0,11.400001,0.26999998,-0.45,0.00214,83373.83,6
2020-05-10 00:00:00,1,294.9,279,872,0,12.6,-1.86,1.49,0.00247,83111.805,4
2020-05-10 06:00:00,1,283.6,268,83,0,29.9,0.04,-2.6499999,0.00284,83136.32,29
2020-05-10 12:00:00,1,282,265,0,0,27.6,1.2099999,-2.46,0.00235,83004.1,54
2020-05-10 18:00:00,1,296.4,273,476,0,16.800001,3.97,1.89,0.00361,83002.15,14
2020-05-11 00:00:00,1,297.9,306,847,0,15,1.3399999,3.37,0.00358,82654.1,27
2020-05-11 06:00:00,1,286.6,321,66,1.19e-4,62.100002,2.45,-0.42999998,0.00726,82842.71,84
2020-05-11 12:00:00,1,283.6,301,0,1e-6,66.3,3.25,-2.09,0.00636,82628.64,69
2020-05-11 18:00:00,1,295.2,287,461,0,22.7,5.75,4.14,0.00458,82638.39,48
2020-05-12 00:00:00,1,296.4,305,847,0,17,5.66,5.69,0.0037,82333.875,7
2020-05-12 06:00:00,1,286.4,282,79,0,27.1,5.85,0.08,0.0031299999,82499.73,8
2020-05-12 12:00:00,1,281.7,251,0,0,29.9,3.81,-2.06,0.0025199999,82491.49,1
2020-05-12 18:00:00,1,293,255,488,0,14.2,7.19,2.8899999,0.0024899999,82487.81,0
2020-05-13 00:00:00,1,294.30002,279,870,0,14.5,7.64,4.29,0.00277,82201.305,1
2020-05-13 06:00:00,1,284.1,268,86,0,27.2,4.96,0.31,0.0026999998,82357.555,1
2020-05-13 12:00:00,1,281.1,254,0,0,31.1,4.71,-1.65,0.00251,82336.36,2
2020-05-13 18:00:00,1,284.7,293,303,4.1e-5,51.9,1.06,3.31,0.00531,82612.305,53
2020-05-14 00:00:00,1,288.30002,293,749,1.4e-5,33.5,1.61,2.98,0.00438,82493.08,34
2020-05-14 06:00:00,1,280.6,288,77,4e-6,65.6,-1.28,-0.45,0.0050299997,82673.4,34
2020-05-14 12:00:00,1,277.7,269,0,2.1e-5,78.3,-0.38,-0.099999994,0.0049799997,82718.31,30
2020-05-14 18:00:00,1,283.4,299,279,7.9e-5,60.3,-1.61,2.33,0.0057099997,82190.68,91
2020-05-15 00:00:00,1,285.7,307,648,7.4999996e-5,43.2,-1.28,2,0.00476,82228.54,71
2020-05-15 06:00:00,1,276.6,260,83,0,79,0.71999997,0.76,0.0046699997,82422.01,8
2020-05-15 12:00:00,1,274.30002,248,0,0,81.4,0.58,-0.35,0.00409,82476.08,3
2020-05-15 18:00:00,1,288.80002,257,484,0,31.2,-0.71,1.24,0.00421,82498.8,2
2020-05-16 00:00:00,1,290.2,280,859,1e-6,26,-0.87,2.28,0.00384,82268.22,8
2020-05-16 06:00:00,1,279.1,266,88,0,54.600002,-0.71,-1.2099999,0.00385,82415.63,1
2020-05-16 12:00:00,1,278,252,0,0,57.2,0.22,-2.1499999,0.00373,82337.33,1
2020-05-16 18:00:00,1,291.30002,260,491,0,21.300001,-0.22,1.67,0.00338,82316.055,1
2020-05-17 00:00:00,1,292.2,278,873,0,19.4,-1.49,3.24,0.00327,82119.55,1
2020-05-17 06:00:00,1,280.7,267,90,0,45.7,0,-1.5799999,0.0035599999,82231.89,1
2020-05-17 12:00:00,1,278.30002,260,0,0,49.2,0.96999997,-0.58,0.00327,82211.35,1
2020-05-17 18:00:00,1,291.5,271,486,0,24.7,-1.67,2.18,0.00395,82280.766,1
2020-05-18 00:00:00,1,291.9,294,848,0,20.5,-3.51,2.55,0.00338,82149.016,23
2020-05-18 06:00:00,1,280.9,263,91,0,46,-1.24,-2.09,0.00367,82303.2,1
2020-05-18 12:00:00,1,278.1,251,0,0,56.100002,-0.45,-1.92,0.00369,82235.14,1
2020-05-18 18:00:00,1,292.6,264,492,0,23.1,-0.78999996,1.24,0.00398,82261.71,1
2020-05-19 00:00:00,1,293.5,290,865,0,19.2,-1.41,3.04,0.00351,82109.99,4
2020-05-19 06:00:00,1,280.6,272,92,0,43.5,0.17999999,-0.29999998,0.00339,82266.4,1
