forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-10 06:00:00,1,276.5,9999e17,9999e17,9999e17,75,-0.64,-1.15,0.00367,98515.56,9999e17
2020-05-10 12:00:00,1,279.30002,245,22,0,66.3,0.84,-0.71,0.00398,98463.56,1
2020-05-10 18:00:00,1,291.5,266,758,0,31.5,2.79,4.08,0.00422,98180.32,0
2020-05-11 00:00:00,1,287.30002,304,571,1e-6,68.4,0.94,2.5,0.0070399996,97902.25,22
2020-05-11 06:00:00,1,279.9,292,2,5e-6,85.3,-1.92,2.18,0.0053399997,98224.7,19
2020-05-11 12:00:00,1,276.9,247,22,0,84.200005,0.11,1.35,0.00427,98321.266,6
2020-05-11 18:00:00,1,286.80002,260,740,0,39.600002,-2.32,3.36,0.00393,98227.766,8
2020-05-12 00:00:00,1,283.80002,292,566,0,62.5,-1.89,1.17,0.00511,98217.414,34
2020-05-12 06:00:00,1,273.5,257,2,0,92.700005,-0.79999995,0.089999996,0.00367,98335.24,0
2020-05-12 12:00:00,1,279.7,263,18,0,71.8,0.48,0.04,0.0044299997,98541.79,31
2020-05-12 18:00:00,1,289.29,303,600,1e-6,40.9,-0.28,2.19,0.00475,98493.914,65
2020-05-13 00:00:00,1,285.3,323,439,2e-6,77.9,0.57,1.38,0.0069999998,98412.43,90
2020-05-13 06:00:00,1,278.04,301,2,1e-6,94.6,0.14999999,0.22,0.00519,98507.78,71
2020-05-13 12:00:00,1,283.30002,312,16,2e-6,86.8,0.51,-1.04,0.0068099997,98523.484,66
2020-05-13 18:00:00,1,288.80002,348,267,8.1e-5,84.9,-1.67,-0.56,0.009389999,98551.055,72
2020-05-14 00:00:00,1,287.4,360,138,1.17e-4,93.8,0.049999997,-1.73,0.00969,98404.23,93
2020-05-14 06:00:00,1,284,322,1,0,94.3,1.66,-0.84999996,0.00777,98281.13,55
2020-05-14 12:00:00,1,286.2,312,21,0,94.8,2.07,0.03,0.00906,98342.9,1
2020-05-14 18:00:00,1,298.2,352,662,1e-6,53.8,4.8199997,3.1599998,0.01091,98273.49,14
2020-05-15 00:00:00,1,294.2,366,526,3e-6,77,2.45,0.17,0.0123,98069.52,16
2020-05-15 06:00:00,1,288.30002,336,2,0,94.700005,2.23,0.01,0.01041,98068.99,0
2020-05-15 12:00:00,1,288.7,325,22,0,92.200005,1.9799999,0.29,0.01035,98219.164,8
2020-05-15 18:00:00,1,299.6,352,712,0,52.3,3.59,2.83,0.01157,98114.375,7
2020-05-16 00:00:00,1,295.6,367,589,0,74.700005,2.06,0.90999997,0.01301,97874.086,3
2020-05-16 06:00:00,1,289.2,341,2,0,95.3,2.12,-0.31,0.01109,97925.125,16
2020-05-16 12:00:00,1,289.7,328,22,0,90.1,1.86,0.31,0.01083,98059.2,13
2020-05-16 18:00:00,1,300.6,359,703,0,51.600002,3.08,3.36,0.012159999,97925.586,53
2020-05-17 00:00:00,1,295.4,377,549,2.9e-5,83.5,1.65,0.55,0.014409999,97854.086,72
2020-05-17 06:00:00,1,289.6,348,2,0,95.6,1.65,-0.29,0.011419999,97909.555,34
2020-05-17 12:00:00,1,291.30002,337,22,0,89.5,1.37,-0.31,0.01193,97991.836,13
2020-05-17 18:00:00,1,301.9,363,716,2e-6,45.8,1.53,1.5899999,0.011609999,97857.586,3
2020-05-18 00:00:00,1,296.4,376,584,2e-5,79.1,1.42,0.89,0.014409999,97749.27,16
2020-05-18 06:00:00,1,290,351,2,1e-6,94.1,1.65,-0.25,0.01157,97757.9,22
2020-05-18 12:00:00,1,291.5,340,23,4e-6,91.1,1.39,-0.17999999,0.01243,97083.56,4
2020-05-18 18:00:00,1,300.7,366,705,1.2e-5,50.3,1.5799999,2.32,0.01201,97011.04,6
2020-05-19 00:00:00,1,295.5,379,564,8.1e-5,86.200005,0.89,1.3299999,0.015059999,96963.805,21
2020-05-19 06:00:00,1,289.6,359,2,3e-6,96,1.29,0.42,0.01165,96977.95,33
2020-05-19 12:00:00,1,292.30002,348,23,2e-6,92.4,1.25,0.31,0.013169999,97095.02,40
2020-05-19 18:00:00,1,302.80002,377,698,0,49.7,0.65,2.2,0.0134499995,96979.055,28
2020-05-20 00:00:00,1,298.4,405,519,3e-6,81,-0.32,1.3299999,0.01691,96937.625,23
2020-05-20 06:00:00,1,290.1,373,2,0,95.9,0.53999996,0.22,0.01196,97050.9,8
