forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-13 12:00:00,1,293.4,9999e17,9999e17,9999e17,76.9,-1.12,-0.96999997,0.01121,101984.266,9999e17
2020-05-13 18:00:00,1,302.2,361,761,0,41.600002,0.79999995,-5.5699997,0.01034,101912.14,2
2020-05-14 00:00:00,1,295.91,367,583,0,66,0.56,-5.12,0.01124,101874.07,1
2020-05-14 06:00:00,1,291.4,340,0,0,89.200005,0.07,-2.6499999,0.011469999,102004.79,16
2020-05-14 12:00:00,1,293,333,23,0,82,0.06,-3.1499999,0.01162,101932.55,3
2020-05-14 18:00:00,1,301.30002,362,745,0,45.9,0.94,-6.3199997,0.010799999,101867.305,53
2020-05-15 00:00:00,1,296.11,366,577,0,66.1,0.16,-4.67,0.011419999,101709.08,49
2020-05-15 06:00:00,1,291.7,347,0,0,92.8,-0.63,-2.18,0.01217,101694.08,64
2020-05-15 12:00:00,1,293.80002,348,20,0,86.1,-1.16,-2.6799998,0.01294,101568.52,76
2020-05-15 18:00:00,1,300.4,391,549,1.4e-5,52.8,-0.77,-5.39,0.01186,101345.42,75
2020-05-16 00:00:00,1,296,399,266,6e-6,71.4,-1.9,-3.6599998,0.01234,101192.3,90
2020-05-16 06:00:00,1,292.4,357,0,0,92.4,-2.97,-1.06,0.012739999,101041.37,56
2020-05-16 12:00:00,1,293.2,345,23,0,87,-4.8599997,-0.41,0.012709999,100931.555,8
2020-05-16 18:00:00,1,303.1,371,721,1e-6,38.600002,-5.17,-2.6499999,0.01017,100934.46,15
2020-05-17 00:00:00,1,297.80002,372,588,0,52.4,-1.8499999,-2.6499999,0.01012,100902.99,2
2020-05-17 06:00:00,1,290.6,339,0,0,89.3,-1.55,-0.64,0.011,101013.56,7
2020-05-17 12:00:00,1,291.80002,325,24,0,81.200005,-2.33,0.55,0.01084,101107.07,53
2020-05-17 18:00:00,1,305,349,776,0,25.5,-3.3999999,-1.41,0.0075299996,101055.06,4
2020-05-18 00:00:00,1,299.7,372,593,0,42.7,-0.29999998,-2.7,0.00921,100858.914,1
2020-05-18 06:00:00,1,293.4,355,0,0,64,2.11,1.25,0.00945,100971.67,0
2020-05-18 12:00:00,1,294.6,353,25,0,71.700005,1.37,2.47,0.011419999,100820.47,0
2020-05-18 18:00:00,1,307.4,386,758,0,29.300001,2.44,5.66,0.00993,100538.57,0
2020-05-19 00:00:00,1,301.6,410,524,0,45.2,3.23,5.65,0.01098,100389.78,17
2020-05-19 06:00:00,1,295.1,379,0,1.5e-5,80.3,-0.52,3.54,0.01318,100411.37,1
2020-05-19 12:00:00,1,290.6,337,25,0,67.700005,-2.53,2.21,0.0084,100519.68,0
