forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-03 18:00:00,1,295,9999e17,9999e17,9999e17,77.3,1.66,2.21,0.01286,98489.375,9999e17
2020-05-04 00:00:00,1,291.53,378,405,4.1e-4,95,0.02,1.12,0.0128,98157.71,61
2020-05-04 06:00:00,1,289,379,0,6.99e-4,95.9,-2.69,2.09,0.010989999,98116.7,97
2020-05-04 12:00:00,1,285.6,318,39,0,90.6,-1.87,3.4399998,0.00832,98360.69,29
2020-05-04 18:00:00,1,291.5,294,766,0,45,-4.42,4.6,0.0060099997,98530.94,4
2020-05-05 00:00:00,1,285.1,292,532,0,66.1,-2.71,1.01,0.0058399998,98853.14,19
2020-05-05 06:00:00,1,279.1,278,0,0,79.6,-1.81,0.95,0.0046699997,99051.04,94
2020-05-05 12:00:00,1,279.30002,270,39,0,65.9,-1.61,0.56,0.00393,99146.516,64
2020-05-05 18:00:00,1,289.9,278,703,0,34.9,0.61,-0.96999997,0.00421,98841.56,62
2020-05-06 00:00:00,1,283.5,335,279,9e-6,80,1.02,-1.15,0.00633,98687.06,80
2020-05-06 06:00:00,1,281.4,341,0,6.3e-5,97.5,0.79999995,-1.9699999,0.0067499997,98485.445,92
2020-05-06 12:00:00,1,280.7,342,8,1.35e-4,97.8,-0.75,-1.89,0.00647,98428.15,96
2020-05-06 18:00:00,1,285.5,339,280,3.1e-5,77.6,-1.5799999,1.1899999,0.00707,98419.914,84
2020-05-07 00:00:00,1,282.80002,312,386,5.7e-5,81.6,-1.92,0.89,0.00622,98415.68,45
2020-05-07 06:00:00,1,277.5,266,0,0,94.8,-0.94,1.5699999,0.00499,98481.02,10
2020-05-07 12:00:00,1,279.2,259,42,0,75.8,-1.22,2.36,0.00451,98603.5,17
2020-05-07 18:00:00,1,288.6,258,794,0,31.7,-2.1699998,4.5299997,0.0035299999,98451.96,1
2020-05-08 00:00:00,1,283.30002,313,387,2e-6,60.2,-1.89,3.1699998,0.00474,98549.766,62
2020-05-08 06:00:00,1,275.6,252,0,0,70.4,0.08,2.27,0.0032499998000000002,98650.836,8
2020-05-08 12:00:00,1,277.1,235,43,0,64.200005,-2.08,2.9299998,0.00327,98979.66,1
2020-05-08 18:00:00,1,285.5,242,801,0,29,-1.8,4.45,0.00262,98830.836,4
2020-05-09 00:00:00,1,279.7,259,549,0,62,-1.4399999,0.74,0.00379,98767.77,26
2020-05-09 06:00:00,1,276.9,286,0,9.7e-5,92.5,-0.56,1.09,0.0046699997,98655.83,59
2020-05-09 12:00:00,1,274.2,285,42,6.9e-5,85.5,-2.7,5.46,0.00357,98675.15,73
2020-05-09 18:00:00,1,280.5,277,523,4.3e-5,60.2,-6.3399997,4.99,0.0039,98838.49,61
2020-05-10 00:00:00,1,279.80002,264,476,5e-6,58.2,-3.82,3.07,0.00358,99272.69,25
2020-05-10 06:00:00,1,273.4,240,0,0,84.8,-0.53,2.08,0.0033,99514.99,1
2020-05-10 12:00:00,1,277.9,241,43,0,66.700005,1.61,2.1,0.0035899999,99586.75,0
2020-05-10 18:00:00,1,290.6,271,777,0,32.5,3.6399999,3.1899998,0.0041,98961.43,28
2020-05-11 00:00:00,1,283.1,308,477,1.3e-5,79.6,-1.15,2.4199998,0.00617,98634.22,66
2020-05-11 06:00:00,1,278,293,0,1.1e-5,77,-1.13,5.68,0.00423,98548.06,52
2020-05-11 12:00:00,1,277.4,232,46,0,49.7,-2.72,6.58,0.0026099999,98738.83,2
2020-05-11 18:00:00,1,284.4,237,813,0,32.5,-3.99,5.99,0.0027299998,98866.125,1
2020-05-12 00:00:00,1,281.4,256,560,0,47.3,-2.08,2.1599998,0.0032499998000000002,99159.94,8
2020-05-12 06:00:00,1,272.30002,243,0,0,78.5,0.03,1.73,0.00284,99353.086,11
2020-05-12 12:00:00,1,276.1,231,46,0,66.700005,-0.04,2.23,0.00315,99532.586,1
2020-05-12 18:00:00,1,285.4,255,777,0,28.9,-2.6,4.74,0.0026,99334.04,22
2020-05-13 00:00:00,1,281.75998,279,499,0,46.5,-2.12,1.88,0.00326,99486.31,51
2020-05-13 06:00:00,1,272.4,238,0,0,74.1,-0.98999995,1.48,0.0026699998,99828.74,2
2020-05-13 12:00:00,1,275.4,225,47,0,58.600002,-0.37,1.63,0.0026099999,100063.95,1
2020-05-13 18:00:00,1,286.80002,248,806,0,30.4,-2.6499999,2.44,0.00296,99925.086,1
2020-05-14 00:00:00,1,280.68,267,562,0,64.200005,-0.98999995,0.72999996,0.00416,99880.48,0
2020-05-14 06:00:00,1,274.6,252,0,0,74.9,-1.06,1.29,0.00315,100134.336,0
2020-05-14 12:00:00,1,279.9,244,47,0,58.9,-0.19,0.77,0.0036,100293.24,3
2020-05-14 18:00:00,1,291.4,275,791,0,32.3,3.23,0.26,0.00423,99901.76,14
2020-05-15 00:00:00,1,288,317,516,0,66.700005,1.9599999,-0.94,0.0071,99445.96,39
2020-05-15 06:00:00,1,286,303,0,0,72.8,3.75,2.25,0.00678,99254.625,24
2020-05-15 12:00:00,1,287.4,309,45,0,73,3.09,1.86,0.00746,99246.77,1
2020-05-15 18:00:00,1,300.80002,336,767,0,39.3,3.3799999,4,0.00925,98916.055,5
2020-05-16 00:00:00,1,295.9,368,531,0,66.5,2.28,1.55,0.0116799995,98784.21,18
2020-05-16 06:00:00,1,289.5,349,0,0,84.1,2,1.55,0.00992,98884.18,39
2020-05-16 12:00:00,1,290.4,337,45,0,82.9,3.02,1.43,0.01035,98852.37,37
2020-05-16 18:00:00,1,298.6,373,627,2.2e-5,62,3.09,4.12,0.012829999,98634.95,32
2020-05-17 00:00:00,1,294.6,398,340,6.8e-5,84.200005,0.61,2.45,0.013669999,98745.81,70
2020-05-17 06:00:00,1,288.7,356,0,0,97,-1.5,0.78,0.01077,99049.516,57
2020-05-17 12:00:00,1,288.80002,316,46,0,90.8,-1.03,0.19999999,0.01017,99342.64,45
2020-05-17 18:00:00,1,298.7,340,709,1e-6,49.100002,0.34,-0.84,0.01019,99172.64,39
2020-05-18 00:00:00,1,292.4,376,376,2e-5,83.700005,1.43,-0.89,0.01177,99149.25,67
2020-05-18 06:00:00,1,287.30002,340,1,2.2e-5,96.200005,0.42999998,1.36,0.00976,99238.914,75
2020-05-18 12:00:00,1,288.6,325,44,8e-6,96.8,-1.79,0.47,0.01067,99604.98,59
2020-05-18 18:00:00,1,297.1,332,764,0,48,-1.9,-1.91,0.00899,99674.805,21
2020-05-19 00:00:00,1,291.9,347,517,1e-6,78,0.24,-1.81,0.0106,99722.805,12
2020-05-19 06:00:00,1,285.5,321,1,0,97.8,1.17,-0.89,0.008789999,99815.96,0
2020-05-19 12:00:00,1,287.1,316,39,1e-6,92.4,0.98999995,-0.71999997,0.0092,99853.11,22
2020-05-19 18:00:00,1,298,349,685,1e-6,54.9,3.5,0.71,0.010869999,99439.54,42
2020-05-03 18:00:00,2,295.2,9999e17,9999e17,9999e17,74.8,1.75,2.26,0.012569999,98475.6,9999e17
2020-05-04 00:00:00,2,291.66,379,397,3.35e-4,94,0.7,0.76,0.01277,98129.055,78
2020-05-04 06:00:00,2,289.1,375,0,7.26e-4,96.700005,-2.29,2.1599998,0.01115,98110.625,97
2020-05-04 12:00:00,2,285.6,319,39,0,89.8,-1.8499999,3.6399999,0.00822,98337.54,28
2020-05-04 18:00:00,2,290.9,292,768,0,45.8,-4.72,4.43,0.00594,98505.65,5
2020-05-05 00:00:00,2,284.6,290,531,0,67,-2.45,1.1899999,0.0056999996,98867.99,24
2020-05-05 06:00:00,2,278.9,279,0,0,80,-1.66,1.25,0.0046099997,99048.65,94
2020-05-05 12:00:00,2,279.1,265,39,0,69.700005,-1.63,0.90999997,0.00409,99143.98,56
2020-05-05 18:00:00,2,291.30002,284,695,0,34.3,0.34,-0.85999995,0.00452,98807.74,59
2020-05-06 00:00:00,2,282.4,333,307,3.9e-5,93.200005,1.22,-1.02,0.00689,98691.49,74
2020-05-06 06:00:00,2,281.2,338,0,3.1e-5,98.5,0.61,-0.98999995,0.00671,98639.53,95
2020-05-06 12:00:00,2,280.6,339,8,4.4e-5,97.3,-1.04,-0.94,0.0063799997,98624.555,99
2020-05-06 18:00:00,2,283.7,329,323,2.2e-5,77.1,-1.03,-0.65999997,0.00621,98651.04,89
2020-05-07 00:00:00,2,279.80002,325,228,1e-5,94.6,-0.45,-0.099999994,0.0058399998,98523.21,81
2020-05-07 06:00:00,2,278.9,271,0,0,96.9,1.5699999,1.2099999,0.0056399996,98411.73,27
2020-05-07 12:00:00,2,280.2,291,11,8.8e-5,97.5,-0.48999998,0.5,0.00624,98185.68,51
2020-05-07 18:00:00,2,287.30002,325,439,8.1e-5,51.100002,-4.08,2.01,0.0052199997,98306.69,69
2020-05-08 00:00:00,2,284.1,300,474,1e-6,63.2,-0.58,2.34,0.0052199997,98362.12,35
2020-05-08 06:00:00,2,281.1,281,0,1e-6,71,-1.3,5.1,0.00481,98309.43,31
2020-05-08 12:00:00,2,276.80002,242,44,0,52.600002,-4.7799997,4.36,0.0026399998,98778.336,6
2020-05-08 18:00:00,2,284.30002,243,791,0,31.9,-3.09,6.5499997,0.0026699998,98730.46,15
2020-05-09 00:00:00,2,279.7,260,540,0,57.5,-0.03,2,0.00354,98570.28,32
2020-05-09 06:00:00,2,275.5,289,0,6.5e-5,93.8,-2.9099998,4.47,0.0042999997,98481.54,76
2020-05-09 12:00:00,2,274.2,250,24,1.6e-5,60.2,-3.6599998,7.95,0.00251,98350.15,66
2020-05-09 18:00:00,2,283.5,277,547,4.8e-5,46.4,-6.31,5.6099997,0.0036799998,98505.21,74
2020-05-10 00:00:00,2,281.1,285,464,3e-6,65,-5.2799997,4.2999997,0.0043699997,99093.5,42
2020-05-10 06:00:00,2,277.80002,253,0,0,76.4,-3.1799998,3.3799999,0.0040599997,99472.016,4
2020-05-10 12:00:00,2,278.80002,242,44,0,69.1,-1.68,3.7099998,0.0039399997,99774.555,2
2020-05-10 18:00:00,2,288.80002,261,794,0,37.8,-2.03,2.83,0.00421,99599.85,11
2020-05-11 00:00:00,2,283,281,548,0,70.8,-1.73,0.93,0.00538,99523.4,16
2020-05-11 06:00:00,2,278.30002,279,0,0,79,0.68,1.61,0.0043599997,99435.31,75
2020-05-11 12:00:00,2,280.80002,260,43,0,61.9,2.28,1.42,0.00408,99212.555,29
2020-05-11 18:00:00,2,290,325,499,4e-6,51.9,-0.75,5.65,0.0063199997,98816.6,70
2020-05-12 00:00:00,2,285.7,318,441,1e-6,65.3,-1,2.3999999,0.00599,99021.5,60
2020-05-12 06:00:00,2,278.2,296,0,1e-6,88.700005,-0.68,1.79,0.00489,99033.086,58
2020-05-12 12:00:00,2,279.30002,270,36,0,69.5,-1.6999999,2.85,0.0041199997,99290.164,42
