forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-11 12:00:00,1,285.80002,9999e17,9999e17,9999e17,82.6,0.7,-3.97,0.00763,98676.07,9999e17
2020-05-11 18:00:00,1,296.4,348,414,0,45.100002,5.49,-4.0699997,0.00815,98549.664,63
2020-05-12 00:00:00,1,297.55,358,704,0,46.5,6.31,-3.77,0.009099999,97953.2,56
2020-05-12 06:00:00,1,292.7,360,17,1.3e-5,83,6.62,-1.23,0.01212,97855.15,79
2020-05-12 12:00:00,1,291.7,382,0,6.67e-4,91.700005,7.45,0.07,0.01254,97713.02,97
2020-05-12 18:00:00,1,298.52,394,290,2.59e-4,65.6,8.37,1.18,0.013619999,97708.06,96
2020-05-13 00:00:00,1,299.58,406,551,2.1e-5,61.5,8.61,-1.13,0.01366,97471.086,43
2020-05-13 06:00:00,1,294.46,367,19,0,78.4,7.14,-1.8199999,0.012759999,97640.805,1
2020-05-13 12:00:00,1,293.7,380,0,4e-6,87.4,8.32,-1.23,0.01353,97611.76,37
2020-05-13 18:00:00,1,297.6,416,220,1.9e-5,73.4,9.36,0.35,0.01447,97680.12,84
2020-05-14 00:00:00,1,300.25,409,461,7e-6,61.8,9.3,-1.3399999,0.0143099995,97368.305,42
2020-05-14 06:00:00,1,295.4,372,19,0,75.6,9.59,-0.22,0.013049999,97545.68,1
2020-05-14 12:00:00,1,293.7,373,1,3e-6,87.700005,7.02,-1.91,0.01359,97624.96,42
2020-05-14 18:00:00,1,297.5,413,154,1.7e-5,71.4,7.7599998,1.6899999,0.01397,97713.195,88
2020-05-15 00:00:00,1,300.5,407,411,1e-6,61.100002,7.3199997,-1.11,0.0144299995,97324.62,45
2020-05-15 06:00:00,1,296.30002,378,20,0,76.200005,7.08,-1.01,0.01394,97454.586,1
2020-05-15 12:00:00,1,293.80002,369,1,1e-6,92.4,7.83,0.02,0.01447,97435.836,13
2020-05-15 18:00:00,1,298.2,414,186,2e-5,71,6.64,-1.79,0.01445,97675.45,83
2020-05-16 00:00:00,1,299.80002,413,372,4e-6,64.4,7.3799996,-1.79,0.0145,97293.33,61
2020-05-16 06:00:00,1,296.1,380,20,0,80.6,6.85,-0.90999997,0.014529999,97335.62,80
2020-05-16 12:00:00,1,294.2,391,1,9e-6,91.9,6.22,-3.6,0.014699999,97358.2,97
2020-05-16 18:00:00,1,298.9,391,302,7.7e-5,67.9,9.179999,-0.79999995,0.014479999,97437.125,99
2020-05-17 00:00:00,1,296.2,405,429,0.001052,80,7.9199996,-0.94,0.0145499995,97243.35,98
2020-05-17 06:00:00,1,293.80002,386,5,1.24e-4,93.3,6.18,-0.42999998,0.01462,97405.836,97
2020-05-17 12:00:00,1,294.5,399,0,1.2e-5,93.8,4.15,-0.64,0.015269999,97542.72,91
2020-05-17 18:00:00,1,299.80002,418,287,2e-5,72,6.31,-1.25,0.01621,97630.016,86
2020-05-18 00:00:00,1,298,418,419,2.45e-4,81.5,2.37,-4.85,0.01647,97537.71,90
2020-05-18 06:00:00,1,294.5,388,8,0,92.3,4.0299997,-2.35,0.01505,97736.33,97
2020-05-18 12:00:00,1,293.9,381,1,0,96.5,3.03,-1.4399999,0.0150999995,97832.95,79
2020-05-18 18:00:00,1,301.7,396,520,5.8999998e-5,62.8,4.13,-1.89,0.01577,97946.81,66
2020-05-19 00:00:00,1,301.4,416,606,1e-6,59.2,3.06,-3.75,0.01468,97733.32,58
2020-05-19 06:00:00,1,294.2,373,21,0,83.700005,3.36,-1.76,0.01335,97872.21,27
2020-05-19 12:00:00,1,292,353,2,0,95.5,3.23,-1.28,0.01332,97881.1,9
2020-05-19 18:00:00,1,301.9,371,590,0,51.100002,4.79,-1.89,0.0130199995,97882.586,4
2020-05-20 00:00:00,1,301.9,396,726,0,51.7,4.5699997,-4.1,0.013169999,97652.375,2
2020-05-20 06:00:00,1,294.9,369,21,0,71.700005,3.85,-1.1899999,0.01199,97826.43,0
2020-05-20 12:00:00,1,292.4,355,2,0,91.1,3.35,0.03,0.012999999,97806.87,0
2020-05-20 18:00:00,1,302.6,362,601,0,42.600002,5.96,-2.1599998,0.01127,97896.46,0
2020-05-21 00:00:00,1,301.9,385,737,0,45.9,5.15,-3.6599998,0.01175,97662.24,1
2020-05-21 06:00:00,1,294.9,361,22,0,63.7,3.9099998,-1.1899999,0.01062,97782.29,0
2020-05-21 12:00:00,1,291.7,346,2,0,89.5,2.58,1.02,0.0122,97864.2,1
2020-05-21 18:00:00,1,302.80002,352,611,0,35.8,6.98,-2.86,0.0095999995,97884.93,1
2020-05-22 00:00:00,1,302.2,373,749,0,41.3,5.97,-3.07,0.01074,97611.44,1
