forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-06 00:00:00,1,279.30002,9999e17,9999e17,9999e17,88.200005,-3.21,0.14999999,0.00538,96183.68,9999e17
2020-05-06 06:00:00,1,278,281,9,7e-6,84,-0.93,3.53,0.0046699997,96305.24,95
2020-05-06 12:00:00,1,277.1,254,4,0,85.8,-1.3199999,3.56,0.00452,96358.26,1
2020-05-06 18:00:00,1,287.5,269,570,1e-6,47.5,-1.2099999,1.4,0.0050299997,96201.81,0
2020-05-07 00:00:00,1,288.4,315,595,2.7e-5,49.5,-2.46,0.34,0.0055799996,95946.44,48
2020-05-07 06:00:00,1,280,274,35,0,78.5,-0.91999996,-4.5699997,0.00507,95978.336,2
2020-05-07 12:00:00,1,275.80002,251,4,0,65.200005,-1.6999999,-4.41,0.0031299999,96049.28,33
2020-05-07 18:00:00,1,281.4,257,497,0,42.100002,-2.9199998,-5.2599998,0.0029799999,95989.164,66
2020-05-08 00:00:00,1,280.30002,281,410,0,39.7,-5.7999997,-3.4099998,0.0026099999,96097.88,99
2020-05-08 06:00:00,1,274.5,240,21,0,53.600002,-3.33,-0.57,0.00233,96530.29,53
2020-05-08 12:00:00,1,273.4,218,5,0,56.5,-2.48,1.41,0.00226,96693.69,0
2020-05-08 18:00:00,1,282.4,233,592,0,33.5,-4.58,1.8399999,0.0025199999,96544.35,0
2020-05-09 00:00:00,1,284.4,263,708,0,38.2,-1.8199999,-0.84999996,0.0033099998,96148.31,36
2020-05-09 06:00:00,1,278.1,261,33,0,63,5.1,-1.11,0.0035599999,95874.086,68
2020-05-09 12:00:00,1,279.6,259,4,0,54.3,5.62,6.5099998,0.00344,95307.23,74
2020-05-09 18:00:00,1,283.4,299,382,1e-5,56.7,-3.27,9.29,0.00466,95171.3,83
2020-05-10 00:00:00,1,275.9,309,356,3.8e-5,67.4,-12.53,-0.35,0.00326,96017.2,85
2020-05-10 06:00:00,1,272.80002,243,19,1e-6,70.3,-7.49,3.23,0.00271,96420.93,26
2020-05-10 12:00:00,1,271.6,211,6,0,71.700005,-5.7799997,2.5,0.00251,96609.36,2
2020-05-10 18:00:00,1,279.2,217,610,0,37.3,-6.97,0.47,0.00226,96745.24,0
2020-05-11 00:00:00,1,279,232,743,0,41.5,-5.39,-1.03,0.00247,96660.52,0
2020-05-11 06:00:00,1,272.2,222,41,0,68.1,-1.56,-0.96999997,0.0025,96773.31,0
2020-05-11 12:00:00,1,272.9,218,6,0,65.6,-1.75,-0.13,0.00254,96709.32,6
2020-05-11 18:00:00,1,280,232,599,0,38.7,-1.16,-1.0699999,0.00248,96593.81,0
2020-05-12 00:00:00,1,282.2,252,731,0,37.3,-0.04,-2.5,0.00278,96240.58,7
2020-05-12 06:00:00,1,275.1,244,38,0,59.600002,1.09,-4.24,0.00271,96223.19,36
2020-05-12 12:00:00,1,274.80002,269,2,3.1e-5,58.9,2.24,-5,0.0026399998,96097.336,71
2020-05-12 18:00:00,1,277.5,303,248,1.4999999e-4,77.1,2.19,-6.68,0.00416,96012.51,93
2020-05-13 00:00:00,1,279.7,295,490,4.9e-5,76.3,2.29,-5.89,0.00484,95845.89,77
2020-05-13 06:00:00,1,276.5,275,30,0,90.4,0.94,-5.0099998,0.00457,95817.33,32
2020-05-13 12:00:00,1,277.6,313,2,9e-6,94,1.65,-6.41,0.00515,95639.18,86
2020-05-13 18:00:00,1,282.2,334,203,3.1e-5,85,4.63,-6.15,0.0063899998,95453.99,97
2020-05-14 00:00:00,1,284.2,351,230,1.8e-5,86,4.23,-5.92,0.00739,95073.125,96
2020-05-14 06:00:00,1,283.2,354,6,3.4e-5,93.5,4.15,-5.8799996,0.0075899996,94978.555,98
2020-05-14 12:00:00,1,284.1,357,2,2.5e-5,94.5,3.25,-5.5299997,0.00813,94580.1,99
2020-05-14 18:00:00,1,289.30002,370,179,4.5e-4,89,-0.12,-4.56,0.010849999,94299.07,98
2020-05-15 00:00:00,1,287.80002,372,300,1.26e-4,87.700005,-7.58,-2.46,0.00974,94244.69,76
2020-05-15 06:00:00,1,281.80002,356,6,2.19e-4,86.8,-10.67,-2.4299998,0.00641,95004.23,97
2020-05-15 12:00:00,1,277.5,327,2,9e-5,80.8,-9.69,0.29,0.0044,95962.98,98
2020-05-15 18:00:00,1,281.80002,256,575,0,53.100002,-8.21,0.29999998,0.00385,96449.3,37
2020-05-16 00:00:00,1,283,253,746,0,47.100002,-6.15,-1.24,0.0037,96480.2,11
2020-05-16 06:00:00,1,276.30002,247,44,0,69.700005,-0.44,0.69,0.00344,96691.08,12
2020-05-16 12:00:00,1,276.80002,241,7,0,67.3,-0.39,2.45,0.00344,96677.734,22
2020-05-16 18:00:00,1,285.6,259,591,0,35.600002,0.57,1.66,0.00332,96675.586,39
2020-05-17 00:00:00,1,287.5,276,736,0,32.3,-0.34,-0.08,0.0034299998,96428.06,1
2020-05-17 06:00:00,1,280.80002,265,43,0,55.9,3.46,1.86,0.0037699998,96588.875,2
2020-05-17 12:00:00,1,279.5,256,7,0,65.8,1.8299999,2.36,0.00405,96559.71,1
2020-05-17 18:00:00,1,288.7,270,602,0,38.5,4.04,0.56,0.00439,96526.71,1
2020-05-18 00:00:00,1,289,317,605,0,41.5,2.52,0.16,0.0048599998,96213.336,48
2020-05-18 06:00:00,1,285,345,18,0,55.2,3.3799999,-0.17999999,0.00499,96184.89,93
2020-05-18 12:00:00,1,281.5,298,8,0,77.200005,3.1799998,1.89,0.0055,96050.266,37
2020-05-18 18:00:00,1,290,283,597,1e-6,46,6.23,0.59,0.00574,95881.47,3
2020-05-19 00:00:00,1,288.9,342,475,1e-6,51.8,6.1299996,-0.63,0.0060699997,95589.805,69
2020-05-19 06:00:00,1,282.30002,281,44,0,77.200005,4.85,-0.75,0.00585,95484.18,2
2020-05-19 12:00:00,1,280.4,267,8,0,84.8,5.41,-1.73,0.00567,95318.21,0
2020-05-19 18:00:00,1,289.9,282,602,0,59.7,9.059999,-4.04,0.0075,95058.64,1
2020-05-20 00:00:00,1,290.7,349,556,0,61.2,9.05,-4.72,0.00809,94771.52,54
2020-05-20 06:00:00,1,286.4,322,32,0,74.6,8.82,-5.2999997,0.0074699996,94635.14,72
2020-05-20 12:00:00,1,284.7,344,3,7.4e-5,83.700005,8.7,-6.19,0.00751,94427,91
2020-05-20 18:00:00,1,284.80002,355,89,6.87e-4,88.6,9.01,-8.09,0.00803,94199.484,99
2020-05-21 00:00:00,1,286.80002,362,161,1.05e-4,87.6,9.309999,-4.35,0.00911,94109.95,92
2020-05-21 06:00:00,1,284.80002,353,18,2.1e-5,96.200005,3.82,-1.77,0.00877,94234.21,79
2020-05-21 12:00:00,1,284.7,337,4,2e-6,96.5,-0.7,-0.19,0.00875,94158.94,93
2020-05-21 18:00:00,1,290.4,345,268,1e-5,65,-1.6999999,2.4199998,0.00851,94166.37,87
2020-05-22 00:00:00,1,290.6,347,247,5e-6,55.7,1.5999999,4.89,0.0073599997,94296.71,96
2020-05-06 00:00:00,2,278.6,9999e17,9999e17,9999e17,89.6,-3.04,0.5,0.00524,96195.164,9999e17
2020-05-06 06:00:00,2,277.80002,280,7,1.5e-5,85.200005,-1.3399999,3.99,0.0046699997,96259.25,97
2020-05-06 12:00:00,2,277.1,254,4,0,88.3,-1.4499999,3.82,0.00464,96315.67,4
2020-05-06 18:00:00,2,287.1,270,569,1e-6,51,-1.5799999,0.53999996,0.00526,96186.48,0
2020-05-07 00:00:00,2,288,294,686,1.7e-5,50.600002,-3.1399999,-1.3399999,0.0055299997,95979.09,8
2020-05-07 06:00:00,2,279.7,271,35,0,73.200005,-1.3,-3.9499998,0.00463,96040.42,1
2020-05-07 12:00:00,2,275.2,244,4,0,66.8,-1.55,-3.58,0.00306,96136.2,4
2020-05-07 18:00:00,2,281.9,233,592,0,35.600002,-3.46,-4.92,0.0026099999,96024.07,20
2020-05-08 00:00:00,2,281.1,274,551,0,38.8,-6.1,-3.74,0.00269,96075.34,97
