forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-10 18:00:00,1,277.4,9999e17,9999e17,9999e17,65.8,-6.93,0.66999996,0.00351,96821.41,9999e17
2020-05-11 00:00:00,1,277.6,272,645,1.6e-5,59.600002,-6.44,-0.13,0.00321,96682.164,65
2020-05-11 06:00:00,1,272.5,227,38,0,76.700005,-3.1299999,1.29,0.00289,96735.29,2
2020-05-11 12:00:00,1,271.7,217,6,0,64.8,-2.71,0.089999996,0.0023,96720.625,0
2020-05-11 18:00:00,1,278.5,222,607,0,35.2,-5.18,0.11,0.00204,96573.055,0
2020-05-12 00:00:00,1,279.07,233,744,0,38.4,-4,-0.22999999,0.00231,96298.18,1
2020-05-12 06:00:00,1,272.6,222,42,0,52.4,-1.42,-1.17,0.00199,96334.75,0
2020-05-12 12:00:00,1,273.6,214,10,0,45.4,1.3299999,-1.49,0.0018399999,96281.56,13
2020-05-12 18:00:00,1,281.22,226,607,0,29.7,3.26,-3.56,0.00208,96087.37,36
2020-05-13 00:00:00,1,281.50998,276,644,1e-6,43.100002,4.81,-3.34,0.00309,95696.98,77
2020-05-13 06:00:00,1,277.18,283,24,0,68.1,4.21,-3.76,0.0036199999,95440.36,73
2020-05-13 12:00:00,1,277,320,1,2.03e-4,87.9,6.14,-6.8399997,0.00465,94859.914,99
2020-05-13 18:00:00,1,284.2,339,74,3.08e-4,84.8,9.96,-0.049999997,0.0074099996,94312.08,99
2020-05-14 00:00:00,1,288.69,346,221,3.2e-5,70,-1.93,6.35,0.00821,94208.52,74
2020-05-14 06:00:00,1,279,277,40,0,89.4,-1.99,1.37,0.00544,94573.73,4
2020-05-14 12:00:00,1,279.6,301,2,2e-6,85.700005,-1.49,1.9,0.00543,94865.79,65
2020-05-14 18:00:00,1,287,293,452,0,56,-4.68,4.5699997,0.00582,95089.625,97
2020-05-15 00:00:00,1,287.9,300,646,1e-6,47.5,-4.97,1.3199999,0.00525,95192.56,45
2020-05-15 06:00:00,1,279.5,269,42,0,76.200005,0.26,0.76,0.00476,95387.33,3
2020-05-15 12:00:00,1,280.4,260,7,0,70.4,1.9599999,3.85,0.0046699997,95588.805,24
2020-05-15 18:00:00,1,290.1,278,594,0,42.3,-2.1499999,-1.1999999,0.0053399997,95613.29,17
2020-05-16 00:00:00,1,291.2,308,692,0,42.100002,1.78,-0.96,0.00572,95525.055,66
2020-05-16 06:00:00,1,283.1,294,35,0,68.200005,1.89,-2.29,0.00543,95677.05,86
2020-05-16 12:00:00,1,280.4,273,6,0,76.8,2.33,-2.55,0.0050899996,95714.33,64
2020-05-16 18:00:00,1,292.1,288,587,0,43,5.0299997,2.28,0.0061399997,95552.164,42
2020-05-17 00:00:00,1,292.2,305,726,0,42.3,4.1,1.52,0.00612,95314.87,4
2020-05-17 06:00:00,1,284.4,289,43,0,61.7,1.7199999,2.4299998,0.00542,95289.77,1
2020-05-17 12:00:00,1,283.6,281,7,0,70.5,2.03,1.81,0.0058399998,95274.34,0
2020-05-17 18:00:00,1,293.2,302,590,0,46.5,4.31,-0.69,0.00716,95274.586,0
2020-05-18 00:00:00,1,293.80002,334,643,0,48.3,4.9,-1.9699999,0.00774,95093.28,21
2020-05-18 06:00:00,1,287,308,43,0,75.4,4.3399997,-2.26,0.00781,95098.984,0
2020-05-18 12:00:00,1,285.80002,301,7,0,80.200005,6.3199997,-2.77,0.0077199996,94891.18,7
2020-05-18 18:00:00,1,293.9,329,521,4e-6,61.8,12.48,-4.0299997,0.00999,94649.21,67
2020-05-19 00:00:00,1,291.7,377,267,1.49e-4,77.1,10.71,-4.1,0.0109,94430.18,88
2020-05-19 06:00:00,1,290.4,358,27,7.6e-5,89.4,9.16,-0.35,0.011659999,94266.97,72
2020-05-19 12:00:00,1,289.1,340,7,1e-6,90.200005,1.9499999,2.77,0.0108199995,94325.336,22
2020-05-19 18:00:00,1,297.6,322,588,0,27.7,-3.27,2.9299998,0.00568,94472.56,24
2020-05-20 00:00:00,1,298.30002,333,707,0,35.8,-0.59999996,2.6699998,0.0076099997,94422.766,52
2020-05-20 06:00:00,1,289.6,329,45,4e-6,53.4,1.75,4.8399997,0.0066299997,94557.87,35
2020-05-20 12:00:00,1,286,295,7,0,72.200005,-1.42,8.42,0.00708,94810.99,5
2020-05-20 18:00:00,1,290.5,333,445,3e-6,66.1,-7.1299996,2.6499999,0.00859,95417.055,41
2020-05-21 00:00:00,1,290.1,377,341,4e-6,66.200005,-3.73,-0.77,0.00835,95657.95,90
2020-05-21 06:00:00,1,286,360,14,1e-6,80.8,0.26999998,-1.78,0.0078,95760.555,83
2020-05-21 12:00:00,1,283.80002,291,8,0,90.3,1.8399999,-2.59,0.00757,95673.73,3
2020-05-21 18:00:00,1,293.7,309,583,0,56.100002,4.31,-3.75,0.0089,95318.414,31
2020-05-22 00:00:00,1,296.1,343,712,1e-6,54.9,5.42,-3.83,0.01016,94915.43,29
2020-05-22 06:00:00,1,288.9,338,45,4e-5,84.8,3.97,-4.5899997,0.010009999,94632.15,15
2020-05-22 12:00:00,1,287.9,358,1,6.22e-4,94.700005,2.52,-3.3,0.01052,94191.44,98
2020-05-22 18:00:00,1,295.7,377,364,3.2e-5,78,3.98,0.94,0.0143,93701.89,66
2020-05-23 00:00:00,1,300.7,390,522,1e-5,53.3,0.56,2.61,0.01322,93579.336,37
2020-05-23 06:00:00,1,289,334,46,1.6e-5,70.8,-2.35,5.47,0.00851,93657.62,4
2020-05-23 12:00:00,1,286.30002,298,8,0,74.700005,0.11,5.3199997,0.00752,93778.7,11
2020-05-23 18:00:00,1,292.5,308,594,1e-6,62.3,-9.09,7.3199997,0.0093,94164.484,10
2020-05-24 00:00:00,1,289.9,349,357,9e-6,57.2,-8.58,3.76,0.00719,94899.73,61
2020-05-24 06:00:00,1,284,291,48,0,74.6,-2.57,3.1299999,0.0063799997,95294.79,2
2020-05-24 12:00:00,1,282,276,9,0,78.6,-2.1399999,2.8,0.0058299997,95554.98,3
2020-05-24 18:00:00,1,290.2,273,623,0,35,-4.18,3.21,0.00445,95724.75,4
2020-05-25 00:00:00,1,290.80002,289,754,0,36.9,-4.25,0.08,0.00488,95664.875,1
2020-05-25 06:00:00,1,282.1,276,50,0,62.100002,-0.39999998,-4.41,0.00463,95912.96,7
2020-05-25 12:00:00,1,280.4,265,9,0,63.8,2.74,-3.4099998,0.00421,96139.21,4
2020-05-25 18:00:00,1,289.4,278,588,0,35.8,2.23,-5.5699997,0.00428,96170.75,24
2020-05-26 00:00:00,1,287.9,326,481,3e-6,50.5,2.1499999,-2.59,0.0055199997,96141.2,93
2020-05-26 06:00:00,1,284,326,17,1e-5,54.600002,1.03,-3.5,0.00459,96203.06,92
2020-05-26 12:00:00,1,283.7,336,4,5e-6,59.3,2.11,-3.52,0.0049099997,96128.77,72
2020-05-26 18:00:00,1,290.6,354,209,0,60.600002,6.1299996,-3.1599998,0.00785,96062.3,91
2020-05-10 18:00:00,2,278.1,9999e17,9999e17,9999e17,64.5,-6.73,0.22999999,0.00361,96736.625,9999e17
2020-05-11 00:00:00,2,277.9,246,718,9e-6,56.3,-6.45,-0.31,0.00312,96684.2,31
2020-05-11 06:00:00,2,272.9,228,39,0,76.1,-3.23,0.93,0.00294,96747.51,1
2020-05-11 12:00:00,2,271.7,218,6,0,61.600002,-2.85,0.08,0.0021799998,96742.46,0
2020-05-11 18:00:00,2,278.6,222,606,0,35.9,-5.22,-0.11,0.0020899998,96586.125,0
2020-05-12 00:00:00,2,279.22,235,742,0,38.7,-3.72,-0.31,0.00235,96284.83,2
2020-05-12 06:00:00,2,272.9,223,41,0,50.8,-1.4499999,-1.65,0.00196,96314.93,0
2020-05-12 12:00:00,2,273.6,215,10,0,43.2,1.42,-1.7099999,0.0017599999,96246.43,13
2020-05-12 18:00:00,2,281.25998,226,605,0,29.300001,3.23,-4.06,0.0020599999,96047.1,47
2020-05-13 00:00:00,2,281.59,270,665,1e-6,42.600002,4.69,-3.6399999,0.00306,95661.11,79
