forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-02 06:00:00,1,296.5,9999e17,9999e17,9999e17,73.8,-0.82,-3.35,0.01308,101985.85,9999e17
2020-05-02 12:00:00,1,295.80002,364,0,2e-6,77.700005,-0.96,-4.42,0.013169999,101880.58,17
2020-05-02 18:00:00,1,296.12,364,70,2e-6,76.9,0.06,-5.5099998,0.013239999,102087.45,11
2020-05-03 00:00:00,1,296.86,363,874,0,75.9,-1.37,-6.48,0.01371,101842.2,9
2020-05-03 06:00:00,1,296.1,365,363,2e-6,80.1,-1.5699999,-4.79,0.01378,102064.15,11
2020-05-03 12:00:00,1,296.1,370,0,6e-6,79.200005,-0.26,-4.5899997,0.01358,101982.27,16
2020-05-03 18:00:00,1,296.2,368,66,4e-6,78.700005,-0.049999997,-5.39,0.01359,102067.18,14
2020-05-04 00:00:00,1,296.69998,369,830,2e-6,77.6,-0.66999996,-6.56,0.01389,101835.89,12
2020-05-04 06:00:00,1,296.2,369,351,5e-6,78.6,-1.87,-5.14,0.01358,101978.74,13
2020-05-04 12:00:00,1,295.7,366,0,5e-6,81,-0.41,-5.33,0.013669999,101797.65,13
2020-05-04 18:00:00,1,295.80002,371,64,8e-6,79.1,-1.53,-5.29,0.01339,101918.69,24
2020-05-05 00:00:00,1,296,369,805,8e-6,78.1,-2.09,-5.83,0.013409999,101722.086,17
2020-05-05 06:00:00,1,296,381,317,9e-6,79.6,-1.81,-5.2999997,0.01359,101826.9,34
2020-05-05 12:00:00,1,295.6,375,0,1.3e-5,80.4,-1.0799999,-5.46,0.01342,101643.31,22
2020-05-05 18:00:00,1,295.6,380,49,2.1e-5,79.9,-0.81,-6.0099998,0.01335,101740.9,30
2020-05-06 00:00:00,1,295.9,381,734,1.4e-5,77.8,-0.38,-6.0299997,0.0133,101511.195,38
2020-05-06 06:00:00,1,296,380,297,5e-6,77.8,0.29,-5.49,0.01335,101608.516,31
2020-05-06 12:00:00,1,295.7,383,0,8e-6,78.700005,1.3299999,-5.62,0.0133299995,101445.73,47
2020-05-06 18:00:00,1,295.9,395,48,7e-6,77.6,1.93,-5,0.01325,101597.25,75
2020-05-07 00:00:00,1,296.4,375,768,4e-6,75.8,1.4499999,-5.68,0.01334,101426.48,23
2020-05-07 06:00:00,1,296.1,380,277,4e-6,76.6,1.1999999,-4.4,0.01323,101556.99,32
2020-05-07 12:00:00,1,295.7,369,0,1e-6,76.4,0.95,-3.23,0.012949999,101477.05,11
2020-05-07 18:00:00,1,295.6,362,72,0,74.700005,0.34,-2.29,0.01249,101618.6,7
2020-05-08 00:00:00,1,296.2,362,861,0,76.1,-1.4399999,-4.85,0.013239999,101417.93,8
2020-05-08 06:00:00,1,295.7,372,346,4e-6,76.3,-1.5799999,-3.97,0.01291,101570.37,70
2020-05-08 12:00:00,1,295.5,370,0,3e-6,74.6,-0.25,-3.3,0.01248,101428.71,69
2020-05-08 18:00:00,1,295.5,370,68,1e-6,76.1,0.69,-4.31,0.01273,101572.69,36
2020-05-09 00:00:00,1,296.1,368,811,4e-6,75.8,1.55,-5.77,0.0131399995,101432.24,44
2020-05-09 06:00:00,1,296,375,330,7e-6,75.200005,2.1599998,-4.7,0.01294,101489.695,42
2020-05-09 12:00:00,1,296.1,367,0,1e-6,74,3.4199998,-3.59,0.01279,101380.43,25
2020-05-09 18:00:00,1,296.6,367,70,0,71.1,3.28,-3.62,0.012639999,101491.23,43
2020-05-10 00:00:00,1,296.9,371,828,3e-6,74.6,2.44,-6.12,0.01359,101309.64,40
2020-05-10 06:00:00,1,296.5,383,322,4e-6,77.8,3.1399999,-5.06,0.013809999,101484.01,39
2020-05-10 12:00:00,1,296.4,385,0,3e-6,76.4,3.06,-3.9199998,0.0136899995,99933.39,87
2020-05-10 18:00:00,1,296.5,384,54,1e-6,75,2.4199998,-4.04,0.013549999,100082.875,97
2020-05-11 00:00:00,1,297,376,816,0,75,0.55,-5.48,0.01395,100039.95,84
2020-05-11 06:00:00,1,296.5,388,296,6e-6,82.3,1.81,-6.23,0.01475,100187.91,83
2020-05-11 12:00:00,1,296.30002,392,0,6e-6,82.5,1.73,-5.8799996,0.01468,100121.76,96
2020-05-11 18:00:00,1,296.30002,401,30,8e-6,83.5,1.67,-6.6099997,0.01475,100294.83,98
2020-05-12 00:00:00,1,296.30002,403,428,6e-6,82.3,1.62,-6.21,0.014629999,100267.54,91
2020-05-12 06:00:00,1,296.2,400,157,1.7e-5,83.1,1.0799999,-5.44,0.014579999,100412.74,93
2020-05-12 12:00:00,1,296,400,0,3.1e-5,82.200005,1.8399999,-5.39,0.01435,100340.1,97
2020-05-12 18:00:00,1,296.1,395,43,1.2e-5,81,0.55,-5.2999997,0.0141199995,100475.266,89
2020-05-13 00:00:00,1,296.1,389,650,2e-6,81.1,-0.099999994,-5.5,0.01416,100393.516,79
2020-05-13 06:00:00,1,296,381,285,0,81.4,0.78999996,-5.77,0.0141199995,100503.125,83
2020-05-13 12:00:00,1,295.9,380,0,1e-6,78,1.64,-4.93,0.013479999,100373.54,74
2020-05-13 18:00:00,1,295.80002,364,72,0,79.1,0.51,-5.38,0.01361,100503.414,49
2020-05-14 00:00:00,1,296.2,365,872,0,79.700005,0.26,-7.21,0.014099999,100359.2,19
2020-05-14 06:00:00,1,296.1,370,374,1e-6,79.6,0.83,-6.1299996,0.01389,100516.68,33
2020-05-14 12:00:00,1,295.80002,374,0,1e-6,77.3,1.7199999,-5.0299997,0.01325,100391.73,44
2020-05-14 18:00:00,1,295.6,369,73,0,77.8,0.58,-5.54,0.01322,100530.14,48
2020-05-15 00:00:00,1,296,364,858,1e-6,77.8,0.29999998,-7.17,0.01351,100368.37,44
2020-05-15 06:00:00,1,295.7,356,381,0,77.3,0.59,-6.24,0.01315,100489.516,33
2020-05-15 12:00:00,1,295.4,361,0,0,75.4,0.51,-5.75,0.01263,100401.93,29
2020-05-15 18:00:00,1,295.4,357,75,2e-6,75.6,0.32999998,-6.5299997,0.01267,100609.766,28
2020-05-16 00:00:00,1,295.80002,363,870,2e-6,74.3,0.42,-7.6099997,0.0127799995,100413.766,39
2020-05-16 06:00:00,1,295.6,360,378,2e-6,76.200005,-0.48999998,-6.3599997,0.01287,100615.23,39
2020-05-16 12:00:00,1,295.4,370,0,8e-6,75.3,-0.22,-7.04,0.012639999,100502.836,52
2020-05-16 18:00:00,1,295.4,370,67,1.1e-5,75.5,-0.08,-7.5,0.012619999,100651.305,40
2020-05-17 00:00:00,1,295.7,375,769,6e-6,73.4,-0.14999999,-7.25,0.012519999,100499.04,44
2020-05-17 06:00:00,1,295.6,366,361,5e-6,76.200005,-0.13,-6.8199997,0.012879999,100587.195,50
2020-05-17 12:00:00,1,295.4,378,0,6e-6,75.6,0.44,-6.87,0.01265,100469.13,78
2020-05-17 18:00:00,1,295.5,378,58,5e-6,74.700005,0.26999998,-6.3799996,0.01249,100611.914,78
2020-05-18 00:00:00,1,295.7,374,795,4e-6,76.200005,-0.45,-7.14,0.01301,100460.695,72
