forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-07 00:00:00,1,289.7,9999e17,9999e17,9999e17,46.8,-7.1499996,3.06,0.00648,84790.96,9999e17
2020-05-07 06:00:00,1,281,265,80,0,50.9,-4.25,0.35,0.00393,85187.6,0
2020-05-07 12:00:00,1,275.80002,223,0,0,47,-1.6899999,1.16,0.00247,85192.74,0
2020-05-07 18:00:00,1,283.2,219,488,0,24,-2.34,2.53,0.00217,85243.9,0
2020-05-08 00:00:00,1,285.80002,235,875,0,31.800001,-1.79,1.12,0.0034299998,85079.25,0
2020-05-08 06:00:00,1,279.2,240,85,0,46,-0.66999996,-2.44,0.0031599998,85134.516,0
2020-05-08 12:00:00,1,277,234,0,0,60.5,0.32999998,-3.26,0.00358,85048.586,0
2020-05-08 18:00:00,1,288.1,240,483,0,35.2,0.01,1.55,0.00429,84977.63,0
2020-05-09 00:00:00,1,288.7,256,869,0,33.3,-1.01,1.68,0.0042999997,84734.18,0
2020-05-09 06:00:00,1,281.4,249,86,0,43.9,1.01,-3.4299998,0.00361,84797.66,0
2020-05-09 12:00:00,1,279,241,0,0,52,0.59,-3.4399998,0.00358,84839.98,0
2020-05-09 18:00:00,1,290.4,248,484,0,31.1,-1.22,0.94,0.00435,84914.45,0
2020-05-10 00:00:00,1,290.4,264,870,0,32.5,-1.05,0.84999996,0.00458,84657.52,0
2020-05-10 06:00:00,1,283.6,254,87,0,39.2,1.01,-3.1499999,0.0037699998,84621.69,0
2020-05-10 12:00:00,1,280.80002,248,0,0,47.7,1.42,-3.87,0.00373,84456.77,16
2020-05-10 18:00:00,1,292.1,267,472,0,31.800001,1.77,1.51,0.00495,84412.15,17
2020-05-11 00:00:00,1,293.80002,291,849,0,29.9,-1.4,0.17999999,0.00524,84042.74,20
2020-05-11 06:00:00,1,287.9,297,84,0,41.3,2.98,-1.8299999,0.00523,84043.69,60
2020-05-11 12:00:00,1,284.6,307,0,1e-6,68.1,2.21,-3.62,0.00688,83940.49,68
2020-05-11 18:00:00,1,293.1,288,463,0,34.9,4.46,1.9399999,0.00599,83994.73,36
2020-05-12 00:00:00,1,294.80002,299,846,0,27,2.74,3.31,0.00512,83649.38,10
2020-05-12 06:00:00,1,287.30002,283,85,0,42,6.1,-1.8499999,0.00511,83683.305,14
2020-05-12 12:00:00,1,284.2,263,0,0,44.3,5.31,-2.52,0.00444,83695.48,2
2020-05-12 18:00:00,1,291.5,259,485,0,25.1,6.29,1.79,0.0039,83737.96,6
2020-05-13 00:00:00,1,292.9,281,857,0,25.4,6.23,2.85,0.00435,83475.336,9
2020-05-13 06:00:00,1,285.80002,275,87,0,39,5.19,0.13,0.00433,83702.17,19
2020-05-13 12:00:00,1,280.30002,283,0,2.6e-5,76.700005,0.77,1.89,0.00578,83964.664,39
2020-05-13 18:00:00,1,284.9,304,341,1.07e-4,59,1.16,2.3,0.00605,84182.06,77
2020-05-14 00:00:00,1,287.7,270,850,1e-6,37.9,1.09,2.8,0.00468,84094.31,5
2020-05-14 06:00:00,1,280.2,266,88,0,71.3,-0.26999998,-0.14999999,0.00531,84309.94,6
2020-05-14 12:00:00,1,278.5,283,0,4e-6,72.4,0.39,0.84,0.00465,84491.68,47
2020-05-14 18:00:00,1,285.80002,257,479,0,45.600002,-0.90999997,2.98,0.0049199997,84671.75,2
2020-05-15 00:00:00,1,286.6,271,844,0,45.2,-1.8499999,2.73,0.00515,84614.125,11
2020-05-15 06:00:00,1,276.4,264,81,2e-6,79,-0.35,-1.18,0.00452,84038.79,9
2020-05-15 12:00:00,1,275.80002,248,0,0,82.3,-0.13,-1.93,0.0045,84116.43,1
2020-05-15 18:00:00,1,289.30002,259,484,0,32.4,-1.4599999,0.48,0.0044199997,84130.26,2
2020-05-16 00:00:00,1,291.2,282,860,0,23.300001,-1.28,2.21,0.00358,83872.414,6
2020-05-16 06:00:00,1,279,267,91,0,70,0.22,-1.68,0.00481,83977.6,1
2020-05-16 12:00:00,1,277.9,250,0,0,60,1.04,-2.56,0.00382,83851,0
2020-05-16 18:00:00,1,292.4,263,489,0,19.7,1.8199999,0.59999996,0.0032799998,83717.25,1
2020-05-17 00:00:00,1,294.2,295,847,0,18.800001,-0.31,2.8799999,0.0035299999,83356.5,25
2020-05-17 06:00:00,1,283.1,292,79,0,39.7,-0.19,-2.1699998,0.00363,83373.31,70
2020-05-17 12:00:00,1,280.9,280,0,0,53.600002,0.48,-2.3799999,0.00422,83247.72,74
2020-05-17 18:00:00,1,292.7,292,438,1e-6,25.2,-0.14999999,1.9799999,0.0042999997,83276.69,75
2020-05-18 00:00:00,1,291.80002,309,798,2.8e-5,36,-2.12,2.7,0.00579,83194.48,70
2020-05-18 06:00:00,1,281.7,302,72,1e-6,68.6,-0.29999998,1.99,0.00568,83364.64,65
2020-05-18 12:00:00,1,277.6,272,0,5e-5,87.1,0.26,0.57,0.00548,83482.71,10
2020-05-18 18:00:00,1,289.2,269,487,0,33.2,-0.51,2.7,0.00452,83676.23,1
2020-05-19 00:00:00,1,291.7,278,870,0,19.6,-1.8,3.35,0.0031299999,83631.81,1
2020-05-19 06:00:00,1,280.2,263,95,0,42.3,1.05,-1.76,0.00312,83863.97,6
2020-05-19 12:00:00,1,279.4,254,0,0,35.100002,1.68,-2.22,0.00247,83912.766,10
2020-05-19 18:00:00,1,292.9,266,495,0,21.1,0.85999995,1.61,0.00364,83949.16,6
2020-05-20 00:00:00,1,295.5,298,862,0,19.5,0.5,2.52,0.0039399997,83667.93,19
2020-05-20 06:00:00,1,285,288,92,0,37.9,2.1299999,-3.07,0.00392,83500.945,20
2020-05-20 12:00:00,1,284.80002,279,0,0,35.600002,4.3399997,-1.9,0.0036499999,83232.85,26
2020-05-20 18:00:00,1,293.80002,293,462,0,27.6,-0.76,2.6499999,0.00505,83382.95,48
2020-05-21 00:00:00,1,292.80002,315,807,0,35.3,-4.24,3.85,0.00612,83284.086,31
2020-05-21 06:00:00,1,281.30002,287,90,0,55.100002,-1.4,-1.63,0.00447,83436.8,27
2020-05-21 12:00:00,1,277,259,0,0,74.9,0.03,-0.47,0.0045,83376.4,28
2020-05-21 18:00:00,1,292.6,270,480,0,23.6,0.59999996,1.3399999,0.00401,83210.12,40
2020-05-22 00:00:00,1,295,309,835,0,24.2,-0.17999999,1.8399999,0.0047899997,82824.5,56
2020-05-22 06:00:00,1,284.30002,306,85,0,47.5,-0.85999995,-1.9499999,0.00475,82767.31,61
2020-05-22 12:00:00,1,283.1,306,0,1e-6,52.100002,0.48999998,-1.8,0.00481,82818.89,77
2020-05-22 18:00:00,1,289.9,324,273,1.2e-5,38,3.24,2.6499999,0.00549,82887.49,94
2020-05-23 00:00:00,1,291,341,595,2.4e-5,37.600002,1.24,3.02,0.00579,82794.77,78
2020-05-07 00:00:00,2,289.6,9999e17,9999e17,9999e17,48.3,-7.7,3.73,0.00665,84789.45,9999e17
2020-05-07 06:00:00,2,280.80002,263,80,0,48,-4.13,0.57,0.00363,85164.83,0
2020-05-07 12:00:00,2,275.6,219,0,0,44.5,-1.55,1.1899999,0.00231,85179.164,0
2020-05-07 18:00:00,2,283.2,218,488,0,23.7,-2.1299999,2.76,0.00213,85207.375,0
2020-05-08 00:00:00,2,285.7,234,875,0,31.1,-1.86,1.04,0.00336,85044.92,0
2020-05-08 06:00:00,2,279.2,239,85,0,45.4,-0.47,-2.55,0.00311,85109.44,0
2020-05-08 12:00:00,2,276.9,233,0,0,60.2,0.29999998,-3.27,0.00355,85028.375,0
2020-05-08 18:00:00,2,287.5,238,484,0,35.4,-0.22,1.66,0.0041799997,84965.055,0
2020-05-09 00:00:00,2,288.2,252,872,0,34.100002,-0.98999995,1.53,0.00427,84740.12,0
2020-05-09 06:00:00,2,281.1,247,86,0,44.600002,0.90999997,-3.46,0.0035599999,84793.55,0
2020-05-09 12:00:00,2,278.6,239,0,0,55.2,0.37,-3.4099998,0.0036799998,84832.44,0
2020-05-09 18:00:00,2,290,247,483,0,32.8,-1.4399999,0.53999996,0.0044899997,84902.664,0
2020-05-10 00:00:00,2,289.80002,263,868,0,33.7,-0.96999997,1.27,0.00463,84631.336,0
2020-05-10 06:00:00,2,282.5,253,87,0,43.9,1.27,-2.75,0.0039399997,84572.17,0
2020-05-10 12:00:00,2,280.4,246,0,0,48.5,1.43,-3.86,0.0037,84403.37,14
2020-05-10 18:00:00,2,291.6,264,473,0,32.5,1.75,1.7099999,0.00493,84391.04,23
2020-05-11 00:00:00,2,293.1,287,850,0,31,-1.3199999,0.68,0.0052,84069.086,25
2020-05-11 06:00:00,2,285.6,278,84,0,41.5,0.87,-3.97,0.00451,84041.18,33
2020-05-11 12:00:00,2,283.80002,281,0,0,55.5,2.9199998,-3.4499998,0.00531,84025.25,85
2020-05-11 18:00:00,2,293.30002,278,472,0,30.1,4.2,2.27,0.00519,84073.086,17
2020-05-12 00:00:00,2,294.4,294,849,0,28.2,2.59,2.55,0.00518,83736.46,37
2020-05-12 06:00:00,2,286.9,283,85,0,40,5.54,-2.8999999,0.0047299997,83764.53,10
2020-05-12 12:00:00,2,284.30002,262,0,0,35.600002,5.71,-2.61,0.0036,83726.164,15
2020-05-12 18:00:00,2,291.4,266,474,0,27.1,5.7799997,2.35,0.00419,83810.62,21
2020-05-13 00:00:00,2,292.8,288,842,0,26.7,5.8399997,3.1399999,0.00454,83523.516,39
2020-05-13 06:00:00,2,287.30002,297,81,0,37.5,6.71,-0.089999996,0.00459,83636.65,49
2020-05-13 12:00:00,2,283.9,295,0,0,45,5.1,-1.3399999,0.00441,83699.44,47
2020-05-13 18:00:00,2,281.9,295,290,6.3e-5,80.9,1.5699999,4.69,0.0067499997,84115.43,44
2020-05-14 00:00:00,2,285.29,300,565,6e-5,56.8,0.26,1.02,0.00597,84137.18,53
2020-05-14 06:00:00,2,280.6,258,87,0,64,2.8799999,-3.48,0.00493,84300.586,1
2020-05-14 12:00:00,2,279.6,251,0,0,56.600002,2.29,-2.3999999,0.0040599997,84458.66,5
2020-05-14 18:00:00,2,288.4,273,466,0,40.7,1.04,1.8399999,0.00513,84607.586,41
2020-05-15 00:00:00,2,288.9,279,844,0,36.9,-0.89,2.96,0.00488,84505.37,40
2020-05-15 06:00:00,2,279.80002,268,87,0,45.9,-0.38,-2.26,0.00335,83775.914,40
2020-05-15 12:00:00,2,276.4,256,0,0,65.5,-0.94,-1.4699999,0.00375,83875.36,21
2020-05-15 18:00:00,2,288.7,260,485,0,28.4,-2.1699998,2.18,0.00375,84009.64,2
2020-05-16 00:00:00,2,289.7,274,863,0,24.800001,-2.29,3.3999999,0.0034699999,84003.93,3
2020-05-16 06:00:00,2,277.6,258,91,0,54,0.32,-1.65,0.00335,84223.45,1
2020-05-16 12:00:00,2,277,245,0,0,51.2,0.89,-2.35,0.00305,84282.21,1
2020-05-16 18:00:00,2,291.4,256,494,0,23.5,-0.58,-0.76,0.00367,84190.45,1
2020-05-17 00:00:00,2,292.5,287,841,0,19.7,-1.1899999,2.6799998,0.0033,83977.96,43
2020-05-17 06:00:00,2,281.6,286,72,0,38.8,0.39999998,-2.24,0.0031899998,83861.64,76
2020-05-17 12:00:00,2,279.2,253,0,0,47.4,0.96,-2.79,0.00333,83579.484,7
2020-05-17 18:00:00,2,296,268,490,0,15.6,4.43,-0.76,0.00327,83242.87,28
2020-05-18 00:00:00,2,298.2,299,867,0,14.2,7.46,1.6899999,0.00339,82746.875,25
2020-05-18 06:00:00,2,286.1,313,74,0,30.2,3.3999999,1.5699999,0.0033999998,82752.35,68
2020-05-18 12:00:00,2,279.1,266,0,0,61.3,0.28,-0.08,0.00429,83030.09,17
2020-05-18 18:00:00,2,291.30002,277,475,0,25.7,2.75,0.65,0.00404,83059.164,31
2020-05-19 00:00:00,2,295,293,857,0,20.1,5.7599998,0.98999995,0.0039999997,82565.94,28
2020-05-19 06:00:00,2,287.80002,290,89,0,34,7.18,-1.0799999,0.00427,82751.336,53
2020-05-19 12:00:00,2,284.30002,272,0,0,40,3.73,-2.79,0.00401,82397.02,14
2020-05-19 18:00:00,2,292.6,276,489,0,19,10.59,8.95,0.0032499998000000002,82687.1,17
2020-05-20 00:00:00,2,284.30002,277,843,0,38,-1.99,4.24,0.00379,83073.21,29
2020-05-20 06:00:00,2,274.7,266,77,5e-6,61.600002,-0.24,0.19,0.0031299999,83512.7,51
2020-05-20 12:00:00,2,272.2,228,0,0,60.7,0.42,0.37,0.0025799999,83519.26,20
2020-05-20 18:00:00,2,284.2,232,504,0,25.300001,0.19999999,3.1399999,0.00248,83603.805,4
2020-05-21 00:00:00,2,286,252,882,0,22.4,-0.12,3.4299998,0.00248,83542.65,5
2020-05-21 06:00:00,2,274.6,240,97,0,53.2,-0.35,-1.66,0.00269,83447.29,1
2020-05-21 12:00:00,2,274,230,0,0,47.5,0.76,-2.06,0.0023,83585.24,2
2020-05-21 18:00:00,2,287,242,502,0,24.5,-1.64,1.78,0.00291,83412.25,1
2020-05-22 00:00:00,2,289.30002,266,879,0,23.2,-1.8499999,2.9399998,0.0032199998,83311.336,2
2020-05-22 06:00:00,2,276.5,257,97,0,70,-0.14,-1.5899999,0.0040599997,83455.055,2
2020-05-22 12:00:00,2,276.2,245,0,0,57.3,1.11,-2.23,0.00324,83202.4,2
2020-05-22 18:00:00,2,291.30002,256,501,0,22.2,0.13,0.77,0.0034699999,83569.42,1
2020-05-23 00:00:00,2,292.5,280,878,0,17.9,-0.21,3.28,0.00302,83189.086,3
2020-05-07 00:00:00,3,289.80002,9999e17,9999e17,9999e17,48.2,-6.95,2.9199998,0.0067,84801.37,9999e17
