forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-04-27 00:00:00,1,275.4,9999e17,9999e17,9999e17,94.5,1.48,2.56,0.00594,71486.08,9999e17
2020-04-27 06:00:00,1,270.6,239,35,1e-6,90.700005,0.84999996,1.9799999,0.0039999997,71494.62,48
2020-04-27 12:00:00,1,270.4,217,0,0,88.700005,1.01,2.01,0.00385,71424.9,0
2020-04-27 18:00:00,1,281.9,221,525,0,59.5,0.32999998,3.6899998,0.00582,71473.82,0
2020-04-28 00:00:00,1,282,242,811,5e-6,59.8,0.97999996,4.38,0.00593,71317.64,5
2020-04-28 06:00:00,1,273.7,246,44,0,89.8,0.63,2.7,0.00499,71343.48,55
2020-04-28 12:00:00,1,272.30002,230,0,0,92.5,0.12,2.99,0.00465,71380.83,13
2020-04-28 18:00:00,1,280.6,223,520,0,42,-1.25,6.46,0.00379,71516.11,17
2020-04-29 00:00:00,1,280.1,229,817,0,45.2,-1.81,5.19,0.00393,71640.875,30
2020-04-29 06:00:00,1,271.5,218,48,0,71.6,1.61,1.49,0.00335,71836.15,4
2020-04-29 12:00:00,1,270.9,210,0,0,59.3,0.53,1.91,0.0026699998,71809.12,0
2020-04-29 18:00:00,1,286.6,222,532,0,21.4,-0.37,2.26,0.00287,71808.79,1
2020-04-30 00:00:00,1,285.66998,247,817,0,36,-0.63,2.45,0.00453,71688.24,22
2020-04-30 06:00:00,1,274.94,241,47,0,72.700005,0.89,2.1499999,0.00438,71720.21,35
2020-04-30 12:00:00,1,274.30002,233,0,0,64.700005,1.5799999,1.93,0.0037399998,71575.89,49
2020-04-30 18:00:00,1,288.32,263,469,0,34,0.90999997,5.68,0.00511,71537.44,79
2020-05-01 00:00:00,1,287.3,274,767,0,33.100002,0.47,6.1,0.00466,71379.555,64
2020-05-01 06:00:00,1,277.1,250,41,0,61.3,1.61,2.3999999,0.00433,71380.74,37
2020-05-01 12:00:00,1,274.5,233,0,0,55.5,1.52,1.3199999,0.00327,71387.164,39
2020-05-01 18:00:00,1,289.2,243,526,0,20.5,1.8,2.5,0.0032799998,71432.35,23
2020-05-02 00:00:00,1,288.1,268,787,0,24.2,0.69,4.8599997,0.00361,71329.08,30
2020-05-02 06:00:00,1,276.6,241,50,1e-6,47.7,2.05,-0.71,0.00324,71338.46,5
2020-05-02 12:00:00,1,274.4,224,0,0,45.9,2.3899999,0.85999995,0.0026699998,71208.89,3
2020-05-02 18:00:00,1,288.4,234,537,0,19.6,2.4099998,4.14,0.00299,71200.65,5
2020-05-03 00:00:00,1,286.1,257,805,4e-5,29.6,1.6899999,5.5699997,0.0038599998,71082.625,41
2020-05-03 06:00:00,1,274.7,237,51,3e-5,74.5,-0.32999998,2.22,0.00447,71187.09,11
2020-05-03 12:00:00,1,271.4,223,0,0,96.5,-0.42,2.09,0.00452,71303.85,6
2020-05-03 18:00:00,1,285.5,213,547,0,17.4,0.25,1.89,0.0022,71319.086,12
2020-05-04 00:00:00,1,283.53,238,816,1.1e-5,27.9,-0.049999997,2.3999999,0.0030399999,71189.055,34
2020-05-04 06:00:00,1,274.2,236,50,6e-6,84.6,2.2,-1.55,0.0048599998,71202.195,35
2020-05-04 12:00:00,1,273.5,233,0,0,64.700005,0.84,3.6599998,0.00354,71075.2,27
2020-05-04 18:00:00,1,283.4,227,539,0,23.9,0.08,7.74,0.0026,71160.96,5
2020-05-05 00:00:00,1,282,234,827,0,27.5,-0.31,7,0.00274,71143.7,17
2020-05-05 06:00:00,1,272.2,221,53,0,54,0.89,1.8499999,0.00272,71002.21,7
