forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-10 00:00:00,1,276.7,9999e17,9999e17,9999e17,50.3,-1.3399999,2.01,0.0024899999,99498.04,9999e17
2020-05-10 06:00:00,1,272.6,227,0,0,62.100002,1.28,1.89,0.00227,99679.17,0
2020-05-10 12:00:00,1,277.6,236,38,0,53.600002,2.26,1.81,0.0028199998,99679.95,28
2020-05-10 18:00:00,1,289.2,267,778,0,33.5,3.8899999,1.05,0.00384,99281.96,28
2020-05-11 00:00:00,1,285.6,294,534,2e-6,65.3,2.79,-0.17,0.0059599997,98811.516,15
2020-05-11 06:00:00,1,280.9,314,0,8.9e-5,97,0.72999996,2.11,0.0064399997,98586.75,80
2020-05-11 12:00:00,1,279,275,44,1.4e-5,94,1.12,2.36,0.0055199997,98524.74,33
2020-05-11 18:00:00,1,285.2,287,656,1e-6,44.600002,-4.0099998,6.19,0.00399,98661.625,38
2020-05-12 00:00:00,1,281,281,487,0,58.3,-1.78,3.72,0.00391,98894.88,34
2020-05-12 06:00:00,1,275.9,249,0,0,82.8,-0.71,2.5,0.00388,99098.25,2
2020-05-12 12:00:00,1,277.5,237,46,0,65.1,-1.0699999,3.73,0.00339,99414.55,1
2020-05-12 18:00:00,1,286.2,244,809,0,31.2,-2.49,4.92,0.0029499999,99276.016,1
2020-05-13 00:00:00,1,282.63,280,525,0,61.100002,-0.71999997,2.3899999,0.0045499997,99428.6,29
2020-05-13 06:00:00,1,276.1,255,0,0,87,0.57,2.08,0.00411,99711.016,0
2020-05-13 12:00:00,1,279.1,245,46,0,70.9,-0.28,1.77,0.00411,99907.5,2
2020-05-13 18:00:00,1,290.7,272,782,0,28.7,-0.45,2.96,0.00361,99752.734,20
2020-05-14 00:00:00,1,284.88,310,507,0,69.5,-1.24,0.22999999,0.00599,99744.54,38
2020-05-14 06:00:00,1,277,287,0,0,82.5,-0.48999998,-1.0799999,0.00415,99788.1,14
2020-05-14 12:00:00,1,283.1,319,13,3e-6,74.6,0.41,-0.96999997,0.0057099997,99743.48,70
2020-05-14 18:00:00,1,292.5,349,339,4.2e-5,66.3,1.78,0.55,0.00933,99332.18,80
2020-05-15 00:00:00,1,291.2,372,408,2.76e-4,93.6,-0.14,2.31,0.012279999,98937.95,77
2020-05-15 06:00:00,1,288.5,357,0,3.29e-4,98.5,1.24,1.76,0.010849999,98950.22,85
2020-05-15 12:00:00,1,290.30002,365,33,5.7e-5,97.6,1.2099999,1.64,0.0121,99028.71,88
2020-05-15 18:00:00,1,299.6,383,534,6e-6,55.600002,0.099999994,3.24,0.01219,98900.77,68
2020-05-16 00:00:00,1,293.6,384,475,3.69e-4,92.8,0.28,1.54,0.0141199995,98909.766,66
2020-05-16 06:00:00,1,289.5,364,0,1.28e-4,96.6,0.55,1.76,0.01138,98914.52,54
