forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-06 06:00:00,1,281.7,9999e17,9999e17,9999e17,82.9,1.49,-2.6399999,0.00574,100107.23,9999e17
2020-05-06 12:00:00,1,281.80002,321,27,8e-6,90.8,2.59,-0.78,0.00635,99951.79,70
2020-05-06 18:00:00,1,285.9,340,303,3.8e-5,74.5,-0.84999996,2.87,0.00685,99710.77,84
2020-05-07 00:00:00,1,283.6,330,231,4.6e-5,81.9,-1.04,3.08,0.0064999997,99652.914,81
2020-05-07 06:00:00,1,281.1,317,0,1.32e-4,94.9,-6.37,-0.76,0.00633,99932.52,63
2020-05-07 12:00:00,1,279.1,290,44,3.1e-5,83.5,-4.7999997,3.62,0.00482,100284.05,47
2020-05-07 18:00:00,1,289.4,263,800,0,38.2,-3.12,4.2,0.00439,100264.95,0
2020-05-08 00:00:00,1,285.9,289,527,0,64,1.67,3.07,0.0058899997,100152.29,6
2020-05-08 06:00:00,1,282.4,279,0,0,69,1.39,4.71,0.00499,100229.48,20
2020-05-08 12:00:00,1,282.80002,283,40,0,75.5,-2.52,3.1899998,0.00561,100322.81,60
2020-05-08 18:00:00,1,283.5,320,422,2.9e-5,68.3,-2.6299999,-0.04,0.00538,100213.37,82
2020-05-09 00:00:00,1,278.1,330,147,3.35e-4,88.8,-4.37,1.79,0.00482,100085.336,98
2020-05-09 06:00:00,1,276.2,315,0,1.45e-4,83.5,-5.0099998,2.6699998,0.00395,100209.37,97
2020-05-09 12:00:00,1,274.30002,247,49,2e-6,64.4,-5.16,4.31,0.00265,100591.12,44
2020-05-09 18:00:00,1,282.2,236,802,0,37.7,-4,8.54,0.0026999998,100621.24,18
2020-05-10 00:00:00,1,278.5,282,403,2e-6,54.5,-1.43,4.99,0.0030099999,100957.64,67
2020-05-10 06:00:00,1,274,235,0,0,82.200005,0.42,3.8899999,0.00329,101303.445,0
2020-05-10 12:00:00,1,277.6,235,44,0,71.8,0.59,4.45,0.00369,101470.52,22
2020-05-10 18:00:00,1,288.7,268,778,0,43.2,1.39,5.48,0.00471,101104.88,39
2020-05-11 00:00:00,1,285.2,296,511,1e-6,68.9,3.9399998,0.59,0.00598,100802.41,13
2020-05-11 06:00:00,1,281.4,275,0,0,69.9,4.7,2.3799999,0.0047299997,100526.555,2
2020-05-11 12:00:00,1,282.2,301,28,4.1e-5,88.1,1.9499999,4.63,0.0063,100392.07,54
2020-05-11 18:00:00,1,287.2,291,713,2e-6,48.9,-0.98999995,6.8999996,0.00488,100416.14,24
2020-05-12 00:00:00,1,283.9,301,407,2e-6,67,-0.79999995,3.6899998,0.00538,100596.25,40
2020-05-12 06:00:00,1,279,267,0,0,78.8,-3.78,2.71,0.0044799997,100991.95,1
2020-05-12 12:00:00,1,278.4,247,49,0,67.5,-5.0899997,3.7099998,0.00369,101409.414,0
2020-05-12 18:00:00,1,287.4,254,810,0,40.2,-2.09,5.6099997,0.00403,101299.8,0
2020-05-13 00:00:00,1,283.9,276,543,0,60.5,-1.18,2.71,0.00483,101330.64,0
2020-05-13 06:00:00,1,279.1,263,0,0,65.6,-0.96,3.1399999,0.00376,101535.94,8
2020-05-13 12:00:00,1,281.1,264,47,0,70.200005,-5.0099998,1.26,0.00458,101946.586,24
2020-05-13 18:00:00,1,289,278,781,0,40.7,-2.26,0.94,0.0045,101957.89,10
2020-05-14 00:00:00,1,285.80002,300,517,0,67.5,2.27,-2.53,0.00604,101875.24,6
2020-05-14 06:00:00,1,281.1,288,0,0,79.3,3.12,-0.31,0.0052,101932.02,7
2020-05-14 12:00:00,1,283.30002,290,46,0,87.1,3.58,-0.08,0.0066299997,101957.87,10
2020-05-14 18:00:00,1,292.80002,316,760,0,61.8,4.6,0.94,0.00871,101640.71,7
2020-05-15 00:00:00,1,291.1,343,506,2e-6,76.200005,4.56,-0.02,0.00967,101414.63,28
2020-05-15 06:00:00,1,289.2,337,0,0,81.6,5.52,2.6299999,0.0091699995,101344.76,22
2020-05-15 12:00:00,1,288.30002,325,46,0,89.3,3.87,3.12,0.00949,101490.766,1
2020-05-15 18:00:00,1,296,342,762,0,62.4,3.9399998,1.9699999,0.01071,101260.76,2
2020-05-16 00:00:00,1,293.30002,359,514,0,78.1,4.1,0.55,0.011399999,101090.234,4
2020-05-16 06:00:00,1,289.9,345,0,0,88,3.61,2.24,0.010369999,101161.87,1
2020-05-16 12:00:00,1,289.2,333,47,0,92.3,2.82,1.66,0.01041,101237.21,1
2020-05-16 18:00:00,1,296.9,347,764,0,62.7,4.39,0.62,0.011419999,101034.29,1
2020-05-17 00:00:00,1,293.7,356,523,0,73.9,5.08,-0.51,0.01117,100818.875,1
2020-05-17 06:00:00,1,290.80002,339,0,0,82.6,5.5899997,1.61,0.01034,100804.64,31
2020-05-17 12:00:00,1,289.7,335,47,7e-6,93.1,3.49,2.23,0.0109,100899.64,28
2020-05-17 18:00:00,1,294.6,359,712,1.59e-4,85.8,0.93,2.78,0.01361,100810.93,31
2020-05-18 00:00:00,1,290.80002,371,328,4.55e-4,91,-1.87,0.42999998,0.0114899995,100839.43,80
2020-05-18 06:00:00,1,285.5,322,0,1.3e-5,83.3,-4.54,0.95,0.0074,101112.73,30
2020-05-18 12:00:00,1,284.30002,281,53,0,73.200005,-4.0499997,0.61,0.00598,101488.25,10
2020-05-18 18:00:00,1,291.2,281,814,0,41.8,-3.25,-1.4699999,0.0053,101474.19,1
2020-05-19 00:00:00,1,286.9,301,552,0,71.5,-0.58,0.16,0.0069199996,101395.19,1
2020-05-19 06:00:00,1,284.4,294,0,0,67.700005,-1.05,1.78,0.00555,101418.61,1
2020-05-19 12:00:00,1,287.1,289,53,0,65.9,-1.81,0.19,0.0064399997,101517.02,0
2020-05-19 18:00:00,1,294.1,306,802,0,44.600002,1.25,-0.39,0.00678,101323.23,0
2020-05-20 00:00:00,1,289.9,315,549,0,68.1,2.6499999,-0.22999999,0.00804,101160.46,1
2020-05-20 06:00:00,1,285.1,299,0,0,79.5,2.44,1.6899999,0.0068599996,101156.086,1
2020-05-20 12:00:00,1,286.5,293,52,0,77.3,0.88,1.63,0.0072899996,101229.2,1
2020-05-20 18:00:00,1,296.2,316,796,0,47.2,1.65,0,0.0081899995,101092.99,0
2020-05-21 00:00:00,1,291.2,330,544,0,69.6,2.99,-0.65,0.00894,101045.29,0
2020-05-21 06:00:00,1,286.2,310,0,0,77.700005,2.3899999,1.5699999,0.00719,101239.48,1
2020-05-21 12:00:00,1,288.1,303,53,0,75.9,0.59,0.96999997,0.00798,101389.82,13
2020-05-21 18:00:00,1,296.30002,321,796,0,45.2,2.59,-0.74,0.0078799995,101396.484,15
2020-05-22 00:00:00,1,291.30002,327,547,0,69.200005,2.95,-1.35,0.00892,101333.09,13
2020-05-22 06:00:00,1,286.2,307,1,0,85.8,2.9199998,0.81,0.00794,101368.516,17
2020-05-06 06:00:00,2,282,9999e17,9999e17,9999e17,86.4,1.43,-3.03,0.00609,100069.62,9999e17
2020-05-06 12:00:00,2,282,322,30,2.5e-5,91.6,2.6299999,-0.98999995,0.00648,99919.5,69
2020-05-06 18:00:00,2,286.1,340,302,4.2e-5,72.700005,-0.59,2.85,0.00679,99644.58,84
2020-05-07 00:00:00,2,283.6,330,243,5.6e-5,79.4,-1.24,3.26,0.0063099996,99611.16,84
2020-05-07 06:00:00,2,281,311,0,6.4e-5,95,-5.19,-0.53,0.00629,99828.21,58
2020-05-07 12:00:00,2,279.6,302,43,3.3e-5,84.6,-4.8599997,3.77,0.0050899996,100244.875,58
2020-05-07 18:00:00,2,289.4,265,798,0,38.7,-3.4099998,4.5499997,0.00446,100247.52,1
2020-05-08 00:00:00,2,285.80002,294,515,0,64,1.42,3.01,0.00586,100164.73,15
2020-05-08 06:00:00,2,282.6,280,0,0,67.3,1.28,4.83,0.00495,100213.625,22
2020-05-08 12:00:00,2,282.80002,292,36,0,76.8,-3.09,2.6699998,0.00573,100344.33,75
2020-05-08 18:00:00,2,284.30002,324,461,3.7e-5,62.8,-1.5699999,1.05,0.0051599997,100242.266,81
2020-05-09 00:00:00,2,279.30002,330,165,3.4199998e-4,90,-4,1.09,0.0053,99981.375,99
2020-05-09 06:00:00,2,276.7,316,0,1.72e-4,85.4,-3.57,2.22,0.00417,100136.45,98
2020-05-09 12:00:00,2,274.2,241,48,0,70.8,-4.2999997,5.1,0.0029,100495.164,31
2020-05-09 18:00:00,2,282.2,245,768,0,37.600002,-4.7,8.53,0.0026999998,100514.72,29
2020-05-10 00:00:00,2,279.30002,273,464,0,53.5,-0.84,4.67,0.0031299999,100789.64,54
2020-05-10 06:00:00,2,274.7,232,0,0,62.600002,0.59999996,4.71,0.0026399998,101091.02,1
2020-05-10 12:00:00,2,278.1,236,47,0,63.2,0.47,6.15,0.00339,101145.07,0
2020-05-10 18:00:00,2,288.2,294,642,0,41.600002,0.41,6.89,0.0044,100892.66,48
2020-05-11 00:00:00,2,285.30002,314,421,0,71.8,1.61,2.86,0.00628,100755.805,40
2020-05-11 06:00:00,2,282.6,290,0,0,68.8,3.22,4.56,0.0050299997,100719.64,32
2020-05-11 12:00:00,2,282.9,277,45,1e-5,83.200005,0.77,3.8999999,0.00624,100790.586,21
2020-05-11 18:00:00,2,285.7,332,372,1.37e-4,84.6,0.91999996,2.1299999,0.0076099997,100856.45,78
2020-05-12 00:00:00,2,283.1,316,365,5.6e-5,91,-0.42999998,0.71,0.0068699997,100863.77,38
2020-05-12 06:00:00,2,280.7,285,0,8e-5,93.200005,-3.97,3.3799999,0.00597,101168.36,12
2020-05-12 12:00:00,2,278.9,255,49,0,83.8,-3.36,1.99,0.00475,101563.14,1
2020-05-12 18:00:00,2,288.30002,269,788,0,44,-2.98,4.0299997,0.00465,101376.8,34
2020-05-13 00:00:00,2,284.6,294,513,0,64.3,-2.32,1.22,0.0053499998,101417.99,24
2020-05-13 06:00:00,2,278.80002,270,0,0,63,-2.29,0.03,0.0034999999,101627.14,45
2020-05-13 12:00:00,2,281.6,294,28,1e-5,72.1,-1.3199999,1.09,0.00487,101906.83,70
2020-05-13 18:00:00,2,289.80002,326,555,0,47.8,1.8199999,2.29,0.00556,101717.54,76
2020-05-14 00:00:00,2,286.4,333,394,0,77.700005,2.37,0.47,0.0072399997,101647.12,47
2020-05-14 06:00:00,2,284,315,0,0,93.1,1.4499999,1.4399999,0.0074299998,101755.8,35
2020-05-14 12:00:00,2,283.7,340,21,5e-6,87.6,-1.81,-1.54,0.00684,101994.71,80
2020-05-14 18:00:00,2,286.9,345,395,1e-5,73.200005,-0.44,-3.01,0.0071099997,101915.43,77
2020-05-15 00:00:00,2,286,353,255,4e-6,87.9,0.81,-1.5799999,0.00804,101789.45,77
2020-05-15 06:00:00,2,284,320,0,1e-6,96.200005,0.76,-2.3999999,0.00769,101829.65,84
2020-05-15 12:00:00,2,284.6,352,8,4.6e-5,95,0.84999996,-3.86,0.00786,102027.914,99
2020-05-15 18:00:00,2,287.80002,361,263,1.9e-5,81.3,3.24,-3.75,0.008289999,102025.07,98
2020-05-16 00:00:00,2,286.80002,374,128,4e-5,95.1,1.8,-3.05,0.00912,101904.4,99
2020-05-16 06:00:00,2,286.7,371,0,2.1e-5,99,1.63,-1.54,0.00942,101807.555,98
2020-05-16 12:00:00,2,287.9,369,21,7e-6,98.3,1.11,-0.62,0.010129999,101817.96,97
2020-05-16 18:00:00,2,291,374,431,8.2e-5,92.200005,2.83,-1.05,0.01164,101619.27,93
2020-05-17 00:00:00,2,289.4,360,365,6e-5,93.3,3.5,-0.42999998,0.01066,101388.41,54
2020-05-17 06:00:00,2,287.6,358,0,3.8e-5,98.8,3.03,-1.48,0.01007,101143.49,78
2020-05-17 12:00:00,2,288.4,378,8,2.37e-4,99,4.37,-1.9499999,0.01066,100945.055,95
2020-05-17 18:00:00,2,290.30002,389,160,3.01e-4,98,4.87,-0.53999996,0.011899999,100752.27,94
2020-05-18 00:00:00,2,291,393,194,5.4e-5,96.1,4.24,-0.62,0.01224,100480.39,85
2020-05-18 06:00:00,2,290.4,386,0,1.61e-4,98.4,4.15,2.1499999,0.0121,100358.41,74
2020-05-18 12:00:00,2,290.30002,372,38,8.6e-5,98,-0.5,2.77,0.01193,100289.96,51
2020-05-18 18:00:00,2,292.5,344,716,6e-6,57.5,-5.5099998,4.22,0.008049999,100452.89,20
2020-05-19 00:00:00,2,287.4,304,544,0,63.9,-4.45,3.08,0.0064399997,100685.27,2
2020-05-19 06:00:00,2,282.9,277,0,0,72,-3.46,3.9399998,0.00537,101005.805,1
2020-05-19 12:00:00,2,282.30002,259,55,0,65.4,-3.29,3.76,0.00469,101100.19,0
2020-05-19 18:00:00,2,290.2,268,824,0,41.2,-4.0299997,2.34,0.00493,101045.46,0
2020-05-20 00:00:00,2,286.5,290,559,0,67.200005,-1.17,1.2099999,0.00636,101056.09,0
2020-05-20 06:00:00,2,282.2,285,0,0,75.700005,-0.38,1.31,0.00538,101037.18,1
2020-05-20 12:00:00,2,286.5,281,53,0,64.700005,0.42999998,0.94,0.00611,101205.56,1
2020-05-20 18:00:00,2,292.7,300,795,0,45.3,2.9199998,0.74,0.00636,100858.555,17
2020-05-21 00:00:00,2,289.94,320,537,0,70,3.04,-1.8299999,0.0083099995,100797.64,14
2020-05-21 06:00:00,2,285.4,324,0,2.6e-5,90.8,2.05,-1.18,0.00799,100700.36,42
2020-05-21 12:00:00,2,286.80002,325,37,6e-6,94.4,0.72999996,-0.61,0.00914,100862.18,79
2020-05-21 18:00:00,2,292.5,352,572,1e-6,76.700005,2.6,-1.53,0.01064,100880.086,93
2020-05-22 00:00:00,2,290.37,382,267,5e-6,91.5,3.8799999,-0.91999996,0.011179999,100655.93,99
2020-05-22 06:00:00,2,288.30002,371,0,7e-6,93.700005,3.1699998,-1.6999999,0.01003,100766.39,98
2020-05-06 06:00:00,3,281.4,9999e17,9999e17,9999e17,79.5,1.66,-2.6799998,0.00542,100071.75,9999e17
2020-05-06 12:00:00,3,281.6,311,33,3e-6,87.5,2.6599998,-0.34,0.0060099997,99982.24,60
2020-05-06 18:00:00,3,286,333,368,2.3e-5,70.5,-1.11,1.66,0.00653,99705.78,77
2020-05-07 00:00:00,3,283.2,332,228,8.9e-5,90.1,-0.44,1.93,0.00697,99629.68,82
2020-05-07 06:00:00,3,280.7,329,0,1.73e-4,94.200005,-5.38,-0.17,0.00609,99962.79,82
2020-05-07 12:00:00,3,278.9,273,44,6e-6,83,-4.97,3.57,0.00475,100245.65,29
2020-05-07 18:00:00,3,289.1,262,800,0,38.3,-2.59,3.98,0.00432,100244.75,1
2020-05-08 00:00:00,3,285.4,281,535,0,62,2.25,2.6299999,0.0055299997,100098.58,0
2020-05-08 06:00:00,3,281.6,276,0,0,73.1,1.05,4.06,0.0050299997,100200.18,23
2020-05-08 12:00:00,3,283.30002,287,41,1e-6,77.5,1.4499999,4.23,0.00597,100131.65,67
2020-05-08 18:00:00,3,280.5,332,271,1.12e-4,87.1,-4.87,-0.71,0.00557,100112.914,98
2020-05-09 00:00:00,3,277.80002,325,89,3.46e-4,91.1,-3.1799998,2.04,0.00482,99986.66,99
2020-05-09 06:00:00,3,275.5,310,0,1.29e-4,83.1,-5.02,2.76,0.0037399998,100182,97
2020-05-09 12:00:00,3,274.1,243,49,0,58.9,-5.58,4.5899997,0.0023999999,100467.625,46
2020-05-09 18:00:00,3,280.80002,248,730,2e-6,42.7,-3.12,8.62,0.0027899998,100520.87,34
2020-05-10 00:00:00,3,277.80002,287,346,5e-6,57.5,-1.23,5.67,0.0030099999,100816.04,76
2020-05-10 06:00:00,3,273.4,230,0,0,78.9,0.75,4.15,0.00303,101191.02,0
2020-05-10 12:00:00,3,277,227,49,0,64.700005,1.77,5.48,0.00321,101346.805,0
2020-05-10 18:00:00,3,289.2,260,801,0,42.8,0.93,6.45,0.00484,101132.29,1
2020-05-11 00:00:00,3,285.30002,298,517,1e-6,71.700005,3.32,0.94,0.00627,100921.914,12
2020-05-11 06:00:00,3,283.2,285,0,2e-6,66.6,5.22,3.87,0.00508,100743.36,27
2020-05-11 12:00:00,3,283.9,313,46,3.1e-5,76.4,4.5499997,4.45,0.00612,100526.99,64
2020-05-11 18:00:00,3,291.80002,295,785,0,44.8,-0.96,7.6099997,0.006,100458.64,6
2020-05-12 00:00:00,3,284.30002,290,533,0,61.3,-2.77,4.7599998,0.00502,100866.87,2
2020-05-12 06:00:00,3,279,260,0,0,76.1,-2.07,4.04,0.00432,101236.71,1
2020-05-12 12:00:00,3,279.5,250,44,0,71.5,-3.1899998,2,0.0042,101624.375,31
2020-05-12 18:00:00,3,288.30002,279,717,0,40,0.17,4.22,0.0042499998,101370.39,78
2020-05-13 00:00:00,3,284.30002,286,525,0,62.5,1.13,1.5999999,0.00511,101322.1,53
2020-05-13 06:00:00,3,279.2,272,0,0,73,-0.07,2.1599998,0.00422,101556.99,1
2020-05-13 12:00:00,3,282.5,264,49,0,61.600002,-1.5699999,-0.01,0.00445,101780.58,1
2020-05-13 18:00:00,3,292.2,293,785,0,41.100002,1.99,0.66999996,0.00557,101563.336,1
2020-05-14 00:00:00,3,289.1,328,505,0,71.8,2.19,-2.74,0.00806,101270.336,20
2020-05-14 06:00:00,3,288.4,349,0,7e-6,83.1,6.0899997,2.12,0.00888,100980.336,66
2020-05-14 12:00:00,3,288,353,12,6.6e-5,93.1,5.06,4.12,0.00973,101045.64,61
2020-05-14 18:00:00,3,296.6,372,573,8.2e-5,62.4,2.83,3.79,0.01115,100934.47,56
2020-05-15 00:00:00,3,293,369,506,8.9e-5,85.200005,3.35,0.71,0.01224,100856.555,4
2020-05-15 06:00:00,3,290.5,345,0,0,85.700005,4.69,2.62,0.010489999,100779.89,11
2020-05-15 12:00:00,3,289.4,331,46,0,92.4,3.6,2.6699998,0.010559999,101015.62,33
2020-05-15 18:00:00,3,297,346,760,0,62,3.8,0.51,0.01136,100714.31,55
2020-05-16 00:00:00,3,293.4,355,518,0,74.6,5.35,0.01,0.01103,100488.12,33
2020-05-16 06:00:00,3,290.5,338,0,1e-6,86,5.14,2.21,0.010559999,100547.85,41
2020-05-16 12:00:00,3,289.5,342,46,6.9e-5,95.1,3.27,2.6799998,0.01102,100427.42,9
2020-05-16 18:00:00,3,297,361,748,1.9e-5,67.6,1.52,2.79,0.01249,100249.516,19
2020-05-17 00:00:00,3,293.12,373,501,1.98e-4,93,1.89,2.1299999,0.013599999,100189.375,36
2020-05-17 06:00:00,3,289.1,354,0,1.7e-5,94.4,-3.74,1.31,0.01074,100263.27,45
2020-05-17 12:00:00,3,285.4,323,43,6e-6,86,-4.2999997,-0.35999998,0.0075999997,100749.22,43
2020-05-17 18:00:00,3,291.8,323,668,0,51.3,-2.1299999,-0.14999999,0.00683,100633.62,82
2020-05-18 00:00:00,3,289.06,323,517,0,70.4,1.56,-0.31,0.007929999,100531.29,32
2020-05-18 06:00:00,3,285.37,310,0,0,86.3,2.03,0.69,0.00763,100511.47,30
2020-05-18 12:00:00,3,288.12,317,47,0,87.1,1.06,0.5,0.00923,100458.36,23
2020-05-18 18:00:00,3,295,342,759,8e-6,63.2,2.35,-1.05,0.010369999,100365.15,30
2020-05-19 00:00:00,3,291.5,352,498,1e-5,79,2.9299998,-1.4699999,0.0103899995,100254.836,52
2020-05-19 06:00:00,3,285.96,329,0,1e-6,86.5,1.49,-1.41,0.00798,100207.695,37
2020-05-19 12:00:00,3,286.9,327,35,1e-6,84.4,0.65,-1.8499999,0.0083099995,100204.19,59
2020-05-19 18:00:00,3,293.6,357,619,1e-6,66.3,3.1499999,-4.42,0.01002,99836.48,67
2020-05-20 00:00:00,3,290.80002,376,335,3.7e-5,93.200005,3.75,-4.99,0.011849999,99278.52,85
2020-05-20 06:00:00,3,290.80002,390,0,5.13e-4,99.6,3.99,-1.3,0.01284,98626.5,98
2020-05-20 12:00:00,3,291.30002,398,10,0.001334,97.3,0.88,5.22,0.01286,98350.06,100
2020-05-20 18:00:00,3,290.80002,364,187,2.11e-4,65.700005,-3.52,5.56,0.008359999,98851.14,97
2020-05-21 00:00:00,3,287.53,307,501,0,60.9,-2.11,3.49,0.00627,99629.77,33
