forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-02 06:00:00,1,289.4,9999e17,9999e17,9999e17,54.9,-2.85,3.6499999,0.00633,100014.65,9999e17
2020-05-02 12:00:00,1,285.30002,295,0,0,66.1,-2.1,1.48,0.0058299997,100062.98,0
2020-05-02 18:00:00,1,295.85,300,359,0,32.4,-1.75,2.96,0.0055899997,100204.25,17
2020-05-03 00:00:00,1,300.78,338,867,0,20.9,-3.06,1.9699999,0.00487,99976.6,1
2020-05-03 06:00:00,1,290.85,328,110,0,56.2,-4.27,4.15,0.0071,100248.15,1
2020-05-03 12:00:00,1,286.4,306,0,0,72.700005,-3.1,2.79,0.00688,100268.68,2
2020-05-03 18:00:00,1,295,304,361,0,37,-2.72,3.11,0.00605,100307.18,0
2020-05-04 00:00:00,1,299.11,333,871,0,20.4,-4.5099998,3.61,0.0042999997,100045.49,0
2020-05-04 06:00:00,1,288.30002,303,114,0,35.3,-3.23,2.74,0.00379,100281.15,0
2020-05-04 12:00:00,1,284,274,0,0,37,-2.77,1.49,0.003,100245.65,0
2020-05-04 18:00:00,1,295.30002,277,377,0,20.7,-2,3.7099998,0.00345,100288.29,0
2020-05-05 00:00:00,1,301,316,893,0,14.5,-4.58,3.25,0.00341,99950.89,0
2020-05-05 06:00:00,1,289.30002,304,117,0,37.4,-2.7,2.24,0.00428,100121.305,0
2020-05-05 12:00:00,1,285.6,287,0,0,40.2,-2.51,1.11,0.0036199999,100089.71,0
2020-05-05 18:00:00,1,297.5,293,375,0,22,-1.4399999,2.87,0.00421,100140.9,4
2020-05-06 00:00:00,1,303.30002,331,890,0,12.5,-3.3899999,1.6899999,0.00339,99823.195,22
2020-05-06 06:00:00,1,291.5,318,117,0,38.8,-3.6899998,2.72,0.00511,100085.31,10
2020-05-06 12:00:00,1,287.30002,298,0,0,50.5,-2.84,2.77,0.00508,100120.93,14
2020-05-06 18:00:00,1,297.6,298,375,0,24.7,-3.6,4.3399997,0.0047299997,100211.65,18
2020-05-07 00:00:00,1,302.6,325,898,0,14,-5.12,4.79,0.00363,99876.08,17
2020-05-07 06:00:00,1,290.9,309,119,0,36,-2.84,2.84,0.00457,99977.79,10
2020-05-07 12:00:00,1,287.2,291,0,0,42.4,-2.27,1.8299999,0.0042499998,99869.05,1
2020-05-07 18:00:00,1,298.9,296,381,0,21.800001,-2.08,3.77,0.00453,99877.805,2
2020-05-08 00:00:00,1,305.5,336,897,0,11.5,-3.6599998,2.22,0.00355,99515.52,17
2020-05-08 06:00:00,1,291.6,319,120,0,32.8,-2.37,-0.31,0.00439,99631.164,3
2020-05-08 12:00:00,1,287.4,296,0,0,43.2,-1.8499999,-0.07,0.0044,99575.914,4
2020-05-08 18:00:00,1,301.5,305,380,0,18.2,0.22999999,2.23,0.00445,99649.49,33
2020-05-09 00:00:00,1,307.4,350,895,0,9.2,-1.36,-0.71,0.00315,99382.64,35
2020-05-09 06:00:00,1,293.30002,327,117,0,26,-1.25,-1.5899999,0.0038599998,99582.49,40
2020-05-09 12:00:00,1,289.6,304,0,0,34,-1.9399999,-0.64,0.00398,99575.63,27
2020-05-09 18:00:00,1,303.4,315,380,0,16.5,-0.98999995,2.4299998,0.0045,99659.23,39
2020-05-10 00:00:00,1,309,358,888,0,9,-2.59,0.57,0.00338,99344.836,49
2020-05-10 06:00:00,1,294,341,117,0,28.300001,-1.5899999,-0.83,0.00438,99620.01,48
2020-05-10 12:00:00,1,292.7,321,0,0,32,-1.9599999,-1.31,0.00456,99859.79,38
2020-05-10 18:00:00,1,305.4,329,376,0,13.400001,-0.47,2.05,0.00408,99868.48,30
2020-05-11 00:00:00,1,309.4,362,891,0,8.2,-2,0.90999997,0.00312,99619.15,5
2020-05-11 06:00:00,1,296.6,342,121,0,19.5,-1.91,-2.05,0.0035299999,99855.11,2
2020-05-11 12:00:00,1,293.2,319,0,0,25.300001,-2.23,-1.66,0.0037,99804.96,1
2020-05-11 18:00:00,1,305.4,324,385,0,11.900001,-0.19999999,2.81,0.00363,99834.02,0
2020-05-12 00:00:00,1,309.80002,363,893,0,9.7,-3.21,1.93,0.0037699998,99507.54,0
2020-05-12 06:00:00,1,297,355,121,0,32.8,-2.29,-1.54,0.00612,99716.74,3
2020-05-12 12:00:00,1,293.80002,340,0,0,49.100002,-1.56,-0.95,0.0075,99624.9,10
2020-05-12 18:00:00,1,305.6,353,371,0,23.2,0.22,2.36,0.00714,99643.266,8
2020-05-13 00:00:00,1,310,396,863,0,15.6,-2,0.34,0.0061899996,99303.914,12
2020-05-13 06:00:00,1,298.30002,381,108,0,36.3,0.65999997,1.89,0.0071799997,99567.125,43
2020-05-13 12:00:00,1,293.7,350,0,0,49,-0.11,1.1999999,0.00737,99538.336,4
2020-05-13 18:00:00,1,304.7,354,370,0,23.4,1.86,1.7199999,0.00683,99653.81,30
2020-05-14 00:00:00,1,308.9,391,867,0,15.2,-0.48999998,0.91999996,0.00566,99324,17
2020-05-14 06:00:00,1,296.7,370,119,0,36.3,0.16,1.63,0.00653,99652.68,5
2020-05-14 12:00:00,1,292.2,338,0,0,49,-0.32,1.63,0.0067,99753.33,25
2020-05-14 18:00:00,1,301.9,340,371,0,25,0.59,2.58,0.00624,99822.94,35
2020-05-15 00:00:00,1,306.9,378,867,0,17.2,-0.04,2.4099998,0.0056999996,99493.164,16
2020-05-15 06:00:00,1,295.7,363,119,0,38.3,-1.17,1.7099999,0.0065099997,99921.516,5
