forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-04 00:00:00,1,284.06,9999e17,9999e17,9999e17,63.2,1.3399999,4.5099998,0.00646,79525.125,9999e17
2020-05-04 06:00:00,1,275.2,240,111,1e-6,71.700005,-1.25,-1.3,0.00396,79557.51,5
2020-05-04 12:00:00,1,274.4,213,0,0,30.7,-0.16,-1.99,0.0015799999,79517.68,1
2020-05-04 18:00:00,1,285.9,221,408,0,20,1.76,1.54,0.0023,79660.516,0
2020-05-05 00:00:00,1,287.7,252,920,0,28.9,0.28,4.0299997,0.00375,79628.27,8
2020-05-05 06:00:00,1,277.4,239,116,0,53.9,-0.65,-2.02,0.00348,79634.88,7
2020-05-05 12:00:00,1,276,222,0,0,44.3,0.26,-1.42,0.0026,79518.39,0
2020-05-05 18:00:00,1,288.7,226,411,0,15.6,2.08,2.5,0.0021799998,79619.15,9
2020-05-06 00:00:00,1,289.6,254,928,0,22.9,0.32,4.74,0.00336,79583.08,33
2020-05-06 06:00:00,1,277.30002,236,119,0,39.4,-0.84999996,-0.12,0.0025,79682.74,43
2020-05-06 12:00:00,1,276.1,230,0,0,33.2,-0.14999999,0.29999998,0.0019699999,79578.9,46
2020-05-06 18:00:00,1,289,245,395,0,25.4,1.22,3.22,0.00363,79635.87,49
2020-05-07 00:00:00,1,290.4,271,912,0,32.100002,0.24,4.11,0.005,79553.086,43
2020-05-07 06:00:00,1,282.5,261,116,0,43.9,-1.63,-3.97,0.00404,79599.93,29
2020-05-07 12:00:00,1,280.6,247,0,0,33.5,-1.4499999,-4.18,0.00271,79468.266,15
2020-05-07 18:00:00,1,290.7,245,411,0,20.5,2.26,1.43,0.0032499998000000002,79540.7,14
2020-05-08 00:00:00,1,292.30002,274,921,0,25.2,0.35999998,4.17,0.00441,79445.4,5
2020-05-08 06:00:00,1,282.5,258,119,0,50.4,-2.1299999,-2.18,0.00463,79467.66,17
2020-05-08 12:00:00,1,281.5,248,0,0,35.3,-1.31,-3.04,0.00303,79358.51,41
