forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-01 12:00:00,1,291.7,9999e17,9999e17,9999e17,19.6,1.63,-0.56,0.00288,90253.266,9999e17
2020-05-01 18:00:00,1,306.1,309,475,0,7.1,6.42,4.5899997,0.0025199999,90343.234,1
2020-05-02 00:00:00,1,305.93,341,873,0,9.8,5.24,8.22,0.00341,90165.336,0
2020-05-02 06:00:00,1,294,322,61,0,20.9,2.62,1.22,0.0035599999,90409.34,0
2020-05-02 12:00:00,1,290.9,296,0,0,31.800001,4.14,-0.51,0.0044799997,90400.8,0
2020-05-02 18:00:00,1,303.00998,308,471,0,11.3,3.52,3.9599998,0.0033099998,90572.08,0
2020-05-03 00:00:00,1,305.13998,340,869,0,10.1,2.1499999,6.45,0.0033699998,90301.94,0
2020-05-03 06:00:00,1,293.93,326,61,0,27,1.4,2.1599998,0.00459,90569.46,0
2020-05-03 12:00:00,1,290.80002,308,0,0,31.2,2.54,-0.71999997,0.00434,90441.02,0
2020-05-03 18:00:00,1,303.28998,311,474,0,9.3,3.1399999,2.9099998,0.00277,90479.25,0
2020-05-04 00:00:00,1,305.13998,333,880,0,8,0.96999997,6.17,0.00268,90172.5,0
2020-05-04 06:00:00,1,293.6,320,63,0,28.4,0.59999996,2.3,0.00474,90415.5,0
2020-05-04 12:00:00,1,289.30002,305,0,0,40.5,1.12,-0.48999998,0.00514,90212.39,0
2020-05-04 18:00:00,1,302.80002,315,474,0,12.400001,1.36,2.49,0.00363,90304.81,0
2020-05-05 00:00:00,1,305.4,339,877,0,8.1,-1.15,5.91,0.00274,90029.23,0
2020-05-05 06:00:00,1,293.4,316,64,0,19.2,-0.57,2.28,0.00314,90307.21,0
2020-05-05 12:00:00,1,288.30002,297,0,0,29.5,-0.5,0.06,0.0035199998,90234.15,0
2020-05-05 18:00:00,1,303.2,303,485,0,8.400001,-1.5899999,0.44,0.00248,90370.12,0
2020-05-06 00:00:00,1,306.6,331,891,0,5.3,-3.6299999,3.27,0.0019299999,90122.664,0
2020-05-06 06:00:00,1,293.9,309,66,0,14.2,-2.04,-1.09,0.00239,90375.41,0
2020-05-06 12:00:00,1,290.4,293,0,0,18.300001,0.17,-2.05,0.0025,90298.24,0
2020-05-06 18:00:00,1,306.7,307,488,0,5.7000003,0.71,-2.3899999,0.00208,90367.34,0
2020-05-07 00:00:00,1,309.94,345,891,0,4,-0.55,4.0699997,0.0017499999,90057.336,0
2020-05-07 06:00:00,1,295.9,322,66,0,8.8,-2.22,0.26,0.00169,90304.29,3
2020-05-07 12:00:00,1,293.1,304,0,0,34.2,1.77,-4.19,0.0055199997,90276.27,0
2020-05-07 18:00:00,1,306.7,332,474,0,14.8,2.6,0.56,0.00536,90352.56,0
2020-05-08 00:00:00,1,309.1,364,871,0,5.4,-0.45999998,7.64,0.00228,90135.4,0
2020-05-08 06:00:00,1,296.5,326,66,0,12.6,2.06,2.46,0.00251,90452.914,19
