forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-09 12:00:00,1,272.9,9999e17,9999e17,9999e17,54.3,-1.79,2.56,0.0021199998,95931.41,9999e17
2020-05-09 18:00:00,1,282.2,228,662,0,30.2,-2.45,4.31,0.00226,95786.58,11
2020-05-10 00:00:00,1,278.80002,291,401,1.4e-5,56.8,-0.37,1.4399999,0.0033999998,95591.96,89
2020-05-10 06:00:00,1,275.30002,301,5,2.8e-5,64.4,-0.42999998,-1.14,0.003,95531.39,95
2020-05-10 12:00:00,1,272.7,263,14,3e-6,70.200005,-4.19,-1.52,0.0026999998,95707.2,86
2020-05-10 18:00:00,1,276.5,267,476,1.3e-5,56.2,-5.6299996,0.83,0.00284,95862.44,80
2020-05-11 00:00:00,1,276.30002,281,438,7e-6,54.3,-4.5699997,0.47,0.00269,95943.71,78
2020-05-11 06:00:00,1,269.9,227,12,0,80.9,-1.75,0.64,0.0025,96049.58,16
2020-05-11 12:00:00,1,269.80002,207,19,0,67.700005,-3.21,-0.29999998,0.00207,96227.086,0
2020-05-11 18:00:00,1,277.9,207,682,0,26.1,-3.83,3.01,0.00145,96120.47,8
2020-05-12 00:00:00,1,278.6,217,668,0,26.1,-2.53,3.4499998,0.0015199999,95846.2,0
2020-05-12 06:00:00,1,270.2,211,15,0,49.2,-1.49,2.1699998,0.00157,95916.32,0
2020-05-12 12:00:00,1,271.7,206,19,0,47.9,-2.1399999,2.56,0.00171,95999.89,0
2020-05-12 18:00:00,1,281.6,221,677,0,23.1,-2.98,3.74,0.00166,96005.266,0
2020-05-13 00:00:00,1,281.25,236,662,0,32.7,-2.24,1.9699999,0.0023,95930.77,0
2020-05-13 06:00:00,1,272.6,226,16,0,49.600002,0.89,2.04,0.0018999999,96044.2,0
2020-05-13 12:00:00,1,275.4,220,20,0,46.600002,0.65,1.4499999,0.00217,96132.35,0
2020-05-13 18:00:00,1,287.80002,242,675,0,21.800001,1.9699999,0.90999997,0.00238,95903.68,13
2020-05-14 00:00:00,1,280.37,303,462,2.9e-5,80.5,1.8199999,1.5899999,0.00533,95856.18,86
2020-05-14 06:00:00,1,278,314,4,8.7e-5,94.1,4.21,-2.6599998,0.0052799997,95566.41,87
2020-05-14 12:00:00,1,278.5,333,1,3.2e-4,97.1,4.36,-1.63,0.00569,95204.49,98
2020-05-14 18:00:00,1,289.2,335,332,2e-5,69.200005,1.9399999,1.79,0.00833,95084.15,72
2020-05-15 00:00:00,1,289.1,352,423,8e-6,81.700005,-0.95,0.84,0.0097199995,95121.016,68
2020-05-15 06:00:00,1,283.1,356,9,1.9e-5,97.9,-1.15,-0.9,0.00783,95303.79,88
2020-05-15 12:00:00,1,281.9,315,16,4e-6,98,-1.89,-1.3299999,0.00725,95457.87,46
2020-05-15 18:00:00,1,288.5,345,311,8e-6,67.6,-1.78,-1.67,0.0077199996,95575.08,77
2020-05-16 00:00:00,1,288,367,215,3e-6,70.3,-2.23,-1.31,0.00775,95520.73,92
2020-05-16 06:00:00,1,280.9,311,6,0,97.4,0.16,-2.31,0.00672,95646.96,93
2020-05-16 12:00:00,1,281.2,285,19,0,91.1,-0.85999995,-1.91,0.0064,95690.9,69
2020-05-16 18:00:00,1,291.1,314,501,0,41.9,-1.91,-1.8299999,0.00563,95657.76,82
2020-05-17 00:00:00,1,289.1,323,446,0,54.5,-2.6399999,-1.56,0.0064499998,95666.766,76
2020-05-17 06:00:00,1,278.6,276,16,0,92.9,0.08,-1.27,0.00542,95820.016,1
2020-05-17 12:00:00,1,281.80002,264,21,0,76.8,-1.0699999,-1.52,0.0056,95920.125,0
2020-05-17 18:00:00,1,294,286,662,0,29.1,-1.7099999,-2.02,0.00468,95957.94,3
2020-05-18 00:00:00,1,292.4,307,644,0,49,-0.71,-1.56,0.0071699996,95837.055,8
2020-05-18 06:00:00,1,283,292,17,0,76.8,2.1699998,-1.25,0.0060699997,95895.914,1
2020-05-18 12:00:00,1,283.2,288,20,1e-6,84,2.31,0.03,0.00677,95883.37,1
2020-05-18 18:00:00,1,295.6,314,643,1.4e-5,41.9,3.31,1.03,0.00745,95698.21,1
2020-05-19 00:00:00,1,293.80002,339,571,2e-6,50.2,3.35,1.1899999,0.00803,95465.77,23
2020-05-19 06:00:00,1,286.5,305,17,0,71.200005,4.13,0.42999998,0.00715,95354.336,12
2020-05-19 12:00:00,1,287.6,304,14,0,81.6,4.49,1.9699999,0.008789999,95280.9,61
2020-05-19 18:00:00,1,297.80002,339,524,0,50.600002,7.02,3.6799998,0.01036,95032.32,91
