forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-05-10 12:00:00,1,276.4,9999e17,9999e17,9999e17,49.3,2.1,-0.89,0.00272,87208.875,9999e17
2020-05-10 18:00:00,1,285.80002,257,561,0,30.300001,3.4299998,-1.4599999,0.0031899998,87114.336,15
2020-05-11 00:00:00,1,289.4,281,788,0,27.800001,2.08,-4.91,0.0037,86789.65,11
2020-05-11 06:00:00,1,280.7,275,41,0,46.2,4.54,-6.25,0.00345,86830.42,20
2020-05-11 12:00:00,1,279.2,277,0,0,71.4,4.99,-5.41,0.0048499997,86472.75,50
2020-05-11 18:00:00,1,284.4,337,159,3.2e-5,71.5,5.3599997,-5.5899997,0.0069,86288.23,99
2020-05-12 00:00:00,1,282.9,351,197,2.2e-4,86.700005,3.1499999,-7.31,0.00756,86058.79,99
2020-05-12 06:00:00,1,281.2,344,7,1.37e-4,91.700005,3.76,-5.8199997,0.0072,86035.31,97
2020-05-12 12:00:00,1,279.9,340,0,2.6e-5,92.4,4.8199997,-5.42,0.00661,85962.56,94
2020-05-12 18:00:00,1,286.87,336,270,8e-6,70,7.1099997,-4.5499997,0.00798,85931.77,88
2020-05-13 00:00:00,1,290.04,322,720,0,57.9,7.25,-6.67,0.00815,85646.37,24
2020-05-13 06:00:00,1,283.5,310,43,2.17e-4,87.200005,6.81,-2.6399999,0.00798,85782.21,71
2020-05-13 12:00:00,1,284.30002,330,1,5e-6,92.8,6.23,-0.01,0.00902,85496.83,62
2020-05-13 18:00:00,1,297.30002,293,574,0,22,-1.86,3.32,0.00488,85458.6,10
2020-05-14 00:00:00,1,298.56,330,747,0,18.6,-1.12,-2.7,0.00446,85269.5,29
2020-05-14 06:00:00,1,288.4,346,25,4e-6,76.200005,-1.4599999,-3.29,0.00964,85391.2,82
2020-05-14 12:00:00,1,285.4,316,1,1.3e-5,70.5,-2.61,2.28,0.00738,85541.21,31
2020-05-14 18:00:00,1,294,296,569,0,36.5,-5.7999997,2.51,0.00658,85822.45,3
2020-05-15 00:00:00,1,294.80002,314,785,0,27.800001,-3.9599998,-2.3999999,0.00527,85766.44,36
2020-05-15 06:00:00,1,285.2,332,37,3.5e-5,86.4,-1.99,-6.37,0.00883,86035.87,77
2020-05-15 12:00:00,1,283.30002,351,0,1.83e-4,90.8,-0.17,-4.92,0.00816,86058.71,96
2020-05-15 18:00:00,1,285,355,122,4.9e-5,82.5,1.92,-6.3199997,0.00833,85891.24,100
2020-05-16 00:00:00,1,285.9,356,330,8e-5,85.200005,1.4399999,-6.0699997,0.00916,85702.984,93
2020-05-16 06:00:00,1,283.7,350,15,2.1e-5,93.5,0.89,-2.55,0.008669999,85816.52,93
