forecast.date,ensembles,tmp2m,dlwrfsfc,dswrfsfc,pratesfc,rh2m,vgrd10m,ugrd10m,spfh2m,pressfc,tcdcclm
2020-04-29 12:00:00,1,292.5,9999e17,9999e17,9999e17,76.6,2.74,-1.35,0.01057,101574.96,9999e17
2020-04-29 18:00:00,1,302.80002,355,745,0,40.4,5.46,0.26,0.01048,101165.516,2
2020-04-30 00:00:00,1,299.1,383,560,0,51.5,3.51,0.59999996,0.01077,100758.37,2
2020-04-30 06:00:00,1,293.72,382,0,1.05e-4,91.1,4.75,1.9499999,0.01371,100814.27,71
2020-04-30 12:00:00,1,291.86,388,9,2.81e-4,93.700005,-0.47,3.09,0.01255,100846.6,97
2020-04-30 18:00:00,1,299.7,353,682,0,38.5,1.41,6.43,0.00834,100756.68,54
2020-05-01 00:00:00,1,294.28,337,582,0,50,-0.22,3.3799999,0.0077899997,100758.44,1
2020-05-01 06:00:00,1,288.00998,314,0,0,71.700005,-1.74,0.65,0.0074899998,101125.875,0
2020-05-01 12:00:00,1,288.1,294,19,0,69.4,0.72999996,1.56,0.0072999997,101274.65,0
2020-05-01 18:00:00,1,298.30002,310,777,0,28.2,-0.97999996,4.5499997,0.0055899997,101239.24,0
2020-05-02 00:00:00,1,293.63,325,592,0,47.2,-0.12,2.4099998,0.00703,101136.836,0
2020-05-02 06:00:00,1,288.6,310,0,0,67.5,0.96999997,2.27,0.00728,101365.54,0
2020-05-02 12:00:00,1,289,309,19,0,72.200005,-0.69,1.78,0.00799,101479.58,0
2020-05-02 18:00:00,1,302.38,335,761,0,27,-1.24,2.6599998,0.00679,101435.69,1
2020-05-03 00:00:00,1,296.22,361,572,0,53.7,-0.78,1.1899999,0.009339999,101242.32,17
2020-05-03 06:00:00,1,291.4,340,0,0,73.3,0.21,2.4299998,0.00948,101319.87,3
2020-05-03 12:00:00,1,291.78,332,19,0,76.1,-1.2099999,1.56,0.01009,101427.35,0
2020-05-03 18:00:00,1,305.59,363,750,0,29.7,0.96999997,2.12,0.009,101219.75,0
2020-05-04 00:00:00,1,299.77,384,571,0,46.4,1.4,3.75,0.01005,101015.49,0
2020-05-04 06:00:00,1,291.80002,341,0,0,62.7,0.25,2.6399999,0.00835,101038.19,0
2020-05-04 12:00:00,1,291.7,323,20,0,73.700005,0.7,2.55,0.00976,101086.52,0
2020-05-04 18:00:00,1,304.4,357,753,0,35.100002,1.91,5.22,0.01,100931.69,0
2020-05-05 00:00:00,1,298.9,376,573,0,55.4,2.33,3.6,0.01139,100831.43,0
2020-05-05 06:00:00,1,292.9,349,0,0,85.700005,1.41,2.98,0.01225,100930.234,0
2020-05-05 12:00:00,1,293.2,345,20,0,89.3,0.42,3,0.012949999,101059.01,0
2020-05-05 18:00:00,1,306.6,376,749,0,34.3,0.98999995,2.6499999,0.01103,100992.414,0
2020-05-06 00:00:00,1,300.7,395,571,0,49.100002,3.01,4.16,0.0112499995,100842.25,1
2020-05-06 06:00:00,1,293.2,341,0,0,91.9,1.61,3.47,0.0133,101010.35,0
2020-05-06 12:00:00,1,294.1,338,20,0,91.3,1.4,3.47,0.01402,101150.914,2
